"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","locality","occurrenceRemarks","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","order","infraspecificEpithet","relatedCatalogItem"
"68","2019-10-02 14:54:10-03","UFMG","BHCB","45582","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Lonchocarpus",NA,"Lonchocarpus",NA,NA,"2009","04",NA,"Tameirão Neto, E","2396","1997","03","26","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671","BHCB011574",NA,"auto","UHE Aimorés. Fazenda Adolfo Shumaker.","Arbóreo.; Floresta Semidecidual.","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","2019-10-02 14:51:16-03","UFMG","BHCB","45607","PreservedSpecimen","Plantae","Dicotyledon","Bignoniaceae","Adenocalymma","aurantiacum","Adenocalymma aurantiacum","Udulutsch & Assis",NA,"2013",NA,NA,"Tameirão Neto, E","2421","1997","07","10","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671","BHCB046867","BHCB046867","auto","UHE Aimorés., Fazenda Adolfo Shumaker","Escandente; Floresta Semidecidual","Southern America",NA,NA,NA,NA,"Paratypus",NA,NA,NA,NA
"70","2019-12-15 13:42:11-03","UNESP-RC","HRCB","57599","S","Plantae",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata","Mez","Quinet, A.","2006","11","14","Luz, A.A. da","218","2004","08","18","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671",NA,NA,"auto","Estrada Córrego Coqueiro a Quatituba","Arbóreo, terrestre, fuste cilíndrico, casca áspera, altura total 9m, fuste 3m, cap fuste 40cm, diâmetro copa 4m. Botão verde, flor branca, seiva incolor, descamação ausente. <ll>dwc_commonname:</ll> canela peluda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2019-12-15 13:41:26-03","UNESP-RC","HRCB","42833","S","Plantae",NA,"Dioscoreaceae","Dioscorea",NA,"Dioscorea",NA,NA,NA,NA,NA,"Tameirão Neto, E.","2473","1997","10","28","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671",NA,NA,"auto","UHE Aimorés","Escandente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2019-12-15 13:41:26-03","UNESP-RC","HRCB","42831","S","Plantae",NA,"Dioscoreaceae","Dioscorea","piperifolia","Dioscorea piperifolia","Humb. & Bonpl. ex Willd.","Araújo, D.","2011","09","02","Tameirão Neto, E.","2472","1997","10","28","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671",NA,NA,"auto","UHE Aimorés","Escandente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2019-12-15 13:41:00-03","UNESP-RC","HRCB","41397","S","Plantae",NA,"Celastraceae","Maytenus","aquifolia","Maytenus aquifolia","Mart.","Lombardi, J.A.","2007","05",NA,"Tameirão Neto, E.","2383","1997","02","26","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671",NA,NA,"auto","UHE Aimorés","Arbóreo <ll>dwc_commonname:</ll> Folha da serra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","2020-03-09 10:33:02-03","CVRD","CVRD","12547","PreservedSpecimen","Plantae","Magnoliophyta","Moraceae","Brosimum","gaudichaudii","Brosimum gaudichaudii","Trécul","Sergio Romaniuc Neto","2009","12","11","Luz, A.A. da","512","2009","09","24","BRASIL","MG","Itueta","-41.257936","-19.388981",NA,"CVRD012547",NA,NA,NA,"<ll>dwc_commonname:</ll> Sally branco","América do Sul","-41.257936","-19.388981",NA,NA,NA,"Magnoliopsida","Rosales",NA,NA
"75","2020-03-09 10:32:51-03","CVRD","CVRD","12106","PreservedSpecimen","Plantae","Magnoliophyta","Calophyllaceae","Calophyllum","brasiliense","Calophyllum brasiliense","Cambess.","Domingos A. Folli","2009","03","31","Luz, A.A. da","502","2009","03","31","BRASIL","MG","Itueta","-41.236593","-19.481812",NA,"CVRD012106",NA,NA,NA,"<ll>dwc_commonname:</ll> Guanandi preto","América do Sul","-41.236593","-19.481812",NA,NA,NA,"Magnoliopsida","Malpighiales",NA,NA
"76","2020-03-09 10:32:57-03","CVRD","CVRD","12533","PreservedSpecimen","Plantae","Magnoliophyta","Malvaceae","Cavanillesia","umbellata","Cavanillesia umbellata","Ruiz & Pav.","Geovane S. Siqueira","2018","08","17","Luz, A.A. da","508","2009","09","03","BRASIL","MG","Itueta","-41.284297","-19.441252",NA,"CVRD012533","CVRD012533",NA,NA,"<ll>dwc_commonname:</ll> Barriguda","América do Sul","-41.284297","-19.441252",NA,NA,NA,"Magnoliopsida","Malvales",NA,NA
"77","2020-01-31 11:24:21-03","CVRD","CVRD","14888","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Dahlstedtia","floribunda","Dahlstedtia floribunda","(Vogel) M.J. Silva & A.M.G. Azevedo","Geovane S. Siqueira","2015","03","04","Luz, A.A. da","517","2012","03","14","BRASIL","MG","Itueta","-41.261667","-19.424722",NA,"CVRD014888",NA,NA,NA,"<ll>dwc_commonname:</ll> Óleo grande","América do Sul","41°15'42W","19°25'29S",NA,NA,NA,"Magnoliopsida","Fabales",NA,NA
"78","2020-01-31 11:24:21-03","CVRD","CVRD","14890","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Dahlstedtia","floribunda","Dahlstedtia floribunda","(Vogel) M.J. Silva & A.M.G. Azevedo","Geovane S. Siqueira","2015","03","04","Folli, D.A.","7192","2014","04","14","BRASIL","MG","Itueta","-41.261667","-19.424722",NA,"CVRD014890","CVRD014890",NA,NA,"Mata ciliar <ll>dwc_commonname:</ll> Óleo grande","América do Sul","41°15'42W","19°25'29S","140","140",NA,"Magnoliopsida","Fabales",NA,NA
"79","2020-03-09 10:32:57-03","CVRD","CVRD","8012","PreservedSpecimen","Plantae","Magnoliophyta","Erythroxylaceae","Erythroxylum","pelleterianum","Erythroxylum pelleterianum"," A.St.-Hil.","Loila, M.I.B.","2014","04","07","Luz, A.A. da","85","2002","11","19","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD008012",NA,"auto",NA,"<ll>dwc_commonname:</ll> Epadú de grotão","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Malpighiales",NA,NA
"80","2020-01-31 13:35:07-03","CVRD","CVRD","8904","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Samanea","inopinata","Samanea inopinata","(Harms) R.C.Barneby & J.W.Grimes","Domingos A. Folli","2004","09","29","Luz, A.A. da","234","2004","09","29","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD008904",NA,"auto",NA,"<ll>dwc_commonname:</ll> Sete cascas","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Fabales",NA,NA
"81","2020-01-31 13:35:01-03","CVRD","CVRD","10634","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Bauhinia","forficata","Bauhinia forficata subsp. forficata","Link","Domingos A. Folli","2008","01","11","Luz, A.A. da","482","2008","01","11","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD010634",NA,"auto",NA,"Está coleta foi coletada em 11/dez/2007 <ll>dwc_commonname:</ll> Unha de vaca","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Fabales","subsp. forficata",NA
"82","2020-01-31 11:25:35-03","CVRD","CVRD","9095","PreservedSpecimen","Plantae","Magnoliophyta","Rutaceae","Hortia","brasiliana","Hortia brasiliana","Vand. ex DC.","Domingos A. Folli","2005","03","22","Luz, A.A. da","279","2005","03","22","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD009095",NA,"auto",NA,"<ll>dwc_commonname:</ll> Paratudo vermelho","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Sapindales",NA,NA
"83","2020-01-31 13:35:04-03","CVRD","CVRD","9096","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Melanoxylon","brauna","Melanoxylon brauna","Schott","Domingos A. Folli","2005","03","22","Luz, A.A. da","277","2005","03","22","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD009096",NA,"auto",NA,"<ll>dwc_commonname:</ll> Braúna preta","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Fabales",NA,NA
"84","2020-01-31 11:24:20-03","CVRD","CVRD","10032","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","Domingos A. Folli","2007","03","20","Luz, A.A. da","380","2007","03","20","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD010032",NA,"auto",NA,"400 Metros antes da igreja de Santa Luzia <ll>dwc_commonname:</ll> Araribá vermelho","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Fabales",NA,NA
"85","2020-03-09 10:32:37-03","CVRD","CVRD","8857","PreservedSpecimen","Plantae","Magnoliophyta","Bignoniaceae","Handroanthus","ochraceus","Handroanthus ochraceus","(Cham.) Mattos","Lúcia G. Lohmann","2007","05","23","Luz, A.A. da","223","2004","09","01","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD008857",NA,"auto",NA,"flores com listras vermelhas. <ll>dwc_commonname:</ll> Ipê coceira","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Lamiales",NA,NA
"86","2020-01-31 11:25:28-03","CVRD","CVRD","8942","PreservedSpecimen","Plantae","Magnoliophyta","Moraceae","Maclura","tinctoria","Maclura tinctoria","(L.) D. Don ex Stevd.","Domingos A. Folli","2004","10","07","Luz, A.A. da","244","2004","10","07","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD008942",NA,"auto",NA,"<ll>dwc_commonname:</ll> Moreira","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Rosales",NA,NA
"87","2020-01-31 11:23:53-03","CVRD","CVRD","9224","PreservedSpecimen","Plantae","Magnoliophyta","Asteraceae","Eremanthus","erythropappus","Eremanthus erythropappus","(DC.) MacLeish","Marcelo Monge","2011","08","17","Luz, A.A. da","304","2005","10","06","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD009224",NA,"auto",NA,"<ll>dwc_commonname:</ll> Candeia","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Asterales",NA,NA
"88","2020-01-31 13:35:01-03","CVRD","CVRD","8969","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Dimorphandra","jorgei","Dimorphandra jorgei","M.F.Silva","Domingos A. Folli","2004","11","08","Luz, A.A. da","252","2004","11","03","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD008969",NA,"auto",NA,"<ll>dwc_commonname:</ll> Pau para tudo","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Fabales",NA,NA
"89","2020-01-31 11:25:22-03","CVRD","CVRD","8609","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Myrciaria","floribunda","Myrciaria floribunda","(H.West ex Willd.) O.Berg","Marcelo C. Souza","2005","11","23","Luz, A.A. da","157","2004","02","26","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD008609",NA,"auto",NA,"<ll>dwc_commonname:</ll> Vassourinha lisa","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Myrtales",NA,NA
"90","2020-01-31 13:35:06-03","CVRD","CVRD","9244","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Parapiptadenia","pterosperma","Parapiptadenia pterosperma","Benth.) Brenan","Pétala G. Ribeiro","2013","05","03","Luz, A.A. da","305","2005","11","03","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD009244",NA,"auto",NA,"<ll>dwc_commonname:</ll> Angico vermelho","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Fabales",NA,NA
"91","2020-01-31 13:35:21-03","CVRD","CVRD","10544","PreservedSpecimen","Plantae","Magnoliophyta","Malvaceae","Cavanillesia","umbellata","Cavanillesia umbellata","Ruiz & Pav.","Geovane S. Siqueira","2018","08","17","Folli, D.A.","5762","2007","11","07","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD010544",NA,"auto",NA,"<ll>dwc_commonname:</ll> Barriguda","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Malvales",NA,NA
"92","2020-01-31 11:25:33-03","CVRD","CVRD","10107","PreservedSpecimen","Plantae","Magnoliophyta","Meliaceae","Trichilia","pallida","Trichilia pallida","Sw.","Domingos A. Folli","2007","05","17","Luz, A.A. da","393","2007","04","11","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD010107",NA,"auto",NA,"<ll>dwc_commonname:</ll> Cedro cascudo","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Sapindales",NA,NA
"93","2020-01-31 13:35:07-03","CVRD","CVRD","13443","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Senegalia","kallunkiae","Senegalia kallunkiae","(J.W. Grimes & Barneby) Seigler & Ebinger","Pétala G. Ribeiro","2013","05","03","Folli, D.A.","6788","2011","08","04","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD013443",NA,"auto",NA,"<ll>dwc_commonname:</ll> Cobi de espinho","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Fabales",NA,NA
"94","2020-01-31 13:35:00-03","CVRD","CVRD","8905","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Abarema","cochliacarpos","Abarema cochliacarpos","(Gomes) Barneby & J.W.Grimes","Domingos A. Folli","2004","09","29","Luz, A.A. da","235","2004","09","29","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD008905",NA,"auto",NA,"<ll>dwc_commonname:</ll> Ingá preto","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Fabales",NA,NA
"95","2020-03-09 10:32:39-03","CVRD","CVRD","8858","PreservedSpecimen","Plantae","Magnoliophyta","Bignoniaceae","Tabebuia","obtusifolia","Tabebuia obtusifolia","(Cham.) Bureau","Domingos A. Folli","2004","09","01","Luz, A.A. da","224","2004","09","01","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD008858",NA,"auto",NA,"<ll>dwc_commonname:</ll> Pau tamanco","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Lamiales",NA,NA
"96","2020-01-31 11:25:42-03","CVRD","CVRD","9106","PreservedSpecimen","Plantae","Magnoliophyta","Solanaceae","Solanum","sp.","Solanum sp.",NA,NA,NA,NA,NA,"Luz, A.A. da","283","2005","04","14","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD009106",NA,"auto",NA,"<ll>dwc_commonname:</ll> Lobeira","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Solanales",NA,NA
"97","2020-03-09 10:32:42-03","CVRD","CVRD","9094","PreservedSpecimen","Plantae","Magnoliophyta","Lamiaceae","Vitex","aff. megapotamica","Vitex aff. megapotamica","(Spreng.) Moldenke","Domingos A. Folli","2005","03","22","Luz, A.A. da","278","2005","03","22","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD009094",NA,"auto",NA,"<ll>dwc_commonname:</ll> Tarumã preto","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Lamiales",NA,NA
"98","2020-01-31 11:24:23-03","CVRD","CVRD","9614","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Lonchocarpus","cultratus","Lonchocarpus cultratus","(Vell.) A.M.G. Azevedo & H.C. Lima","Domingos A. Folli","2006","06","01","Luz, A.A. da","332","2006","06","01","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD009614",NA,"auto",NA,"<ll>dwc_commonname:</ll> Óleo amarelo","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Fabales",NA,NA
"99","2020-01-31 11:25:28-03","CVRD","CVRD","10633","PreservedSpecimen","Plantae","Magnoliophyta","Moraceae","Maclura","tinctoria","Maclura tinctoria","(L.) D. Don ex Stevd.","Geovane S. Siqueira","2008","03","10","Luz, A.A. da","481","2008","01","11","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD010633",NA,"auto",NA,"Está coleta foi coletada em 11/dez/2007 <ll>dwc_commonname:</ll> Moreira","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Rosales",NA,NA
"100","2020-03-09 10:32:51-03","CVRD","CVRD","9467","PreservedSpecimen","Plantae","Magnoliophyta","Calophyllaceae","Calophyllum","brasiliense","Calophyllum brasiliense","Cambess.","Domingos A. Folli","2006","03","07","Luz, A.A. da","314","2006","03","07","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD009467",NA,"auto",NA,"<ll>dwc_commonname:</ll> Guanandi preto","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Malpighiales",NA,NA
"101","2020-01-31 11:23:59-03","CVRD","CVRD","9465","PreservedSpecimen","Plantae","Magnoliophyta","Phytolaccaceae","Seguieria","langsdorffii","Seguieria langsdorffii","Moq.","Domingos A. Folli","2006","04","18","Luz, A.A. da","312","2006","03","07","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD009465",NA,"auto",NA,"<ll>dwc_commonname:</ll> Beija-flor","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Caryophyllales",NA,NA
"102","2020-01-31 13:35:03-03","CVRD","CVRD","9466","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Goniorrhachis","marginata","Goniorrhachis marginata","Taub.","Domingos A. Folli","2006","03","07","Luz, A.A. da","313","2006","03","07","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD009466",NA,"auto",NA,"<ll>dwc_commonname:</ll> Guaribú amarelo","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Fabales",NA,NA
"103","2020-01-31 13:35:07-03","CVRD","CVRD","8906","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Pseudopiptadenia","contorta","Pseudopiptadenia contorta","(DC.) G.P.Lewis & M.P.M.de Lima","Domingos A. Folli","2004","09","29","Luz, A.A. da","236","2004","09","29","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD008906",NA,"auto",NA,"<ll>dwc_commonname:</ll> Angico rosa","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Fabales",NA,NA
"104","2020-01-31 11:24:05-03","CVRD","CVRD","6897","PreservedSpecimen","Plantae","Magnoliophyta","Ebenaceae","Diospyros","hispida","Diospyros hispida","A. DC.","Bruno Wallnöfer","2010","03","05","Luz, A.A. da","9","2001","06","19","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD006897",NA,"auto",NA,"<ll>dwc_commonname:</ll> Abricó da mata","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Ericales",NA,NA
"105","2020-01-31 11:25:24-03","CVRD","CVRD","9435","PreservedSpecimen","Plantae","Magnoliophyta","Connaraceae","Connarus","sp.","Connarus sp.",NA,NA,NA,NA,NA,"Luz, A.A. da","307","2005","12","11","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD009435",NA,"auto",NA,"<ll>dwc_commonname:</ll> Pitomba de bobo","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Oxalidales",NA,NA
"106","2020-01-31 11:24:05-03","CVRD","CVRD","9615","PreservedSpecimen","Plantae","Magnoliophyta","Ebenaceae","Diospyros","hispida","Diospyros hispida","A. DC.","Bruno Wallnöfer","2010","03","05","Luz, A.A. da","331","2006","06","01","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD009615",NA,"auto",NA,"<ll>dwc_commonname:</ll> Abricó da mata","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Ericales",NA,NA
"107","2020-03-09 10:32:45-03","CVRD","CVRD","8846","PreservedSpecimen","Plantae","Magnoliophyta","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruíz & Pav.) Mez","Alexandre Quinet","2006","11","14","Luz, A.A. da","218","2004","08","18","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD008846",NA,"auto",NA,"<ll>dwc_commonname:</ll> Canela peluda","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Laurales",NA,NA
"108","2020-01-31 11:24:24-03","CVRD","CVRD","8979","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Platypodium","elegans","Platypodium elegans","Vog.","Domingos A. Folli","2004","11","17","Luz, A.A. da","262","2004","11","17","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD008979",NA,"auto",NA,"<ll>dwc_commonname:</ll> Uruvalheira","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Fabales",NA,NA
"109","2020-03-09 10:32:42-03","CVRD","CVRD","10635","PreservedSpecimen","Plantae","Magnoliophyta","Verbenaceae","Aloysia","virgata","Aloysia virgata","(Ruiz & Pav.) Pers.","Geovane S. Siqueira","2009","03","24","Luz, A.A. da","483","2008","01","11","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD010635",NA,"auto","10 KM antes de chegar em Aimores.","Está coleta foi coletada em 11/dez/2007 <ll>dwc_commonname:</ll> Cidreira branca","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Lamiales",NA,NA
"110","2020-02-14 15:53:37-03","CVRD","CVRD","8713","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Mimosa","schomburgkii","Mimosa schomburgkii","Benth.","Geovane S. Siqueira","2020","02","05","Luz, A.A. da","181","2004","04","29","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD008713",NA,"auto","Aimorés a Respledor","<ll>dwc_commonname:</ll> Angico cangalha","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Fabales",NA,NA
"111","2020-01-31 11:24:21-03","CVRD","CVRD","10727","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Dahlstedtia","floribunda","Dahlstedtia floribunda","(Vogel) M.J. Silva & A.M.G. Azevedo","Geovane S. Siqueira","2015","03","04","Luz, A.A. da","488","2007","12","11","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD010727",NA,"auto","coletado em 11-12-2007","saindo de Itueta para Quatituba 1Km.lado direito. <ll>dwc_commonname:</ll> Óleo grande","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Fabales",NA,NA
"112","2020-01-31 13:35:06-03","CVRD","CVRD","10730","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Parapiptadenia","pterosperma","Parapiptadenia pterosperma","Benth.) Brenan","Pétala G. Ribeiro","2013","05","03","Luz, A.A. da","485","2008","02","11","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD010730",NA,"auto","coletado em 11-12-2007","Estr. Corrego coqueiro 1 km. <ll>dwc_commonname:</ll> Angico vermelho","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Fabales",NA,NA
"113","2020-03-09 10:32:37-03","CVRD","CVRD","9464","PreservedSpecimen","Plantae","Magnoliophyta","Bignoniaceae","Handroanthus","heptaphyllus","Handroanthus heptaphyllus","(Vell.) Mattos","Lúcia G. Lohmann","2007","05","23","Luz, A.A. da","311","2006","03","07","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD009464",NA,"auto","Córrego Aldeia Faz. Do Nicoli","<ll>dwc_commonname:</ll> Ipê roxo","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Lamiales",NA,NA
"114","2020-01-31 11:24:21-03","CVRD","CVRD","9198","PreservedSpecimen","Plantae","Magnoliophyta","Fabaceae","Crotalaria","spectabilis","Crotalaria spectabilis","Röth","Geovane S. Siqueira","2005","08","24","Reis, R.","70","2005","07","20","BRASIL","MG","Itueta","-41.1702995300293","-19.3941993713379","29671","CVRD009198",NA,"auto","Km 200 + 100","Linha 1 àrea C <ll>dwc_commonname:</ll> Guando mineiro","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida","Fabales",NA,NA
"115","2019-11-13 11:22:13-03","USP","SPF","226075","PreservedSpecimen","Plantae",NA,"Leguminosae","Dahlstedtia","floribunda","Dahlstedtia floribunda","(Vogel) M.J.Silva & A.M.G.Azevedo","Siqueira, GS","2015","03","04","Folli, DA","7192","2014","04","14","Brasil","Minas Gerais","Itueta","-41.261667","-19.424722",NA,"SPF00226075",NA,NA,"Quatituba.",NA,NA,"-41.261667","-19.424722","140","140",NA,NA,NA,NA,NA
"116","2019-11-13 11:22:13-03","USP","SPF","226076","PreservedSpecimen","Plantae",NA,"Leguminosae","Dahlstedtia","floribunda","Dahlstedtia floribunda","(Vogel) M.J.Silva & A.M.G.Azevedo","Siqueira, GS","2015","03","04","Luz, AA","517","2012","03","14","Brasil","Minas Gerais","Itueta","-41.261667","-19.424722",NA,"SPF00226076",NA,NA,"Quatituba.",NA,NA,"-41.261667","-19.424722",NA,NA,NA,NA,NA,NA,NA
"117","2019-11-13 11:26:13-03","USP","SPF","139752","PreservedSpecimen","Plantae",NA,"Meliaceae","Trichilia","hirta","Trichilia hirta","L.","Pirani, JR","2003",NA,NA,"Tameirão Neto, E","2474","1997","10","28","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671","SPF00139752",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","2020-01-21 16:15:10-03","USP","SPF","199245","PreservedSpecimen","Plantae",NA,"Bignoniaceae","Handroanthus","ochraceus","Handroanthus ochraceus","(Cham.) Mattos","Lohmann, LG","2009",NA,NA,"Luz, AA","223","2004","09","01","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671","SPF00199245",NA,"auto","EstrNova Itueta a Quatituba., Km 2","Arborea, 7m de alt. Botão amarelado. Flor amarelada com listras vermelhas. Seiva incolor.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","2019-11-13 11:22:13-03","USP","SPF","226077","PreservedSpecimen","Plantae",NA,"Leguminosae","Dahlstedtia","floribunda","Dahlstedtia floribunda","(Vogel) M.J.Silva & A.M.G.Azevedo","Siqueira, GS","2015","03","04","Luz, AA","488","2007","12","11","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671","SPF00226077",NA,"auto","Quatituba.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","2019-11-13 11:30:39-03","USP","SPF","136336","PreservedSpecimen","Plantae",NA,"Rutaceae","Balfourodendron","riedelianum","Balfourodendron riedelianum","(Engl.) Engl.","Tameirão Neto, E",NA,NA,NA,"Tameirão Neto, E","2384","1997","03","26","Brasil","Minas Gerais","Itueta","-41.1702995300293","-19.3941993713379","29671","SPF00136336",NA,"auto","UHE Aimorés.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
