"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","class","typeStatus"
"1","2019-12-16 17:11:32-03","NYBG","NYBG","02447573","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","gardneri","Pouteria gardneri","(Mart. & Miq.) Baehni","A. A. da Luz","190","2004","05","17","South America","Brazil","Minas Gerais","Aimorés","Estrada do mirante a mina Brucutu.","-41.0639","-19.4958","-41.0639","-19.4958","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2623529 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02447573","NY02447573",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:12:04-03","NYBG","NYBG","02447564","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Pouteria","venosa","Pouteria venosa",NA,"D. A. Folli","3793","2001","01","02","South America","Brazil","Minas Gerais","Aimorés","Instituto Terra. Estrada das Aroeiras.","-41.0638999938965","-19.4958000183105",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2623476 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02447564","NY02447564","54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:27:45-03","NYBG","NYBG","00934961","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pseudopiptadenia","brenanii","Pseudopiptadenia brenanii","G.P.Lewis & M.P.Lima","E. T. Neto","2441","1997","10","28","South America","Brazil","Minas Gerais","Aimorés","Aimorés. UHE Aimorés. Fazenda Sr. Varejao","-41.0639","-19.4958","-41.0639","-19.4958","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967800 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00934961","NY00934961",NA,NA,"G. P. Lewis","2001","01","15",NA,NA,NA,NA,NA
"4","2019-12-16 17:28:01-03","NYBG","NYBG","00980259","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pterogyne","nitens","Pterogyne nitens","Tul.","E. T. Neto","2365","1997","03","26","South America","Brazil","Minas Gerais","Aimorés","Aimorés. UHE Aimorés. Margem direita do rio Manhuaçu","-41.0639","-19.4958","-41.0639","-19.4958","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1091806 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00980259","NY00980259",NA,NA,"E. T. Neto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:52:33-03","NYBG","NYBG","02431763","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","A. A. da Luz","245","2004","10","07","South America","Brazil","Minas Gerais","Aimorés","estrada do Viveiro.","-41.0638999938965","-19.4958000183105",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2976670 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02431763","NY02431763","54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:52:33-03","NYBG","NYBG","02431764","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","A. A. da Luz","245","2004","10","07","South America","Brazil","Minas Gerais","Aimorés","estrada do Viveiro.","-41.0638999938965","-19.4958000183105",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2976671 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02431764","NY02431764","54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:52:33-03","NYBG","NYBG","02431760","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","A. A. da Luz","36","2001","12","06","South America","Brazil","Minas Gerais","Aimorés","próximo a sede.","-41.0638999938965","-19.4958000183105",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2976667 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02431760","NY02431760","54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:59:07-03","NYBG","NYBG","1280688","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Toulicia","laevigata","Toulicia laevigata","Radlk.","A. A. da Luz","28","2001","10","10","South America","Brazil","Minas Gerais","Aimorés","próximo a sede.","-41.0638999938965","-19.4958000183105",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1619103 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01280688","NY01280688","54161","auto","P. Acevedo-Rodríguez","2008",NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 17:37:42-03","NYBG","NYBG","949009","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Alseis","floribunda","Alseis floribunda","Schott","E. T. Neto","2352","1997","01","29","South America","Brazil","Minas Gerais","Aimorés","Aimorés. Margem direita do rio Manhuaçu.","-41.0639","-19.4958","-41.0639","-19.4958","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022858 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00949009","NY00949009",NA,NA,"E. Tameirão Neto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 18:55:59-03","NYBG","NYBG","1146396","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Trichilia","hirta","Trichilia hirta","L.","A. A. da Luz","151","2004","01","28","South America","Brazil","Minas Gerais","Aimorés","Penha do Capim à Mutum Km 1.5.","-41.0639","-19.4958","-41.0639","-19.4958","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1339398 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01146396","NY01146396",NA,NA,"T. D. Pennington","2006",NA,NA,NA,NA,NA,NA,NA
"11","2019-02-22 15:20:49-03","ESALQ","ESA","123524","S","Plantae","Magnoliophyta",NA,"Lauraceae","Mezilaurus","crassiramea","Mezilaurus crassiramea",NA,"Luz, A.A.","56","2002","04","17",NA,"Brasil","Minas Gerais","Aimorés","Santa Rita do Itueto. Estrada Quantituba a Santa Rira do Itueto Km 0.","-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,"ESA123524",NA,"54161","auto","Van der Werff, H.","2005","06","02",NA,NA,NA,NA,NA
"12","2019-07-11 08:51:12-03","ESALQ","ESA","76949","S","Plantae","Magnoliophyta",NA,"Cyperaceae","Cyperus","mutisii","Cyperus mutisii","(H.B.K.) Griseb.","Vasconcelos, M.F.","BHCB 39985","1997","10","21",NA,"Brasil","Minas Gerais","Aimorés",NA,"-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,"ESA076949","ESA076949","54161","auto","Kral, R.",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-07-11 08:54:54-03","ESALQ","ESA","132576","S","Plantae","Magnoliophyta",NA,"Meliaceae","Trichilia","hirta","Trichilia hirta",NA,"Luz, A.A.","151","2004","01","28",NA,"Brasil","Minas Gerais","Aimorés",NA,"-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,"ESA132576",NA,"54161","auto","Flores, T.B.","2014",NA,NA,NA,NA,NA,NA,NA
"14","2019-02-22 15:24:06-03","ESALQ","ESA","132656","S","Plantae","Magnoliophyta",NA,"Meliaceae","Trichilia","pseudostipularis","Trichilia pseudostipularis",NA,"Luz, A.A.","364","2006","11","30",NA,"Brasil","Minas Gerais","Aimorés",NA,"-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,"ESA132656",NA,"54161","auto","Pastore, J.A.","2008","03","28",NA,NA,NA,NA,NA
"15","2015-07-02 14:55:23-03","JBP","HPL","13465","S","Plantae",NA,NA,"Cactaceae","Coleocephalocereus","fluminensis","Coleocephalocereus fluminensis",NA,"G. Olsthoorn","445","2013","10","29",NA,"Brasil","MG","Aimorés","BR-259, Pedra Lorena, ao lado da hidroelétrica de Aimorés no rio Doce.","-41.095833","-19.455","41° 05' 45 W","19° 27' 18 S",NA,NA,NA,NA,NA,NA,"G. Olsthoorn","2013","10","29","441","441",NA,NA,NA
"16","2020-03-10 08:29:30-03","UFV","VIC","46411","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Senegalia","polyphylla","Senegalia polyphylla","(DC.) Britton & Rose","A.A. da Luz","322","2006","04","04",NA,"Brasil","Minas Gerais","Aimorés","Córrego Ventureiro.","-41.0638999938965","-19.4958000183105",NA,NA,NA,"Pasto. Árvore, 7m; flor branca; exsudação incolor.; Árvore, 7m; flor branca; exsudação incolor.; Pasto.","VIC046411","VIC046411","54161","auto","Terra, V.","2014","03",NA,NA,NA,NA,NA,NA
"17","2020-03-10 08:30:15-03","UFV","VIC","8453","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Ischaemum","rugosum","Ischaemum rugosum","Salisb.","Santana, E.O. de","s.n.","1983","06","23",NA,"Brasil","Minas Gerais","Aimorés","Fazenda Barra de Manhuaçú - Sr. João G. Fava","-41.0638999938965","-19.4958000183105",NA,NA,NA,"Folha de coloração vermelho-arroxeado. Praga em cultura de arroz alagado.","VIC008453","VIC008453","54161","auto","Vieira, M.F.","1983","06","27",NA,NA,NA,NA,NA
"18","2020-03-10 08:29:22-03","UFV","VIC","24455","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Inga","vera","Inga vera affinis","(DC.) T.D. Penn.","Tameirão Neto, E.","2356","1997","01","29",NA,"Brasil","Minas Gerais","Aimorés","UHE Aimorés, Floresta Ciliar.","-41.0638999938965","-19.4958000183105",NA,NA,NA,"Arbóreo.","VIC024455","VIC024455","54161","auto","Garcia, F.C.P.","2000","03","14",NA,NA,"affinis",NA,NA
"19","2019-11-21 14:40:03-03","UFJF","CESJ","18229","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Eucalyptus",NA,"Eucalyptus",NA,"M.G.Pinto","18229","1981","05","30","América do Sul","Brasil","Minas Gerais","Aimorés",NA,"-41.0638999938965","-19.4958000183105",NA,NA,NA,"árvore robusta, soltando lâminas","CESJ018229",NA,"54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-21 14:40:03-03","UFJF","CESJ","18230","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Eucalyptus",NA,"Eucalyptus",NA,"M.G.Pinto","18230","1981","05","30","América do Sul","Brasil","Minas Gerais","Aimorés",NA,"-41.0638999938965","-19.4958000183105",NA,NA,NA,"árvore robusta, soltando lâminas, frutos secos e verdes","CESJ018230",NA,"54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-08-20 10:22:03-03","UNICAMP","UEC","186204","S","Plantae","Magnoliopsida",NA,"Ochnaceae","Ouratea","castaneaefolia","Ouratea castaneaefolia","(A.St.-Hil.) Engl.","Luz, AA","366","2006","11","30",NA,"Brazil","Minas Gerais","Aimorés","Aimorés-AIMORÉS- MG- Brasil. Fazenda do Manoel, sogro do Irvo. Estrada Fazenda Alto.","-41.0638999938965","-19.4958000183105",NA,NA,NA,"Árborea terrestre, forma do fuste cilíndrica, altura total 9m, altura do fuste 3m, cap fuste 30cm, diâmetro da copa 3m, botão verde, fruto maduro preto, fruto imaturo verde, exsuda seiva incolor, descamação ausente.; Capoeira.","UEC110459","UEC110459","54161","auto","Yamamoto, K",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-08-20 10:12:32-03","UNICAMP","UEC","204646","S","Plantae","Magnoliopsida",NA,"Fabaceae","Centrosema",NA,"Centrosema",NA,"Luz, AA","88","2002","11","20",NA,"Brazil","Minas Gerais","Aimorés","Aimorés-MG-Brasil.Estrada-Aimorés à C. do Capim. Km:7","-41.0638999938965","-19.4958000183105",NA,NA,NA,"Cor do Botão:Verde&nf;Cor da Flor:Roxa&nf;Cor da Exsudação:Incolor&nf;Cor do Fruto Maduro:Marrom&nf;Cor do Fruto Imaturo:Verde&nf;Forma de Vida:Rastejante&nf;Porte:Herbáceo&nf;Exsudação:Seiva; Restinga","UEC161374","UEC161374","54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-08-20 10:02:51-03","UNICAMP","UEC","116874","S","Plantae","Magnoliopsida",NA,"Apocynaceae",NA,NA,NA,NA,"Luz, AA","152","2004","01","28",NA,"Brazil","Minas Gerais","Aimorés","Ecossitema: Pasto.","-41.0638999938965","-19.4958000183105",NA,NA,NA,"Forma do Fuste: Cilíndrico; Superfície da Casca: Áspera; Cor do Botão: verde; Cor da Flor: Branca; Cor da Exsudação: icolor; Forma de Vida: terrestre; Porte: Arbóreo; Altura total: 6; Altura do Fuste: 1,5; CAP do Fuste: 50; Diâmetro","UEC189598","UEC189598","54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-08-20 10:16:50-03","UNICAMP","UEC","198438","S","Plantae","Magnoliopsida",NA,"Lecythidaceae","Cariniana","ianeirensis","Cariniana ianeirensis","R.Knuth","Luz, AA","72","2002","10","02",NA,"Brazil","Minas Gerais","Aimorés","Estrada C. do Capim da Tabaúna.","-41.0638999938965","-19.4958000183105",NA,NA,NA,"Arbóreo, botão verde, terrestre, flor amarela, fruto maduro marrom e imaturo verde, exsudação incolor, descamação ausente, fuste cilíndrico, casca áspera, altura total 10m, fuste 2m, diametro da copa 7m.; Pasto","UEC050622","UEC050622","54161","auto","Mori, S","2005","05","02","7000","7000",NA,NA,NA
"25","2019-08-20 10:03:03-03","UNICAMP","UEC","116877","S","Plantae","Magnoliopsida",NA,"Apocynaceae","Aspidosperma","illustre","Aspidosperma illustre","(Vell.) Kuhlm. & Pirajá","Luz, AA","150","2004","02","26",NA,"Brazil","Minas Gerais","Aimorés","Estrada. Fundo da mata, km 0,5, Ecossistema: Capoeirão.","-41.0638999938965","-19.4958000183105",NA,NA,NA,"Forma do Fuste: Celíndrico; Superfície da casca: áspera; Cor da Flor: branca; Cor da Esudação: incolor; Forma de Vida: terrestre; Porte: arbóreo; Altura Total: 15; Altura do Fuste: 10; CAP do Fuste: 65; Diâmetro da Copa: 2,5; Exsudaçã","UEC105337","UEC105337","54161","auto","Marcondes-Ferreira, W","2015","04",NA,NA,NA,NA,NA,NA
"26","2019-08-20 10:14:34-03","UNICAMP","UEC","191555","S","Plantae","Magnoliopsida",NA,"Fabaceae","Peltogyne","mattosiana","Peltogyne mattosiana","Rizzini","Luz, AA","497","2008","01","21",NA,"Brazil","Minas Gerais","Aimorés","Instituto Terra. Estrada da Divisa.","-41.0638999938965","-19.4958000183105",NA,NA,NA,"Arbóreo. Terrestre. Botão verde, flor branca. Seiva incolor. Fuste cilíndrico. 10 m de alt. Altura do fuste 2,5m, CAP do fuste 50cm, Diâmetro da copa 5m.; Capoeirão","UEC143779","UEC143779","54161","auto","Kochanovski, FJ","2017","06",NA,NA,NA,NA,NA,NA
"27","2019-08-20 10:14:34-03","UNICAMP","UEC","191556","S","Plantae","Magnoliopsida",NA,"Fabaceae","Peltogyne","mattosiana","Peltogyne mattosiana","Rizzini","Luz, AA","266","2005","01","03",NA,"Brazil","Minas Gerais","Aimorés","Instituto Terra. Estrada da Divisa.","-41.0638999938965","-19.4958000183105",NA,NA,NA,"Arbóreo. Terrestre. Botão verde, flor branca. Seiva incolor. Fuste cilíndrico. 10 m de alt.; Capoeirão","UEC143778","UEC143778","54161","auto","Kochanovski, FJ","2017","06",NA,NA,NA,NA,NA,NA
"28","2019-08-20 10:08:21-03","UNICAMP","UEC","194292","S","Plantae","Magnoliopsida",NA,"Bombacaceae","Pseudobombax",NA,"Pseudobombax",NA,"Luz, AA","216","2004","08","17",NA,"Brazil","Minas Gerais","Aimorés","Instituto terra, viveiro.","-41.0638999938965","-19.4958000183105",NA,NA,NA,"Nativo, fuste cilíndrico, casca áspera, botão verde, flor branca, seiva incolor. Terrestre, arbóreo, altura total 4, fuste 0,5, CAP do fuste 30, diâmetro da copa 3. Descamação ausente.","UEC131540","UEC131540","54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-08-20 10:09:10-03","UNICAMP","UEC","166563","S","Plantae","Magnoliopsida",NA,"Calophyllaceae","Kielmeyera","rufotomentosa","Kielmeyera rufotomentosa","Saddi","Luz, AA","289","2005","05","18",NA,"Brazil","Minas Gerais","Aimorés","Km: 1,5&nf;Estrada: Pedra Lorena à Resplendor.&nf;Localização: &nf;Ecossistema:","-41.0638999938965","-19.4958000183105",NA,NA,NA,"Forma de vida: terrestre.&nf;Porte: arbóreo.&nf;Altura total: 5.&nf;Forma do fuste: cilíndrico.&nf;Altura do fuste: 1.&nf;Superficie da casca: áspera.&nf;CAP do fuste: 30.&nf;Cor do botão: &nf;Diâmetro da copa: 3.&nf;Cor da flor: &nf;Cor da exsudação: inc","UEC036176","UEC036176","54161","auto","Trad, RJ","2018","03",NA,NA,NA,NA,NA,NA
"30","2019-11-19 14:05:32-03","UFRPE","PEUFR","39611","PreservedSpecimen","Plantae",NA,NA,"Capparaceae","Mesocapparis","lineata","Mesocapparis lineata","(Dombey ex Pers.) Cornejo & Iltis","M. F. de Vasconcelos",NA,"1997","10","21",NA,"Brasil","Minas Gerais","Aimorés","Fazenda do Sr. Hulbert Schumacher","-41.0638999938965","-19.4958000183105",NA,NA,NA,"Trepadeira.","PEUFR039611",NA,"54161","auto","R. L. Soares Neto","2015","07",NA,NA,NA,NA,NA,NA
"31","2020-02-20 13:48:07-03","UFPB","JPB","25011","PreservedSpecimen","Plantae","Angiosperma","Dicotyledon","Solanaceae",NA,NA,NA,NA,"Vasconcelos, F","JPB25011","1900","01","01","Southern America","Brasil","Minas Gerais","Aimorés",NA,"-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,NA,NA,"54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-12-06 19:29:39-03","UFES","VIES","23422","S","Plantae",NA,NA,"Fabaceae","Anadenanthera","peregrina","Anadenanthera peregrina peregrina",NA,"Fontana, A. P.; Kollmann, L.; Fraga, C. N.; Lima, H. C.; Lemes, M.; Gribel, R.","7514","2013","04","12",NA,"Brasil","Minas Gerais","Aimorés","Conceição do capim, sítio Rio Capim, estrada da Babilônia.","-41.229444","-19.57","41º13'46''W","19º34'12''S",NA,NA,"VIES023422","VIES023422",NA,NA,"Silva, L.A.","2017","01","23","173","173","peregrina",NA,NA
"33","2019-09-27 18:06:27-03","UFES","VIES","32546","S","Plantae",NA,NA,"Sapotaceae","Manilkara","salzmannii","Manilkara salzmannii","(A.DC.) H.J.Lam","Luz, A.A. da","208","2004","07","20",NA,"Brasil","Minas Gerais","Aimorés",NA,"-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,"VIES032546","VIES032546","54161","auto","Folli, D.A.","2004","07","20",NA,NA,NA,NA,NA
"34","2019-06-27 10:26:51-03","UFES","VIES","32527","S","Plantae",NA,NA,"Sapotaceae","Pouteria",NA,"Pouteria",NA,"Luz, A.A. da","496","2008","01","21",NA,"Brasil","Minas Gerais","Aimorés",NA,"-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,"VIES032527","VIES032527","54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-06-27 10:26:51-03","UFES","VIES","32552","S","Plantae",NA,NA,"Sapotaceae","Pouteria",NA,"Pouteria",NA,"Luz, A.A. da","362","2006","11","15",NA,"Brasil","Minas Gerais","Aimorés",NA,"-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,"VIES032552","VIES032552","54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-09-27 18:04:56-03","UFES","VIES","32090","S","Plantae",NA,NA,"Fabaceae","Samanea","inopinata","Samanea inopinata","(Harms) Barneby & J.W.Grimes","Luz, A.A. da","24","2001","09","14",NA,"Brasil","Minas Gerais","Aimorés",NA,"-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,"VIES032090","VIES032090","54161","auto","Souza, É.R. de","2003","09","30",NA,NA,NA,NA,NA
"37","2019-09-27 18:06:29-03","UFES","VIES","32528","S","Plantae",NA,NA,"Sapotaceae","Pouteria","gardneri","Pouteria gardneri","(Mart. & Miq.) Baehni","Luz, A.A. da","190","2004","05","17",NA,"Brasil","Minas Gerais","Aimorés",NA,"-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,"VIES032528","VIES032528","54161","auto","Pennington, T.D.","2010","12","01",NA,NA,NA,NA,NA
"38","2019-06-27 10:27:00-03","UFES","VIES","40490","S","Plantae",NA,NA,"Urticaceae","Cecropia","pachystachya","Cecropia pachystachya","Trécul","Silva, M.F.O.; Lima, H.C. & Griebel, R.","855","2014","10","19",NA,"Brasil","Minas Gerais","Aimorés",NA,"-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,"VIES040490","VIES040490","54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-06-27 10:25:03-03","UFES","VIES","27977","S","Plantae",NA,NA,"Fabaceae","Enterolobium",NA,"Enterolobium",NA,"Luz, A.A. da","142","2004","01","21",NA,"Brasil","Minas Gerais","Aimorés","Estrada Aimorés - Tabaúna.","-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,"VIES027977","VIES027977","54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-09-27 18:04:43-03","UFES","VIES","27980","S","Plantae",NA,NA,"Fabaceae","Chloroleucon","extortum","Chloroleucon extortum","Barneby & J.W.Grimes","Luz, A.A. da","50","2002","03","21",NA,"Brasil","Minas Gerais","Aimorés","Estrada Baixo Guandú - Alto Lage.","-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,"VIES027980","VIES027980","54161","auto","Lima, H.C. de; Ribeiro, R.D.","2007","03","29",NA,NA,NA,NA,NA
"41","2019-09-27 18:04:46-03","UFES","VIES","27978","S","Plantae",NA,NA,"Fabaceae","Enterolobium","monjollo","Enterolobium monjollo","(Vell.) Mart.","Luz, A.A. da","23","2001","09","11",NA,"Brasil","Minas Gerais","Aimorés","Estrada Tabaúna.","-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,"VIES027978","VIES027978","54161","auto","Ribeiro, R.D.","2010","04","08",NA,NA,NA,NA,NA
"42","2019-06-27 10:26:51-03","UFES","VIES","32537","S","Plantae",NA,NA,"Sapotaceae","Pouteria",NA,"Pouteria",NA,"Folli, D.A.","3793","2001","01","02",NA,"Brasil","Minas Gerais","Aimorés","Instituto Terra.","-41.0638999938965","-19.4958000183105",NA,NA,NA,NA,"VIES032537","VIES032537","54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-12-04 12:52:31-03","UTFPR","HCF","29974","S","Plantae",NA,NA,"Convolvulaceae","Bonamia","agrostopolis","Bonamia agrostopolis","(Vell.) Hallier f.","A. Pujals",NA,"2019","01","25",NA,"Brasil","MG","Aimorés",NA,"-41.075556","-19.459444","41°04'32 W","19°27'34 S",NA,"liana. Flores brancas. Mata nativa.",NA,NA,NA,NA,"F. Marinero","2019","05","27","166","166",NA,NA,NA
"44","2019-11-28 12:59:36-03","UTFPR","HCF","29878","S","Plantae",NA,NA,"Cactaceae","Pereskia","grandifolia","Pereskia grandifolia","Haworth","A. Pujals",NA,"2019","01","25",NA,"Brasil","MG","Aimorés",NA,"-41.075556","-19.459444","41°04'32 W","19°27'34 S",NA,"liana. Mata nativa.",NA,NA,NA,NA,"A. Pujals","2019","03","28","166","166",NA,NA,NA
"45","2019-12-17 12:58:02-03","UTFPR","HCF","29899","S","Plantae",NA,NA,"Fabaceae","Rhynchosia","minima","Rhynchosia minima","(L.) DC.","F. Marinero","1192","2019","02","16",NA,"Brasil","MG","Aimorés",NA,"-41.109167","-19.440556","41°06'33 W","19°26'26 S",NA,"trepadeira volúvel. Flores amarelas. Várzea.",NA,NA,NA,NA,"F. Marinero","2019","04","04","140","140",NA,NA,NA
"46","2019-11-28 12:59:35-03","UTFPR","HCF","29875","S","Plantae",NA,NA,"Acanthaceae","Ruellia","subsessilis","Ruellia subsessilis","(Nees) Lindau","F.F.F. Mazziero","4208","2019","01","27",NA,"Brasil","MG","Aimorés",NA,"-41.075556","-19.459444","41°04'32 W","19°27'34 S",NA,"subarbusto decumbente, ca. 0,6 m. Flores lilases. Vegetação secundária média/avançada.",NA,NA,NA,NA,"F.F.F. Mazziero","2019","02","01","159","159",NA,NA,NA
"47","2019-12-04 12:52:31-03","UTFPR","HCF","29978","S","Plantae",NA,NA,"Trigoniaceae","Trigonia","nivea","Trigonia nivea","Cambess.","A. Pujals",NA,"2019","01","26",NA,"Brasil","MG","Aimorés",NA,"-41.073333","-19.475556","41°04'24 W","19°28'32 S",NA,"liana. Mata nativa.",NA,NA,NA,NA,"F. Marinero","2019","05","08","204","204",NA,NA,NA
"48","2019-12-05 18:44:19-03","UTFPR","HCF","30023","S","Plantae",NA,NA,"Poaceae","Urochloa","mutica","Urochloa mutica","(Forssk.) T.Q.Nguyen","F. Marinero","1293","2019","02","17",NA,"Brasil","MG","Aimorés",NA,"-41.007778","-19.475","41°00'28 W","19°28'30 S",NA,"herbácea 60 cm. Espiguetas esverdeadas. Várzea.",NA,NA,NA,NA,"F. Marinero","2019","03","28","92","92",NA,NA,NA
"49","2013-04-01 09:16:31-03","IPT","BCTW","19498","S","Plantae","Magnoliophyta",NA,NA,"Crataeva","tapia","Crataeva tapia","Linnaeus","Lorenzi, H.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Aimorés",NA,"-41.0639","-19.4958",NA,NA,NA,NA,NA,NA,"54161","auto",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA
"50","2019-12-06 14:40:12-03","MBM","MBM","421367","S","Plantae",NA,NA,"Convolvulaceae","Ipomoea",NA,"Ipomoea",NA,"Campos-Rocha, A.; Comin, M.; Comin, M.","2392","2019","03","07","Southern America","Brazil","Minas Gerais","Aimorés",NA,"-41.093611","-19.4275","-41.093611","-19.4275",NA,NA,"MBM421367",NA,NA,NA,NA,NA,NA,NA,"113","113",NA,NA,NA
"51","2019-12-06 14:45:06-03","MBM","MBM","420743","S","Plantae",NA,NA,"Euphorbiaceae","Jatropha","gossypiifolia","Jatropha gossypiifolia","L.","Felitto, G.; Cafofo, E.; Cafofo, E.","s.n.","2019","02","01","Southern America","Brazil","Minas Gerais","Aimorés","Santo Antônio do Rio Doce","-41.051317","-19.487808","-41.051317","-19.487808",NA,NA,"MBM420743",NA,NA,NA,"Marinero, F.","2019","04","23","61","61",NA,NA,NA
"52","2019-12-06 14:41:44-03","MBM","MBM","421369","S","Plantae",NA,NA,"Cyperaceae","Lagenocarpus",NA,"Lagenocarpus",NA,"Campos-Rocha, A.; Comin, M.; Comin, M.","2393","2019","03","07","Southern America","Brazil","Minas Gerais","Aimorés",NA,"-41.093611","-19.4275","-41.093611","-19.4275",NA,NA,"MBM421369",NA,NA,NA,NA,NA,NA,NA,"111","111",NA,NA,NA
