"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","recordedBy","recordNumber","year","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","month","day","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","monthIdentified","dayIdentified","individualCount","infraspecificEpithet","class","relatedCatalogItem"
"233","2019-12-19 09:39:22-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Sapindaceae","Cupania","ludowigii","Cupania ludowigii","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7696","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.528889","-17.881389","-42.528889","-17.881389",NA,NA,NA,NA,"Somner & Ferrucci","05","04",NA,"836","836",NA,"05",NA,NA,NA,NA,NA
"234","2019-12-19 09:39:22-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Sapindaceae","Cupania","ludowigii","Cupania ludowigii","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7696","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.528889","-17.881389","-42.528889","-17.881389",NA,NA,NA,NA,"Somner & Ferrucci","05","04",NA,"836","836",NA,"05",NA,NA,NA,NA,NA
"235","2019-12-19 09:39:22-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Sapindaceae","Cupania","ludowigii","Cupania ludowigii","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7696","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.528889","-17.881389","-42.528889","-17.881389",NA,NA,NA,NA,"Somner & Ferrucci","05","04",NA,"836","836",NA,"05",NA,NA,NA,NA,NA
"236","2019-12-19 09:39:22-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Sapindaceae","Cupania","ludowigii","Cupania ludowigii","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7696","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.528889","-17.881389","-42.528889","-17.881389",NA,NA,NA,NA,"Somner & Ferrucci","05","04",NA,"836","836",NA,"05",NA,NA,NA,NA,NA
"237","2019-12-19 09:39:01-03","UFVJM","HDJF","6648","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Euphorbiaceae","Dalechampia",NA,"Dalechampia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7709","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.5325","-17.881111","-42.5325","-17.881111",NA,NA,"HDJF006648",NA,NA,"05","04",NA,"805","805",NA,NA,NA,NA,NA,NA,NA
"238","2019-12-19 09:39:01-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Euphorbiaceae","Dalechampia",NA,"Dalechampia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7709","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.5325","-17.881111","-42.5325","-17.881111",NA,NA,NA,NA,NA,"05","04",NA,"805","805",NA,NA,NA,NA,NA,NA,NA
"239","2019-12-19 09:39:01-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Euphorbiaceae","Dalechampia",NA,"Dalechampia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7709","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.5325","-17.881111","-42.5325","-17.881111",NA,NA,NA,NA,NA,"05","04",NA,"805","805",NA,NA,NA,NA,NA,NA,NA
"240","2019-12-19 09:38:52-03","UFVJM","HDJF","6972","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Dasyphyllum",NA,"Dasyphyllum",NA,NA,"Faria, JEQ; Otoni, TJO","8039","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,"HDJF006972",NA,"Kunth","07","15",NA,"850","850",NA,NA,NA,NA,NA,NA,NA
"241","2019-12-19 09:38:52-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Dasyphyllum",NA,"Dasyphyllum",NA,NA,"Faria, JEQ; Otoni, TJO","8039","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,"Kunth","07","15",NA,"850","850",NA,NA,NA,NA,NA,NA,NA
"242","2019-12-19 09:38:52-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Dasyphyllum",NA,"Dasyphyllum",NA,NA,"Faria, JEQ; Otoni, TJO","8039","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,"Kunth","07","15",NA,"850","850",NA,NA,NA,NA,NA,NA,NA
"243","2019-12-19 09:38:52-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Dasyphyllum",NA,"Dasyphyllum",NA,NA,"Faria, JEQ; Otoni, TJO","8039","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,"Kunth","07","15",NA,"850","850",NA,NA,NA,NA,NA,NA,NA
"244","2019-12-19 09:38:58-03","UFVJM","HDJF","6640","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Dilleniaceae","Davilla",NA,"Davilla",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7701","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.528333","-17.880833","-42.528333","-17.880833",NA,NA,"HDJF006640",NA,NA,"05","04",NA,"830","830",NA,NA,NA,NA,NA,NA,NA
"245","2019-12-19 09:38:57-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Dilleniaceae","Davilla",NA,"Davilla",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7701","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.528333","-17.880833","-42.528333","-17.880833",NA,NA,NA,NA,NA,"05","04",NA,"830","830",NA,NA,NA,NA,NA,NA,NA
"246","2019-12-19 09:38:58-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Dilleniaceae","Davilla",NA,"Davilla",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7701","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.528333","-17.880833","-42.528333","-17.880833",NA,NA,NA,NA,NA,"05","04",NA,"830","830",NA,NA,NA,NA,NA,NA,NA
"247","2019-12-19 09:38:58-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Dilleniaceae","Davilla",NA,"Davilla",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7701","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.528333","-17.880833","-42.528333","-17.880833",NA,NA,NA,NA,NA,"05","04",NA,"830","830",NA,NA,NA,NA,NA,NA,NA
"248","2019-12-19 09:39:13-03","UFVJM","HDJF","6624","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7685","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.531389","-17.880278","-42.531389","-17.880278",NA,NA,"HDJF006624",NA,"O. Berg","05","04",NA,"832","832",NA,"05",NA,NA,NA,NA,NA
"249","2019-12-19 09:39:13-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7685","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.531389","-17.880278","-42.531389","-17.880278",NA,NA,NA,NA,"O. Berg","05","04",NA,"832","832",NA,"05",NA,NA,NA,NA,NA
"250","2019-12-19 09:39:13-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7685","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.531389","-17.880278","-42.531389","-17.880278",NA,NA,NA,NA,"O. Berg","05","04",NA,"832","832",NA,"05",NA,NA,NA,NA,NA
"251","2019-12-19 09:39:13-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Eugenia","francavilleana","Eugenia francavilleana","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7685","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.531389","-17.880278","-42.531389","-17.880278",NA,NA,NA,NA,"O. Berg","05","04",NA,"832","832",NA,"05",NA,NA,NA,NA,NA
"252","2019-12-19 09:38:57-03","UFVJM","HDJF","6953","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Bignoniaceae","Fridericia","craterophora","Fridericia craterophora","Faria, JEQ","2017","Faria, JEQ; Otoni, TJO","8020","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,"HDJF006953",NA,"(DC.) L.G. Lohmann","07","15",NA,"850","850",NA,"07",NA,NA,NA,NA,NA
"253","2019-12-19 09:39:17-03","UFVJM","HDJF","6964","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Olacaceae","Heisteria",NA,"Heisteria",NA,NA,"Faria, JEQ; Otoni, TJO","8031","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,"HDJF006964",NA,NA,"07","15",NA,"850","850",NA,NA,NA,NA,NA,NA,NA
"254","2019-12-19 09:39:17-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Olacaceae","Heisteria",NA,"Heisteria",NA,NA,"Faria, JEQ; Otoni, TJO","8031","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,NA,"07","15",NA,"850","850",NA,NA,NA,NA,NA,NA,NA
"255","2019-12-19 09:39:17-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Olacaceae","Heisteria",NA,"Heisteria",NA,NA,"Faria, JEQ; Otoni, TJO","8031","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,NA,"07","15",NA,"850","850",NA,NA,NA,NA,NA,NA,NA
"256","2019-12-19 09:38:48-03","UFVJM","HDJF","6617","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Acanthaceae","Justicia",NA,"Justicia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7678","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.532778","-17.879167","-42.532778","-17.879167",NA,NA,"HDJF006617",NA,NA,"05","04",NA,"841","841",NA,NA,NA,NA,NA,NA,NA
"257","2019-12-19 09:38:48-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Acanthaceae","Justicia",NA,"Justicia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7678","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.532778","-17.879167","-42.532778","-17.879167",NA,NA,NA,NA,NA,"05","04",NA,"841","841",NA,NA,NA,NA,NA,NA,NA
"258","2019-12-19 09:38:48-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Acanthaceae","Justicia",NA,"Justicia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7678","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.532778","-17.879167","-42.532778","-17.879167",NA,NA,NA,NA,NA,"05","04",NA,"841","841",NA,NA,NA,NA,NA,NA,NA
"259","2019-12-19 09:38:48-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Acanthaceae","Justicia",NA,"Justicia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7678","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.532778","-17.879167","-42.532778","-17.879167",NA,NA,NA,NA,NA,"05","04",NA,"841","841",NA,NA,NA,NA,NA,NA,NA
"260","2019-12-19 09:38:48-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Acanthaceae","Justicia",NA,"Justicia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7678","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.532778","-17.879167","-42.532778","-17.879167",NA,NA,NA,NA,NA,"05","04",NA,"841","841",NA,NA,NA,NA,NA,NA,NA
"261","2019-12-19 09:38:52-03","UFVJM","HDJF","6955","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lepidaploa","eriolepis","Lepidaploa eriolepis","Rivera, VL; Marques, D","2017","Faria, JEQ; Otoni, TJO","8022","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,"HDJF006955",NA,"(Gardner) H. Rob.","07","15",NA,"850","850",NA,"07",NA,NA,NA,NA,NA
"262","2019-12-19 09:38:52-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lepidaploa","eriolepis","Lepidaploa eriolepis","Rivera, VL; Marques, D","2017","Faria, JEQ; Otoni, TJO","8022","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,"(Gardner) H. Rob.","07","15",NA,"850","850",NA,"07",NA,NA,NA,NA,NA
"263","2019-12-19 09:38:52-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lepidaploa","eriolepis","Lepidaploa eriolepis","Rivera, VL; Marques, D","2017","Faria, JEQ; Otoni, TJO","8022","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,"(Gardner) H. Rob.","07","15",NA,"850","850",NA,"07",NA,NA,NA,NA,NA
"264","2019-12-19 09:38:52-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lepidaploa","eriolepis","Lepidaploa eriolepis","Rivera, VL; Marques, D","2017","Faria, JEQ; Otoni, TJO","8022","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,"(Gardner) H. Rob.","07","15",NA,"850","850",NA,"07",NA,NA,NA,NA,NA
"265","2019-12-19 09:38:52-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Lepidaploa","eriolepis","Lepidaploa eriolepis","Rivera, VL; Marques, D","2017","Faria, JEQ; Otoni, TJO","8022","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,"(Gardner) H. Rob.","07","15",NA,"850","850",NA,"07",NA,NA,NA,NA,NA
"266","2019-12-19 09:38:57-03","UFVJM","HDJF","6652","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Bignoniaceae","Manaosella","cordifolia","Manaosella cordifolia","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7713","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.533611","-17.881111","-42.533611","-17.881111",NA,NA,"HDJF006652",NA,"(DC.) A.H.Gentry","05","04",NA,"815","815",NA,"05",NA,NA,NA,NA,NA
"267","2019-12-19 09:38:57-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Bignoniaceae","Manaosella","cordifolia","Manaosella cordifolia","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7713","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.533611","-17.881111","-42.533611","-17.881111",NA,NA,NA,NA,"(DC.) A.H.Gentry","05","04",NA,"815","815",NA,"05",NA,NA,NA,NA,NA
"268","2019-12-19 09:38:57-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Bignoniaceae","Manaosella","cordifolia","Manaosella cordifolia","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7713","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.533611","-17.881111","-42.533611","-17.881111",NA,NA,NA,NA,"(DC.) A.H.Gentry","05","04",NA,"815","815",NA,"05",NA,NA,NA,NA,NA
"269","2019-12-19 09:38:57-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Bignoniaceae","Manaosella","cordifolia","Manaosella cordifolia","Faria, JEQ","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7713","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.533611","-17.881111","-42.533611","-17.881111",NA,NA,NA,NA,"(DC.) A.H.Gentry","05","04",NA,"815","815",NA,"05",NA,NA,NA,NA,NA
"270","2019-12-19 09:38:57-03","UFVJM","HDJF","6639","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Cucurbitaceae","Melothrianthus","smilacifolius","Melothrianthus smilacifolius","Gomes-Klein, VL","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7700","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.528333","-17.880833","-42.528333","-17.880833",NA,NA,"HDJF006639",NA,"(Cogn.) Mart. Crov.","05","04",NA,"830","830",NA,"05",NA,NA,NA,NA,NA
"271","2019-12-19 09:38:57-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Cucurbitaceae","Melothrianthus","smilacifolius","Melothrianthus smilacifolius","Gomes-Klein, VL","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7700","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.528333","-17.880833","-42.528333","-17.880833",NA,NA,NA,NA,"(Cogn.) Mart. Crov.","05","04",NA,"830","830",NA,"05",NA,NA,NA,NA,NA
"272","2019-12-19 09:38:57-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Cucurbitaceae","Melothrianthus","smilacifolius","Melothrianthus smilacifolius","Gomes-Klein, VL","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7700","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.528333","-17.880833","-42.528333","-17.880833",NA,NA,NA,NA,"(Cogn.) Mart. Crov.","05","04",NA,"830","830",NA,"05",NA,NA,NA,NA,NA
"273","2019-12-19 09:38:57-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Cucurbitaceae","Melothrianthus","smilacifolius","Melothrianthus smilacifolius","Gomes-Klein, VL","2017","Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7700","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.528333","-17.880833","-42.528333","-17.880833",NA,NA,NA,NA,"(Cogn.) Mart. Crov.","05","04",NA,"830","830",NA,"05",NA,NA,NA,NA,NA
"274","2019-12-19 09:38:56-03","UFVJM","HDJF","6961","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Moquiniastrum",NA,"Moquiniastrum",NA,NA,"Faria, JEQ; Otoni, TJO","8028","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,"HDJF006961",NA,NA,"07","15",NA,"850","850",NA,NA,NA,NA,NA,NA,NA
"275","2019-12-19 09:38:56-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Moquiniastrum",NA,"Moquiniastrum",NA,NA,"Faria, JEQ; Otoni, TJO","8028","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,NA,"07","15",NA,"850","850",NA,NA,NA,NA,NA,NA,NA
"276","2019-12-19 09:38:56-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Asteraceae","Moquiniastrum",NA,"Moquiniastrum",NA,NA,"Faria, JEQ; Otoni, TJO","8028","2017","Southern America","Brasil","Minas Gerais","Capelinha","Região da Cachoeira, na margem da estrada entre Capelinha e Aricanduva, próximo a última","-42.555556","-17.810556","-42.555556","-17.810556",NA,NA,NA,NA,NA,"07","15",NA,"850","850",NA,NA,NA,NA,NA,NA,NA
"277","2019-12-19 09:39:14-03","UFVJM","HDJF","6623","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7684","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.531389","-17.880278","-42.531389","-17.880278",NA,NA,"HDJF006623",NA,"DC.","05","04",NA,"832","832",NA,NA,NA,NA,NA,NA,NA
"278","2019-12-19 09:39:14-03","UFVJM","HDJF","6628","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7689","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.531389","-17.880278","-42.531389","-17.880278",NA,NA,"HDJF006628",NA,"DC.","05","04",NA,"832","832",NA,NA,NA,NA,NA,NA,NA
"279","2019-12-19 09:39:14-03","UFVJM","HDJF","6629","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7690","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.530556","-17.881389","-42.530556","-17.881389",NA,NA,"HDJF006629",NA,"DC.","05","04",NA,"828","828",NA,NA,NA,NA,NA,NA,NA
"280","2019-12-19 09:39:14-03","UFVJM","HDJF","6632","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7693","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.530556","-17.881389","-42.530556","-17.881389",NA,NA,"HDJF006632",NA,"DC.","05","04",NA,"828","828",NA,NA,NA,NA,NA,NA,NA
"281","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7684","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.531389","-17.880278","-42.531389","-17.880278",NA,NA,NA,NA,"DC.","05","04",NA,"832","832",NA,NA,NA,NA,NA,NA,NA
"282","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7684","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.531389","-17.880278","-42.531389","-17.880278",NA,NA,NA,NA,"DC.","05","04",NA,"832","832",NA,NA,NA,NA,NA,NA,NA
"283","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7684","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.531389","-17.880278","-42.531389","-17.880278",NA,NA,NA,NA,"DC.","05","04",NA,"832","832",NA,NA,NA,NA,NA,NA,NA
"284","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7689","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.531389","-17.880278","-42.531389","-17.880278",NA,NA,NA,NA,"DC.","05","04",NA,"832","832",NA,NA,NA,NA,NA,NA,NA
"285","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Myrcia",NA,"Myrcia",NA,NA,"Faria, JEQ; Gomes, RR; Santos, DMZ; Sousa, DN","7689","2017","Southern America","Brasil","Minas Gerais","Capelinha","RPPN Fartura da Cemig","-42.531389","-17.880278","-42.531389","-17.880278",NA,NA,NA,NA,"DC.","05","04",NA,"832","832",NA,NA,NA,NA,NA,NA,NA
