"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus","class","monthIdentified","dayIdentified","previousCatalogNumber","infraspecificEpithet","individualCount"
"1","2019-12-16 18:14:12-03","NYBG","NYBG","499617","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","multiflora","Pavonia multiflora","A.St.-Hil.","P. A. Fryxell","1994","J. A. Kallunki","588","1994","02","20","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Faz. Lagoa Nova, reached by 2 km of dirt rd. turning left at 23 km from bridge at W edge of Linhares on rd. to Bananal","-40.2","-19.28","-40.20","-19.28","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=736600 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00499617","NY00499617",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:14:12-03","NYBG","NYBG","52511","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","multiflora","Pavonia multiflora","A.St.-Hil.",NA,NA,"J. A. Kallunki","691","1995","04","19","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Fazenda Lagoa Nova, reached by dirt road turning left (± S) at 24 km from bridge at W edge of Linhares on road to Bananal.","-40.2","-19.28","-40.20","-19.28","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=736603 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00052511","NY00052511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 17:53:46-03","NYBG","NYBG","880175","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Phyllostemonodaphne","geminiflora","Phyllostemonodaphne geminiflora",NA,NA,NA,"S. de V. A. Pessôa","959","1998","12","12","South America","Brazil","Espírito Santo","Rio Bananal","Estrada para o PN Boaina, mata na propriedade do Sr. Venuti, acima da casa. Na cachoeira da Água Branca.","-40.3333","-19.265","-40.3333","-19.265","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536853 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00880175","NY00880175","900","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 19:02:44-03","NYBG","NYBG","55397","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","caavurana","Solanum caavurana","Vell.","M. H. Nee","1996","J. A. Kallunki","706","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Santa Angelica, gated dirt road to right at 9 km from church in Bananal on paved road from Bananal to Novo Brasil.","-40.3333015441895","-19.2649993896484",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239776 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00055397","NY00055397",NA,NA,"22148","auto",NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 19:06:44-03","NYBG","NYBG","1801859","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","scuticum","Solanum scuticum","M.Nee","M. H. Nee","2013","L. L. Giacomin","1872","2012","06","10","South America","Brazil","Espírito Santo","Rio Bananal","Comunidade de Alto Bananal. Prop. do Sr. Jonas Grassi.","-40.4192","-19.2503","-40.4192","-19.2503","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2040512 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01801859","NY01801859","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 17:51:53-03","NYBG","NYBG","413647","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Hernandiaceae","Sparattanthelium","tupiniquinorum","Sparattanthelium tupiniquinorum","Mart.","J. A. Kallunki","1997","J. A. Kallunki","584","1994","02","20","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Faz. Lagoa Nova, reached by 2 km of dirt rd. turning left at 23 km from bridge at W edge of Linhares on rd. to Bananal","-40.2","-19.28","-40.20","-19.28","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=353556 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00413647","NY00413647",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:52:33-03","NYBG","NYBG","1280134","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","J. D. Mitchell; D. C. Daly","2009","V. Demuner","3783","2007","04","25","South America","Brazil","Espírito Santo","Rio Bananal","Propr. Jonas Graci","-40.4164","-19.2489","-40.4164","-19.2489","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1592564 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01280134","NY01280134","300","600",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 17:34:18-03","NYBG","NYBG","12293","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Forsteronia","rufa","Forsteronia rufa","Müll.Arg.","B. F. Hansen","1995","J. A. Kallunki","705","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Santa Angelica, gated dirt road to right at 9 km from church in Bananal on paved road from Bananal to Novo Brasil.","-40.3333015441895","-19.2649993896484",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=258152 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00012293","NY00012293",NA,NA,"22148","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 17:54:19-03","NYBG","NYBG","55407","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Siparuna","reginae","Siparuna reginae","(Tul.) A.DC.","S. S. Renner","1996","J. A. Kallunki","703","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Santa Angelica, gated dirt road to right at 9 km from church in Bananal on paved road from Bananal to Novo Brasil.","-40.3333015441895","-19.2649993896484",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=148221 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00055407","NY00055407",NA,NA,"22148","auto",NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 16:57:27-03","NYBG","NYBG","55403","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Polygonaceae","Ruprechtia","latifunda","Ruprechtia latifunda","Pendry",NA,NA,"J. A. Kallunki","700","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Santa Angelica, gated dirt road to right at 9 km from church in Bananal on paved road from Bananal to Novo Brasil.","-40.3333015441895","-19.2649993896484",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=509406 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00055403","NY00055403 NY00055403_01",NA,NA,"22148","auto","holotype",NA,NA,NA,NA,NA,NA
"11","2019-12-16 19:02:44-03","NYBG","NYBG","55398","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","bullatum","Solanum bullatum","Vell.","M. H. Nee","1996","J. A. Kallunki","702","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Santa Angelica, gated dirt road to right at 9 km from church in Bananal on paved road from Bananal to Novo Brasil.","-40.3333015441895","-19.2649993896484",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=504418 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00055398","NY00055398",NA,NA,"22148","auto",NA,NA,NA,NA,NA,NA,NA
"12","2019-12-16 19:03:51-03","NYBG","NYBG","00697101","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","evonymoides","Solanum evonymoides","Sendtn.","S. D. Knapp","2004","J. A. Kallunki","706A","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Santa Angelica, gated dirt road to right at 9 km from church in Bananal on paved road from Bananal to Novo Brasil.","-40.3333015441895","-19.2649993896484",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119547 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00697101","NY00697101",NA,NA,"22148","auto",NA,NA,NA,NA,NA,NA,NA
"13","2019-12-16 18:04:55-03","NYBG","NYBG","170014","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Tragia","volubilis","Tragia volubilis","L.","L. J. Gillespie","1997","J. A. Kallunki","704","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Santa Angelica, gated dirt road to right at 9 km from church in Bananal on paved road from Bananal to Novo Brasil.","-40.3333015441895","-19.2649993896484",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=283790 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00170014","NY00170014",NA,NA,"22148","auto",NA,NA,NA,NA,NA,NA,NA
"14","2019-12-16 18:34:36-03","NYBG","NYBG","12294","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ramiflora","Picramnia ramiflora","G.Planch.","W. W. Thomas","1997","J. A. Kallunki","709","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Sao Jorge, 18 km from church in Bananal on paved road from Bananal to Novo Brazil, behind house.","-40.3333015441895","-19.2649993896484",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745727 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00012294","NY00012294",NA,NA,"22148","auto",NA,NA,NA,NA,NA,NA,NA
"15","2019-12-16 18:49:45-03","NYBG","NYBG","55396","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Sorocea","hilarii","Sorocea hilarii","Gaudich.","J. A. Kallunki","1995","J. A. Kallunki","708","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Sao Jorge, 18 km from church in Bananal on paved road from Bananal to Novo Brazil, behind house.","-40.3333015441895","-19.2649993896484",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=675598 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00055396","NY00055396",NA,NA,"22148","auto",NA,NA,NA,NA,NA,NA,NA
"16","2019-12-16 18:34:36-03","NYBG","NYBG","12295","PreservedSpecimen","Plantae","Magnoliophyta","Picramniales","Picramniaceae","Picramnia","ramiflora","Picramnia ramiflora","G.Planch.","W. W. Thomas","1997","J. A. Kallunki","709","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Sao Jorge, 18 km from church in Bananal on paved road from Bananal to Novo Brazil, behind house.","-40.3333015441895","-19.2649993896484",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=745728 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00012295","NY00012295",NA,NA,"22148","auto",NA,NA,NA,NA,NA,NA,NA
"17","2019-12-16 17:55:46-03","NYBG","NYBG","227611","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Hornschuchia","bryotrophe","Hornschuchia bryotrophe","Nees","D. M. Johnson","1997","J. A. Kallunki","707","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Sao Jorge, 18 km from church in Bananal on paved road from Bananal to Novo Brazil, behind house.","-40.3333015441895","-19.2649993896484",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121130 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00227611","NY00227611",NA,NA,"22148","auto",NA,NA,NA,NA,NA,NA,NA
"18","2019-12-16 16:56:36-03","NYBG","NYBG","55412","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Nyctaginaceae","Andradaea","floribunda","Andradaea floribunda","Allemão","J. A. Kallunki","1996","J. A. Kallunki","701","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Santa Angelica, gated dirt road to right at 9 km from church in Bananal on paved road from Bananal to Novo Brasil.","-40.3333015441895","-19.2649993896484",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=408422 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00055412","NY00055412",NA,NA,"22148","auto",NA,NA,NA,NA,NA,NA,NA
"19","2019-12-16 18:10:51-03","NYBG","NYBG","374736","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","aculeata","Casearia aculeata","Jacq.","J. A. Kallunki","1994","J. A. Kallunki","592","1994","02","20","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Faz. Lagoa Nova, reached by 23 km from bridge a W edge of Linhares on rd. to Bananal","-40.2","-19.28","-40.20","-19.28","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=138975 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00374736","NY00374736",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-16 18:10:51-03","NYBG","NYBG","687524","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","acuminata","Casearia acuminata","DC.","R. L. Liesner","2004","J. A. Kallunki","586","1994","02","20","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Fazenda Lagoa Nova, reached by 2 km of dirt road turning left at 23 km from bridge at W edge of LInhares on rd to Bananal.","-40.2","-19.28","-40.20","-19.28","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=877344 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00687524","NY00687524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-12-16 18:11:08-03","NYBG","NYBG","687523","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","melliodora","Casearia melliodora","Eichler","R. L. Liesner","2004","J. A. Kallunki","591","1994","02","20","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Fazenda Lagoa Nova, reached by 2 km of dirt road turning left at 23 km from bridge at W edge of LInhares on rd to Bananal.","-40.2","-19.28","-40.20","-19.28","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=877341 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00687523","NY00687523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-12-16 18:56:17-03","NYBG","NYBG","245882","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Conchocarpus","bellus","Conchocarpus bellus","Kallunki",NA,NA,"J. A. Kallunki","711","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Sao Jorge, 18 km from church in Bananal on paved road from Bananal to Novo Brazil, behind house","-40.3333015441895","-19.2649993896484",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41163 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00245882","NY00245882",NA,NA,"22148","auto","isotype",NA,NA,NA,NA,NA,NA
"23","2019-12-16 18:56:17-03","NYBG","NYBG","245883","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Conchocarpus","bellus","Conchocarpus bellus","Kallunki",NA,NA,"J. A. Kallunki","711","1995","04","21","South America","Brazil","Espírito Santo","Rio Bananal","Fazenda Sao Jorge, 18 km from church in Bananal on paved road from Bananal to Novo Brazil, behind house","-40.3333015441895","-19.2649993896484",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41164 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00245883","NY00245883",NA,NA,"22148","auto","isotype",NA,NA,NA,NA,NA,NA
"24","2019-12-16 18:56:17-03","NYBG","NYBG","1092947","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Conchocarpus","cauliflorus","Conchocarpus cauliflorus","Pirani","J. A. Kallunki","1996","J. A. Kallunki","590","1994","02","20","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Faz. Lagoa Nova, reached by 2 km of dirt rd. turning left at 23 km from bridge at W edge of Linhares on rd. to Bananal.","-40.2","-19.28","-40.20","-19.28","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3006338 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01092947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-12-16 18:56:17-03","NYBG","NYBG","245880","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Conchocarpus","cauliflorus","Conchocarpus cauliflorus","Pirani",NA,NA,"J. A. Kallunki","690","1995","04","19","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Fazenda Lagoa Nova, reached by dirt road turning left (+/- S) at 24 km from bridge at W edge of Linhares on road to Bananal","-40.2","-19.28","-40.20","-19.28","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=374071 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00245880","NY00245880",NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA
"26","2019-12-16 18:56:17-03","NYBG","NYBG","331016","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Conchocarpus","cauliflorus","Conchocarpus cauliflorus","Pirani","J. A. Kallunki","1996","J. A. Kallunki","590","1994","02","20","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Faz. Lagoa Nova, reached by 2 km of dirt rd. turning left at 23 km from bridge at W edge of Linhares on rd. to Bananal.","-40.2","-19.28","-40.20","-19.28","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=374070 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00331016","NY00331016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-12-16 18:02:37-03","NYBG","NYBG","1039345","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","floribundus","Croton floribundus","Spreng.",NA,NA,"S. de V. A. Pessôa","956","1998","12","12","South America","Brazil","Espírito Santo","Rio Bananal","Estrada para o PN Boaina, mata na propriedade do Sr. Venuti, acima da casa. Na cachoeira da Água Branca.","-40.3333","-19.265","-40.3333","-19.265","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485580 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039345","NY01039345","900","1050",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-12-16 18:02:55-03","NYBG","NYBG","01405061","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Dalechampia","ficifolia","Dalechampia ficifolia","Lam.","W. S. Armbruster","1999","J. A. Kallunki","584a","1994","02","20","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Faz. Lagoa Nova, reached by 2 km of dirt rd. turning left at 23 km from bridge at W edge of Linhares on rd. to Bananal","-40.2","-19.28","-40.20","-19.28","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2863165 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01405061","NY01405061",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-12-16 18:01:28-03","NYBG","NYBG","376676","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","mikanii","Erythroxylum mikanii","Peyr.","J. A. Kallunki","1997","J. A. Kallunki","593","1994","02","20","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Faz. Lagoa Nova, reached by 2 km of dirt rd. turning legt at 23 km from bridge at W edge of Linhares on fd. to Bananal","-40.2","-19.28","-40.20","-19.28","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=632536 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00376676","NY00376676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-12-16 18:55:25-03","NYBG","NYBG","1580645","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","blanchetii","Guarea blanchetii","C.DC.","T. D. Pennington","2008","J. A. Kallunki","585","1994","02","20","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Faz. Lagoa Nova, reached by 2 km of dirt rd. turning left at 23 km from bridge at W edge of Linhares on rd. to Bananal","-40.2","-19.28","-40.20","-19.28","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1765367 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01580645","NY01580645",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-12-16 17:55:46-03","NYBG","NYBG","395780","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Hornschuchia","bryotrophe","Hornschuchia bryotrophe","Nees","D. M. Johnson","1994","J. A. Kallunki","589","1994","02","20","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Faz. Lagoa Nova, reached by 2 km of dirt rd. turning left at 23 km from bridge at W edge of Linhares on rd. to Bananal","-40.2","-19.28","-40.20","-19.28","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=121126 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00395780","NY00395780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-01-06 12:45:22-03","NYBG","NYBG","04199197","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Hydrogaster","trinervis","Hydrogaster trinervis","Kuhlm.","P. Fiaschi","2004","J. A. Kallunki","587","1994","02","20","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Faz. Lagoa Nova, reached by 2 km of dirt rd. turning left at 23 km from bridge at W edge of Linhares on rd. to Bananal","-40.2","-19.28","-40.20","-19.28","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4508961 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY04199197",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-12-16 18:15:05-03","NYBG","NYBG","410940","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Wissadula","amplissima","Wissadula amplissima","(L.) R.E.Fr.","P. A. Fryxell","1994","J. A. Kallunki","594","1994","02","20","South America","Brazil","Espírito Santo","Rio Bananal","Forest behind Faz. Lagoa Nova, reached by 2 km of dirt rd. turning left at 23 km from bridge at W edge of Linhares on rd. to Bananal","-40.2","-19.28","-40.20","-19.28","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=683404 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00410940","NY00410940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2015-02-10 11:46:16-02","BM","SOLANACEAE_SOURCE_BR","9780","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","evonymoides","Solanum evonymoides","Sendtn.","Knapp, S.","2005","Kallunki, J.A.; Pirani, J.R.; Fernandes, J.B.","706A","1995","04","21","Southern America","Brazil","Espírito Santo","Rio Bananal","Fazenda Santa Angelica, gated dirt road to right at 9 km from church in Bananal on paved road from Bananal to Novo Brasil","-40.383333","-19.163889","-40.383333","-19.163889",NA,"treelet 1.7 m tall; corolla white, anthers golden-yellow; flowers sweet-scented; very distrubed forest surrounded by pasture","BM000849029",NA,NA,NA,NA,NA,NA,"Dicotyledoneae","06",NA,NA,NA,NA
"35","2015-02-10 11:46:47-02","BM","SOLANACEAE_SOURCE_BR","98131","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","scuticum","Solanum scuticum","M.Nee","Giacomin, L.L.","2013","Giacomin, L.L.; Bohs, L.; Gouvêa, Y.F.","1872","2012","06","10","Southern America","Brazil","Espírito Santo","Rio Bananal","Alto Bananal, prop. do Sr. Jonas Grassi","-40.419167","-19.250278","-40.419167","-19.250278",NA,"arbusto 1.5 m; corola alva, anteras amarelas; frutos verdes; margem de corrego, degradada, entre fragmento de floresta ombrófila densa e plantação de café",NA,NA,"250","250",NA,NA,NA,"Dicotyledoneae","01","01","158619",NA,NA
"36","2015-02-10 11:46:47-02","BM","SOLANACEAE_SOURCE_BR","98131","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","scuticum","Solanum scuticum","M.Nee","Giacomin, L.L.","2013","Giacomin, L.L.; Bohs, L.; Gouvêa, Y.F.","1872","2012","06","10","Southern America","Brazil","Espírito Santo","Rio Bananal","Alto Bananal, prop. do Sr. Jonas Grassi","-40.419167","-19.250278","-40.419167","-19.250278",NA,"arbusto 1.5 m; corola alva, anteras amarelas; frutos verdes; margem de corrego, degradada, entre fragmento de floresta ombrófila densa e plantação de café","BM001035024",NA,"250","250",NA,NA,NA,"Dicotyledoneae","01","01",NA,NA,NA
"37","2019-02-22 15:06:45-03","ESALQ","ESA","136931","S","Plantae",NA,NA,"Meliaceae","Trichilia","casaretti","Trichilia casaretti","D.DC.","Flores, T.B.","1905","Vervloet, R.R.","3092","2007","08","01",NA,"Brasil","Espírito Santo","Rio Bananal",NA,"-40.3333015441895","-19.2649993896484",NA,NA,NA,NA,"ESA136931",NA,NA,NA,"22148","auto",NA,NA,"07","06",NA,NA,NA
"38","2019-02-22 15:06:44-03","ESALQ","ESA","135490","S","Plantae",NA,NA,"Meliaceae","Guarea","guidonia","Guarea guidonia","(L.) Sleumer","D.A. Folli","2012","D.A. Folli","6868","2012","06","14",NA,"Brasil","Espírito Santo","Rio Bananal",NA,"-40.3333015441895","-19.2649993896484",NA,NA,NA,NA,"ESA135490",NA,NA,NA,"22148","auto",NA,NA,NA,NA,NA,NA,NA
"39","2019-02-22 15:06:44-03","ESALQ","ESA","136971","S","Plantae",NA,NA,"Meliaceae","Guarea",NA,"Guarea",NA,NA,NA,"J. Kallunki","s/n","1994","02","20",NA,"Brasil","Espírito Santo","Rio Bananal",NA,"-40.3333015441895","-19.2649993896484",NA,NA,NA,NA,"ESA136971",NA,NA,NA,"22148","auto",NA,NA,NA,NA,NA,NA,NA
"40","2020-02-13 14:12:09-03","MN","R","215988","S","Plantae",NA,NA,"Moraceae","Ficus","trigona","Ficus trigona","L. f.","Machado, A.F.P.",NA,"Vervloet, R.R.; Demuner, V. & Bausen, E.","3095","2007","08","01",NA,"Brasil","Espirito Santo","Rio Bananal",NA,"-40.416389","-19.248889","40°24'59W","19°14'56S",NA,NA,NA,NA,"300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-02-13 14:07:08-03","MN","R","222170","S","Plantae",NA,NA,"Apocynaceae","Peschiera",NA,"Peschiera",NA,"Ferreira, V.F.","1982","Freire, C.V.","62","1924","10",NA,NA,"Brasil","Espírito Santo","Rio Bananal",NA,"-40.3333015441895","-19.2649993896484",NA,NA,NA,NA,"R010015377",NA,NA,NA,"22148","auto",NA,NA,"01","05",NA,NA,NA
"42","2020-02-13 14:12:54-03","MN","R","24931","S","Plantae",NA,NA,"Orchidaceae","Trizeuxis","falcata","Trizeuxis falcata","Lindl.","Brade, A.C.",NA,"Freire, C.V.","27","1924","10",NA,NA,"Brasil","Espírito Santo","Rio Bananal",NA,"-40.3333015441895","-19.2649993896484",NA,NA,NA,NA,NA,NA,NA,NA,"22148","auto",NA,NA,NA,NA,NA,NA,NA
