"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem"
"29","2020-01-28 13:10:55-03","MCN-PUC-MINAS","HPUC-MG","ANG5153","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,"JLPR","(129) 20",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Folhas alternas, simples. Planta alimentícia",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-01-28 13:10:55-03","MCN-PUC-MINAS","HPUC-MG","ANG5130","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,"JLPR","(121) 12",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Folhas simples, textura membranosa, ervura peninérvea. Planta latescente",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-01-28 13:10:55-03","MCN-PUC-MINAS","HPUC-MG","ANG5117","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,"JLPR","112",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Folhas simples, pilosas em ambos os lados. Caule piloso. Uso medicinal: depurativo do sangue",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-01-28 13:11:12-03","MCN-PUC-MINAS","HPUC-MG","ANG5122","S","Plantae",NA,NA,"Fabaceae","Abarema",NA,NA,"Abarema",NA,"Swerts","(65)042",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.085972","-19.450972","43°05'09.5 W","19°27'3.5 S",NA,"Folhas alternas, compostas, pilosas na superfície abaxial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-01-28 13:11:19-03","MCN-PUC-MINAS","HPUC-MG","ANG5109","S","Plantae",NA,NA,"Lamiaceae","Aegiphila","cf. integrifolia",NA,"Aegiphila cf. integrifolia",NA,"JLPR","(123) 14",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Folhas pilosas em ambos lados.Cheiro suave. Usada como lenha",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-01-28 13:11:30-03","MCN-PUC-MINAS","HPUC-MG","ANG5125","S","Plantae",NA,NA,"Rubiaceae","Amaioua",NA,NA,"Amaioua",NA,"Ludivanelem A.S","40",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Barro Preto - Fazenda das Pretas","-43.08475","-19.459972","43°05'05.1 W","19°27'35.9 S",NA,"Folhas simples, textura coriacea",NA,NA,NA,NA,"804","804",NA,NA,NA,NA,NA,NA
"35","2020-01-28 13:11:12-03","MCN-PUC-MINAS","HPUC-MG","ANG5115","S","Plantae",NA,NA,"Fabaceae","Anadenanthera","cf. colubrina",NA,"Anadenanthera cf. colubrina",NA,"Swerts","68",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Barro preto - comunidade Quilombola","-43.083694","-19.45725","43°05'01.3 W","19°27'26.1 S",NA,NA,NA,NA,NA,NA,"717","717",NA,NA,NA,NA,NA,NA
"36","2020-01-28 13:11:12-03","MCN-PUC-MINAS","HPUC-MG","ANG5116","S","Plantae",NA,NA,"Fabaceae","Anadenanthera","cf. colubrina",NA,"Anadenanthera cf. colubrina",NA,"JLPR","115",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira","Comunidade Indaiá","-43.1124992370605","-19.4493999481201",NA,NA,NA,"Folhas alternas, compostas. Frutos separados, coletados na beira do córrego",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-01-28 13:11:42-03","MCN-PUC-MINAS","HPUC-MG","PTF281","S","Plantae","Pteridophyta",NA,"Anemiaceae","Anemia","hirsuta",NA,"Anemia hirsuta",NA,"Ludivanelem A.S","41",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira",NA,"-43.086056","-19.453611","43° 05' 9.8'' W","19° 27' 13'' S",NA,"Folhas compostas com esporófilo",NA,NA,NA,NA,"674","674",NA,NA,NA,NA,NA,NA
"38","2020-01-28 13:11:12-03","MCN-PUC-MINAS","HPUC-MG","ANG5141","S","Plantae",NA,NA,"Fabaceae","Apuleia","cf. leiocarpa",NA,"Apuleia cf. leiocarpa",NA,"JLPR","114",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Maria de Itabira",NA,"-43.1124992370605","-19.4493999481201",NA,NA,NA,"Folhas alternas. Madeira usada para construção de engenho e mesa",NA,NA,"22502","auto",NA,NA,NA,NA,NA,NA,NA,NA
