"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","locality","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","dayIdentified","class","typeStatus","relatedCatalogItem","individualCount"
"1","2019-12-16 18:08:03-03","NYBG","NYBG","00916333","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Peixotoa","tomentosa","Peixotoa tomentosa","A.Juss.","C. E. Anderson","1982","A. Castellanos","25616","1964","12","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.6917","-20.5208","-43.6917","-20.5208","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987171 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00916333","NY00916333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:27:12-03","NYBG","NYBG","02642231","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Periandra","mediterranea","Periandra mediterranea","(Vell.) Taub.","M. J. Falcão","2019","D. P. Saraiva","162","2011","05","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.653889","-20.503611","-43.653889","-20.503611","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2964362 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02642231","NY02642231","Serra de Ouro Branco. Campo rupestre com afloramentos de quartizito e grandes campos graminosos. Capão de mata.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:40:28-03","NYBG","NYBG","00923730","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","ciliolata","Rhynchospora ciliolata","Boeckeler","A. C. Araújo","2000","A. Castellanos","25612","1964","12","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.6917","-20.5208","-43.6917","-20.5208","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006242 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00923730","NY00923730",NA,"08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:41:18-03","NYBG","NYBG","02880225","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","setigera","Rhynchospora setigera","(Kunth) Boeckeler","W. W. Thomas","2017","D. P. Saraiva","192","2011","05","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.6972222","-20.4883333","-43.6972222","-20.4883333","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3198815 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02880225","NY02880225","Serra de Ouro Branco. Campo rupestre com afloramentos de quartizito e grandes campos graminosos. Capão de mata.",NA,"1384","1384",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 16:41:42-03","NYBG","NYBG","02697540","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera",NA,"Schefflera",NA,NA,NA,"D. P. Saraiva","183","2011","05","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.708889","-20.498611","-43.708889","-20.498611","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978211 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02697540","NY02697540","Serra de Ouro Branco. Campo rupestre com afloramentos de quartizito e grandes campos graminosos. Capão de mata.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 16:41:59-03","NYBG","NYBG","1145222","PreservedSpecimen","Plantae","Magnoliophyta","Apiales","Araliaceae","Schefflera","macrocarpa","Schefflera macrocarpa","(Cham. & Schltdl.) Frodin","P. Fiaschi","2007","R. de Mello-Silva","1395","1997","05","28","South America","Brazil","Minas Gerais","Ouro Branco","-43.6567","-20.5031","-43.6567","-20.5031","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1307184 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01145222","NY01145222","Serra do Ouro Branco",NA,"1400","1400",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-01-27 14:54:46-03","NYBG","NYBG","910539","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Sisyrinchium","vaginatum","Sisyrinchium vaginatum","Spreng.","C. D. Inácio",NA,"R. de Mello-Silva","1403","1997","05","28","South America","Brazil","Minas Gerais","Ouro Branco","-43.6917","-20.5208","-43.6917","-20.5208","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985242 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00910539",NA,"Serra de Ouro Branco. Alto da serra, afloramentos rochosos além das torres de TV.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:33:42-03","NYBG","NYBG","00998015","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Elaeocarpaceae","Sloanea",NA,"Sloanea","L.",NA,NA,"A. M. Giulietti","CFCR13759","1994","01","16","South America","Brazil","Minas Gerais","Ouro Branco","-43.62","-20.48","-43.62","-20.48","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194055 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00998015",NA,"Serra de Ouro Branco. Estrada em direção a Ouro Preto.",NA,"1","1.225",NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 16:50:43-03","NYBG","NYBG","02482486","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Isostigma","simplicifolium","Isostigma simplicifolium","Less.",NA,NA,"L. Riedel","2978","1835","02",NA,"South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2714528 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02482486","NY02482486",NA,NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA
"10","2020-01-27 16:30:58-03","NYBG","NYBG","4218402","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","frigidula","Tibouchina frigidula","(DC.) Cogn.",NA,NA,"F. Almeda","7733","1998","05","26","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"Sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451149 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY04218402",NA,"Brasil Serra de Ouro Branco, subida para o Cruzeiro, próximo ao topo da serra",NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA
"11","2019-12-16 17:57:44-03","NYBG","NYBG","2701538","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Calophyllaceae","Kielmeyera","pumila","Kielmeyera pumila pumila","Pohl",NA,NA,"P. C. Porto","1213","1922","02","26","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2982586 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02701538","NY02701538","Nos campos da base e do alto.",NA,NA,NA,"13809","auto","pumila",NA,NA,NA,NA,NA
"12","2019-12-16 18:26:34-03","NYBG","NYBG","02098851","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Ossaea","congestiflora","Ossaea congestiflora","(Naudin) Cogn.","M. Reginato","2012","M. Reginato","1154","2011","02","02","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085050 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02098851","NY02098851","Serra de Ouro Branco",NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA
"13","2019-12-16 16:55:48-03","NYBG","NYBG","02474407","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Pfaffia",NA,"Pfaffia",NA,NA,NA,"H. C. de Souza","s.n.","1988","07","29","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2691885 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02474407","NY02474407","Serra de Ouro Branco.",NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA
"14","2019-12-16 17:35:09-03","NYBG","NYBG","971866","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Minaria","decussata","Minaria decussata","(Mart.) T.U.P.Konno & Rapini","S. Liede; U. Meve","2005","A. M. Giulietti","CFCR13744","1994","01","16","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1094875 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00971866","NY00971866","Serra de Ouro Branco. Estrada em direção a Ouro Preto.","04","1225","1225","13809","auto",NA,"20",NA,NA,NA,NA
"15","2019-12-16 16:46:09-03","NYBG","NYBG","910584","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Iridaceae","Trimezia","juncifolia","Trimezia juncifolia","(Klatt) Benth. & Hook.f.","J. Lovo","2013","A. M. Giulietti","CFCR13737","1994","01","16","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985634 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00910584","NY00910584","Serra de Ouro Branco. Estrada em direção a Ouro Preto.",NA,"1225","1225","13809","auto",NA,NA,NA,NA,NA,NA
"16","2020-01-27 16:30:58-03","NYBG","NYBG","4218376","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Trembleya","parviflora","Trembleya parviflora","(D.Don) Cogn.",NA,NA,"F. Almeda","7734","1998","05","26","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"Sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451150 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY04218376",NA,"Serra de Ouro Branco, subida para o Cruzeiro, próximo ao topo da serra",NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA
"17","2020-01-27 16:30:57-03","NYBG","NYBG","4218389","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","melastomoides","Leandra melastomoides","Raddi",NA,NA,"F. Almeda","7735","1998","05","26","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"Sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451151 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY04218389",NA,"Serra de Ouro Branco, subida para o Cruzeiro, próximo ao topo da serra.",NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA
"18","2020-01-06 12:45:23-03","NYBG","NYBG","3910031","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","cardinalis","Tibouchina cardinalis","(Bonpl.) Cogn.",NA,NA,"R. Romero","5268","1998","05","26","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"Sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451069 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY03910031",NA,"Serra de Ouro Branco, topo da serra, ca. 3km da base",NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA
"19","2020-01-06 12:45:23-03","NYBG","NYBG","4218301","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia","avicularis","Microlicia avicularis","Mart. ex Naudin",NA,NA,"F. Almeda","7727","1998","05","26","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"Sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451144 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY04218301",NA,"Serra de Ouro Branco, topo da serra, ca. 3km da base",NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA
"20","2020-01-27 16:30:58-03","NYBG","NYBG","4218378","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pterolepis","repanda","Pterolepis repanda","(DC.) Triana",NA,NA,"F. Almeda","7731","1998","05","26","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"Sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451147 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY04218378",NA,"Serra de Ouro Braqnco, subida para o Cruzeiro, próximo ao topo da serra",NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA
"21","2019-12-16 16:55:32-03","NYBG","NYBG","02461021","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena",NA,"Gomphrena",NA,NA,NA,"M. M. N. Braga","s.n.","1988","07","29","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2691826 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02461021","NY02461021","Serra do Ouro Branco.",NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA
"22","2019-12-16 18:31:25-03","NYBG","NYBG","2422945","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,NA,"D. F. Lima","367","2013","10","23","South America","Brazil","Minas Gerais","Ouro Branco","-44.6464","-20.5039","-44.6464","-20.5039","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2675125 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02422945","NY02422945","Serra de Ouro Branco",NA,"1318","1318",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-12-16 17:37:25-03","NYBG","NYBG","02173067","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae",NA,NA,NA,NA,NA,NA,"D. P. Saraiva","160","2011","05","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.653889","-20.503611","-43.653889","-20.503611","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2847225 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02173067","NY02173067","Serra de Ouro Branco. Campo rupestre com afloramentos de quartizito e grandes campos graminosos. Capão de mata.",NA,"1363","1363",NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-12-16 17:37:25-03","NYBG","NYBG","02880235","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae",NA,NA,NA,NA,NA,NA,"D. P. Saraiva","184","2011","05","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.7088889","-20.4986111","-43.7088889","-20.4986111","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3199088 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02880235","NY02880235","Serra de Ouro Branco. Campo rupestre com afloramentos de quartizito e grandes campos graminosos. Capão de mata.",NA,"1408","1408",NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-12-16 17:00:49-03","NYBG","NYBG","2480291","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae",NA,NA,NA,NA,NA,NA,NA,"17277","1989","09","13","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2701311 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02480291","NY02480291","Serra do Ouro Branco.",NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA
"26","2019-12-16 16:55:16-03","NYBG","NYBG","02578888","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae",NA,NA,NA,NA,NA,NA,"D. P. Saraiva","176","2011","05","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.708889","-20.498611","-43.708889","-20.498611","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2846383 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02578888","NY02578888","Serra de Ouro Branco. Campo rupestre com afloramentos de quartizito e grandes campos graminosos. Capão de mata.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-12-16 16:48:03-03","NYBG","NYBG","02578891","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae",NA,NA,NA,NA,NA,NA,"D. P. Saraiva","170","2011","05","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.708889","-20.498611","-43.708889","-20.498611","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2846388 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02578891","NY02578891","Serra de Ouro Branco. Campo rupestre com afloramentos de quartizito e grandes campos graminosos. Capão de mata.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-12-16 16:48:03-03","NYBG","NYBG","02880220","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae",NA,NA,NA,NA,NA,NA,"D. P. Saraiva","179","2011","05","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.7088889","-20.4986111","-43.7088889","-20.4986111","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3198810 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02880220","NY02880220","Serra de Ouro Branco. Campo rupestre com afloramentos de quartizito e grandes campos graminosos. Capão de mata.",NA,"1408","1408",NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-12-16 16:48:03-03","NYBG","NYBG","02880246","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae",NA,NA,NA,NA,NA,NA,"D. P. Saraiva","189","2011","05","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.6972222","-20.4883333","-43.6972222","-20.4883333","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3199869 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02880246","NY02880246","Serra de Ouro Branco. Campo rupestre com afloramentos de quartizito e grandes campos graminosos. Capão de mata.",NA,"1384","1384",NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-12-16 18:16:29-03","NYBG","NYBG","01874433","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae",NA,NA,NA,NA,"M. Reginato","2013","M. Reginato","1423","2013","02","06","South America","Brazil","Minas Gerais","Ouro Branco","-43.697392","-20.494964","-43.697392","-20.494964","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085234 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01874433","NY01874433","Serra de Ouro Branco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-12-16 17:00:50-03","NYBG","NYBG","00943116","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Agarista","pulchra","Agarista pulchra","(Cham. & Schltdl.) G.Don","W. S. Judd","2001","M. M. N. Braga","344","1990","10","19","South America","Brazil","Minas Gerais","Ouro Branco","-43.6917","-20.5208","-43.6917","-20.5208","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064230 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00943116","NY00943116","Serra de Ouro Branco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-12-16 17:00:50-03","NYBG","NYBG","00943117","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Agarista","pulchra","Agarista pulchra","(Cham. & Schltdl.) G.Don","W. S. Judd","2001","M. Horta","350","1988","07","29","South America","Brazil","Minas Gerais","Ouro Branco","-43.6917","-20.5208","-43.6917","-20.5208","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064234 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00943117","NY00943117","Serra de Ouro Branco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-12-16 17:00:50-03","NYBG","NYBG","00943119","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ericaceae","Agarista","pulchra","Agarista pulchra","(Cham. & Schltdl.) G.Don","W. S. Judd","2001","C. Braccini","s.n.",NA,NA,NA,"South America","Brazil","Minas Gerais","Ouro Branco","-43.6917","-20.5208","-43.6917","-20.5208","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064239 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00943119","NY00943119","Serra de Ouro Branco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-12-16 19:17:05-03","NYBG","NYBG","1738488","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Anemiaceae","Anemia",NA,"Anemia",NA,NA,NA,"R. Goldenberg","1499","2011","02","02","South America","Brazil","Minas Gerais","Ouro Branco","-43.64622","-20.50414","-43.64622","-20.50414","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568097 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01738488","NY01738488","Serra do Ouro Branco",NA,"1317","1317",NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-12-16 19:17:05-03","NYBG","NYBG","1738489","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Anemiaceae","Anemia",NA,"Anemia",NA,NA,NA,"R. Goldenberg","1501","2011","02","02","South America","Brazil","Minas Gerais","Ouro Branco","-43.64622","-20.50414","-43.64622","-20.50414","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568125 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01738489","NY01738489","Serra do Ouro Branco",NA,"1317","1317",NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-12-16 19:17:05-03","NYBG","NYBG","1018041","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Anemiaceae","Anemia",NA,"Anemia",NA,NA,NA,"P. H. Labiak E.","5031","2009","01","09","South America","Brazil","Minas Gerais","Ouro Branco","-43.5603","-20.4775","-43.5603","-20.4775","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1246722 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01018041","NY01018041","Serra de Ouro Branco",NA,"1100","1100",NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-12-16 19:17:23-03","NYBG","NYBG","2578125","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Anemiaceae","Anemia","villosa","Anemia villosa","Humb. & Bonpl. ex Willd.",NA,NA,"P. H. Labiak E.","5449","2013","02","07","South America","Brazil","Minas Gerais","Ouro Branco","-43.687","-20.443","-43.687","-20.443","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2843538 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02578125","NY02578125","Parque Estadual de Ouro Branco, caminho para Vila Gabriel",NA,"1200","1200",NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-12-16 19:17:23-03","NYBG","NYBG","921693","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Anemiaceae","Anemia","villosa","Anemia villosa","Humb. & Bonpl. ex Willd.","R. de F. N. Camargo","1984","R. de F. N. Camargo","243","1984","06","22","South America","Brazil","Minas Gerais","Ouro Branco","-43.6917","-20.5208","-43.6917","-20.5208","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1001215 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00921693","NY00921693",NA,"06",NA,NA,NA,NA,NA,"28",NA,NA,NA,NA
"39","2019-12-16 18:38:15-03","NYBG","NYBG","00918862","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis",NA,"Bulbostylis",NA,NA,NA,"A. Castellanos","25615","1964","12","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.6917","-20.5208","-43.6917","-20.5208","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=993475 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00918862","NY00918862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-01-27 15:55:38-03","NYBG","NYBG","4218388","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","espora","Cambessedesia espora","DC.",NA,NA,"F. Almeda","7732","1998","05","26","South America","Brazil","Minas Gerais","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,"Sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451148 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY04218388",NA,"Serra de Ouro Branco, subida para o Cruzeiro, próximo ao topo da serra",NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA
"41","2019-12-16 18:17:55-03","NYBG","NYBG","1654150","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Cambessedesia","hilariana","Cambessedesia hilariana","(Kunth) DC.","F. A. Michelangeli","2011","F. A. Michelangeli","1569","2011","02","02","South America","Brazil","Minas Gerais","Ouro Branco","-43.6442","-20.5055","-43.6442","-20.5055","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1568216 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01654150","NY01654150","Serrania de Ouro Branco, road to antennas.","02","1320","1320",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-12-16 18:10:50-03","NYBG","NYBG","02578892","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia",NA,"Casearia",NA,NA,NA,"D. P. Saraiva","161","2011","05","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.653889","-20.503611","-43.653889","-20.503611","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2846390 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02578892","NY02578892","Serra de Ouro Branco.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-12-16 17:16:25-03","NYBG","NYBG","02687539","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista",NA,"Chamaecrista",NA,"A. P. Fortuna-Perez","2017","D. P. Saraiva","174","2011","05","18","South America","Brazil","Minas Gerais","Ouro Branco","-43.708889","-20.498611","-43.708889","-20.498611","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2969125 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02687539","NY02687539","Serra de Ouro Branco. Campo rupestre com afloramentos de quartizito e grandes campos graminosos. Capão de mata.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
