"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","monthIdentified","dayIdentified"
"50","2019-11-07 11:16:27-03","UFMG","BHCB-SL","145318","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Elaphoglossum","iguapense","Elaphoglossum iguapense","Brade","Souza, FS; Salino, A","2011","Souza, FS; Almeida, TE; Salino, A; Minardi, B; Voytena, A","1249","2010","12","03","América","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Região da Cachoeira Bonita. DATUM WGS84.","-42.404694","-20.682611","-42.404694","-20.682611","1849","1849",NA,"Epífita na base da árvore no interior de mata ciliar.",NA,NA,NA,NA,"12",NA
"51","2019-12-19 16:20:42-03","UFMG","BHCB-SL","145321","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Elaphoglossum","squamipes","Elaphoglossum squamipes","(Hook.) T.Moore","Souza, FS","2011","Souza, FS; Almeida, TE; Salino, A; Minardi, B; Voytena, A","1252","2010","12","03","América","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Região da Cachoeira Bonita. DATUM WGS84.","-42.404694","-20.682611","-42.404694","-20.682611","1849","1849",NA,"Rupícola; No Rio.","BHCB048666",NA,NA,NA,"12",NA
"52","2019-11-07 11:17:15-03","UFMG","BHCB-SL","145326","PreservedSpecimen","Plantae",NA,NA,"Hymenophyllaceae",NA,NA,NA,NA,NA,NA,"Souza, FS; Almeida, TE; Salino, A; Minardi, B; Voytena, A","1257","2010","12","03","América","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Região da Cachoeira Bonita. DATUM WGS84.","-42.404694","-20.682611","-42.404694","-20.682611","1849","1849",NA,"Rupícola na cachoeira.",NA,NA,NA,NA,NA,NA
"53","2020-03-04 20:43:25-03","UFMG","BHCB-SL","145300","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Lellingeria","depressa","Lellingeria depressa","(C.Chr.) A.R.Sm. & R.C.Moran","Almeida, TE","2010","Souza, FS; Almeida, TE; Salino, A; Minardi, B; Voytena, A","1231","2010","12","03","América","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Região da Cachoeira Bonita. DATUM WGS84.","-42.404722","-20.6825","-42.404722","-20.6825","1849","1849",NA,"Epífita na base da árvore no interior de mata ciliar.",NA,NA,NA,NA,"12","03"
"54","2019-11-07 11:17:42-03","UFMG","BHCB-SL","151477","PreservedSpecimen","Plantae",NA,NA,"Lindsaeaceae","Lindsaea","ovoidea","Lindsaea ovoidea","Fée","Souza, FS; Salino, A","2011","Souza, FS; Mota, TM; Bünger, MO","1560",NA,NA,NA,"América","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Vale Encantado. Floresta Ombrófila Densa Montana e Mata Ciliar. DATUM WGS84","-41.835417","-20.409306","-41.835417","-20.409306","1929","1929",NA,"Terrestre no interior de mata",NA,NA,NA,NA,"11",NA
"55","2020-03-04 20:43:28-03","UFMG","BHCB-SL","145314","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Melpomene","pilosissima","Melpomene pilosissima","(M.Martens & Galeotti) A.R.Sm. & R.C.Moran","Souza, FS","2011","Souza, FS; Almeida, TE; Salino, A; Minardi, B; Voytena, A","1245","2010","12","03","América","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Região da Cachoeira Bonita. DATUM WGS84.","-42.404722","-20.6825","-42.404722","-20.6825","1849","1849",NA,"Epífita no interior de mata ciliar.",NA,NA,NA,NA,"11",NA
"56","2020-02-11 18:25:50-03","UFMG","BHCB-SL","157865","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Palhinhaea","bradei","Palhinhaea bradei","(G.Heringer) Holub","Salino, A",NA,"Almeida, TE","s.n.","2013","11","18","América","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Cachoeira Bonita.","-41.837222","-20.406667","-41.837222","-20.406667",NA,NA,NA,"Erva rupícola próximo à Cachoeira Bonita.","BHCB187865",NA,NA,NA,NA,NA
"57","2019-11-07 11:15:36-03","UFMG","BHCB-SL","145330","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Parablechnum","glaziovii","Parablechnum glaziovii","(Christ) Gasper & Salino","Almeida, TE","2010","Souza, FS; Almeida, TE; Salino, A; Minardi, B; Voytena, A","1261","2010","12","03","América","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Região da Cachoeira Bonita. DATUM WGS84.","-42.404694","-20.682611","-42.404694","-20.682611","1849","1849",NA,"Rupícola no interior de mata, borda de rio.",NA,NA,NA,NA,"12","03"
"58","2019-11-07 11:17:55-03","UFMG","BHCB-SL","145323","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus",NA,"Phlegmariurus",NA,NA,NA,"Souza, FS; Almeida, TE; Salino, A; Minardi, B; Voytena, A","1254","2010",NA,NA,"América","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Região da Cachoeira Bonita. DATUM WGS84.","-42.404694","-20.682611","-42.404694","-20.682611","1849","1849",NA,"Rupícola no interior de mata.",NA,NA,NA,NA,NA,NA
"59","2020-03-04 20:43:20-03","UFMG","BHCB-SL","145320","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","badinianus","Phlegmariurus badinianus","(B.Øllg. & P.G.Windsch) B.Øllg.","Souza, FS; Salino, A","2011","Souza, FS; Almeida, TE; Salino, A; Minardi, B; Voytena, A","1251","2010",NA,NA,"América","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Região da Cachoeira Bonita. DATUM WGS84.","-42.404694","-20.682611","-42.404694","-20.682611","1849","1849",NA,"Rupícola no interior de mata.",NA,NA,NA,NA,"12",NA
"60","2020-02-11 18:25:53-03","UFMG","BHCB-SL","145306","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B.Øllg.","Souza, FS; Salino, A","2011","Souza, FS; Almeida, TE; Salino, A; Minardi, B; Voytena, A","1237","2010",NA,NA,"América","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Região da Cachoeira Bonita. DATUM WGS84.","-42.404694","-20.682611","-42.404694","-20.682611","1849","1849",NA,"Rupícola no interior de mata ciliar.",NA,NA,NA,NA,"12","06"
"61","2020-02-11 18:25:53-03","UFMG","BHCB-SL","145308","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","biformis","Phlegmariurus biformis","(Hook.) B.Øllg.","Souza, FS; Salino, A","2011","Souza, FS; Almeida, TE; Salino, A; Minardi, B; Voytena, A","1239","2010",NA,NA,"América","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Região da Cachoeira Bonita. DATUM WGS84.","-42.404694","-20.682611","-42.404694","-20.682611","1849","1849",NA,"Rupícola no interior de mata ciliar.",NA,NA,NA,NA,"12",NA
"62","2020-02-11 18:25:56-03","UFMG","BHCB-SL","187866","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","nudus","Phlegmariurus nudus","(Nessel) B.Øllg.","Salino, A",NA,"Almeida, TE","s.n.","2013","11","18","América","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Cachoeira Bonita.","-41.837222","-20.406667","-41.837222","-20.406667",NA,NA,NA,"Erva rupícola próximo à Cachoeira Bonita.",NA,NA,NA,NA,NA,NA
"63","2020-02-11 18:25:59-03","UFMG","BHCB-SL","145316","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","pungentifolius","Phlegmariurus pungentifolius","(Silveira) B.Øllg.","Souza, FS; Salino, A","2011","Souza, FS; Almeida, TE; Salino, A; Minardi, B; Voytena, A","1247","2010",NA,NA,"América","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Região da Cachoeira Bonita. DATUM WGS84.","-42.404694","-20.682611","-42.404694","-20.682611","1849","1849",NA,"Rupícola no interior de mata ciliar.",NA,NA,NA,NA,"12",NA
"64","2020-02-11 18:26:00-03","UFMG","BHCB-SL","145313","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","reflexus","Phlegmariurus reflexus","(Lam.) B.Øllg.","Souza, FS; Salino, A","2011","Souza, FS; Almeida, TE; Salino, A; Minardi, B; Voytena, A","1244","2010",NA,NA,"América","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Região da Cachoeira Bonita. DATUM WGS84.","-42.404694","-20.682611","-42.404694","-20.682611","1849","1849",NA,"Rupícola no rio.",NA,NA,NA,NA,"12",NA
"65","2020-02-11 18:26:01-03","UFMG","BHCB-SL","145299","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.","Salino, A","2010","Souza, FS; Almeida, TE; Salino, A; Minardi, B; Voytena, A","1230","2010",NA,NA,"América","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Região da Cachoeira Bonita. DATUM WGS84.","-42.404694","-20.682611","-42.404694","-20.682611","1849","1849",NA,"Rupícola no interior de mata ciliar.",NA,NA,NA,NA,"12","03"
"66","2019-11-07 11:20:30-03","UFMG","BHCB-SL","145334","PreservedSpecimen","Plantae",NA,NA,"Selaginellaceae","Selaginella",NA,"Selaginella","L.A.Góes",NA,NA,"Souza, FS; Almeida, TE; Salino, A; Minardi, B; Voytena, A","1265","2010",NA,NA,"América","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Região da Cachoeira Bonita. DATUM WGS84.","-42.404694","-20.682611","-42.404694","-20.682611","1849","1849",NA,"Rupícola na cachoeira.",NA,NA,NA,NA,NA,NA
"67","2019-11-07 11:21:43-03","UFMG","BHCB-SL","145302","PreservedSpecimen","Plantae",NA,NA,"Thelypteridaceae","Thelypteris","ptarmica","Thelypteris ptarmica","(Mett.) C.F.Reed","Salino, A","2010","Souza, FS; Almeida, TE; Salino, A; Minardi, B; Voytena, A","1233","2010","12","03","América","Brasil","Minas Gerais","Alto Jequitibá","Parque Nacional do Caparaó, Região da Cachoeira Bonita. DATUM WGS84.","-42.404694","-20.682611","-42.404694","-20.682611","1849","1849",NA,"Rupícola na borda de mata, próximo a rio.",NA,NA,NA,NA,"12","03"
"68","2019-05-06 11:54:18-03","UFU","HUFU","73518","S","Plantae",NA,NA,"Asteraceae","Vernonanthura","discolor","Vernonanthura discolor","(Spreng.) H.Rob.","Nakajima, J.N.","2017","Oliveira, E.V.; et al.","65","2012","07","19",NA,"Brasil","Minas Gerais","Alto Jequitibá","Vargem Alta","-42.0725","-20.392778","-42.0725","-20.392778",NA,NA,NA,"Árvore aproximadamente 13 m. Folhas alternas, inflorescência apical em forma de cacho.","HUFU00071157","HUFU00071157",NA,NA,"04",NA
"69","2019-05-06 11:59:31-03","UFU","HUFU","38343","S","Plantae",NA,NA,"Melastomataceae","Marcetia","taxifolia","Marcetia taxifolia","(A.St.-Hil.) DC.","Romero, R.","2001","Leoni, L.S.","4232","1999","08",NA,NA,"Brasil","Minas Gerais","Alto Jequitibá","Do lado da estrada sobre o barranco","-41.9664001464844","-20.423900604248",NA,NA,NA,NA,NA,"Subarbusto, ereta com 35 - 45 cm de altura, lenhosa.","HUFU00061879","HUFU00061879","13125","auto","06",NA
"70","2019-05-06 11:53:50-03","UFU","HUFU","73493","S","Plantae",NA,NA,"Asteraceae","Ophryosporus","organensis","Ophryosporus organensis","Cabrera","Nakajima, J.N.","2017","Oliveira, E.V.; et al.","64","2012","07","19",NA,"Brasil","Minas Gerais","Alto Jequitibá","Vargem Alta, Coletada depois casa do Engles","-41.9664001464844","-20.423900604248",NA,NA,NA,NA,NA,"Arvoreta aprox. 4m, 02 folhas por pecíolo com inflorescência apica de cor branca.","HUFU00071182","HUFU00071182","13125","auto","06",NA
"71","2020-03-02 13:43:04-03","UFSC","FLOR","39814","PreservedSpecimen","Plantae",NA,"Gentianales","Rubiaceae",NA,NA,NA,NA,NA,NA,"Venda, A.K.L.; Forzza, R.C.; Stehmann, J.R. & Amorim, A.M.","42","2010","12","03",NA,"Brasil","Minas Gerais","Alto Jequitibá","Mata Nebular na Cachoeira Bonita, Parque Nacional do Caparaó.","-41.837778","-20.406111","41º50'16''W","20º24'22''S","1837","1837",NA,"flor botões florais verdesroxo, 1m altura. Recebido de BHCB 147098.","FLOR0039814",NA,NA,NA,NA,NA
"72","2019-11-21 10:08:11-03","IBt","SP","366711","S","Plantae",NA,NA,"Malpighiaceae","Byrsonima","chrysophylla","Byrsonima chrysophylla","Kunth","Mamede, MCH","2010","Leoni, LS","3584","1997","01",NA,NA,"Brasil","Minas Gerais","Alto Jequitibá","Ao lado da estrada que segue para o Parque do Caparaó","-41.9664001464844","-20.423900604248",NA,NA,NA,NA,NA,NA,"SP015923",NA,"13125","auto","07",NA
