"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","typeStatus","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","verbatimLongitude","verbatimLatitude","imagecode","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","relatedCatalogItem"
"25","2015-07-02 14:03:44-03","JBP","HPL","3301","S","Plantae",NA,NA,NA,"Piperaceae","Piper","mollicomum","Piper mollicomum","Kunth","E.R. Salviani & H. Lorenzi","E.R. Salviani & H. Lorenzi","1637","2000","10","12","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Córrego Fortaleza.",NA,NA,NA,NA,NA,NA,NA,"2000","10","12",NA,NA
"26","2015-07-02 14:04:00-03","JBP","HPL","10063","S","Plantae",NA,NA,NA,"Rubiaceae","Posoqueria","latifolia","Posoqueria latifolia",NA,"P.G. Delprete","H. Lorenzi","3360","2002","07","20","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado nas proximidades do município de São Gabriel da Palha ; em área de mata de cipó.",NA,NA,NA,NA,NA,NA,NA,"2011","12","26",NA,NA
"27","2015-07-02 14:04:17-03","JBP","HPL","7199","S","Plantae",NA,NA,NA,"Sapotaceae","Pouteria",NA,"Pouteria",NA,NA,"G.F. Arbocz","2332","1996","01","27","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na Fazenda Lorenzoni, nas proximidades do córrego Bley.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2015-07-02 14:04:17-03","JBP","HPL","7214","S","Plantae",NA,NA,NA,"Sapotaceae","Pouteria","aff. bearepairei","Pouteria aff. bearepairei",NA,"C.E. Carneiro","E.R. Salviani","146","1998","07","22","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na Fazenda Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,"2007","12","01",NA,NA
"29","2015-07-02 14:04:17-03","JBP","HPL","7215","S","Plantae",NA,NA,NA,"Sapotaceae","Pouteria","ramiflora","Pouteria ramiflora",NA,"C.E. Carneiro","H. Lorenzi","2360","2000","08","27","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na Fazenda Lorenzoni - em de mata de beira de córrego (úmida).",NA,NA,NA,NA,NA,NA,NA,"2007","12","01",NA,NA
"30","2015-07-02 14:04:18-03","JBP","HPL","7223","S","Plantae",NA,NA,NA,"Sapotaceae","Pouteria","venosa","Pouteria venosa",NA,"E.R. Salviani","E.R. Salviani","152","1998","07","23","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na área dos Lorenzoni - na beira da mata.",NA,NA,NA,NA,NA,NA,NA,"1998","07","23",NA,NA
"31","2015-07-02 14:02:46-03","JBP","HPL","2470","S","Plantae",NA,NA,NA,"Malvaceae","Pseudobombax",NA,"Pseudobombax",NA,NA,"E.R. Salviani & H. Lorenzi","1639","2000","10","12","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na Pedra Castelã, vegetando em pedras.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2015-07-02 14:04:33-03","JBP","HPL","8736","S","Plantae",NA,NA,NA,"Vochysiaceae","Qualea","cf. megalocarpa","Qualea cf. megalocarpa",NA,NA,"E. R. Salviani","147","1998","07","23","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado no Sítio Cobra.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2015-07-02 14:04:33-03","JBP","HPL","8735","S","Plantae",NA,NA,NA,"Vochysiaceae","Qualea","megalocarpa","Qualea megalocarpa",NA,"E.R. Salviani & H. Lorenzi","E.R. Salviani & H. Lorenzi","1815","2000","11","21","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na Fazenda Dona Zeni.",NA,NA,NA,NA,NA,NA,NA,"2000","11","23",NA,NA
"34","2015-07-02 14:55:41-03","JBP","HPL","3240","S","Plantae",NA,NA,NA,"Poaceae","Raddia","brasiliensis","Raddia brasiliensis","Bertol","E.R. Salviani & H. Lorenzi","E.R. Salviani & H. Lorenzi","465","1999","08","21","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na Fazenda Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,"1999","08","21",NA,NA
