"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","typeStatus","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","barcode","verbatimLongitude","verbatimLatitude","imagecode","yearIdentified","monthIdentified","dayIdentified","infraspecificEpithet","relatedCatalogItem"
"69","2015-07-02 14:03:03-03","JBP","HPL","5240","S","Plantae",NA,NA,NA,"Moraceae","Brosimum","guianense","Brosimum guianense","Huber ex Ducke","E.R. Salviani & H. Lorenzi","E.R. Salviani & H. Lorenzi","151","1998","07","23","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado no sítio Cobra, próximo a área dos Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,"1998","07","23",NA,NA
"70","2015-07-02 14:02:47-03","JBP","HPL","5027","S","Plantae",NA,NA,NA,"Marantaceae","Calathea","cardiophylla","Calathea cardiophylla","K. Schum","V.L.C.R. Uliana & S. Vieira","E.R. Salviani & H. Lorenzi","475","1999","08","21","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada nas proximidades da cidade.",NA,NA,NA,NA,NA,NA,NA,"2001","10","01",NA,NA
"71","2015-07-02 14:01:22-03","JBP","HPL","2288","S","Plantae",NA,NA,NA,"Cannaceae","Canna","indica","Canna indica","L.","A. Campos-Rocha","E.R. Salviani & H. Lorenzi","470","1999","08","21","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada nas proximidades da fazenda Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,"2013","04","12",NA,NA
"72","2015-07-02 14:01:15-03","JBP","HPL","4285","S","Plantae",NA,NA,NA,"Bombacaceae","Ceiba","erianthos","Ceiba erianthos","K. Schum","E.R. Salviani & H. Lorenzi","E.R. Salviani & H. Lorenzi","149","1998","07","23","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na fazenda Lorenzoni, crescendo nas lajes.",NA,NA,NA,NA,NA,NA,NA,"1998","07","23",NA,NA
"73","2015-07-02 14:55:12-03","JBP","HPL","8","S","Plantae",NA,NA,NA,"Acanthaceae","Chamaeranthemum","venosum","Chamaeranthemum venosum","M.B. Forster & Lor. B. Sm.","C. Kameyama","H. Lorenzi","1920","1995","01","12","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,"Região: MATA ATLANTICA; Cor da flor: branco-roseas; Cor do fruto: beges; Dimensões: ca. 30cm de altura","auto",NA,NA,"Coletado na Fazenda Lorenzoni, no chão da mata densa; pouco comum.","75","75",NA,NA,NA,NA,NA,"1998","11","05",NA,NA
"74","2015-07-02 14:04:14-03","JBP","HPL","7200","S","Plantae",NA,NA,NA,"Sapotaceae","Chrysophyllum",NA,"Chrysophyllum",NA,NA,"G.F. Arbocz","2335","1996","01","27","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na Fazenda Lorenzoni, nas proximidades do córrego Bley.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2015-07-02 14:04:14-03","JBP","HPL","7209","S","Plantae",NA,NA,NA,"Sapotaceae","Chrysophyllum",NA,"Chrysophyllum",NA,NA,"H. Lorenzi","1193","1993","01","28","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na Fazenda Lorenzoni - em sub-bosque.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","2015-07-02 14:04:06-03","JBP","HPL","7156","S","Plantae",NA,NA,NA,"Rutaceae","Conchocarpus",NA,"Conchocarpus",NA,NA,"G.F. Arbocz","2354","1996","01","28","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na Fazenda Lorenzoni, nas proximidades do córrego Bley.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","2015-07-02 14:01:15-03","JBP","HPL","2461","S","Plantae",NA,NA,NA,"Boraginaceae","Cordia",NA,"Cordia",NA,NA,"E.R. Salviani & H. Lorenzi","144","1998","07","22","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na fazenda Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2015-07-02 14:00:18-03","JBP","HPL","10070","S","Plantae",NA,NA,NA,"Apiaceae","Coriandrum","cf. sativum","Coriandrum cf. sativum","L.","R. Tsuji","A.G. Ribeiro","160","1996","01","11","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado nas proximidades da cidade.",NA,NA,NA,NA,NA,NA,NA,"2008","04","30",NA,NA
"79","2015-07-02 14:01:58-03","JBP","HPL","4586","S","Plantae",NA,NA,NA,"Fabaceae-Faboideae","Cratylia",NA,"Cratylia",NA,"G.P. Lewis","E.R. Salviani & H. Lorenzi","155","1998","07","23","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na fazenda Lorenzoni, nas proximidades da cidade de São Gabriel da Palha.",NA,NA,NA,NA,NA,NA,NA,"2009","12","01",NA,NA
"80","2015-07-02 14:04:12-03","JBP","HPL","7524","S","Plantae",NA,NA,NA,"Sapindaceae","Cupania","platycarpa","Cupania platycarpa",NA,"M.S. Ferrucci","E.R. Salviani","142","1998","07","22","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na estrada para Valério, ca. 3km de São Gabriel da Palha.",NA,NA,NA,NA,NA,NA,NA,"2005","01","10",NA,NA
"81","2015-07-02 14:01:58-03","JBP","HPL","4453","S","Plantae",NA,NA,NA,"Fabaceae-Faboideae","Dalbergia","nigra","Dalbergia nigra","Allem. ex Benth.","E.R. Salviani & H. Lorenzi","E.R. Salviani & H. Lorenzi","158","1998","07","23","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na estrada para Nova Venécia",NA,NA,NA,NA,NA,NA,NA,"1998","07","23",NA,NA
"82","2015-07-02 14:03:30-03","JBP","HPL","5871","S","Plantae",NA,NA,NA,"Orchidaceae","Eltroplectris","aff. triloba","Eltroplectris aff. triloba","(Lindl.) Pabst.","W. Forster","H. Lorenzi","2395","2000","09","22","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado em mata.",NA,NA,NA,NA,NA,NA,NA,"2004","05","25",NA,NA
"83","2015-07-02 14:03:59-03","JBP","HPL","9899","S","Plantae",NA,NA,NA,"Rubiaceae","Galium","hypocarpium","Galium hypocarpium",NA,"P.G. Delprete","A.G. Ribeiro","159","1996","01","11","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"nas proximidades da cidade, nascendo espontâneamente em ambiente arenoso.",NA,NA,NA,NA,NA,NA,NA,"2011","12","26",NA,NA
"84","2015-07-02 14:00:20-03","JBP","HPL","1063","S","Plantae",NA,NA,NA,"Apocynaceae","Geissospermum","laeve","Geissospermum laeve","Baill.","H. Lorenzi","G.F. Arbocz","2347","1996","01","27","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Em mata de tabuleiro.",NA,NA,NA,NA,NA,NA,NA,"1996","01","27",NA,NA
"85","2015-07-02 14:01:59-03","JBP","HPL","4540","S","Plantae",NA,NA,NA,"Fabaceae-Faboideae","Grazielodendron","riodocensis","Grazielodendron riodocensis","H.C. Lima","G.P. Lewis","E.R. Salviani & H. Lorenzi","160","1998","07","23","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na fazenda de propriedade de Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,"2009","12","01",NA,NA
"86","2015-07-02 14:03:00-03","JBP","HPL","6989","S","Plantae",NA,NA,NA,"Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl","J.A. Pastore","R. Tsuji, H. Lorenzi et al.","1568","2007","01","26","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado no Sítio Lorenzoni, nativa da vegetação.",NA,NA,NA,NA,NA,NA,NA,"2008","06","10",NA,NA
"87","2015-07-02 14:02:42-03","JBP","HPL","3974","S","Plantae",NA,NA,NA,"Malvaceae","Guazuma","crinita","Guazuma crinita","Mart.","E.R. Salviani & H. Lorenzi","E.R. Salviani & H. Lorenzi","157","1998","07","23","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na área dos Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,"1998","07","23",NA,NA
"88","2015-07-02 14:01:11-03","JBP","HPL","1850","S","Plantae",NA,NA,NA,"Bignoniaceae","Handroanthus","areanae","Handroanthus areanae","A.H. Gentry","V.C. Souza","E.R. Salviani & H. Lorenzi","1651","2000","10","12","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Sentido São Domingos, em área paludosa.",NA,NA,NA,NA,NA,NA,NA,"2013","05","14",NA,NA
"89","2015-07-02 14:01:11-03","JBP","HPL","1867","S","Plantae",NA,NA,NA,"Bignoniaceae","Handroanthus","riodocensis","Handroanthus riodocensis","(A.H. Gentry) S. Grose","V.C. Souza","H. Lorenzi","3356","2002","09","20","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Cultivada no Instituto Plantarum.",NA,NA,NA,NA,NA,NA,NA,"2013","05","14",NA,NA
"90","2015-07-02 14:03:29-03","JBP","HPL","13723","S","Plantae",NA,NA,NA,"Olacaceae","Heisteria","perianthomega","Heisteria perianthomega","(Vell.) Sleumer","V.C. Souza","E.R. Salviani & H. Lorenzi","1814","2000","11","23","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na Fazenda Lorenzoni; subosque. Material anterior e erroneamente tombado como HPL-6230.",NA,NA,NA,NA,NA,NA,NA,"2012","12","11",NA,NA
"91","2015-07-02 14:02:19-03","JBP","HPL","5440","S","Plantae",NA,NA,NA,"Heliconiaceae","Heliconia","aurorae","Heliconia aurorae","L.E. de Mello Filho & E. Santos","E.R. Salviani & H. Lorenzi","E.R. Salviani & H. Lorenzi","1634","2000","10","12","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado nas proximidades da cidade.",NA,NA,NA,NA,NA,NA,NA,"2000","10","12",NA,NA
"92","2015-07-02 14:02:21-03","JBP","HPL","9884","S","Plantae",NA,NA,NA,"Hypericaceae","Hypericum","connatum","Hypericum connatum","Lam.","R. Tsuji","A.G. Ribeiro","155","1996","12","15","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado nas proximidades da cidade, cultivado.",NA,NA,NA,NA,NA,NA,NA,"2008","02","07",NA,NA
"93","2015-07-02 14:01:11-03","JBP","HPL","1780","S","Plantae",NA,NA,NA,"Bignoniaceae","Jacaranda","aff. grandifloliolata","Jacaranda aff. grandifloliolata","A. Gentry","E.R. Salviani & H. Lorenzi","E.R. Salviani & H. Lorenzi","476","1999","08","21","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Fazenda Lorenzoni.",NA,NA,NA,NA,NA,NA,NA,"1999","08","21",NA,NA
"94","2015-07-02 14:01:27-03","JBP","HPL","2528","S","Plantae",NA,NA,NA,"Clusiaceae","Kielmeyera",NA,"Kielmeyera",NA,NA,"E.R. Salviani & H. Lorenzi","1644","2000","10","12","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na Pedra Castelã, vegetando sobre laje.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","2015-07-02 14:02:00-03","JBP","HPL","4522","S","Plantae",NA,NA,NA,"Fabaceae-Faboideae","Machaerium","fulvovenosum","Machaerium fulvovenosum","H.C. de Lima","G.F. Arbocz","G.F. Arbocz","1378","1998","04","27","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado nas proximidades da cidade.",NA,NA,NA,NA,NA,NA,NA,"1995","04","29",NA,NA
"96","2015-07-02 14:04:14-03","JBP","HPL","7753","S","Plantae",NA,NA,NA,"Sapindaceae","Toulicia",NA,"Toulicia",NA,NA,"G.F. Arbocz","387","1994","05","18","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na margem da rodovia entre São Gabriel da Palha e Nova Venícia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","2015-07-02 14:01:48-03","JBP","HPL","9890","S","Plantae",NA,NA,NA,"Euphorbiaceae","Tragia","volubilis","Tragia volubilis","L.","I. Cordeiro","A.G. Ribeiro","156","1996","01","03","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado em beira de mata, comum localmente.",NA,NA,NA,NA,NA,NA,NA,"1996","01","19",NA,NA
"98","2015-07-02 14:02:27-03","JBP","HPL","3796","S","Plantae",NA,NA,NA,"Lamiaceae","Vitex","triflora","Vitex triflora","Vahl","R. Tsuji","E.R. Salviani & H. Lorenzi","1635","2000","10","12","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletada na Pedra Castelã.",NA,NA,NA,NA,NA,NA,NA,"2004","05","27",NA,NA
"99","2015-07-02 14:02:04-03","JBP","HPL","10104","S","Plantae",NA,NA,NA,"Fabaceae-Faboideae","Zollernia",NA,"Zollernia",NA,NA,"J.A. Lombardi, H. Lorenzi, R. Tsuji & L. Lorenzoni","7136","2008","01","24","Brasil","ES","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,"Coletado na Fazenda do Sr. Moisés Colombi; em área de pasto, árvore remanescente isolada. S 19° 01'; W 40° 32' (140m.s.m.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","2020-03-31 14:58:21-03","UFES","SAMES","3693","PreservedSpecimen","Plantae",NA,NA,NA,"Fabaceae","Anadenanthera","peregrina","Anadenanthera peregrina","(L.) Speg.",NA,"Vilaça,M.","2","2015","02","02","Brasil","Espírito Santo","São Gabriel da Palha","-78.475","-38.401944",NA,NA,"arbórea, 12 a 16 m de altura.",NA,NA,NA,"NULL.",NA,NA,NA,"SAMES03693","78º28'30''W","38º24'7''S",NA,NA,NA,NA,NA,NA
"101","2020-03-31 14:59:04-03","UFES","SAMES","7279","PreservedSpecimen","Plantae",NA,NA,NA,"Velloziaceae","Barbacenia","purpurea","Barbacenia purpurea","Hook.","PintoJunior,H.V.","Menezes,L.F.T.","2491","2017","09","26","Brasil","Espírito Santo","São Gabriel da Palha","-40.538056","-19.016667",NA,NA,"Com flores rochas Habitat: Afloramento Rochoso Habito: Herbácea",NA,NA,NA,"Afloramento rochoso no centro da cidade",NA,NA,NA,"SAMES07279","40º32'17''W","19º1'0''S",NA,"2019","01","15",NA,NA
"102","2020-03-31 14:58:02-03","UFES","SAMES","6213","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Philodendron",NA,"Philodendron",NA,NA,"Menezes,L.F.T.","2326","2016","08","04","Brasil","Espírito Santo","São Gabriel da Palha","-40.538333","-19.016111",NA,NA,"Habito: Herbácea",NA,NA,NA,"Afloramento granítico no centro da cidade.",NA,NA,NA,"SAMES06213","40º32'18''W","19º0'58''S",NA,NA,NA,NA,NA,NA
"103","2020-03-31 14:58:02-03","UFES","SAMES","7190","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Philodendron",NA,"Philodendron",NA,NA,"Menezes,L.F.T.",NA,"2016","08","04","Brasil","Espírito Santo","São Gabriel da Palha","-40.538333","-19.016111",NA,NA,"Sob rocha, com flores Habito: Herbácea",NA,NA,NA,"Afloramento de granito no centro da cidade",NA,NA,NA,"SAMES07190","40º32'18''W","19º0'58''S",NA,NA,NA,NA,NA,NA
"104","2020-03-31 14:58:07-03","UFES","SAMES","3697","PreservedSpecimen","Plantae",NA,NA,NA,"Bignoniaceae","Sparattosperma","leucanthum","Sparattosperma leucanthum","(Vell.) K.Schum.",NA,"Vilaça,M.","1","2015","02","02","Brasil","Espírito Santo","São Gabriel da Palha","-78.78","-38.656944",NA,NA,"Arbórea, 10 a 12 m de altura.",NA,NA,NA,"NULL.",NA,NA,NA,"SAMES03697","78º46'48''W","38º39'25''S",NA,NA,NA,NA,NA,NA
"105","2020-03-31 14:58:11-03","UFES","SAMES","7532","PreservedSpecimen","Plantae",NA,NA,NA,"Bromeliaceae","Vriesea",NA,"Vriesea",NA,"R.C.Forzza","Menezes,L.F.T.","2489","2017","07","30","Brasil","Espírito Santo","São Gabriel da Palha","-40.5355987548828","-19.0174999237061","24907",NA,"Planta rupícola, com inflorescências longa com média de 30 centímetros. Com flores verde claro, abrindo apenas uma flor por vez.","auto",NA,NA,NA,NA,NA,NA,"SAMES07532",NA,NA,NA,"1905","07","11",NA,NA
"106","2020-03-31 14:58:13-03","UFES","SAMES","8457","PreservedSpecimen","Plantae",NA,NA,NA,"Clusiaceae",NA,NA,NA,NA,NA,"Menezes,L.F.T.","2553","2018","08","20","Brasil","Espírito Santo","São Gabriel da Palha","-40.5355987548828","-19.0174999237061","24907",NA,"Com flores brancas. Solo raso. Habito: Arvoreta","auto",NA,NA,NA,NA,NA,NA,"SAMES08457",NA,NA,NA,NA,NA,NA,NA,NA
"107","2020-03-31 14:59:00-03","UFES","SAMES","6615","PreservedSpecimen","Plantae",NA,NA,NA,"Sapindaceae","Paullinia","rubiginosa","Paullinia rubiginosa","Cambess.",NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo","São Gabriel da Palha","-40.5355987548828","-19.0174999237061","24907",NA,NA,"auto",NA,NA,NA,NA,NA,NA,"SAMES06615",NA,NA,NA,NA,NA,NA,NA,NA
"108","2020-03-31 14:58:52-03","UFES","SAMES","6616","PreservedSpecimen","Plantae",NA,NA,NA,"Poaceae","Olyra",NA,"Olyra",NA,"Ribeiro,M.","Vilaça,M.","3","2015","02","03","Brasil","Espírito Santo","São Gabriel da Palha","-40.5355987548828","-19.0174999237061","24907",NA,"Assemelha-se (porte). Habito: Arbusto","auto",NA,NA,"NULL.",NA,NA,NA,"SAMES06616",NA,NA,NA,"2019","10","08",NA,NA
"109","2020-03-31 14:58:36-03","UFES","SAMES","3692","PreservedSpecimen","Plantae",NA,NA,NA,"Melastomataceae","Miconia","cinnamomifolia","Miconia cinnamomifolia","(DC.) Naudin",NA,"Vilaça,M.","5","2015","02","03","Brasil","Espírito Santo","São Gabriel da Palha","-40.5355987548828","-19.0174999237061","24907",NA,"arbustiva, 4 a 6 m de altura.","auto",NA,NA,"NULL.",NA,NA,NA,"SAMES03692",NA,NA,NA,NA,NA,NA,NA,NA
"110","2019-11-21 14:37:38-03","UFJF","CESJ","69605","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Lamiaceae","Aegiphila","integrifolia","Aegiphila integrifolia","(Jacq.) Moldenke",NA,"A.M. Assis; K.F.O. Faria","1590","2008","05","02","Brasil","Espirito Santo","São Gabriel da Palha","-40.548583","-19.011833",NA,NA,"Arbusto 5m. Frutos verdes e laranja. Floresta Ombrófila Densa, estágio inicial de regeneração.",NA,NA,"América do Sul","bairro Jardim Vitória (Torre 73/3 - LT 230 Kv Mascarenhas x Verona)","192","192",NA,"CESJ069605","-40.548583","-19.011833",NA,NA,NA,NA,NA,NA
"111","2019-11-21 14:37:41-03","UFJF","CESJ","69608","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Lamiaceae","Aegiphila","sellowiana","Aegiphila sellowiana","Cham.",NA,"A.M. Assis; V.G. Demuner","1568","2008","04","26","Brasil","Espírito Santo","São Gabriel da Palha","-40.555417","-31.323528",NA,NA,"Arbusto 2m. Frutos verdes. Floresta Ombrófila Densa - estado avançado de regeneração.",NA,NA,"América do Sul","Fazenda Rondeli, próximo ao Clube Campestre (Torre 72/1 - LT 230 Kv Mascarenhas X Verona)",NA,NA,NA,"CESJ069608","-40.555417","-31.323528",NA,NA,NA,NA,NA,NA
"112","2019-11-19 14:09:49-03","UFRPE","PEUFR","53684","PreservedSpecimen","Plantae",NA,NA,NA,"Verbenaceae","Aegiphila","integrifolia","Aegiphila integrifolia","(Jacq.) B.D. Jacks.",NA,"A. M. Assis ; K. F.O. Faria","1590","2008","05","02","Brasil","Espírito Santo","São Gabriel da Palha","-40.5355987548828","-19.0174999237061","24907",NA,NA,"auto",NA,NA,"Bairro Jardim Vitória","192","192",NA,"PEUFR053684","40°32'54.9'W","19'42.6'S",NA,NA,NA,NA,NA,NA
"113","2020-03-19 11:41:03-03","UFES","VIES","23420","S","Plantae",NA,NA,NA,"Fabaceae","Plathymenia","reticulata","Plathymenia reticulata","Benth.","Silva, L.A.","Assis, A. M.; Nirceu 'apicultor'","2117","2009","09","29","Brasil","Espírito Santo","São Gabriel da Palha","-40.515556","-18.948056",NA,NA,NA,NA,NA,NA,"Estrada para Barra Seca.","200","200",NA,"VIES023420","40º30'56''W","18º56'53''S","VIES023420",NA,NA,NA,NA,NA
"114","2019-09-27 18:05:05-03","UFES","VIES","39318","S","Plantae",NA,NA,NA,"Lamiaceae","Aegiphila","verticillata","Aegiphila verticillata","Vell.","Rocha, D.","Mayer, M.","1288","2014","12","01","Brasil","Espírito Santo","São Gabriel da Palha","-40.5355987548828","-19.0174999237061","24907",NA,NA,"auto",NA,NA,NA,NA,NA,NA,"VIES039318",NA,NA,"VIES039318","2016","10","18",NA,NA
"115","2020-03-19 11:42:10-03","UFES","VIES","38189","S","Plantae",NA,NA,NA,"Poaceae","Digitaria","ciliaris","Digitaria ciliaris","(Retz.) Koeler","Rodrigues, R.B.","Mayer, M.","1289","2014","12","01","Brasil","Espírito Santo","São Gabriel da Palha","-40.5355987548828","-19.0174999237061","24907",NA,NA,"auto",NA,NA,NA,NA,NA,NA,"VIES038189",NA,NA,"VIES038189","2015","09","22",NA,NA
"116","2019-06-27 10:25:17-03","UFES","VIES","12994","S","Plantae",NA,NA,NA,"Fabaceae","Zollernia",NA,"Zollernia",NA,NA,"Lombardi, J.A.; Lorenzi, H.; Tsuji, R. & Lorenzoni, L.","7136","2008","01","24","Brasil","Espírito Santo","São Gabriel da Palha","-40.5355987548828","-19.0174999237061","24907",NA,NA,"auto",NA,NA,"Fazenda do Sr. Moisés Colombi.","140","140",NA,"VIES012994",NA,NA,"VIES012994",NA,NA,NA,NA,NA
"117","2020-03-19 11:40:46-03","UFES","VIES","23415","S","Plantae",NA,NA,NA,"Fabaceae","Anadenanthera","peregrina","Anadenanthera peregrina peregrina",NA,"Silva, L.A.","Assis, A.M.; Demuner, V. G.","1577","2008","04","26","Brasil","Espírito Santo","São Gabriel da Palha","-40.5355987548828","-19.0174999237061","24907",NA,NA,"auto",NA,NA,"Faz. Rondeli, próximo clube Campestre (Torre 72/1 - LT Mascarenhas X Verona).",NA,NA,NA,"VIES023415",NA,NA,"VIES023415","2017","01","31","peregrina",NA
"118","2020-03-19 11:40:37-03","UFES","VIES","12672","S","Plantae",NA,NA,NA,"Erythroxylaceae","Erythroxylum","columbinum","Erythroxylum columbinum","Mart.","Costa-Lima, J.L.","Lombardi, J.A.; Lorenzi, H.; Tsuji, R. & Lorenzoni, L.","7135","2008","01","24","Brasil","Espírito Santo","São Gabriel da Palha","-40.5355987548828","-19.0174999237061","24907",NA,NA,"auto",NA,NA,"Sítio Lorenzoni.","140","140",NA,"VIES012672",NA,NA,"VIES012672","2014","05","26",NA,NA
"119","2019-07-17 14:34:00-03","UFRRJ","RBR","2890","S","Plantae",NA,NA,NA,"Bignoniaceae","Jacaranda","obovata","Jacaranda obovata","Cham.","A. Gentry","A. Peixoto; A. Gentry, E. Zardini, C. Proença, O. Peixoto","3065","1985","02","01","Brasil","Espírito Santo","São Gabriel da Palha","-40.5355987548828","-19.0174999237061","24907",NA,NA,"auto",NA,NA,"Córrego do Rancho Alto, Estrada 351.",NA,NA,NA,"RBR00002890",NA,NA,"RBR00002890","1985",NA,NA,NA,NA
"120","2019-07-17 14:34:00-03","UFRRJ","RBR","8357","S","Plantae",NA,NA,NA,"Bignoniaceae","Jacaranda","obovata","Jacaranda obovata","Cham.",NA,"A. Peixoto; A. Gentry, E. Zardini, C. Proença, O. Peixoto","3062","1985","02","01","Brasil","Espírito Santo","São Gabriel da Palha","-40.5355987548828","-19.0174999237061","24907",NA,NA,"auto",NA,NA,"Córrego do Rancho Alto. Estrada 351.",NA,NA,NA,"RBR00008357",NA,NA,"RBR00008357",NA,NA,NA,NA,NA
"121","2013-04-01 09:15:05-03","IPT","BCTW","19517","S","Plantae","Magnoliophyta","Magnoliopsida",NA,NA,"Aspidosperma","nobile","Aspidosperma nobile","Müller Argoviensis",NA,"Lorenzi, H.",NA,NA,NA,NA,"Brasil","Espírito Santo","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","2013-04-01 09:15:14-03","IPT","BCTW","19497","S","Plantae","Magnoliophyta","Magnoliopsida",NA,NA,"Astronium","macrocalyx","Astronium macrocalyx","Engl.",NA,"Lorenzi, H.",NA,NA,NA,NA,"Brasil","Espírito Santo","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","2013-04-01 09:16:05-03","IPT","BCTW","19499","S","Plantae","Magnoliophyta","Magnoliopsida",NA,NA,"Centrolobium","microchaete","Centrolobium microchaete","(Benth.) H.C.Lima",NA,"Lorenzi, H.",NA,NA,NA,NA,"Brasil","Espírito Santo","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","2013-04-01 09:17:27-03","IPT","BCTW","19508","S","Plantae","Magnoliophyta","Magnoliopsida",NA,NA,"Geissospermum","laeve","Geissospermum laeve","Vell. (Miers)",NA,"Lorenzi, H.",NA,NA,NA,NA,"Brasil","Espírito Santo","São Gabriel da Palha","-40.5356","-19.0175","24907",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","2019-10-11 09:42:43-03","UFC","EAC","56746","PreservedSpecimen","Plantae",NA,NA,NA,"Erythroxylaceae","Erythroxylum","columbinum","Erythroxylum columbinum","Mart.","Costa-Lima, J.L.","Lombardi, J.A.","7135","2008","01","24","Brasil","Espírito Santo","São Gabriel da Palha","-40.5355987548828","-19.0174999237061","24907",NA,"Arbusto, 2,1m; folhas cartáceas, lustrosas; flores brancas.; Mata atlântica.","auto",NA,"Southern America","sítio Lorenzoni, córrego Bely, divisa Vila Valério, borda de trilha; mata atlântica degradada.",NA,NA,NA,"EAC0056746",NA,NA,"EAC0056746","2014","05","26",NA,NA
