"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class"
"1226","2020-01-16 17:30:53-03","USP","SPF","195150","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Anemopaegma","chamberlaynii","Anemopaegma chamberlaynii","(Sims) Bureau & K.Schum.","Zuntini, AR","183","2007","12","19",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural da CVRD","-39.983633","-19.158169","-39.983633","-19.158169",NA,"Liana. Cálice verde, clareando em direção ao ápice. Corola amarela. Lábios creme e fauce amarelo claro.","SPF00195150",NA,NA,"Zuntini, AR","2007","31","31",NA,"12",NA,NA,NA,NA
"1227","2020-01-16 17:30:53-03","USP","SPF","195151","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Anemopaegma","chamberlaynii","Anemopaegma chamberlaynii","(Sims) Bureau & K.Schum.","Zuntini, AR","160","2007","12","15",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural da CVRD Aceiro Caliman, 600m, saindo à direita da estrada Guaribu Sabão","-39.99142","-19.156885","-39.99142","-19.156885",NA,"Liana. Base do cálice verde, clariando até o ápice. Coroa com base amarelo, tornando-se creme nos lábios. Estames e pistilo amarelo esverdeado.","SPF00195151",NA,NA,"Zuntini, AR","2007","22","22",NA,NA,NA,NA,NA,NA
"1228","2020-01-17 11:17:05-03","USP","SPF","195165","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Bignonia","binata","Bignonia binata","Thunb.","Zuntini, AR","174","2007","12","17",NA,"Brasil","Espírito Santo","Sooretama","Reserva Florestal da CVRDFinal da estrada Oiticica.","-40.002377","-19.132049","-40.002377","-19.132049",NA,"Liana. Cálice verde. Tubo da corola rosa e lábios lilás. Filete branco, anteras creme. Pistilo alvo. Aroma adocicado.","SPF00195165",NA,NA,"Zuntini, AR","2007","51","51",NA,NA,NA,NA,NA,NA
"1229","2020-01-17 11:17:05-03","USP","SPF","199188","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Bignonia","binata","Bignonia binata","Thunb.","Zuntini, AR","130","2007","12","12",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural da CVRDAceiro Bobbil.","-40.072131","-19.130874","-40.072131","-19.130874",NA,"Liana. Cálice roxo na base e meio, ápice roxo claro. Tubo da crola e lábios liláses externamente, branco internemtne.","SPF00199188",NA,NA,"Zuntini, AR","2008","24","24",NA,NA,NA,NA,NA,NA
"1230","2020-01-17 11:17:05-03","USP","SPF","195164","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Bignonia","binata","Bignonia binata","Thunb.","Zuntini, AR","123","2007","12","01",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural da CVRDAceiro AracruzBR101 - 3.","-40.038169","-19.119508","-40.038169","-19.119508",NA,"Liana. Gavinha simples. Cálice verde. Tubo da corola alvo, lábios e interior do tubo lilás.","SPF00195164",NA,NA,"Zuntini, AR","2008","31","31",NA,NA,NA,NA,NA,NA
"1231","2020-01-17 11:17:05-03","USP","SPF","195170","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Bignonia","corymbosa","Bignonia corymbosa","(Vent.) L.G.Lohmann","Zuntini, AR","82","2007","07","25",NA,"Brasil","Espírito Santo","Sooretama","Reserva Florestal da CVRD","-39.9","-19.166666","-39.9","-19.166666",NA,"Liana. Fruto imaturo verde.","SPF00195170",NA,NA,"Zuntini, AR","2007","8","8",NA,NA,NA,NA,NA,NA
"1232","2020-01-22 14:50:15-03","USP","SPF","195172","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Bignonia","corymbosa","Bignonia corymbosa","(Vent.) L.G.Lohmann","Zuntini, AR","76","2007","07","25",NA,"Brasil","Espírito Santo","Sooretama","Reserva Florestal da C.V.R.D","-39.9","-19.166666","-39.9","-19.166666",NA,NA,"SPF00195172",NA,NA,"Zuntini, AR","2007","8","8",NA,NA,NA,NA,NA,NA
"1233","2019-11-13 11:16:47-03","USP","SPF","207663","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Bignonia","corymbosa","Bignonia corymbosa","(Vent.) L.G.Lohmann","Zuntini, AR; Nogueira, A; Siqueira, GS","65","2007","07","23",NA,"Brasil","Espírito Santo","Sooretama","Estrada do Flamengo, próximo å casa do Grobério","-39.919722","-19.181111","-39.919722","-19.181111",NA,"Liana. Ramo levemente quadrangular, com crista interpeciolar. Gacinha simples.Fruto incompleto, somente com o septo presente","SPF00207663",NA,NA,"Zuntini, AR","2007",NA,NA,NA,NA,NA,NA,NA,NA
"1234","2020-01-17 11:17:05-03","USP","SPF","197186","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Bignonia","corymbosa","Bignonia corymbosa","(Vent.) L.G.Lohmann","Zuntini, AR","170","2007","12","17",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural da Companhia Vale do Rio Doce (#?#Reserva de Linhares#?#)Estrada da Gávea, 400 m antes do aceiro Caliman.","-39.932459","-19.155163","-39.932459","-19.155163",NA,"Liana. Cálice verde claro. Tubo da corola rosa claro, lábios lilás, interior do tubo com guia de néctar púrpura. Estames e pistilo creme. Aroma adocicado.","SPF00197186",NA,NA,"Zuntini, AR","2007","14","14",NA,"12",NA,NA,NA,NA
"1235","2020-01-22 14:50:15-03","USP","SPF","195181","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Bignonia","prieurei","Bignonia prieurei","DC.","Zuntini, AR","13","2007","05","21",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural da CVRDBorda do aceiro Bobil","-40.083333","-19.133333","-40.083333","-19.133333",NA,"Mata de tabuleiro","SPF00195181",NA,NA,"Lohmann, LG","2007","59","59",NA,NA,NA,NA,NA,NA
"1236","2020-01-17 11:17:05-03","USP","SPF","195198","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Bignonia","prieurei","Bignonia prieurei","DC.","Zuntini, AR","150","2007","12","14",NA,"Brasil","Espírito Santo","Sooretama","Reserva Natural da CVRDEstrada do aceiro Juncado, Km3, lado direito.","-40.040218","-19.118961","-40.040218","-19.118961",NA,"Liana. Cálice verde amarelado. Corola internamente lenhosa com guias na face ventral e vinho na dorsal. Lábios internos e exetrnos brancos com guias róseas. Flores mais velhas cor ocre. Estame e pistilo amarelo.; Beira de Estrada","SPF00195198",NA,NA,"Zuntini, AR","2007","53","53",NA,NA,NA,NA,NA,NA
