"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","specificEpithet","scientificNameAuthorship","yearIdentified","monthIdentified","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode"
"1","2015-07-02 14:41:52-03","JBP","HPL","9503","S","Plantae","Apocynaceae","Himatanthus","Himatanthus","R. Tsuji","2344","2007","11","29","Brasil","MG","São José do Jacuri","Coletado na estrada São José do Jacuri-São Pedro do Suaçuí (asfaltada).","-42.6703","-18.2753","19663","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-02 15:02:32-03","UFMG","BHCB","192384","PreservedSpecimen","Plantae","Rubiaceae","Palicourea","Palicourea marcgravii","Costa, AG; Soto-Blancco, B","s.n.","2018","08","21","Brasil","Minas Gerais","São José do Jacuri","Fazenda Fonseca 1, Córrego Fonseca","-42.674444","-18.275",NA,NA,"Dicotyledon","marcgravii","A.St.-Hil.","2018","12","Southern America","-42.674444","-18.275","549","549","Arbusto; Floresta Estacional Semidecidual","BHCB192384"
