"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class"
"80","2019-10-02 14:51:06-03","UFMG","BHCB","16620","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Vernonia","cotoneaster","Vernonia cotoneaster","(Willd. ex Spreng.) Less.",NA,NA,"Pequeno, PHA; et al.","73","1989","09","14","Southern America","Brasil","Minas Gerais","João Monlevade",NA,"-43.1735992431641","-19.8099994659424",NA,NA,NA,"Mata Atlântica. Herbáceo.",NA,NA,"9985","auto",NA,NA,NA,NA,NA
"81","2019-10-02 15:04:16-03","UFMG","BHCB","16331","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","granulosoleprosum","Solanum granulosoleprosum","Dunal",NA,"2012","Pequeno, PHA; et al.","76","1989","09","14","Southern America","Brasil","Minas Gerais","João Monlevade","Área Belgo Mineira","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Mata Atlântica. Arbusto.; Arbusto.; Mata Atlântica.","BHCB004354",NA,"9985","auto","07","11",NA,NA,NA
"82","2019-10-02 15:01:46-03","UFMG","BHCB","16305","PreservedSpecimen","Plantae","Dicotyledon",NA,"Polygalaceae","Polygala","monninoides","Polygala monninoides","Kunth",NA,NA,"Pequeno, PHA; et al.","52","1989","09","14","Southern America","Brasil","Minas Gerais","João Monlevade","Área da Belgo Mineira","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Mata Atlântica. Herbáceo",NA,NA,"9985","auto",NA,NA,NA,NA,NA
"83","2019-10-02 15:01:16-03","UFMG","BHCB","16293","PreservedSpecimen","Plantae","Dicotyledon",NA,"Passifloraceae","Passiflora","speciosa","Passiflora speciosa","Gardner",NA,"1995","Pequeno, PHA; et al.","7","1989","09","14","Southern America","Brasil","Minas Gerais","João Monlevade","Área da Belgo Mineira","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Flor vermelha, presença de gavinhas; Mata Atlântica","BHCB008725",NA,"9985","auto","08","17",NA,NA,NA
"84","2019-10-02 14:53:16-03","UFMG","BHCB","16304","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Manihot",NA,"Manihot","Mill.",NA,NA,"Pequeno, PHA; et al.","33","1989","09","14","Southern America","Brasil","Minas Gerais","João Monlevade","Área da Belgo Mineira","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Herbáceo.; Mata Atlântica.","BHCB013838",NA,"9985","auto",NA,NA,NA,NA,NA
"85","2019-10-02 15:04:21-03","UFMG","BHCB","16327","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","leptostachys","Solanum leptostachys","Dunal",NA,NA,"Pequeno, PHA; et al.","25","1989","09","14","Southern America","Brasil","Minas Gerais","João Monlevade","Área da Belgo Mineira","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Mata Atlântica; Herbáceo; Flor roxa","BHCB002599","BHCB002599","9985","auto",NA,NA,NA,NA,NA
"86","2019-10-02 15:04:37-03","UFMG","BHCB","16328","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Solanum","swartzianum","Solanum swartzianum","Roem. & Schult.",NA,NA,"Pequeno, PHA; et al.","64","1989","09","14","Southern America","Brasil","Minas Gerais","João Monlevade","Área da Belgo Mineira","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Mata Atlântica. Herbáceo",NA,NA,"9985","auto",NA,NA,NA,NA,NA
"87","2020-01-27 18:59:43-03","UFMG","BHCB","16332","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Jacaranda",NA,"Jacaranda","A.Juss.",NA,NA,"Pequeno, PHA; et al.","49","1989","09","14","Southern America","Brasil","Minas Gerais","João Monlevade","Área da Belgo Mineira","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Mata Atlântica. Árvore, 8m; mata atlântica, árvore 8m","BHCB5218",NA,"9985","auto",NA,NA,NA,NA,NA
"88","2019-10-02 14:50:59-03","UFMG","BHCB","16309","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Trixis","antimenorrhoea","Trixis antimenorrhoea","(Schrank) Kuntze",NA,NA,"Pequeno, PHA; et al.","41","1989","09","14","Southern America","Brasil","Minas Gerais","João Monlevade","Área da Belgo Mineira.","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Mata Atlântica. Herbáceo; trepadeira.",NA,NA,"9985","auto",NA,NA,NA,NA,NA
"89","2019-10-02 14:50:56-03","UFMG","BHCB","16306","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Tagetes","minuta","Tagetes minuta","L.",NA,NA,"Pequeno, PHA; et al.","43","1989","09","14","Southern America","Brasil","Minas Gerais","João Monlevade","Área da Belgo Mineira.","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Mata Atlântica. Herbáceo.",NA,NA,"9985","auto",NA,NA,NA,NA,NA
"90","2019-10-02 14:50:31-03","UFMG","BHCB","16333","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","hirsutissima","Mikania hirsutissima","DC.",NA,NA,"Pequeno, PHA; et al.","s.n.","1989","09","14","Southern America","Brasil","Minas Gerais","João Monlevade","Área da Belgo Mineira.","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Mata Atlântica. Herbáceo.",NA,NA,"9985","auto",NA,NA,NA,NA,NA
"91","2019-10-02 14:50:31-03","UFMG","BHCB","16335","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","malacolepis","Mikania malacolepis","B.L.Rob.",NA,"2013","Pequeno, PHA; et al.","20","1989","09","14","Southern America","Brasil","Minas Gerais","João Monlevade","Área da Belgo Mineira.","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Mata Atlântica. Trepadeira.; mata atlântica, trepadeira","BHCB006960",NA,"9985","auto","04",NA,NA,NA,NA
"92","2019-10-02 14:51:04-03","UFMG","BHCB","16334","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Vernonia",NA,"Vernonia","Schreb.",NA,NA,"Pequeno, PHA; et al.","39","1989","09","14","Southern America","Brasil","Minas Gerais","João Monlevade","Área da Belgo Mineira.","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Mata Atlântica. Arbustivo.",NA,NA,"9985","auto",NA,NA,NA,NA,NA
"93","2020-01-21 18:09:39-03","UFMG","BHCB","157164","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Cestrum","strigillatum","Cestrum strigillatum","Ruiz & Pav.",NA,"2015","Rodrigues, IMC; Falcão, BF","528","2012","03","05","Southern America","Brasil","Minas Gerais","João Monlevade","Bairro Vila Tanque, Casa nº 153. Rua Dr. Geraldo Soares de Sá.","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Árvore de ca. de 3 metros de altura.","BHCB026647",NA,"9985","auto","07","14",NA,NA,NA
"94","2020-01-21 18:09:39-03","UFMG","BHCB","157163","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Cestrum","strigillatum","Cestrum strigillatum","Ruiz & Pav.",NA,"2015","Rodrigues, IMC; Falcão, BF","527","2012","03","05","Southern America","Brasil","Minas Gerais","João Monlevade","Bairro Vila Tanque, Rua Dr. Geraldo Soares de Sá. Casa nº 153.","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Árvore ca. de 3 metros de altura","BHCB026646",NA,"9985","auto","07","14",NA,NA,NA
"95","2019-10-02 14:51:31-03","UFMG","BHCB","16522","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Sparattosperma","leucanthum","Sparattosperma leucanthum","(Vell.) Schum.",NA,NA,"Pequeno, PHA; et al.","93A","1989","09","14","Southern America","Brasil","Minas Gerais","João Monlevade","Belgo Mineira.","-43.1735992431641","-19.8099994659424",NA,NA,NA,NA,NA,NA,"9985","auto",NA,NA,NA,NA,NA
"96","2019-10-02 14:55:25-03","UFMG","BHCB","16294","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Ocotea","diospyrifolia","Ocotea diospyrifolia","(Meisn.) Mez",NA,NA,"Pequeno, PHA; et al.","5","1989","09","14","Southern America","Brasil","Minas Gerais","João Monlevade","Belgo Mineira.","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Árvore.",NA,NA,"9985","auto",NA,NA,NA,NA,NA
"97","2019-10-02 14:50:37-03","UFMG","BHCB","16338","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Piptocarpha",NA,"Piptocarpha","R. Br.",NA,NA,"Pequeno, PHA; et al.","28","1989","09","14","Southern America","Brasil","Minas Gerais","João Monlevade","Belgo Mineira. Mata do Caça e Pesca.","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Mata Atlântica. Herbáceo.",NA,NA,"9985","auto",NA,NA,NA,NA,NA
"98","2019-10-02 15:07:25-03","UFMG","BHCB","16888","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Encyclia","patens","Encyclia patens","Hook.",NA,NA,"Pequeno, PHA; et al.","9","1989","09","14","Southern America","Brasil","Minas Gerais","João Monlevade","Mata do Tanque","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Mata atlântica, herbáceo. Flores em cacho, com labelo amarelo sobre bicuiba.",NA,NA,"9985","auto",NA,NA,NA,NA,NA
"99","2019-05-02 10:53:06-03","IBt","SP-BRYOPHYTA","182364","S","Plantae",NA,NA,"Erpodiaceae","Erpodium","glazioui","Erpodium glazioui","Hampe",NA,NA,"Yano, O.; Pirani, J.R.","7293","1983","05","27","Southern America","BRASIL","Minas Gerais","João Monlevade","av. Getúlio Vargas","-43.173611","-19.81","-43.173611","-19.81",NA,"sobre tronco vivo de Ficus elastica","SP084437",NA,NA,NA,NA,NA,"730","730",NA
"100","2019-05-02 10:53:06-03","IBt","SP-BRYOPHYTA","182364","S","Plantae",NA,NA,"Erpodiaceae","Erpodium","glazioui","Erpodium glazioui","Hampe",NA,NA,"Yano, O.; Pirani, J.R.","7293","1983","05","27","Southern America","BRASIL","Minas Gerais","João Monlevade","av. Getúlio Vargas","-43.173611","-19.81","-43.173611","-19.81",NA,"sobre tronco vivo de Ficus elastica","SP084437",NA,NA,NA,NA,NA,"730","730",NA
"101","2019-05-02 10:53:11-03","IBt","SP-BRYOPHYTA","182363","S","Plantae",NA,NA,"Fabroniaceae","Fabronia","sp.","Fabronia sp.",NA,NA,NA,"Yano, O.; Pirani, J.R.","7292","1983","05","27","Southern America","BRASIL","Minas Gerais","João Monlevade","av. Getúlio Vargas","-43.173611","-19.81","-43.173611","-19.81",NA,"sobre tronco vivo de Spathode campanulata","SP084436",NA,NA,NA,NA,NA,"730","730",NA
"102","2019-05-02 10:53:11-03","IBt","SP-BRYOPHYTA","182363","S","Plantae",NA,NA,"Fabroniaceae","Fabronia","sp.","Fabronia sp.",NA,NA,NA,"Yano, O.; Pirani, J.R.","7292","1983","05","27","Southern America","BRASIL","Minas Gerais","João Monlevade","av. Getúlio Vargas","-43.173611","-19.81","-43.173611","-19.81",NA,"sobre tronco vivo de Spathode campanulata","SP084436",NA,NA,NA,NA,NA,"730","730",NA
"103","2019-12-31 09:52:22-03","INPA","INPA-FUNGOS","258910","Fungo","Fungi","Basidiomycota","Geastrales","Geastraceae","Geastrum","floriforme","Geastrum floriforme","Vittad.","Brandão, MJP","2017","Pezzini, F.F.","90","2014","01","06","Southern America","Brasil","Minas Gerais","João Monlevade","Clube Floresta","-43.12383","-19.83628","-43.12383","-19.83628",NA,NA,"INPA0258910",NA,NA,NA,"11",NA,NA,NA,NA
"104","2019-11-13 11:24:52-03","USP","SPF","46491","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Luehea","grandiflora","Luehea grandiflora","Mart.","Pirani, JR","1985","Pirani, JR","675","1983","05","27",NA,"Brasil","Minas Gerais","João Monlevade",NA,"-43.1735992431641","-19.8099994659424",NA,NA,NA,NA,"SPF00046491",NA,"9985","auto",NA,NA,NA,NA,NA
"105","2019-11-13 11:22:06-03","USP","SPF","93583","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Cleobulia","multiflora","Cleobulia multiflora","Mart. ex Benth.","Queiroz, LP","1995","Pirani, JR","680","1983","05","27",NA,"Brasil","Minas Gerais","João Monlevade",NA,"-43.1735992431641","-19.8099994659424",NA,NA,NA,NA,"SPF00093583",NA,"9985","auto","10",NA,NA,NA,NA
"106","2019-11-13 11:22:11-03","USP","SPF","32680","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Crotalaria","paulina","Crotalaria paulina","Schrank","Flores, AS","2005","Pirani, JR","673","1983","05","27",NA,"Brasil","Minas Gerais","João Monlevade","BR 262, km 221.","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Erva, ca. 70 cm alt. Flores amarelas.; A beira da estrada.Campo rupestre.","SPF00032680",NA,"9985","auto",NA,NA,NA,NA,NA
"107","2019-11-13 11:25:36-03","USP","SPF","93559","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","holosericea","Miconia holosericea","(L.) DC.","Goldenberg, R","2011","Pirani, JR","681","1983","05","27",NA,"Brasil","Minas Gerais","João Monlevade","BR 262, KM 225","-43.1735992431641","-19.8099994659424",NA,NA,NA,NA,"SPF00093559",NA,"9985","auto",NA,NA,NA,NA,NA
"108","2019-10-07 09:26:42-03","UEFS","HUEFS","229579","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Cercidoideae","Bauhinia","ovata","Bauhinia ovata","(Bong.) Vogel",NA,NA,"Neves, D.M.","1602","2014","01","06",NA,"Brasil","Minas Gerais","João Monlevade","Floresta Clube João Monlevade.","-43.123611","-19.836111","43W7'25''","19S50'10''",NA,"Mata semidecídua.","HUEFS0229579",NA,NA,NA,NA,NA,"611","611","Rosanae"
"109","2019-10-07 09:28:43-03","UEFS","HUEFS","211007","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Papilionoideae","Swartzia","multijuga","Swartzia multijuga","Vogel",NA,NA,"Neves, D.M.","1599","2014","01","06",NA,"Brasil","Minas Gerais","João Monlevade","RPPN Acelor Mittal.","-43.128056","-19.847222","43W7'41''","19S50'50''",NA,NA,"HUEFS0211007",NA,NA,NA,NA,NA,NA,NA,"Rosanae"
"110","2019-10-07 09:27:29-03","UEFS","HUEFS","21938","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Papilionoideae","Cleobulia","multiflora","Cleobulia multiflora","Mart. ex Benth.","L.P.de Queiroz","1996","Pirani, J.R.",NA,"1983","05","27",NA,"Brasil","Minas Gerais","João Monlevade","Br-262, km 225.","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Beira de mata.","HUEFS0021938",NA,"9985","auto","05",NA,NA,NA,"Rosanae"
"111","2020-02-20 14:37:13-03","IAC","IAC","31034","S","Plantae",NA,NA,"Lacistemataceae","Lacistema","pubescens","Lacistema pubescens","Mart.","R.B. Torres","2019","P.H.A. Pequeno","26","1989","09","14",NA,"Brasil","Minas Gerais","João Monlevade","Mata do Tanque","-43.1736","-19.8101","-43.1736","-19.8101",NA,NA,NA,NA,NA,NA,"04","11",NA,NA,NA
"112","2019-01-25 15:45:28-02","IAC","IAC","19212","S","Plantae",NA,NA,"Proteaceae","Roupala","brasiliensis","Roupala brasiliensis","Klotzsch","P.B. Cavalcante","1967","A.P. Duarte","s/nº","1964","06","19",NA,"Brasil","Minas Gerais","João Monlevade","Estrada","-43.1736","-19.8101","-43.1736","-19.8101",NA,NA,NA,NA,NA,NA,"10","02",NA,NA,NA
"113","2019-11-07 11:20:39-03","UFMG","BHCB-SL","16534","PreservedSpecimen","Plantae",NA,NA,"Selaginellaceae","Selaginella","muscosa","Selaginella muscosa","Spring","Heringer, G","2011","Pequeno, PHA; et al.","85","1989",NA,NA,"América","Brasil","Minas Gerais","João Monlevade","Belgo Mineira.","-43.1735992431641","-19.8099994659424",NA,NA,NA,NA,NA,NA,"9985","auto","02",NA,NA,NA,NA
"114","2019-11-07 11:13:54-03","UFMG","BHCB-SL","16521","PreservedSpecimen","Plantae",NA,NA,"Anemiaceae","Anemia","phyllitidis","Anemia phyllitidis","(L.) Sw.","Salino, A","1994","Pequeno, PHA; et al.","83","1989","09","14","América","Brasil","Minas Gerais","João Monlevade","Belgo Mineira.","-43.1735992431641","-19.8099994659424",NA,NA,NA,NA,NA,NA,"9985","auto","04",NA,NA,NA,NA
"115","2019-11-07 11:15:31-03","UFMG","BHCB-SL","16528","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","occidentale","Blechnum occidentale","L.",NA,NA,"Pequeno, PHA; et al.","84","1989","09","14","América","Brasil","Minas Gerais","João Monlevade","Belgo Mineira.","-43.1735992431641","-19.8099994659424",NA,NA,NA,NA,NA,NA,"9985","auto",NA,NA,NA,NA,NA
"116","2019-11-07 11:17:38-03","UFMG","BHCB-SL","16532","PreservedSpecimen","Plantae",NA,NA,"Lindsaeaceae","Lindsaea",NA,"Lindsaea",NA,NA,NA,"Pequeno, PHA; et al.","91","1989","09","14","América","Brasil","Minas Gerais","João Monlevade","Belgo Mineira.","-43.1735992431641","-19.8099994659424",NA,NA,NA,NA,NA,NA,"9985","auto",NA,NA,NA,NA,NA
"117","2019-11-07 11:15:31-03","UFMG","BHCB-SL","16535","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","occidentale","Blechnum occidentale","L.",NA,NA,"Pequeno, PHA; et al.","81","1989","09","14","América","Brasil","Minas Gerais","João Monlevade","Belgo Mineira.","-43.1735992431641","-19.8099994659424",NA,NA,NA,NA,NA,NA,"9985","auto",NA,NA,NA,NA,NA
"118","2019-11-07 11:20:17-03","UFMG","BHCB-SL","16533","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","vittata","Pteris vittata","L.","Prado, J","1992","Pequeno, PHA","82","1989","09","14","América","Brasil","Minas Gerais","João Monlevade","Belgo Mineira.","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Herbáceo. Mata atlântica.",NA,NA,"9985","auto","07","21",NA,NA,NA
"119","2019-11-07 11:20:34-03","UFMG","BHCB-SL","16536","PreservedSpecimen","Plantae",NA,NA,"Selaginellaceae","Selaginella","flexuosa","Selaginella flexuosa","Spring","Salino, A","2001","Pequeno, PHA; et al.","90","1989",NA,NA,"América","Brasil","Minas Gerais","João Monlevade","Belgo Mineira.","-43.1735992431641","-19.8099994659424",NA,NA,NA,NA,NA,NA,"9985","auto","10",NA,NA,NA,NA
"120","2019-11-07 11:18:55-03","UFMG","BHCB-SL","16894","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Pleopeltis","astrolepis","Pleopeltis astrolepis","(Liebm.) E.Fourn.","Salino, A","1995","Pequeno, PHA; et al.","87","1989","09","14","América","Brasil","Minas Gerais","João Monlevade","Mata atlântica.","-43.1735992431641","-19.8099994659424",NA,NA,NA,"Herbáceo.",NA,NA,"9985","auto","11",NA,NA,NA,NA
"121","2019-09-30 11:24:28-03","IF","SPSF","16860","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Nectandra","nitidula","Nectandra nitidula",NA,"J.B.Baitello","1994","P.H.A.Pequeno","6","1989","09","14","América do Sul","Brasil","MG","Joao Monlevade","Belgo Mineira","-43.1735992431641","-19.8099994659424",NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"9985","auto","04","07",NA,NA,"Magnoliopsida"
"122","2019-11-21 10:05:23-03","IBt","SP","186578","S","Plantae",NA,NA,"Fabaceae","Crotalaria","paulina","Crotalaria paulina","Schrank","Flores, A","2005","Pirani, JR; Yano, O","673","1983","05","27",NA,"Brasil","Minas Gerais","João Monlevade","BR 262, km 221","-43.1735992431641","-19.8099994659424",NA,NA,NA,NA,NA,NA,"9985","auto",NA,NA,NA,NA,NA
"123","2019-11-21 10:05:17-03","IBt","SP","186316","S","Plantae",NA,NA,"Fabaceae","Cleobulia","multiflora","Cleobulia multiflora","Mart. ex Benth.","Mantovani, W","1983","Pirani, JR; Yano, O","680","1983","05","27",NA,"Brasil","Minas Gerais","João Monlevade","BR 262, km 225","-43.1735992431641","-19.8099994659424",NA,NA,NA,NA,"SP026350","SP026350","9985","auto","08",NA,NA,NA,NA
"124","2019-11-21 10:10:08-03","IBt","SP","186314","S","Plantae",NA,NA,"Melastomataceae","Miconia","holosericea","Miconia holosericea","(L.) DC.","Chagas, ECO","2011","Pirani, JR; Yano, O","681","1983","05","27",NA,"Brasil","Minas Gerais","João Monlevade","Br 262, Km 225. Capoeira","-43.1735992431641","-19.8099994659424",NA,NA,NA,NA,NA,NA,"9985","auto","07","04",NA,NA,NA
