"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","infraspecificEpithet","typeStatus","individualCount","class","relatedCatalogItem"
"1","2019-12-16 18:15:54-03","NYBG","NYBG","00940343","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","ericoides","Cuphea ericoides","Cham. & Schltdl.","T. B. Cavalcanti","1989","02","15","T. B. Cavalcanti","179","1989","02","15","South America","Brazil","Minas Gerais","Presidente Kubitschek","BR-269 - Serro-Datas. 35 km.","-43.65","-18.47","-43.65","-18.47","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=968505 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00940343","NY00940343",NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 16:51:14-03","NYBG","NYBG","908837","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","pohlii","Lychnophora pohlii","Sch.Bip.","B. Loeuille","2009",NA,NA,"T. B. Cavalcanti","183","1989","02","15","South America","Brazil","Minas Gerais","Presidente Kubitschek","BR-269, Serro-Datas, 35 km.","-43.65","-18.47","-43.65","-18.47","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978634 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00908837","NY00908837",NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:41:52-03","NYBG","NYBG","00898501","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Actinocephalus","geniculatus","Actinocephalus geniculatus","(Bong.) F.N.Costa","M. L. O. Trovó","2015",NA,NA,"N. Hensold","529","1982","02","20","South America","Brazil","Minas Gerais","Presidente Kubitschek","Along the Datas-Sêrro road, 9 km E of jct. with road to Costa Sena.","-43.575","-18.5722","-43.5750","-18.5722","1250","1250","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=970935 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00898501","NY00898501",NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:34:18-03","NYBG","NYBG","898693","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","longiflora","Barbacenia longiflora","Mart.","R. de Mello-Silva","1998","06",NA,"J. R. Pirani","4075","1998","03","01","South America","Brazil","Minas Gerais","Presidente Kubitschek","Rodovia Datas-Serro, ramal para Costa Senna","-43.6722","-18.6528","-43.6722","-18.6528","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=976866 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00898693","NY00898693",NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 17:17:56-03","NYBG","NYBG","02707951","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","ramosa","Chamaecrista ramosa","(Vogel) H.S.Irwin & Barneby",NA,NA,NA,NA,"M. M. T. Cota","661","2014","01","13","South America","Brazil","Minas Gerais","Presidente Kubitschek","Trinta Réis, rodovia Datas-Serro (BR 259), km 442, ca. de 500 m NW de Trinta Réis. Grande inselberg quartzitico ao lado da rodovia.","-43.59189","-18.57269","-43.59189","-18.57269","1190","1190","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2992889 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02707951","NY02707951",NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 17:18:28-03","NYBG","NYBG","00960873","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","semaphora","Chamaecrista semaphora","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","R. C. Barneby",NA,NA,NA,"G. G. Hatschbach","53106","1989","05","23","South America","Brazil","Minas Gerais","Presidente Kubitschek","Rod. BR-259","-43.5619","-18.6144","-43.5619","-18.6144","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051767 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00960873","NY00960873",NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:15:53-03","NYBG","NYBG","00940576","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","acinos","Cuphea acinos","A.St.-Hil.","T. B. Cavalcanti",NA,NA,NA,"S. A. T. Graham","875","1982","03","13","South America","Brazil","Minas Gerais","Presidente Kubitschek","At Pedro Lesso, 38 km. SE of intersection of Diamantina-Curvelo road on Serro Road.","-43.5619","-18.6144","-43.5619","-18.6144","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953105 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00940576","NY00940576",NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:15:54-03","NYBG","NYBG","00940306","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Cuphea","diosmifolia","Cuphea diosmifolia","A.St.-Hil.","T. B. Cavalcanti",NA,NA,NA,"S. A. T. Graham","876","1982","03","13","South America","Brazil","Minas Gerais","Presidente Kubitschek","At Pedro Lesso, 38 km. SE of intersection of Diamantina-Curvelo road on Serro Road.","-43.5619","-18.6144","-43.5619","-18.6144","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=959327 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00940306","NY00940306",NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 17:38:53-03","NYBG","NYBG","950073","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Declieuxia",NA,"Declieuxia",NA,NA,NA,NA,NA,"T. B. Cavalcanti","182","1989","02","15","South America","Brazil","Minas Gerais","Presidente Kubitschek","BR-269 - Serro-Datas. 35 km.","-43.65","-18.47","-43.65","-18.47","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1049246 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00950073","NY00950073",NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 18:16:12-03","NYBG","NYBG","00940277","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","glaucescens","Diplusodon glaucescens","DC.","S. A. T. Graham",NA,NA,NA,"S. A. T. Graham","874","1982","03","13","South America","Brazil","Minas Gerais","Presidente Kubitschek","33 km. SE of intersection of Diamantina-Curvelo road with road to Serro, on Serro Road.","-43.5619","-18.6144","-43.5619","-18.6144","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1012054 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00940277","NY00940277",NA,NA,NA,NA,NA,NA,NA
"11","2019-12-16 18:16:12-03","NYBG","NYBG","00941149","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Lythraceae","Diplusodon","glaucescens","Diplusodon glaucescens","DC.","T. B. Cavalcanti","1997","04","24","T. B. Cavalcanti","2286","1997","04","24","South America","Brazil","Minas Gerais","Presidente Kubitschek","Rodovia Serro-Diamantina, km. 34.","-43.5686","-18.5797","-43.5686","-18.5797","1407","1407","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1007823 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00941149","NY00941149",NA,NA,NA,NA,NA,NA,NA
"12","2019-12-16 17:34:17-03","NYBG","NYBG","971667","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","fasciculata","Ditassa fasciculata","E.Fourn.","A. Rapini","1999",NA,NA,"A. Rapini","514","1998","03","01","South America","Brazil","Minas Gerais","Presidente Kubitschek","Estrada para Costa Sena.","-43.6722","-18.6528","-43.6722","-18.6528","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1090834 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00971667","NY00971667",NA,NA,NA,NA,NA,NA,NA
"13","2019-12-16 18:37:40-03","NYBG","NYBG","02171508","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Bromeliaceae","Dyckia","saxatilis","Dyckia saxatilis","Mez",NA,NA,NA,NA,"R. C. Forzza","1518","2000","01","01","South America","Brazil","Minas Gerais","Presidente Kubitschek","Estrada Datas-Serro, 35 km de Datas. Ao lado da nascente do Jequitinhonha.","-43.562198638916","-18.6144008636475",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2320132 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02171508","NY02171508","13347","auto",NA,NA,NA,NA,NA
"14","2019-12-16 16:55:47-03","NYBG","NYBG","00837975","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","scapigera","Gomphrena scapigera","Mart.","F. N. Costa","2002","02",NA,"F. N. Costa","318","2001","07","10","South America","Brazil","Minas Gerais","Presidente Kubitschek","Limite entre Presidente Kubitschek e Serro. Ramo vicinal á direita na altura do km 438.","-43.5622","-18.6144","-43.5622","-18.6144","1270","1270","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=931052 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00837975","NY00837975",NA,NA,NA,NA,NA,NA,NA
"15","2019-12-16 16:42:18-03","NYBG","NYBG","01023377","PreservedSpecimen","Plantae","Magnoliophyta","Aquifoliales","Aquifoliaceae","Ilex","subcordata","Ilex subcordata nummularioides","Loes.","S. M. Andrews",NA,NA,NA,"G. G. Hatschbach","51030","1987","03","17","South America","Brazil","Minas Gerais","Presidente Kubitschek","Rod. BR-259, km 433","-43.5619","-18.6144","-43.5619","-18.6144",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190775 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01023377","NY01023377",NA,NA,"nummularioides",NA,NA,NA,NA
"16","2019-12-16 19:00:14-03","NYBG","NYBG","01090469","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Merremia","tomentosa","Merremia tomentosa","(Choisy) Hallier f.","M. E. R. Junqueira","2004","12",NA,"J. G. Jardim","4203","2004","01","21","South America","Brazil","Minas Gerais","Presidente Kubitschek","2,5 km de Costa Sena","-43.6703","-18.6614","-43.6703","-18.6614","1069","1069","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1222524 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01090469","NY01090469",NA,NA,NA,NA,NA,NA,NA
"17","2019-12-16 18:25:34-03","NYBG","NYBG","02578449","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Microlicia",NA,"Microlicia",NA,NA,NA,NA,NA,"M. Verdi","7042","2014","02","14","South America","Brazil","Minas Gerais","Presidente Kubitschek","Viveiro de mudas em Andrequicé.","-43.659722","-18.635","-43.659722","-18.635",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2833576 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02578449","NY02578449",NA,NA,NA,NA,NA,NA,NA
"18","2019-12-16 17:26:04-03","NYBG","NYBG","00957602","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","setosa","Mimosa setosa paludosa","(Benth.) Barneby","R. C. Barneby","1987",NA,NA,"G. G. Hatschbach","51036","1987","03","17","South America","Brazil","Minas Gerais","Presidente Kubitschek","Rod. BR-259, km 433","-43.5619","-18.6144","-43.5619","-18.6144",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1016888 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00957602","NY00957602",NA,NA,"paludosa",NA,NA,NA,NA
"19","2019-12-16 18:42:10-03","NYBG","NYBG","00860496","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","argenteus","Paepalanthus argenteus argenteus","Körn.","N. Hensold","1986",NA,NA,"N. Hensold","517","1982","02","23","South America","Brazil","Minas Gerais","Presidente Kubitschek","Ca. 1 km N of Costa Sena on road to Datas","-43.67","-18.6639","-43.67","-18.6639","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=962197 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00860496","NY00860496",NA,NA,"argenteus",NA,NA,NA,NA
"20","2019-12-16 18:42:27-03","NYBG","NYBG","00898011","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","nigrescens","Paepalanthus nigrescens","Silveira","N. Hensold","1986",NA,NA,"N. Hensold","527","1982","02","20","South America","Brazil","Minas Gerais","Presidente Kubitschek","Along the Datas-Sêrro road, 9 km E of jct. with road to Costa Sena","-43.575","-18.5722","-43.5750","-18.5722","1250","1250","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=965594 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00898011","NY00898011",NA,NA,NA,NA,NA,NA,NA
"21","2019-12-16 16:58:51-03","NYBG","NYBG","01067693","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Tripogandra","diuretica","Tripogandra diuretica","(Mart.) Handlos","M. H. Nee","2012",NA,NA,"J. G. Jardim","4189","2004","01","21","South America","Brazil","Minas Gerais","Presidente Kubitschek","Estrada Tombadouro/Costa Sena, ca. 2,0 km do distrito de Costa Sena. Floresta de galeria do Rio Paraúna","-43.6764","-18.6664","-43.6764","-18.6664","1065","1065","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1214740 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01067693","NY01067693",NA,NA,NA,NA,NA,NA,NA
"22","2019-12-16 18:34:18-03","NYBG","NYBG","1018617","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","abietina","Vellozia abietina","Mart.","R. de Mello-Silva","2005",NA,NA,"R. de Mello-Silva","2673","2004","12","15","South America","Brazil","Minas Gerais","Presidente Kubitschek","Rodovia Datas - Serro, 20.5 km ao sul da ponte sobre o Riberão de Datas.","-43.5925","-18.5719","-43.5925","-18.5719","1192","1192","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1261349 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01018617","NY01018617",NA,NA,NA,NA,NA,NA,NA
"23","2019-12-16 18:34:19-03","NYBG","NYBG","898870","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","declinans","Vellozia declinans","Goethart & Henrard","R. de Mello-Silva","1998","06",NA,"J. R. Pirani","4074","1998","03","01","South America","Brazil","Minas Gerais","Presidente Kubitschek","Rodovia Datas-Serro, ramal para Costa Senna","-43.6722","-18.6528","-43.6722","-18.6528","1000","1000","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978041 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00898870","NY00898870",NA,NA,NA,NA,NA,NA,NA
"24","2019-12-16 18:34:19-03","NYBG","NYBG","1018403","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","epidendroides","Vellozia epidendroides","Mart. ex Schult.f.","R. de Mello-Silva","2005",NA,NA,"R. de Mello-Silva","2672","2004","12","15","South America","Brazil","Minas Gerais","Presidente Kubitschek","Rodovia Datas - Serro, 20.5 km ao sul da ponte sobre o Riberao de Datas.","-43.5925","-18.5719","-43.5925","-18.5719","1192","1192","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1259009 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01018403","NY01018403",NA,NA,NA,NA,NA,NA,NA
"25","2019-12-16 18:34:19-03","NYBG","NYBG","1039485","PreservedSpecimen","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","hirsuta","Vellozia hirsuta","Goethart & Henrard","R. de Mello-Silva","2009",NA,NA,"R. de Mello-Silva","3177","2009","03","15","South America","Brazil","Minas Gerais","Presidente Kubitschek","Trinta Réis, rodovia Datas - Serro (BR 259), km 442, ca. de 500 m NW de Trinta Réis.","-43.59189","-18.57269","-43.59189","-18.57269","1190","1190","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1486470 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039485","NY01039485",NA,NA,NA,NA,NA,NA,NA
"26","2019-12-16 18:47:32-03","NYBG","NYBG","872482","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Xyridaceae","Xyris","asperula","Xyris asperula","Mart.","M. das G. L. Wanderley","2003","04","08","T. B. Cavalcanti","181","1989","02","15","South America","Brazil","Minas Gerais","Presidente Kubitschek","BR-269 - Serro-Datas. 35 km.","-43.65","-18.47","-43.65","-18.47","1200","1200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945310 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00872482","NY00872482",NA,NA,NA,NA,NA,NA,NA
"27","2019-10-09 11:28:41-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Epistephium","sclerophyllum","Epistephium sclerophyllum","Lindl.","Batista, JAN","2003",NA,NA,"Hatschbach, G; Hatschbach, M; Barbosa, E","67374","1997","11","21","Southern America","Brasil","Minas Gerais","Presidente Kubitschek","Rod. MG-259, 3-5 km L da divisa com Datas","-43.55","-18.6","-43.55","-18.6",NA,NA,NA,"ereta. Flor purpúrea, labelo mais escuro.; solo arenoso.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-10-09 11:28:41-03","UFBA","ALCB","68868","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Epistephium","williamsii","Epistephium williamsii","Hook.f.","Carvalho, DN","2014","09","12","Hatschbach, G; Hatschbach, M; Barbosa, E","67374","1997","11","21","Southern America","Brasil","Minas Gerais","Presidente Kubitschek","Rod. MG-259, 3-5 km L da divisa com Datas","-43.55","-18.6","-43.55","-18.6",NA,NA,NA,"ereta. Flor purpúrea, labelo mais escuro.; solo arenoso.","ALCB007594","ALCB007594",NA,NA,NA,NA,NA,NA,NA
"29","2019-10-09 11:28:17-03","UFBA","ALCB","036854","PreservedSpecimen","Plantae","Monocotyledon",NA,"Eriocaulaceae","Paepalanthus","scandens","Paepalanthus scandens","(Brong.) Vog.","Sano, PT","1996","06",NA,"Souza, VC; Miyagi, PH; Souza, PadreJP de","8468","1995","03","13","Southern America","Brasil","Minas Gerais","Presidente Kubitschek","ca. 20 Km de Datas em direção a Serro, Km 444","-43.583333","-18.566667","-43.583333","-18.566667","1200","1200",NA,"capítulos alvos.; campo arenoso.","ALCB016830","ALCB016830",NA,NA,NA,NA,NA,NA,NA
"30","2020-02-13 14:07:55-03","MN","R","219354","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","cipoensis","Vriesea cipoensis","O.B.C. Ribeiro, C.C. Paula & Guarçoni","Moura, R.","2014","01",NA,"Moura, R.; Oliveira, A.","663","2008","07","15",NA,"Brasil","Minas Gerais","Presidente Kubitschek",NA,"-43.562198638916","-18.6144008636475",NA,NA,NA,NA,NA,NA,"R010011935",NA,"13347","auto",NA,NA,NA,NA,NA
"31","2020-02-13 14:07:55-03","MN","R","219352","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","cipoensis","Vriesea cipoensis","O.B.C. Ribeiro, C.C. Paula & Guarçoni","Moura, R.","2014","01",NA,"Moura, R.; Oliveira, A.","664","2008","08","15",NA,"Brasil","Minas Gerais","Presidente Kubitschek",NA,"-43.562198638916","-18.6144008636475",NA,NA,NA,NA,NA,NA,"R010011934",NA,"13347","auto",NA,NA,NA,NA,NA
"32","2020-03-10 08:27:09-03","UFV","VIC","38020","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Echinocoryne","schwenkiaefolia","Echinocoryne schwenkiaefolia","(Mart. ex DC.) H. Rob.","Lorencini, T.S.","2012","08","10","Lorencini, T.S.; Coutinho, Í.A.C.","403","2012","08","10",NA,"Brasil","Minas Gerais","Presidente Kubitschek","Campo rupestre graminoso.","-43.499","-19.219889","-43.499","-19.219889",NA,NA,NA,"Erva, c.a. de 15 - 30 cm de altura. Caule simples. Folhas ovadas, griseo-velutinas. Capítulos passados com frutos.","VIC038020",NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-03-10 08:27:09-03","UFV","VIC","38022","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Echinocoryne","schwenkiaefolia","Echinocoryne schwenkiaefolia","(Mart. ex DC.) H. Rob.","Lorencini, T.S.","2012","08","10","Lorencini, T.S.; Coutinho, Í.A.C.","404","2012","08","10",NA,"Brasil","Minas Gerais","Presidente Kubitschek","Campo rupestre graminoso.","-43.499","-19.219889","-43.499","-19.219889",NA,NA,NA,"Subarbusto, caule ramificado, decumbente com porção ereta, c.a. de 40 cm de altura; folhas ovadas, griseo-velutinas. Capítulos passados e queimados, presença de frutos.","VIC038022",NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-21 14:48:06-03","UFJF","CESJ","28720","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lippia","pohliana","Lippia pohliana","Schau.","F.R.G. Salimena","1996","03",NA,"V.C. Souza; et al.","8476","1995","03","13","América do Sul","Brasil","Minas Gerais","Presidente Kubitschek","20 km de Datas em direção a Serro.","-43.562198638916","-18.6144008636475",NA,NA,NA,NA,NA,"Arbusto,ca.1,0m.alt.Flores passando de alvas para lilás-claras.Entre rochas.Campo rupestre.","CESJ028720",NA,"13347","auto",NA,NA,NA,NA,NA
"35","2019-11-21 14:35:54-03","UFJF","CESJ","63049","PreservedSpecimen","Plantae","Angiosperma",NA,"Fabaceae","Aeschynomene","vogelii","Aeschynomene vogelii","Rudd","C.M. Siniscalchi","2010","11",NA,"V.C. Souza; P.H. Miyagi; J. Paula-Souza","8459","1995","03","13","América do Sul","Brasil","Minas Gerais","Presidente Kubitschek","A ca. 20 km de Datas em direção a Serro, km 444.","-43.562198638916","-18.6144008636475",NA,NA,NA,NA,NA,"Arbusto viscoso, até 2m alt., flores amarelas. Entre rochas.","CESJ063049",NA,"13347","auto",NA,NA,NA,NA,NA
"36","2019-11-21 14:40:10-03","UFJF","CESJ","43837","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Marlierea","laevigata","Marlierea laevigata","(DC) Kiaersk.","M. Sobral",NA,NA,NA,"G. Hatschbach; et al.","67358","1997","11","21","América do Sul","Brasil","Minas Gerais","Presidente Kubitschek","MG-259","-43.562198638916","-18.6144008636475",NA,NA,NA,NA,NA,NA,"CESJ043837",NA,"13347","auto",NA,NA,NA,NA,NA
"37","2019-11-21 14:35:28-03","UFJF","CESJ","53314","PreservedSpecimen","Plantae","Angiosperma",NA,"Eriocaulaceae","Syngonanthus","fuscescens","Syngonanthus fuscescens","Ruhl.","N.Hensold","2001",NA,NA,"G. Hatschbach; M. Hatschbach; E. Barbosa","68226","1998","07","25","América do Sul","Brasil","Minas Gerais","Presidente Kubitschek","Rod. BR-259, próx. ao trevo para P.Kubitschek","-43.562198638916","-18.6144008636475",NA,NA,NA,NA,NA,"Campo rupestre, solo arenoso.","CESJ053314",NA,"13347","auto",NA,NA,NA,NA,NA
"38","2019-11-21 14:31:14-03","UFJF","CESJ","38400","PreservedSpecimen","Plantae","Angiosperma",NA,"Asteraceae","Aspilia","subpetiolata","Aspilia subpetiolata","Baker.","H.Robison","2002",NA,NA,"G. Hatschbach; et al.","67372","1997","11","21","América do Sul","Brasil","Minas Gerais","Presidente Kubitschek","Rod.MG-259, 3-5 Km da divisa com Datas","-43.562198638916","-18.6144008636475",NA,NA,NA,NA,NA,"Arbusto, 1 m, capítulo amarelo. Campo rupestre, solo arenoso, junto a córrego.","CESJ038400","CESJ038400","13347","auto",NA,NA,NA,NA,NA
"39","2020-03-11 11:53:41-03","UFMS","CGMS","75132","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","scandens","Paepalanthus scandens","Ruhland","P. T. Sano",NA,NA,NA,"V. C. Souza; P. H. Miyagi & J. P. Souza",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Presidente Kubitschek","20Km De Datas Em Direcao A Serro, Km 444.","-43.562198638916","-18.6144008636475",NA,NA,NA,NA,NA,"Capítulos alvos. Doacao Do Herbario Esa - Universidade De Sao Paulo. CPAP - 16538. Habitat: Campo Rupestre. Habito: Erva.","CGMS1108044",NA,"13347","auto",NA,NA,NA,NA,NA
"40","2020-03-11 11:53:41-03","UFMS","CGMS","60276","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","manicatus","Paepalanthus manicatus","Poulsen ex Malme","P. T. Sano",NA,NA,NA,"V. C. Souza; P. H. Miyagi & J. P. Souza",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Presidente Kubitschek","20Km De Datas Em Direção a Serro, Km 444.","-43.562198638916","-18.6144008636475",NA,NA,NA,NA,NA,"Capítulos alvos. Doacao Do Herbario Esa - Universidade De Sao Paulo. CPAP - 16539. Habitat: Campo Rupestre. Na sombra de blocos rochosos. Habito: Erva.","CGMS1108042",NA,"13347","auto",NA,NA,NA,NA,NA
"41","2020-02-10 17:55:57-03","UNICAMP","UEC","189334","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","guianensis","Myrcia guianensis","(Aubl.) A.DC.","Lima, DF","2015",NA,NA,"Lima, DF; Trad, RJ","530","2014","11","14",NA,"Brazil","Minas Gerais","Presidente Kubitschek","Rod. BR-259, enrtre Sêrro e Datas, entre km 443 e 444.","-43.766111","-18.574167","-43.766111","-18.574167","1035","1035",NA,"Arbusto 1 m. Frutos imaturos verdes e maduros vermelhos a negros.; Cerrado","UEC120122","UEC120122",NA,NA,NA,NA,NA,NA,NA
"42","2020-02-10 17:55:57-03","UNICAMP","UEC","189336","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","guianensis","Myrcia guianensis","(Aubl.) A.DC.","Lima, DF","2016",NA,NA,"Lima, DF; Trad, RJ","528","2014","11","14",NA,"Brazil","Minas Gerais","Presidente Kubitschek","Rod. MG-010 entre Sêrro e Datas.","-43.491667","-18.573889","-43.491667","-18.573889","1067","1067",NA,"Ávore 2,5 m. Flores brancas.; Cerrado","UEC120120","UEC120120",NA,NA,NA,NA,NA,NA,NA
"43","2019-08-20 10:10:56-03","UNICAMP","UEC","75309","S","Plantae","Magnoliopsida",NA,"Ericaceae","Gaylussacia","virgata","Gaylussacia virgata virgata","Mart. ex Meisn.","Romão, GO","2007",NA,NA,"Souza, VC; Miyage, PH; Souza, JP","8484","1995","03","13",NA,"Brazil","Minas Gerais","Presidente Kubitschek","Ca. 20km de Datas em direção a Serro. Km 444.","-43.593306","-18.571889","-43.593306","-18.571889","1200","1200",NA,"Subarbusto procumbente. Flores alvas. Entre rochas.; Campo rupestre.","UEC059156","UEC059156",NA,NA,"virgata",NA,NA,NA,NA
