"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode"
"1","2020-03-10 08:29:12-03","UFV","VIC","37802","PreservedSpecimen","Plantae","Mimosoideae","Albizia","polycephala","Albizia polycephala","(Benth.) Killip","Batista, M.L.","2012","04","19","Batista, M.L.; Vieira, D.M.","s.n.","2012","01","20","Brasil","Minas Gerais","Caranaíba","Às margens do ribeirão do Papagaio","-43.719167","-20.838889","-43.719167","-20.838889","Árvore 9m alt., com flores.","VIC037802"
"2","2020-03-10 08:29:19-03","UFV","VIC","37793","PreservedSpecimen","Plantae","Mimosoideae","Inga","marginata","Inga marginata","Willd.","Batista, M.L.","2012","09","02","Batista, M.L.; Vieira, D.M.","s.n.","2012","09","02","Brasil","Minas Gerais","Caranaíba","Cachoeira Ribeirão do Papagaio, Estrada de terra.","-43.715556","-20.839167","-43.715556","-20.839167","Árvore 7m alt., com frutos.","VIC037793"
