"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","monthIdentified","dayIdentified","identifiedBy","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-10-02 14:50:31-03","UFMG","BHCB","170261","PreservedSpecimen","Plantae","Dicotyledon","Asteraceae","Mikania","lanuginosa","Mikania lanuginosa","DC.","2016","Kamino, LHY; Maielo Silva, L","1137","2008","09","04","Southern America","Brasil","Minas Gerais","Sardoá","Fazenda do Sr. Sérgio.","-42.3650016784668","-18.7835998535156","14112","Trepadeira, cálice verde.","BHCB039411","auto",NA,NA,NA,NA,NA,NA,NA
"2","2019-10-02 14:54:37-03","UFMG","BHCB","170254","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Senna","multijuga","Senna multijuga","(Rich.) H.S.Irwin & Barneby",NA,"Kamino, LHY; Maielo Silva, L","1128","2008","09","04","Southern America","Brasil","Minas Gerais","Sardoá","Fazenda Sérgio","-42.3650016784668","-18.7835998535156","14112","Arbóreo, frutos maduros secos","BHCB045885","auto",NA,NA,NA,NA,NA,NA,NA
"3","2019-10-02 14:55:22-03","UFMG","BHCB","170266","PreservedSpecimen","Plantae","Dicotyledon","Lauraceae","Nectandra","reticulata","Nectandra reticulata","(Ruiz & Pav.) Mez","2017","Kamino, LHY; Maielo Silva, L","1147","2008","09","04","Southern America","Brasil","Minas Gerais","Sardoá","Fazenda Sérgio","-42.3650016784668","-18.7835998535156","14112","Arbóreo, 11,2m. Botões florais marrons, látex branco.","BHCB037670","auto","08","15",NA,NA,NA,NA,NA
"4","2019-10-02 14:54:23-03","UFMG","BHCB","170256","PreservedSpecimen","Plantae","Dicotyledon","Fabaceae","Mimosa","velloziana","Mimosa velloziana","Mart.","2015","Kamino, LHY; Maielo Silva, L","1130","2008","09","04","Southern America","Brasil","Minas Gerais","Sardoá","Fazenda Sérgio","-42.3650016784668","-18.7835998535156","14112","Arbóreo, frutos maduros.","BHCB030981","auto","10",NA,NA,NA,NA,NA,NA
"5","2019-11-07 11:19:18-03","UFMG","BHCB-SL","125256","PreservedSpecimen","Plantae",NA,"Pteridaceae","Adiantum",NA,"Adiantum",NA,"2008","Kamino, LHY; Maielo, LS","1136","2008","09","04","América","Brasil","Minas Gerais","Sardoá","Fazenda do Sr. Sérgio., Mata","-42.399756","-18.772511",NA,"Terrestre",NA,NA,"10",NA,"Almeida, TE","-42.399756","-18.772511","700","700"
