"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","coordinatePrecision","geoFlag","phylum","continentOcean","relatedCatalogItem","order"
"33","2018-12-03 11:35:50-02","CEPLAC","CEPEC","63122","S","Plantae","Solanaceae","Solanum","Solanum lycocarpum","G. Martinelli",NA,NA,NA,"J. W. Tabacow",NA,"1994","09","28","Brasil","Minas Gerais","UBÁ","Estrada p/ Ubá, 7Km do entroncamento da Rod. Brasilia de Minas/Coração de Jesus.","-42.942798614502","-21.1200008392334",NA,NA,NA,NA,NA,NA,NA,"lycocarpum",NA,"24067","auto",NA,NA,"30/09/1988",NA
"34","2018-12-03 11:03:54-02","CEPLAC","CEPEC","64456","S","Plantae","Annonaceae","Xylopia","Xylopia sericea","R. de Mello-Silva",NA,NA,NA,"D. M. Johnson","1836","1991","07","12","Brasil","Minas Gerais","UBÁ","Rod. P/ o aeroporto. Ca. 5Km da Rod. Ubá/Guidoval, 0.1Km na junção da Rod. Ubá/Guidoval.","-42.942798614502","-21.1200008392334",NA,NA,NA,NA,NA,NA,NA,"sericea",NA,"24067","auto",NA,NA,"30/08/2002",NA
"35","2019-02-27 14:03:40-03","UFSJ","HUFSJ","621","S","Plantae","Solanaceae","Nicotiana","Nicotiana tabacum",NA,NA,NA,NA,"Teixeira, F","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Ubá",NA,"-42.942798614502","-21.1200008392334",NA,NA,NA,NA,"Presença de formigas e insetos voadores na planta no ato da coleta.","HUFSJ000621",NA,"tabacum","L.","24067","auto",NA,NA,NA,NA
"36","2019-02-27 14:01:33-03","UFSJ","HUFSJ","72","S","Plantae","Acanthaceae","Justicia","Justicia brandegeana",NA,NA,NA,NA,"Teixeira, F","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Ubá",NA,"-42.942798614502","-21.1200008392334",NA,NA,NA,NA,"Presença de borboletas na planta no ato da coleta.","HUFSJ000072",NA,"brandegeana","Wassh. & L.B. Sm.","24067","auto",NA,NA,NA,NA
"37","2019-02-27 14:01:45-03","UFSJ","HUFSJ","41","S","Plantae","Asteraceae","Gymnanthemum","Gymnanthemum",NA,NA,NA,NA,"Lopes, MD","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Ubá",NA,"-42.942798614502","-21.1200008392334",NA,NA,NA,NA,"Planta arbórea, com folhas pilosas, flores com grande número de grãos de pólen , sem cheiro e cor forte característica.","HUFSJ000041",NA,NA,NA,"24067","auto",NA,NA,NA,NA
"38","2019-12-09 10:46:12-03","UFSJ","HUFSJ","489","S","Plantae","Orchidaceae","Vanda","Vanda teres",NA,NA,NA,NA,"Teixeira, NC","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Ubá","Rua Francisco de Paula Ribeiro, 129, Eldorado","-42.942798614502","-21.1200008392334",NA,NA,NA,NA,"Planta cultivada em um pé de manga. As flores apresenta, cor roxa e branco. Não apresentam cheiro característico. Havia um inseto polinizador, percevejo, no ato da coleta.","HUFSJ000489",NA,"teres",NA,"24067","auto",NA,NA,NA,NA
"39","2019-02-27 14:01:40-03","UFSJ","HUFSJ","2","S","Plantae","Asteraceae","Achyrocline","Achyrocline satureioides",NA,NA,NA,NA,"Padilha, MA","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Ubá","zona rural","-42.942798614502","-21.1200008392334",NA,NA,NA,NA,"Planta medicinal","HUFSJ000002",NA,"satureioides","(Lam.) DC.","24067","auto",NA,NA,NA,NA
"40","2019-02-27 14:03:40-03","UFSJ","HUFSJ","119","S","Plantae","Solanaceae","Cestrum","Cestrum nocturnum",NA,NA,NA,NA,"Padilha, MA","s.n.",NA,NA,NA,"Brasil","Minas Gerais","Ubá","zona rural","-42.942798614502","-21.1200008392334",NA,NA,NA,NA,"Planta com látex, espécie arbustiva, dentre vários gêneros que recebem a mesma denimonação.","HUFSJ000119",NA,"nocturnum","L.","24067","auto",NA,NA,NA,NA
"41","2019-11-18 16:28:40-03","UEL","FUEL","16660","PreservedSpecimen","Plantae","Poaceae","Merostachys","Merostachys",NA,NA,NA,NA,"Silva, RV; Toledo, A","11","2014","03","02","Brasil","Minas Gerais","Ubá","Fazenda Solidão, Córrego Fundo","-42.934056","-21.09025","-42.934056","-21.09025","454","454","Indivíduo com colmos de 5 a 7m de altura, inicialmente eretos e posteriormente inclinando-se sobre a vegetação adjacente. Entrenós com 11 a 58cm de comprimento, 2,5cm de diâmetro, verde com máculas amarelas, região supranodal escabro","FUEL019292",NA,NA,NA,NA,NA,"Tracheophyta",NA,NA,"Poales"
"42","2017-01-18 16:18:41-02","UnB","UB","184490","S","Plantae","Aristolochiaceae","Aristolochia","Aristolochia cymbifera","Krieger, L","1977","09","22","Krieger, L; Brugger, M","15273","1977","09","22","Brasil","Minas Gerais","Ubá ","Estrada de Ubá para Viçosa","-42.942798614502","-21.1200008392334",NA,NA,NA,NA,"Cipó robusto, volúvel, caule suberoso quando mais velho, folhas orbicular-reniformes com falsas estípulas, base cordada, ápice obtuso, 7-9 nervuras irradiantes, flores solitárias creme-claro com vênulas vermelho-acastanhados. Bojo obovoidal",NA,NA,"cymbifera","Mart. & Zucc.","24067","auto","Dicotyledoneae","Southern America",NA,NA
"43","2019-05-06 11:52:13-03","UFU","HUFU","63305","S","Plantae","Aristolochiaceae","Aristolochia","Aristolochia cymbifera","Krieger, L.","1977","09","22","Krieger, L.; Brugger, M.","15273","1977","09","22","Brasil","Minas Gerais","Ubá","Estrada de Ubá para Viçosa","-42.942798614502","-21.1200008392334",NA,NA,NA,NA,"Cipó robusto, volúvel, caule suberoso quando mais velho, folhas orbiculares-reniformes com falsas estípulas, base cordada, ápice obtuso, 7-9 nervuras irradiantes. Flores creme-claro com vênulas vermelho-acastanhados. Bojo obovoidal.","HUFU00001983","HUFU00001983","cymbifera","Mart. & Zucc.","24067","auto",NA,NA,NA,NA
"44","2017-09-11 16:26:17-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Acanthaceae","Stenandrium","Stenandrium hirsutum",NA,NA,NA,NA,"Pohl, JBE","s.n.",NA,NA,NA,"Brazil","Minas Gerais","Ubá ","Ad S. Jozé, prov. Minarum","-42.94","-21.12","-42.94","-21.12",NA,NA,NA,NA,NA,"hirsutum","Nees",NA,NA,NA,"Southern America",NA,NA
"45","2017-09-11 17:11:19-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Myrtaceae","Stenocalyx","Stenocalyx ubensis",NA,NA,NA,NA,"Saint-Hilaire, AFCP","s.n.",NA,NA,NA,"Brazil","Minas Gerais","Ubá ","in silvis caeduis, vulgo Capoeiras, prope vicum Uba, prov MG in confinio RJ, Dryas","-42.9428","-21.12",NA,NA,NA,NA,"Original herbarium: Camb.; Dryas; HABITAT: Dryas",NA,NA,"ubensis","(Cambess.) O.Berg","24067","auto",NA,"Southern America",NA,NA
"46","2017-09-11 16:26:18-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Annonaceae","Bocagea","Bocagea viridis",NA,NA,NA,NA,"Saint-Hilaire, AFCP","s.n.",NA,NA,NA,"Brazil","Minas Gerais","Ubá ","In silvis villa Ubá, in confiniis provinciarum Sebastianopolitanae et Minarum","-42.94","-21.12","-42.94","-21.12",NA,NA,NA,NA,NA,"viridis","A.St.-Hil.",NA,NA,NA,"Southern America",NA,NA
"47","2017-09-11 16:28:41-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Rutaceae","Cusparia","Cusparia macrophylla",NA,NA,NA,NA,"Saint-Hilaire, AFCP","s.n.",NA,NA,NA,"Brazil","Minas Gerais","Ubá ",NA,"-42.94","-21.12","-42.94","-21.12",NA,NA,NA,NA,"P12P2N0023","macrophylla","Engl.",NA,NA,NA,"Southern America",NA,NA
"48","2019-10-14 18:39:10-03","UFRGS","ICN","133271","S","Plantae","Poaceae","Sorghum","Sorghum vulgare","Krieger, PL",NA,NA,NA,"Krieger, PL","14088","1976","03","21","Brasil","MG","Ubá",NA,"-42.942798614502","-21.1200008392334",NA,NA,NA,NA,"doação UFJF.",NA,NA,"vulgare","Pers.","24067","auto","Monocotyledon","América do Sul",NA,NA
