"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","recordNumber","year","month","day","locality","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","previousCatalogNumber","typeStatus","infraspecificEpithet","relatedCatalogItem"
"92","2019-10-14 11:15:01-03","UCS","HUCS","47405","PreservedSpecimen","Plantae","Bryophyta","Hedwigiales","Rhacocarpaceae","Rhacocarpus","inermis","Rhacocarpus inermis","Peralta, D.F.","2010","03","Yano, O.; Santos, D.P.; Pirani, J.R.","Brasil","Espírito Santo","Conceição do Castelo","-41.243889","-20.368333",NA,NA,"sobre concreto da estrada perto do paredao respingando água ao lado da estrada",NA,"(Müll. Hal.) Broth.","4947","1982","11","24",NA,NA,"-41.243889","-20.368333",NA,NA,NA,"600","600",NA,NA,NA,NA,NA,NA
"93","2019-10-14 11:09:44-03","UCS","HUCS","33389","PreservedSpecimen","Plantae","Angiospermae","Fabales","Fabaceae","Machaerium","triste","Machaerium triste","Mendonça, C.V.","1999",NA,"Hatschbach, G.; Zelma, F.J.","Brasil","Espirito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,"Trepadeira lenhosa, flor creme, nervura marrons e tricomas marrons.; Mata Pluvial","auto","Vogel","49920","1985","10","18","Alto Bananal",NA,NA,NA,NA,NA,NA,"800","800",NA,NA,NA,NA,NA,NA
"94","2019-10-14 11:16:37-03","UCS","HUCS","1863","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Saccolomataceae","Saccoloma","elegans","Saccoloma elegans","Smith, A.R.","1986",NA,"Hatschbach, G.; Zelma, F.J.","Brasil","Espirito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,"Frondes até 1,5m, interior sombrio da mata pluvial.","auto","Kaulf.","49928","1985","10","18","Alto Bananal",NA,NA,NA,NA,NA,NA,"800","800",NA,NA,NA,NA,NA,NA
"95","2019-10-14 11:10:03-03","UCS","HUCS","37082","PreservedSpecimen","Plantae","Angiospermae","Fabales","Polygalaceae","Securidaca","diversifolia","Securidaca diversifolia","Marques, M.C.","1991",NA,"Hatschbach, G.; Cervi, A. .C.","Brasil","Espirito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,"trepadeira lenhosa, flor púrpurea; restinga","auto","(L.) Black","51441","1987","08","24","Itaúnas",NA,NA,NA,NA,NA,NA,"5","5",NA,NA,NA,NA,NA,NA
"96","2019-11-27 14:47:23-03","UCS","HUCS","3829","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Rubiaceae","Psychotria","vellosiana","Psychotria vellosiana","Kirkbride Jr, J.H.","1986",NA,"Hatschbach, G.; Silva, J.M.","Brasil","Espirito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,"Arvoreta 5m, flores alvas.; Mata pluvial","auto","Benth.","48650","1984","12","05","Rod - BR 262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","2019-11-27 14:46:41-03","UCS","HUCS","32999","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Orchidaceae","Specklinia","grobyi","Specklinia grobyi","Lourenço, H.","2019","11","Hatschbach, G.; Zelma, F.J.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,"mata pluvial","auto","(Bateman ex Lindl.) Pridgeon & M.W. Chase","49951","1985","10","18","Alto Bananal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","2019-10-14 11:10:03-03","UCS","HUCS","11990","PreservedSpecimen","Plantae","Angiospermae","Fabales","Polygalaceae","Securidaca","lanceolata","Securidaca lanceolata","Lüdtke, R.","2007","09","Hatschbach, G.; Silva, J.M.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,"trepadeira lenhosa, flor purpúrea; floresce no alto das árvores da mata pluvial","auto","A. St.-Hil. & Moq.","50697","1986","11","06","Alto Bananal",NA,NA,NA,NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,NA
"99","2019-10-14 11:07:53-03","UCS","HUCS","04188","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Mikania","lundiana","Mikania lundiana","Robinson, H.","1988",NA,"Hatschbach, G.; Cervi, A. .C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,"Orla da mata pluvial","auto","DC.","51327","1987","08","20","Alto Bananal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","2019-10-14 11:12:42-03","UCS","HUCS","10632","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Myrtaceae","Myrcia","anceps","Myrcia anceps","Sobral, M.","1993",NA,"Hatschbach, G.; Silva, J.M.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,"arbusto 4m - flores alvas; mata margens do rio","auto","(Sprengel) O. Berg","50782","1986","11","11","Ribeirão do Meio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","2019-10-14 11:10:11-03","UCS","HUCS","16860","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Apocynaceae","Oxypetalum","banksii","Oxypetalum banksii","Farinaccio, M.A.","2000",NA,"Hatschbach, G.; Silva, J.M.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,"Herbário MBM; base de paredões rochosos","auto","Roem. & Schult.","69167","1999","05","20","Rod. BR-262 - viaduto KM 161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","2019-09-27 18:04:03-03","UFES","VIES","8030","S","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","Coser, T.S.","2011","06","Gomes, J.M.L.; Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","L.B.Sm.","1839","1993","03","20",NA,NA,NA,NA,NA,"VIES008030","VIES008030",NA,NA,"03",NA,NA,NA,NA,NA
"103","2019-06-27 10:25:35-03","UFES","VIES","29348","S","Plantae",NA,NA,"Marantaceae","Calathea",NA,"Calathea",NA,NA,NA,"Siqueira, G.S.; Mareto, F.; Mareto, C.; Mareto, A. & Gonçalves, F.T.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto",NA,"785","2012","09","07",NA,NA,NA,NA,NA,"VIES029348",NA,"895","895",NA,NA,NA,NA,NA,NA
"104","2019-06-27 10:25:48-03","UFES","VIES","31964","S","Plantae",NA,NA,"Myrtaceae","Calyptranthes","grandifolia","Calyptranthes grandifolia","Santos, M.F.","2017",NA,"Zorzanelli, J.P.F.; Mareto, F.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","O.Berg","846","2013","06",NA,NA,NA,NA,NA,NA,"VIES031964","VIES031964","762","762",NA,NA,NA,NA,NA,NA
"105","2019-09-27 18:05:02-03","UFES","VIES","8032","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","magnifica","Sinningia magnifica","Chanteins, A.","1998","12","Gomes, J.M.L.; Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","(Otto & A.Dietr.) Wiehler","1840","1993","03","20",NA,NA,NA,NA,NA,"VIES008032","VIES008032",NA,NA,"11",NA,NA,NA,NA,NA
"106","2019-09-27 18:06:17-03","UFES","VIES","8025","S","Plantae",NA,NA,"Rubiaceae","Psychotria","nuda","Psychotria nuda","Gomes, J.M.L.","2006","10","Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","(Cham. & Schltdl.) Wawra","1415","1993","03","20",NA,NA,NA,NA,NA,"VIES008025","VIES008025",NA,NA,"18",NA,NA,NA,NA,NA
"107","2019-06-27 10:24:11-03","UFES","VIES","31962","S","Plantae",NA,NA,"Balanophoraceae",NA,NA,NA,NA,NA,NA,"Zorzanelli, J.P.F.; Mareto, F.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto",NA,"848","2013","06",NA,NA,NA,NA,NA,NA,"VIES031962","VIES031962","762","762",NA,NA,NA,NA,NA,NA
"108","2019-09-27 18:04:46-03","UFES","VIES","4731","S","Plantae",NA,NA,"Fabaceae","Deguelia","costata","Deguelia costata","R. Camargo","2008","04","Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","(Benth.) A.M.G.Azevedo & R.A.Camargo","783","1990","02","27",NA,NA,NA,NA,NA,"VIES004731","VIES004731",NA,NA,NA,NA,NA,NA,NA,NA
"109","2019-09-27 18:03:37-03","UFES","VIES","31966","S","Plantae",NA,NA,"Araceae","Anthurium","angustifolium","Anthurium angustifolium","Valadares, R.T.","2017","02","Zorzanelli, J.P.F.; Mareto, F.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","Theófilo & Sakur.","844","2013","06",NA,NA,NA,NA,NA,NA,"VIES031966","VIES031966","762","762","21",NA,NA,NA,NA,NA
"110","2019-09-27 18:05:15-03","UFES","VIES","4716","S","Plantae",NA,NA,"Malvaceae","Ceiba","crispiflora","Ceiba crispiflora","T.S. Coutinho","2019","05","Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","(Kunth) Ravenna","798","1990","07","28",NA,NA,NA,NA,NA,"VIES004716","VIES004716",NA,NA,"06",NA,NA,NA,NA,NA
"111","2019-09-27 18:04:56-03","UFES","VIES","8023","S","Plantae",NA,NA,"Fabaceae","Senegalia","polyphylla","Senegalia polyphylla","Lima, H.C. de","2008","08","Vinha, P.C.; Gomes, J.M.L.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","(DC.) Britton & Rose","1418","1993","03","20",NA,NA,NA,NA,NA,"VIES008023","VIES008023",NA,NA,"22",NA,NA,NA,NA,NA
"112","2019-06-27 10:25:42-03","UFES","VIES","4718","S","Plantae",NA,NA,"Meliaceae",NA,NA,NA,NA,NA,NA,"Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto",NA,"796","1990","02","28",NA,NA,NA,NA,NA,"VIES004718","VIES004718",NA,NA,NA,NA,NA,NA,NA,NA
"113","2020-03-09 17:49:52-03","UFES","VIES","30721","S","Plantae",NA,NA,"Fabaceae","Platycyamus","regnellii","Platycyamus regnellii","Júnior, J.G.V.","2012",NA,"Júnior, J.G.V.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","Benth.","s.n.","2012","05","01",NA,NA,NA,NA,NA,"VIES030721",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","2019-09-27 18:04:51-03","UFES","VIES","8021","S","Plantae",NA,NA,"Fabaceae","Machaerium","hirtum","Machaerium hirtum","Lima, H.C. de","2000","10","Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","(Vell.) Stellfeld","1416","1993","03","20",NA,NA,NA,NA,NA,"VIES008021","VIES008021 VIES008021_1",NA,NA,NA,NA,NA,NA,NA,NA
"115","2019-09-27 18:04:51-03","UFES","VIES","4729","S","Plantae",NA,NA,"Fabaceae","Machaerium","hirtum","Machaerium hirtum","Lima, H.C. de","2000","10","Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","(Vell.) Stellfeld","779","1990","03","02",NA,NA,NA,NA,NA,"VIES004729","VIES004729 VIES004729_1",NA,NA,NA,NA,NA,NA,NA,NA
"116","2019-06-27 10:24:30-03","UFES","VIES","31965","S","Plantae",NA,NA,"Celastraceae","Maytenus",NA,"Maytenus",NA,NA,NA,"Zorzanelli, J.P.F.; Mareto, F.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto",NA,"845","2013","06",NA,NA,NA,NA,NA,NA,"VIES031965","VIES031965","762","762",NA,NA,NA,NA,NA,NA
"117","2019-09-27 18:05:28-03","UFES","VIES","8026","S","Plantae",NA,NA,"Moraceae","Dorstenia","arifolia","Dorstenia arifolia","Machado, A.F.P.","2007","08","Gomes, J.M.L.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","Lam.","1836","1993","03","20",NA,NA,NA,NA,NA,"VIES008026","VIES008026",NA,NA,"17",NA,NA,NA,NA,NA
"118","2019-09-27 18:05:15-03","UFES","VIES","8029","S","Plantae",NA,NA,"Malvaceae","Ceiba","crispiflora","Ceiba crispiflora","T.S. Coutinho","2019","05","Vinha, P.C.; Gomes, J.M.L.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","(Kunth) Ravenna","1419","1993","03","20",NA,NA,NA,NA,NA,"VIES008029","VIES008029",NA,NA,"06",NA,NA,NA,NA,NA
"119","2019-06-27 10:24:50-03","UFES","VIES","8024","S","Plantae",NA,NA,"Euphorbiaceae","Croton",NA,"Croton",NA,NA,NA,"Vinha, P.C.; Gomes, J.M.L.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto",NA,"1420","1993","03","20",NA,NA,NA,NA,NA,"VIES008024","VIES008024",NA,NA,NA,NA,NA,NA,NA,NA
"120","2019-09-27 18:06:27-03","UFES","VIES","8028","S","Plantae",NA,NA,"Sapotaceae","Manilkara",NA,"Manilkara","Alves-Araújo, A.","2013","10","Gomes, J.M.L.; Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto",NA,"1837","1993","03","20",NA,NA,NA,NA,NA,"VIES008028","VIES008028",NA,NA,NA,NA,NA,NA,NA,NA
"121","2019-09-27 18:04:43-03","UFES","VIES","31963","S","Plantae",NA,NA,"Fabaceae","Copaifera","trapezifolia","Copaifera trapezifolia","Zorzanelli, J.P.F.","2013","10","Zorzanelli, J.P.F.; Mareto, F.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","Hayne","847","2013","06",NA,NA,NA,NA,NA,NA,"VIES031963","VIES031963","762","762","31",NA,NA,NA,NA,NA
"122","2019-09-27 18:04:48-03","UFES","VIES","6584","S","Plantae",NA,NA,"Fabaceae","Inga","sessilis","Inga sessilis","Chagas, A.P.","2014","07","Gomes, J.M.L.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","(Vell.) Mart.","1841","1993","03","20",NA,NA,NA,NA,NA,"VIES006584","VIES006584",NA,NA,"10",NA,NA,NA,NA,NA
"123","2019-06-27 10:25:21-03","UFES","VIES","4724","S","Plantae",NA,NA,"Iridaceae",NA,NA,NA,NA,NA,NA,"Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","Juncaceae","788","1990","02","26",NA,NA,NA,NA,NA,"VIES004724","VIES004724",NA,NA,NA,NA,NA,NA,NA,NA
"124","2019-09-27 18:05:15-03","UFES","VIES","4717","S","Plantae",NA,NA,"Malvaceae",NA,NA,NA,NA,"2018","03","Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto",NA,"794","1990","02","27",NA,NA,NA,NA,NA,"VIES004717","VIES004717",NA,NA,NA,NA,NA,NA,NA,NA
"125","2019-09-27 18:06:07-03","UFES","VIES","8027","S","Plantae",NA,NA,"Primulaceae","Myrsine","umbellata","Myrsine umbellata","Freitas, M.F.","1999","08","Gomes, J.M.L.; Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","Mart.","1835","1993","03","20",NA,NA,NA,NA,NA,"VIES008027","VIES008027",NA,NA,"11",NA,NA,NA,NA,NA
"126","2019-06-27 10:26:15-03","UFES","VIES","6603","S","Plantae",NA,NA,"Phytolaccaceae","Seguieria",NA,"Seguieria",NA,NA,NA,"Gomes, J.M.L.; Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto",NA,"1834","1993","03","20",NA,NA,NA,NA,NA,"VIES006603","VIES006603",NA,NA,NA,NA,NA,NA,NA,NA
"127","2019-09-27 18:05:26-03","UFES","VIES","8031","S","Plantae",NA,NA,"Meliaceae","Cedrela",NA,"Cedrela","Gomes, J.M.L.","1993","03","Gomes, J.M.L.; Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto",NA,"1842","1993","03","20",NA,NA,NA,NA,NA,"VIES008031","VIES008031",NA,NA,"20",NA,NA,NA,NA,NA
"128","2019-06-27 10:25:13-03","UFES","VIES","8022","S","Plantae",NA,NA,"Fabaceae","Senna","multijuga","Senna multijuga",NA,NA,NA,"Vinha, P.C.; Gomes, J.M.L.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","(Rich.) H.S.Irwin & Barneby","1414","1993","03","20",NA,NA,NA,NA,NA,"VIES008022","VIES008022",NA,NA,NA,NA,NA,NA,NA,NA
"129","2019-09-27 18:03:48-03","UFES","VIES","38126","S","Plantae",NA,NA,"Asteraceae","Cyrtocymura","scorpioides","Cyrtocymura scorpioides","Teles, A.M.","2015","08","Julkoski, D.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","(Lam.) H.Rob.","119","2014","11","03",NA,NA,NA,NA,NA,"VIES038126","VIES038126",NA,NA,"01",NA,NA,NA,NA,NA
"130","2019-06-27 10:25:13-03","UFES","VIES","8020","S","Plantae",NA,NA,"Fabaceae","Senna","macranthera","Senna macranthera",NA,NA,NA,"Vinha, P.C.; Gomes, J.M.L.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","(DC. ex Collad.) H.S.Irwin & Barneby","1421","1993","03","20",NA,NA,NA,NA,NA,"VIES008020","VIES008020",NA,NA,NA,NA,NA,NA,NA,NA
"131","2019-09-27 18:06:34-03","UFES","VIES","38223","S","Plantae",NA,NA,"Urticaceae","Cecropia","glaziovii","Cecropia glaziovii","Moura, R.","2015","11","Julkoski, D.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","Snethl.","114","2014","11","03",NA,NA,NA,NA,NA,"VIES038223","VIES038223",NA,NA,"09",NA,NA,NA,NA,NA
"132","2019-06-27 10:26:45-03","UFES","VIES","24779","S","Plantae",NA,NA,"Sapindaceae","Cardiospermum","heringeri","Cardiospermum heringeri",NA,NA,NA,"Hatschbach, G.; Silva, J.M.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","Ferrucci","50692","1986","11","06","Alto Bananal.",NA,NA,NA,NA,"VIES024779","VIES024779",NA,NA,NA,NA,NA,"Paratipo",NA,NA
"133","2020-03-05 18:19:15-03","UFES","VIES","46288","S","Plantae",NA,NA,"Leucobryaceae","Leucobryum","antillarum","Leucobryum antillarum","K.P. Alves","2020","01","Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","Schimp. ex Besch.","802","1990","02","28","Cachoeira do Vargas.",NA,NA,NA,NA,"VIES046288",NA,NA,NA,"17",NA,NA,NA,NA,NA
"134","2019-06-27 10:24:51-03","UFES","VIES","4721","S","Plantae",NA,NA,"Euphorbiaceae","Croton","floribundus","Croton floribundus","Souza, A.",NA,NA,"Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","Spreng.","792","1990","02","27","Cachoeira do Vargas.",NA,NA,NA,NA,"VIES004721","VIES004721",NA,NA,NA,NA,NA,NA,NA,NA
"135","2019-06-27 10:27:00-03","UFES","VIES","4720","S","Plantae",NA,NA,"Urticaceae","Coussapoa","microcarpa","Coussapoa microcarpa",NA,NA,NA,"Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","(Schott) Rizzini","793","1990","02","27","Cachoeira do Vargas.",NA,NA,NA,NA,"VIES004720","VIES004720",NA,NA,NA,NA,NA,NA,NA,NA
"136","2019-06-27 10:25:45-03","UFES","VIES","4722","S","Plantae",NA,NA,"Monimiaceae","Mollinedia",NA,"Mollinedia",NA,NA,NA,"Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","Perkins","790","1990","02","27","Cachoeira do Vargas.",NA,NA,NA,NA,"VIES004722","VIES004722",NA,NA,NA,NA,NA,NA,NA,NA
"137","2019-06-27 10:26:24-03","UFES","VIES","4719","S","Plantae",NA,NA,"Polygalaceae","Bredemeyera",NA,"Bredemeyera",NA,NA,NA,"Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto",NA,"797","1990","02","28","Cachoeira do Vargas.",NA,NA,NA,NA,"VIES004719","VIES004719",NA,NA,NA,NA,NA,NA,NA,NA
"138","2019-09-27 18:05:17-03","UFES","VIES","4728","S","Plantae",NA,NA,"Malvaceae","Quararibea","penduliflora","Quararibea penduliflora","C.D.M. Ferreira","2019","01","Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","(A.St.-Hil.) K.Schum.","782","1990","02","28","Cachoeira do Vargas.",NA,NA,NA,NA,"VIES004728","VIES004728",NA,NA,"25",NA,NA,NA,NA,NA
"139","2019-06-27 10:23:45-03","UFES","VIES","39068","S",NA,NA,NA,"Indeterminada",NA,NA,NA,NA,NA,NA,"Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto",NA,"803","1990","02","26","Cachoeira do Vargas.",NA,NA,NA,NA,"VIES039068","VIES039068 VIES039068_1",NA,NA,NA,NA,NA,NA,NA,NA
"140","2019-09-27 18:04:05-03","UFES","VIES","4316","S","Plantae",NA,NA,"Bromeliaceae","Vriesea",NA,"Vriesea","Vinha, P.C.","1990","02","Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto",NA,"786","1990","02","26","Distrito de Ribeirão do meio.",NA,NA,NA,NA,"VIES004316","VIES004316",NA,NA,"26",NA,NA,NA,NA,NA
"141","2019-09-27 18:04:03-03","UFES","VIES","4317","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia",NA,"Neoregelia","Vinha, P.C.","1990","02","Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto",NA,"785","1990","02","28","Distrito de Ribeirão do meio.",NA,NA,NA,NA,"VIES004317","VIES004317",NA,NA,"28",NA,NA,NA,NA,NA
"142","2019-09-27 18:04:48-03","UFES","VIES","6585","S","Plantae",NA,NA,"Fabaceae","Inga","marginata","Inga marginata","Peterle, P.L.","2010","06","Gomes, J.M.L.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","Willd.","1838","1993","03","20","Estrada para Pedra Azul.",NA,NA,NA,NA,"VIES006585","VIES006585",NA,NA,"02",NA,NA,NA,NA,NA
"143","2019-06-27 10:25:13-03","UFES","VIES","4730","S","Plantae",NA,NA,"Fabaceae","Senna","multijuga","Senna multijuga",NA,NA,NA,"Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","(Rich.) H.S.Irwin & Barneby","780","1990","03","01","Estreito.",NA,NA,NA,NA,"VIES004730","VIES004730",NA,NA,NA,NA,NA,NA,NA,NA
"144","2020-03-09 17:49:57-03","UFES","VIES","1544","S","Plantae",NA,NA,"Melastomataceae","Marcetia","taxifolia","Marcetia taxifolia","Martins, A.B.","1990","02","Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","(A.St.-Hil.) DC.","s.n.","1984","08","07","Indaiá.",NA,NA,NA,NA,"VIES001544","VIES001544",NA,NA,NA,NA,NA,NA,NA,NA
"145","2019-06-27 10:23:49-03","UFES","VIES","24780","S","Plantae",NA,NA,"Amaranthaceae","Lecosia","oppositifolia","Lecosia oppositifolia","Pedersen, T.M.",NA,NA,"Hatschbach, G.; Cervi, A.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","Pedersen","51339","1988","08","20","Providência.",NA,NA,NA,NA,"VIES024780","VIES024780",NA,NA,NA,NA,NA,"Isotipo",NA,NA
"146","2019-06-27 10:27:02-03","UFES","VIES","4733","S","Plantae",NA,NA,"Xyridaceae",NA,NA,NA,NA,NA,NA,"Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto",NA,"784","1990","02","27","Ribeirão do Meio.",NA,NA,NA,NA,"VIES004733","VIES004733",NA,NA,NA,NA,NA,NA,NA,NA
"147","2019-09-27 18:03:39-03","UFES","VIES","4725","S","Plantae",NA,NA,"Araceae","Anthurium","scandens","Anthurium scandens","Mayo, S.","1992","10","Vinha, P.C.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto","(Aubl.) Engl.","787","1990","02","26","Ribeirão do Meio.",NA,NA,NA,NA,"VIES004725","VIES004725",NA,NA,"16",NA,NA,NA,NA,NA
"148","2019-09-27 18:03:43-03","UFES","VIES","34941","S","Plantae",NA,NA,"Asteraceae",NA,NA,NA,"K.M.P. Abreu","2016","05","Menini, L.","Brasil","Espírito Santo","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,NA,"auto",NA,"1","2016","05","08","Ribeirão do Meio: trilha.",NA,NA,NA,NA,"VIES034941",NA,NA,NA,"20",NA,NA,NA,NA,NA
"149","2019-08-16 08:40:05-03","UTFPR","HCF","19907","S","Plantae",NA,NA,"Melastomataceae","Miconia","hirtella","Miconia hirtella","R. Goldenberg","2010",NA,"G. Hatschbach","Brasil","ES","Conceição do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,"arbusto, 2,50 m, flor creme. Orla mata pluvial.","auto","Cogn.","49900","1985","10","18","Alto Bananal",NA,NA,NA,NA,NA,NA,"800","800",NA,NA,NA,NA,NA,NA
