"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","recordedBy","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","scientificNameAuthorship","recordNumber","year","month","day","locality","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","class","previousCatalogNumber","typeStatus","infraspecificEpithet","relatedCatalogItem"
"11","2019-12-16 17:33:27-03","NYBG","NYBG","784473","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Securidaca","lanceolata","Securidaca lanceolata",NA,NA,NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.256612","-20.378333",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=477475 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"A.St.-Hil. & Moq.","50697","1986","11","06","Alto Bananal.","South America","-41.256612","-20.378333","sheet","NY00784473","NY00784473",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-16 19:01:20-03","NYBG","NYBG","00829149","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum",NA,"Solanum",NA,NA,NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.2439","-20.3683",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=945369 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"L.","49881","1985","10","17","Venda Nova, arredores.","South America","-41.2439","-20.3683","sheet","NY00829149","NY00829149","800","800",NA,NA,NA,NA,NA,NA
"13","2019-12-16 19:03:01-03","NYBG","NYBG","00697300","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","cinnamomeum","Solanum cinnamomeum","M. H. Nee","2004",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.2439","-20.3683",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832767 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Sendtn.","49978","1985","10","20","Venda Nova, Corrego Telest.","South America","-41.2439","-20.3683","sheet","NY00697300","NY00697300","1000","1000",NA,NA,NA,NA,NA,NA
"14","2019-12-16 19:03:35-03","NYBG","NYBG","00701058","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","depauperatum","Solanum depauperatum","M. H. Nee","2004",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.256612","-20.378333",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=839208 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Dunal","49947","1985","10","18","Alto Bananal","South America","-41.256612","-20.378333","sheet","NY00701058","NY00701058","800","800",NA,NA,NA,NA,NA,NA
"15","2019-12-16 19:06:26-03","NYBG","NYBG","770738","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","robustum","Solanum robustum","M. H. Nee","1992",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.256612","-20.378333",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=271694 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"H.L.Wendl.","51331","1987","08","20","Alto Bananal.","South America","-41.256612","-20.378333","sheet","NY00770738","NY00770738","1150","1150",NA,NA,NA,NA,NA,NA
"16","2019-12-16 19:07:20-03","NYBG","NYBG","770267","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","swartzianum","Solanum swartzianum","M. H. Nee","1992",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.256612","-20.378333",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110549 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Roem. & Schult.","49905","1985","10","18","Alto Bananal.","South America","-41.256612","-20.378333","sheet","NY00770267","NY00770267","800","800",NA,NA,NA,NA,NA,NA
"17","2019-12-16 18:49:45-03","NYBG","NYBG","566168","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Sorocea","guilleminiana","Sorocea guilleminiana","C. C. Berg","1988",NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.2439","-20.3683",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315714 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Gaudich.","49883","1985","10","17","Venda Nova","South America","-41.2439","-20.3683","sheet","NY00566168","NY00566168","800","800",NA,NA,NA,NA,NA,NA
"18","2019-12-16 16:35:46-03","NYBG","NYBG","2119408","PreservedSpecimen","Plantae","Bryophyta",NA,"Orthotrichaceae","Macromitrium","podocarpi","Macromitrium podocarpi","W. R. Buck",NA,NA,"G. G. Hatschbach","Brazil","Espírito Santo","Conceiçao do Castelo","-41.2439002990723","-20.3682994842529","17824",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2272258 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto","Müll.Hal.","51346","1987","08","20","Alto Bananal.","South America",NA,NA,"packeted","NY02119408","NY02119408","1100","1100",NA,NA,NA,NA,NA,NA
"19","2019-12-16 18:45:09-03","NYBG","NYBG","01048940","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Merostachys",NA,"Merostachys",NA,NA,NA,"L. G. Clark","Brazil","Espírito Santo","Conceiçao do Castelo","-41.18","-20.33",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1195485 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"693","1990","02","21","BR-262, km 113, forest patch next to Vila Camargo","South America","-41.18","-20.33","sheet","NY01048940","NY01048940","720","720",NA,NA,NA,NA,NA,NA
"20","2019-12-16 18:36:18-03","NYBG","NYBG","557522","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","gaudichaudianum","Piper gaudichaudianum","R. Callejas Posada","2006",NA,"M. M. Arbo","Brazil","Espírito Santo","Conceiçao do Castelo","-41.13","-20.3",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=734087 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Kunth","7742","1997","01","27","1 km W de Venda Nova do Imigrante, entrada a Alto Bananeiras, 5-7 km de la rodovia BR-262","South America","-41.13","-20.30","sheet","NY00557522","NY00557522","900","900",NA,NA,NA,NA,NA,NA
