"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","coordinatePrecision","individualCount","geoFlag","class","infraspecificEpithet","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","typeStatus","relatedCatalogItem"
"5879","2016-12-19 13:51:34-02","PERD","PERD","111","S","Plantae","Rutaceae","Esenbeckia","febrifuga","Esenbeckia febrifuga","(A.St.-Hil.) A.Juss. ex M","Costa, LV",NA,NA,NA,"Costa, LV","s.n.","1994","09",NA,"Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Trilha do Vinhático.","-42.7322006225586","-19.7122001647949",NA,NA,"Arbóreo.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5880","2016-12-19 13:51:32-02","PERD","PERD","84","S","Plantae","Myrtaceae","Eugenia",NA,"Eugenia",NA,NA,NA,NA,NA,"Costa, LV","s.n.","1994","09",NA,"Brasil","MG","Marliéria","Parque Estadual do Rio Doce","-42.7322006225586","-19.7122001647949",NA,NA,"Arbóreo.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5881","2016-12-19 13:51:19-02","PERD","PERD","165","S","Plantae","Bignoniaceae","Fridericia","speciosa","Fridericia speciosa","Mart.","Scudeller, VV","1997","09","24","Scudeller, VV","705","1997","02","25","Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Estrada do restaurante.","-42.7322006225586","-19.7122001647949",NA,NA,"Liana. Cálice e corola liláses. Fruto imaturo verde.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5882","2016-12-19 13:51:19-02","PERD","PERD","18","S","Plantae","Bignoniaceae","Fridericia","speciosa","Fridericia speciosa","Mart.","Lombardi, J",NA,NA,NA,"Costa, LV","s.n.","1995","02","21","Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Limoeiro","-42.7322006225586","-19.7122001647949",NA,NA,NA,NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5883","2016-12-19 13:51:19-02","PERD","PERD","190","S","Plantae","Bignoniaceae","Fridericia","speciosa","Fridericia speciosa","Mart.","Scudeller, VV","1996","06","05","Scudeller, VV","413","1996","05","29","Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Em frente a área de camping.","-42.7322006225586","-19.7122001647949",NA,NA,"Hábito escandente. Fruto imaturo verde.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5884","2016-12-19 13:51:19-02","PERD","PERD","189","S","Plantae","Bignoniaceae","Fridericia","speciosa","Fridericia speciosa","Mart.","Scudeller, VV","1996","06","05","Scudeller, VV","230","1996","03","12","Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Estrada do restaurante.","-42.7322006225586","-19.7122001647949",NA,NA,"Hábito escandente. Cálice e corola magentas claro, interior do tubo amarelo.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5885","2016-12-19 13:51:19-02","PERD","PERD","156","S","Plantae","Bignoniaceae","Fridericia","speciosa","Fridericia speciosa","Mart.","Scudeller, VV","1996","06","05","Scudeller, VV; Lopes, W de P","162","1995","12","12","Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Estrada do restaurante (poste 10), ao lado direito, neste sentido.","-42.7322006225586","-19.7122001647949",NA,NA,"Hábito escandente. Cálice e corola liláses-rosa.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5886","2016-12-19 13:51:19-02","PERD","PERD","188","S","Plantae","Bignoniaceae","Fridericia","speciosa","Fridericia speciosa","Mart.","Scudeller, VV","1996","06","05","Scudeller, VV","136","1995","10","23","Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Lagoa Carioca.","-42.7322006225586","-19.7122001647949",NA,NA,"Beira da lagoa. Hábito escandente. Cálice rosa, corola amarelada. Fruto matudo marrom.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5887","2016-12-19 13:51:19-02","PERD","PERD","184","S","Plantae","Bignoniaceae","Fridericia","speciosa","Fridericia speciosa","Mart.","Scudeller, VV","1996","08","30","Scudeller, VV","547","1996","07","10","Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Lagoa Don Helvécio, indo pelo Porto Capim.","-42.7322006225586","-19.7122001647949",NA,NA,"Beira da lagoa. Liana. Fruto imaturo verde.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5888","2018-12-17 10:18:18-02","PERD","PERD","981","S","Plantae","Cyperaceae","Fuirena","umbellata","Fuirena umbellata","Rottb.","Pivari, MO","2009","07","25","Pivari, MO; Chavier, A","1368","2009","07","25","Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce, Lagoa do Aníbal","-42.4975","-19.784167","-42.4975","-19.784167","Erva em vegetação aquática flutuante às margens da lagoa. Espiguetas castanhas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"261","261",NA,NA,NA
"5889","2016-12-19 13:51:34-02","PERD","PERD","670","S","Plantae","Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(A.St.-Hil.) Engl.",NA,NA,NA,NA,"Cordeiro, AM; Dias, LG","s.n.","2004","08","06","Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Trilha da Lagoa Preta","-42.7322006225586","-19.7122001647949",NA,NA,"Arvoreta ca. 4m de alt., coletou-se somelete folhas pois a planta não tinha material fértil. Muriquis se alimentam da nervura principal da folha desta planta.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5890","2016-12-19 13:51:32-02","PERD","PERD","240","S","Plantae","Phytolaccaceae","Gallesia","integrifolia","Gallesia integrifolia","(Spreng.) Harms",NA,NA,NA,NA,"Drumond, JG","s.n.","1996","05","17","Brasil","MG","Marliéria","Parque Estadual do Rio Doce","-42.7322006225586","-19.7122001647949",NA,NA,NA,NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5891","2016-12-19 13:51:32-02","PERD","PERD","89","S","Plantae","Meliaceae","Guarea",NA,"Guarea",NA,NA,NA,NA,NA,"Costa, LV","s.n.","1994","09",NA,"Brasil","MG","Marliéria","Parque Estadual do Rio Doce","-42.7322006225586","-19.7122001647949",NA,NA,"Arbóreo.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5892","2016-12-19 13:51:32-02","PERD","PERD","648","S","Plantae","Meliaceae","Guarea",NA,"Guarea",NA,NA,NA,NA,NA,"Cordeiro, AM; Santos, AG; Rodrigues, JA","1","2004","10","21","Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Trilha do Vinhático.","-42.7322006225586","-19.7122001647949",NA,NA,"Arbusto com ca. 3m de alt., com flores brancas com cálice e corola róseos.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5893","2016-12-19 13:51:32-02","PERD","PERD","662","S","Plantae","Meliaceae","Guarea",NA,"Guarea",NA,NA,NA,NA,NA,"Cordeiro, AM; Santos, AG; Rodrigues, JA","s.n.","2004","10","21","Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Trilha do Vinhático.","-42.7322006225586","-19.7122001647949",NA,NA,"Árvore com ca. 5m de alt., com flores e botões florais de coloração rosa claro.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5894","2016-12-19 13:51:32-02","PERD","PERD","87","S","Plantae","Meliaceae","Guarea","guidonia","Guarea guidonia","(L.) Sleumer","Costa, LV",NA,NA,NA,"Costa, LV; Braga, PIS; Pereira, MCA","s.n.","1993","07","01","Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Estrada do Porto Capim.","-42.7322006225586","-19.7122001647949",NA,NA,"Arbóreo.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5895","2016-12-19 13:51:32-02","PERD","PERD","88","S","Plantae","Meliaceae","Guarea","guidonia","Guarea guidonia","(L.) Sleumer",NA,NA,NA,NA,"Costa, LV; Braga, PIS; Pereira, MCA","s.n.","1993","12","01","Brasil","MG","Marliéria","Parque Estadual do Rio Doce, Águas Claras","-42.7322006225586","-19.7122001647949",NA,NA,"Arbóreo 18m.",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5896","2019-07-04 16:57:25-03","PERD","PERD","1088","S","Plantae","Meliaceae","Guarea","macrophylla","Guarea macrophylla","Vahl.","Giacomin, LL","2006","02",NA,"Ordones, J; et al.","991","2006","02","08","Brasil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce, Trilha da Campolina","-42.633333","-19.5","-42.633333","-19.5","Projeto Mata Atlântica. Pétalas brancas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5897","2016-12-19 13:51:18-02","PERD","PERD","655","S","Plantae","Annonaceae","Guatteria",NA,"Guatteria",NA,NA,NA,NA,NA,"Adriano, GS","s.n.","2003","08","16","Brasil","MG","Marliéria","Parque Estadual do Rio Doce","-42.7322006225586","-19.7122001647949",NA,NA,"Coletado com flores e botões florais",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
"5898","2016-12-19 13:51:18-02","PERD","PERD","7","S","Plantae","Annonaceae","Guatteria",NA,"Guatteria",NA,NA,NA,NA,NA,"Costa, LV; Braga, PIS; Pereira, MCA","s.n.","1993","11","30","Brasil","MG","Marliéria","Parque Estadual do Rio Doce","-42.7322006225586","-19.7122001647949",NA,NA,"Arbóreo 10m",NA,NA,NA,NA,"28215",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA
