"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","specificEpithet","scientificNameAuthorship","recordNumber","locality","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","occurrenceRemarks","phylum","continentOcean","minimumElevationInMeters","maximumElevationInMeters","class","order"
"51","2019-07-24 16:24:04-03","SMITHSONIAN","US","2948094","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","Ouratea sp.","A. P. Duarte & A. Duarte",NA,NA,NA,"Brazil","Minas Gerais","Resplendor","-41.255298614502","-19.3255996704102","37142",NA,NA,"auto","sp.",NA,"9280","Virgem da Lapa",NA,NA,NA,NA,NA,NA,"<a href=http://n2t.net/ark:/65665/31eb327fc-8605-4801-9bd0-f794d180b90c target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"South America - Neotropics",NA,NA,"Dicotyledonae","Theales"
"52","2019-11-13 11:14:22-03","USP","SPF","194950","PreservedSpecimen","Plantae","Anacardiaceae","Astronium","Astronium graveolens","Luz, AA","2005","10","06","Brasil","Minas Gerais","Resplendor","-41.255298614502","-19.3255996704102","37142","SPF00194950",NA,"auto","graveolens","Jacq.","302","BR259","Pirani, JR; Silva-Luz, CL","2010","03","12",NA,NA,"Árvore 10 m alt. Flor branca, botão verde.",NA,NA,NA,NA,NA,NA
"53","2020-03-19 10:53:41-03","UEFS","HUEFS","196526","PreservedSpecimen","Plantae","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Senegalia","Senegalia loretensis","Luz, A.A.da","2005","04","14","Brasil","Minas Gerais","Resplendor","-41.255298614502","-19.3255996704102","37142","HUEFS0196526",NA,"auto","loretensis","(J.F.Macbr.) Seigler & Ebinger","284","Estrada BR- 259","D.S.Seigler & P.G.Ribeiro","2018","02",NA,NA,NA,NA,"Angiospermae",NA,NA,NA,"Rosanae","Fabales"
"54","2019-11-07 11:13:49-03","UFMG","BHCB-SL","98627","PreservedSpecimen","Plantae","Anemiaceae","Anemia","Anemia luetzelburgii","Salino, A; Almeida, TE; Heringer, G","2006","05","08","Brasil","Minas Gerais","Resplendor","-41.319694","-19.334833",NA,NA,NA,NA,"luetzelburgii","Rosenst.","10943","Parque Estadual de Sete Salões, Floresta Estacional Semidecidual com Attalea, na estrada perto da torre de rádio de Resplendor.","Salino, A","2007","11",NA,"-41.319694","-19.334833","Terrestre em barranco de estrada",NA,"América","820","820",NA,NA
"55","2019-11-07 11:15:53-03","UFMG","BHCB-SL","98628","PreservedSpecimen","Plantae","Cyatheaceae","Cyathea","Cyathea corcovadensis","Salino, A; Almeida, TE; Heringer, G","2006","05","08","Brasil","Minas Gerais","Resplendor","-41.319694","-19.334833",NA,NA,NA,NA,"corcovadensis","(Raddi) Domin","10944","Parque Estadual de Sete Salões","Salino, A","2006","05",NA,"-41.319694","-19.334833",NA,NA,"América","820","820",NA,NA
"56","2019-11-07 11:16:15-03","UFMG","BHCB-SL","98632","PreservedSpecimen","Plantae","Dryopteridaceae","Cyclodium","Cyclodium heterodon","Salino, A; Almeida, TE; Heringer, G","2006","05","08","Brasil","Minas Gerais","Resplendor","-41.319694","-19.334833",NA,NA,NA,NA,"heterodon","(Schrad.) T.Moore","10948","Parque Estadual de Sete Salões, Floresta Estacional Semidecidual com Attalea, na estrada perto da torre de rádio de Resplendor.","Salino, A","2006","05",NA,"-41.319694","-19.334833","Terrestre na borda de mata.",NA,"América",NA,NA,NA,NA
"57","2019-11-07 11:20:17-03","UFMG","BHCB-SL","98631","PreservedSpecimen","Plantae","Pteridaceae","Pteris","Pteris splendens","Salino, A","2006","05","08","Brasil","Minas Gerais","Resplendor","-41.543594","-19.334833",NA,NA,NA,NA,"splendens","Kaulf.","10947",NA,"Salino, A","2006","05",NA,"-41.543594","-19.334833","Terrestre na borda de mata.",NA,"América","820","820",NA,NA
"58","2019-05-06 11:57:57-03","UFU","HUFU","76364","S","Plantae","Fabaceae","Senegalia","Senegalia loretensis","Da Luz, A.A.","2005","04","14","Brasil","Minas Gerais","Resplendor","-41.255298614502","-19.3255996704102","37142","HUFU00074265","HUFU00074265","auto","loretensis","(J.F.Macbr.) Seigler & Ebinger","284","BR-259. 40000 metros.","Seigler, D.S.","2018",NA,NA,NA,NA,"Arbórea, terrestre, cor do botão verde, flor branca, exsudação seiva incolor, descamação ausente, fuste cilíndrico, casca áspera, altura total 13m, altura do fuste 3m., cap fuste 70cm, diâmetro copa 7m.; Pasto.",NA,NA,NA,NA,NA,NA
"59","2020-03-02 13:43:22-03","UFSC","FLOR","63278","PreservedSpecimen","Plantae","Bignoniaceae",NA,NA,"Fiaschi, P.; Vaio, M.; Costa, T.S.","2017","02","13","Brasil","Minas Gerais","Resplendor","-41.4","-19.2",NA,"FLOR0063278","FLOR0063278",NA,NA,NA,"4828","Estrada de Respendlor a Conselheiro Pena, ramal à esquerda.",NA,NA,NA,NA,"41º24'W","19º12'0''S","Arbusto lianescente, na beira da trilha. Flores rosadas",NA,NA,"170","170",NA,"Lamiales"
"60","2020-03-02 13:45:58-03","UFSC","FLOR","63279","PreservedSpecimen","Plantae","Cyperaceae",NA,NA,"Fiaschi, P.; Vaio, M.; Costa, T.S.","2017","02","13","Brasil","Minas Gerais","Resplendor","-41.4","-19.2",NA,"FLOR0063279","FLOR0063279",NA,NA,NA,"4829","Estrada de Respendlor a Conselheiro Pena, beirando o trilho da Vale, pouco antes de Crenaque.",NA,NA,NA,NA,"41º24'W","19º12'0''S","Erva sobre afloramento rochoso ao lado da trilha",NA,NA,"170","170",NA,"Poales"
"61","2020-03-02 13:44:12-03","UFSC","FLOR","63277","PreservedSpecimen","Plantae","Malpighiaceae",NA,NA,"Fiaschi, P.; Vaio, M.; Costa, T.S.","2017","02","13","Brasil","Minas Gerais","Resplendor","-41.4","-19.2",NA,"FLOR0063277","FLOR0063277",NA,NA,NA,"4827","Estrada de Respendlor a Conselheiro Pena, ramal à esquerda.",NA,NA,NA,NA,"41º24'W","19º12'0''S","Arbusto lianescente, na beira da trilha. Botões florais amarelos. Frutos imaturos verde-claros. Amostra em sílica-gel",NA,NA,"170","170",NA,"Malpighiales"
"62","2020-03-02 13:42:24-03","UFSC","FLOR","63276","PreservedSpecimen","Plantae","Sapotaceae",NA,NA,"Fiaschi, P.; Vaio, M.; Costa, T.S.","2017","02","13","Brasil","Minas Gerais","Resplendor","-41.4","-19.2",NA,"FLOR0063276","FLOR0063276",NA,NA,NA,"4826","Estrada de Respendlor a Conselheiro Pena, ramal à esquerda.",NA,NA,NA,NA,"41º24'W","19º12'0''S","Arvoreta, ca. 3 m alt. Botões florais verdes. Fruto imaturo acastanhado",NA,NA,"170","170",NA,"Ericales"
"63","2020-03-02 13:47:57-03","UFSC","FLOR","63280","PreservedSpecimen","Plantae","Meliaceae","Trichilia","Trichilia","Fiaschi, P.; Vaio, M.; Costa, T.S.","2017","02","13","Brasil","Minas Gerais","Resplendor","-41.4","-19.2",NA,"FLOR0063280","FLOR0063280",NA,NA,NA,"4830","Estrada de Respendlor a Conselheiro Pena, ramal à esquerda.",NA,NA,NA,NA,"41º24'W","19º12'0''S","Arvoreta, ca. 4 m alt. Frutos imaturos verde-claro amarelados",NA,NA,"170","170",NA,"Sapindales"
"64","2019-11-21 10:08:11-03","IBt","SP","346353","S","Plantae","Malpighiaceae","Byrsonima","Byrsonima chrysophylla","Tameirão Neto, E","1997","03","26","Brasil","Minas Gerais","Resplendor","-41.255298614502","-19.3255996704102","37142","SP015907",NA,"auto","chrysophylla","Kunth","2367","Serra Cascalho, UHE Aimorés","Mamede, MCH","2010","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
