"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","specificEpithet","scientificNameAuthorship","recordNumber","locality","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","occurrenceRemarks","phylum","continentOcean","minimumElevationInMeters","maximumElevationInMeters","class","order"
"16","2019-12-06 14:49:31-03","MBM","MBM","418915","S","Plantae","Fabaceae","Mimosa","Mimosa pigra","Marinero, F.; Nardin, E.C.; Nardin, E.C.","2019","02","14","Brazil","Minas Gerais","Resplendor","-41.253889","-19.301944",NA,"MBM418915",NA,NA,"pigra","L.","1175","Rio Doce","Marinero, F.","2019","04","02","-41.253889","-19.301944",NA,NA,"Southern America","99","99",NA,NA
"17","2019-12-06 15:06:50-03","MBM","MBM","420747","S","Plantae","Molluginaceae","Mollugo","Mollugo verticillata","Felitto, G.; Cafofo, E.; Cafofo, E.","2019","02","01","Brazil","Minas Gerais","Resplendor","-41.303333","-19.251389",NA,"MBM420747",NA,NA,"verticillata","L.","s.n.","Crenaque","Felitto, G.",NA,NA,NA,"-41.303333","-19.251389",NA,NA,"Southern America","95","95",NA,NA
"18","2019-12-06 15:14:54-03","MBM","MBM","418925","S","Plantae","Poaceae","Panicum","Panicum aquaticum","Marinero, F.; Nardin, E.C.; Nardin, E.C.","2019","02","15","Brazil","Minas Gerais","Resplendor","-41.220278","-19.351111",NA,"MBM418925",NA,NA,"aquaticum","Poir.","1185","Rio Doce","Marinero, F.","2019","03","27","-41.220278","-19.351111",NA,NA,"Southern America","89","89",NA,NA
"19","2019-12-06 15:15:03-03","MBM","MBM","420731","S","Plantae","Poaceae","Paspalum","Paspalum","Felitto, G.; Cafofo, E.; Cafofo, E.","2019","02","01","Brazil","Minas Gerais","Resplendor","-41.303275","-19.251467",NA,"MBM420731",NA,NA,NA,NA,"s.n.","Crenaque","Felitto, G.",NA,NA,NA,"-41.303275","-19.251467",NA,NA,"Southern America","94","94",NA,NA
"20","2019-12-06 15:15:16-03","MBM","MBM","418914","S","Plantae","Poaceae","Paspalum","Paspalum vaginatum","Marinero, F.; Nardin, E.C.; Nardin, E.C.","2019","02","14","Brazil","Minas Gerais","Resplendor","-41.253889","-19.301944",NA,"MBM418914",NA,NA,"vaginatum","Sw.","1174","Rio Doce","Marinero, F.","2019","03","28","-41.253889","-19.301944",NA,NA,"Southern America","99","99",NA,NA
"21","2019-12-06 14:24:27-03","MBM","MBM","418912","S","Plantae","Amaranthaceae","Pfaffia","Pfaffia glomerata","Marinero, F.; Nardin, E.C.; Nardin, E.C.","2019","02","14","Brazil","Minas Gerais","Resplendor","-41.253889","-19.301944",NA,"MBM418912",NA,NA,"glomerata","(Spreng.) Pedersen","1172","Rio Doce","Nardin, E.C.","2019","04","02","-41.253889","-19.301944",NA,NA,"Southern America","99","99",NA,NA
"22","2019-12-06 14:41:50-03","MBM","MBM","418923","S","Plantae","Cyperaceae","Rhynchospora","Rhynchospora asperula","Marinero, F.; Nardin, E.C.; Nardin, E.C.","2019","02","15","Brazil","Minas Gerais","Resplendor","-41.220278","-19.351111",NA,"MBM418923",NA,NA,"asperula","(Nees) Steud.","1183","Rio Doce","Weber, P.","2019","04","02","-41.220278","-19.351111",NA,NA,"Southern America","89","89",NA,NA
"23","2019-12-06 14:59:51-03","MBM","MBM","420740","S","Plantae","Loganiaceae","Spigelia","Spigelia anthelmia","Felitto, G.; Cafofo, E.; Cafofo, E.","2019","02","01","Brazil","Minas Gerais","Resplendor","-41.284722","-19.266944",NA,"MBM420740",NA,NA,"anthelmia","L.","s.n.","Horácio","Felitto, G.",NA,NA,NA,"-41.284722","-19.266944",NA,NA,"Southern America","96","96",NA,NA
"24","2019-12-06 15:13:46-03","MBM","MBM","418910","S","Plantae","Plantaginaceae","Stemodia","Stemodia foliosa","Marinero, F.; Nardin, E.C.; Nardin, E.C.","2019","02","14","Brazil","Minas Gerais","Resplendor","-41.253889","-19.301944",NA,"MBM418910",NA,NA,"foliosa","Benth.","1170","Rio Doce","Marinero, F.","2019","04","29","-41.253889","-19.301944",NA,NA,"Southern America","99","99",NA,NA
"25","2019-12-06 15:23:55-03","MBM","MBM","421164","S","Plantae","Turneraceae","Turnera","Turnera orientalis","Marinero, F.; Nardin, E.C.; Nardin, E.C.","2019","02","14","Brazil","Minas Gerais","Resplendor","-41.254167","-19.302222",NA,"MBM421164",NA,NA,"orientalis","(Urban) Arbo","1161",NA,"Marinero, F.","2019","05","03","-41.254167","-19.302222",NA,NA,"Southern America","92","92",NA,NA
