"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","minimumElevationInMeters","maximumElevationInMeters","individualCount","infraspecificEpithet","relatedCatalogItem"
"263","2019-10-16 14:14:51-03","UEL","FUEL","25430","PreservedSpecimen","Plantae","Tracheophyta","Sapindales","Meliaceae","Guarea","Guarea macrophylla","Salino, A","3730","1998","02","03",NA,"Brasil","Minas Gerais","Jequeri","Área de inundação da Usina de Providência","-42.6657981872559","-20.4557991027832",NA,NA,NA,"Árvore 6m; folhas cartáceas e flores brancas a levemente rosadas. Interior da Floresta semidecídua de encosta.",NA,NA,"macrophylla","Vahl","Pennington, TD","22280","auto","1998",NA,NA,NA,NA,NA,NA,NA,NA
"264","2019-10-16 14:14:28-03","UEL","FUEL","29221","PreservedSpecimen","Plantae","Tracheophyta","Poales","Poaceae","Parodiolyra","Parodiolyra micrantha","Salino, A","3739","1997","11","06",NA,"Brasil","Minas Gerais","Jequeri","Área de inundação da Usina de Providência","-42.6657981872559","-20.4557991027832",NA,NA,NA,"Bambu ( Taquara ) 3m; inflorescência esverdeadas.; interior da floresta semidecídua de encosta;","OK",NA,"micrantha","(Kunth) Davidse & Zuloaga","Longhi-Wagner, HM","22280","auto","2008","10","16",NA,NA,NA,NA,NA,NA
"265","2019-10-16 14:11:32-03","UEL","FUEL","29688","PreservedSpecimen","Plantae","Tracheophyta","Caryophyllales","Nyctaginaceae","Guapira","Guapira hirsuta","Salino, A","3743","1997","11","06",NA,"Brasil","Minas Gerais","Jequeri","Área de inundação da Usina de Providência. Interior da floresta","-42.6657981872559","-20.4557991027832",NA,NA,NA,"Árvore 7m; folhas membranáceas; flores brancas; Floresta semidecídua de encosta","FUEL002454",NA,"hirsuta","(Choisy) Lundell","Rossetto, EFS","22280","auto","2017","07",NA,NA,NA,NA,NA,NA,NA
"266","2019-10-16 14:14:51-03","UEL","FUEL","25421","PreservedSpecimen","Plantae","Tracheophyta","Sapindales","Meliaceae","Guarea","Guarea kunthiana","Salino, A","3488","1997","09","27",NA,"Brasil","Minas Gerais","Jequeri","Usina Cachoeira Escura","-42.6657981872559","-20.4557991027832",NA,NA,NA,"Arvoreta 4m; flores salmão, crescendo em floresta ciliar; área de inundação da Usina.",NA,NA,"kunthiana","A.Juss.","Pennington, TS","22280","auto","1998",NA,NA,NA,NA,NA,NA,NA,NA
"267","2019-10-16 14:12:05-03","UEL","FUEL","32057","PreservedSpecimen","Plantae","Tracheophyta","Fabales","Leguminosae","Inga","Inga vera affinis","Salino, A","3486","1997","09","27",NA,"Brasil","Minas Gerais","Jequeri","Usina de Cachoeira Escura - área de inundação, área de inundação","-42.6657981872559","-20.4557991027832",NA,NA,NA,"Árvore 6-8m; flores brancas, cálice castanho.","FUEL001495",NA,"vera","(DC.) T.D.Penn.","Pennington, TD","22280","auto","1998","09",NA,NA,NA,NA,NA,"affinis",NA
"268","2019-05-06 11:59:49-03","UFU","HUFU","19211","S","Plantae",NA,NA,"Melastomataceae","Miconia","Miconia prasina","Salino, A.","3724","1997","11","06",NA,"Brasil","Minas Gerais","Jequeri","Área de Inundação da Usina de Providência","-42.6657981872559","-20.4557991027832",NA,NA,NA,"Arvoreta, ca. 5 m. Folhas cartáceas.; Floresta semidecidua de encosta.","HUFU00063749","HUFU00063749","prasina","(Sw.) DC.","Goldenberg, R.","22280","auto","2005","02",NA,NA,NA,NA,NA,NA,NA
"269","2019-05-06 11:59:45-03","UFU","HUFU","19212","S","Plantae",NA,NA,"Melastomataceae","Miconia","Miconia ibaguensis","Salino, A.","3469","1997","09","27",NA,"Brasil","Minas Gerais","Jequeri","Área de Inundação da Usina de Providência","-42.6657981872559","-20.4557991027832",NA,NA,NA,"Arbusto, ca. 2,5 m. Folhas cartáceas, flores brancas e frutos maduros negros.","HUFU00063198","HUFU00063198","ibaguensis","(Bonpl.) Triana","Romero, R.","22280","auto","2000","12",NA,NA,NA,NA,NA,NA,NA
"270","2019-05-06 12:00:22-03","UFU","HUFU","19213","S","Plantae",NA,NA,"Melastomataceae","Rhynchanthera","Rhynchanthera grandiflora","Salino, A.","3465","1997","09","27",NA,"Brasil","Minas Gerais","Jequeri","Área de inundação da Usina Providência","-42.6657981872559","-20.4557991027832",NA,NA,NA,"Terreno alagado.","HUFU00066604","HUFU00066604","grandiflora","(Aubl.) DC.","Romero, R.","22280","auto","2000","12",NA,NA,NA,NA,NA,NA,NA
"271","2019-05-06 11:59:15-03","UFU","HUFU","19146","S","Plantae",NA,NA,"Melastomataceae","Clidemia","Clidemia urceolata","Salino, A.","3725","1997","11","06",NA,"Brasil","Minas Gerais","Jequeri","Área de inundação da Usina Providência","-42.6657981872559","-20.4557991027832",NA,NA,NA,"Arbusto apoiante. Flores membranaceas e frutos imaturos verdes.; Floresta semidecídua de encosta.","HUFU00060244","HUFU00060244","urceolata","DC.","Romero, R.","22280","auto","2000","12",NA,NA,NA,NA,NA,NA,NA
"272","2019-05-06 11:59:14-03","UFU","HUFU","19216","S","Plantae",NA,NA,"Melastomataceae","Clidemia","Clidemia hirta","Salino, A.","3861","1998","01","03",NA,"Brasil","Minas Gerais","Jequeri","Área de inundação da Usina Providência, Trecho de Florsta adjacente a área de inundação.","-42.6657981872559","-20.4557991027832",NA,NA,NA,"Erva com flores brancas e folhas cartáceas, frutos castanhos.; Floresta semidecídua de encosta.","HUFU00060204","HUFU00060204","hirta","(L.) D.Don","Romero, R.","22280","auto","2000","12",NA,NA,NA,NA,NA,NA,NA
"273","2019-11-21 10:12:56-03","IBt","SP","345925","S","Plantae",NA,NA,"Orchidaceae","Campylocentrum","Campylocentrum robustum","Salino, A","3511","1997","09","29",NA,"Brasil","Minas Gerais","Jequeri","Área da Usina de Providência","-42.6657981872559","-20.4557991027832",NA,NA,NA,NA,NA,NA,"robustum","Cogn.",NA,"22280","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","2019-11-21 10:07:46-03","IBt","SP","346371","S","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis","Banisteriopsis adenopoda","Salino, A; Morais, PO","4633","1999","04","24",NA,"Brasil","Minas Gerais","Jequeri","Área da usina hidrelétrica Cachoeira da Providência","-42.6657981872559","-20.4557991027832",NA,NA,NA,"Trepadeira, frutos imaturos verdes, folhas cartáceas","SP012095","SP012095","adenopoda","(A.Juss.) B.Gates","Mamede, MCH","22280","auto","2002",NA,NA,NA,NA,NA,NA,NA,NA
"275","2019-11-21 10:12:48-03","IBt","SP","345930","S","Plantae",NA,NA,"Orchidaceae",NA,NA,"Salino, A; Morais, PO","4200","1998","05","01",NA,"Brasil","Minas Gerais","Jequeri","Área de inundação da UH de cachoeira Escura, às margens do rio Casca","-42.6657981872559","-20.4557991027832",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22280","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","2019-11-21 10:11:36-03","IBt","SP","329830","S","Plantae",NA,NA,"Myrtaceae","Eugenia","Eugenia pluriflora","Salino, A","3731","1997","11","06",NA,"Brasil","Minas Gerais","Jequeri","Àrea de inundaçaõ da Usina de Providência, Floresta semidecídua de encosta.","-42.6657981872559","-20.4557991027832",NA,NA,NA,"Arvoreta 6m alt., no interior da floresta. Folhas coriáceas e frutos imaturos verdes.","SP028777","SP028777","pluriflora","DC.","Kawasaki, ML","22280","auto","1998",NA,NA,NA,NA,NA,NA,NA,NA
"277","2019-11-21 10:13:33-03","IBt","SP","345935","S","Plantae",NA,NA,"Orchidaceae","Maxillaria","Maxillaria","Salino, A","3456","1997","09","27",NA,"Brasil","Minas Gerais","Jequeri","Moinho Velho, área de inundação da Usina de Cachoeira Escura","-42.6657981872559","-20.4557991027832",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22280","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","2019-11-21 10:12:04-03","IBt","SP","329889","S","Plantae",NA,NA,"Myrtaceae","Myrcia","Myrcia fallax","Salino, A","3502","1997","09","28",NA,"Brasil","Minas Gerais","Jequeri","-rea da Usina de Cachoeira Grande.","-42.6657981872559","-20.4557991027832",NA,NA,NA,"Árvoe ca. 6m alt., flores brancas, frutos imaturos verdes, folhas coriáceas, floresta ciliar.",NA,NA,"fallax","(Rich.) DC.","Kawasaki, ML","22280","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","2019-11-21 10:11:27-03","IBt","SP","329849","S","Plantae",NA,NA,"Myrtaceae","Eugenia","Eugenia florida","Salino, A","3485","1997","09","27",NA,"Brasil","Minas Gerais","Jequeri","-rea de inundação da Usina de Cachoeira Escura.","-42.6657981872559","-20.4557991027832",NA,NA,NA,"Árvore ca. 7m alt., flores brancas. Crescendo em floresta ciliar na maargem do rio.","SP026954","SP026954","florida","DC.","Kawasaki, ML","22280","auto","1998",NA,NA,NA,NA,NA,NA,NA,NA
"280","2019-11-21 10:12:19-03","IBt","SP","329886","S","Plantae",NA,NA,"Myrtaceae","Myrcia","Myrcia richardiana","Salino, A","3766","1997","11","20",NA,"Brasil","Minas Gerais","Jequeri","-rea de inundação da Usina de Providência, floresta ciliar e de encosta.","-42.6657981872559","-20.4557991027832",NA,NA,NA,"Arbusto 2,5m alt., folhas cartáceas e flores brancas.",NA,NA,"richardiana","(O.Berg) Kiaersk.","Kawasaki, ML","22280","auto","2000",NA,NA,NA,NA,NA,NA,NA,NA
"281","2019-11-21 10:11:22-03","IBt","SP","329851","S","Plantae",NA,NA,"Myrtaceae","Eugenia","Eugenia brevistyla","Salino, A","3772","1997","11","20",NA,"Brasil","Minas Gerais","Jequeri","-rea de inundação da Usina de Providência, floresta ciliar e de encosta.","-42.6657981872559","-20.4557991027832",NA,NA,NA,"Árvore 5m alt., folhas cartácas e frutos imaturos creme.","SP056972","SP056972","brevistyla","D.Legrand","Giaretta, A","22280","auto","2017","10",NA,NA,NA,NA,NA,NA,NA
"282","2019-11-21 10:11:04-03","IBt","SP","329831","S","Plantae",NA,NA,"Myrtaceae","Calyptranthes","Calyptranthes clusiifolia","Salino, A","3804","1997","11","27",NA,"Brasil","Minas Gerais","Jequeri","-rea de inundação da Usina Hidrelétrica de Providência, propriedade do Sr. Nivaldo Viana.","-42.6657981872559","-20.4557991027832",NA,NA,NA,"Arvoreta 5m alt., folhas coriáceas, inflorescências creme.","SP010718","SP010718","clusiifolia","(Miq.) O.Berg","Kawasaki, ML","22280","auto","1998",NA,NA,NA,NA,NA,NA,NA,NA
