"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","yearIdentified","coordinatePrecision","geoFlag","typeStatus","monthIdentified","dayIdentified","class","previousCatalogNumber","infraspecificEpithet","individualCount","relatedCatalogItem","sex"
"1","2019-12-16 18:56:52-03","NYBG","NYBG","1018890","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Pilocarpus","Pilocarpus","J. A. Kallunki","M. M. Saavedra","683","2008","01","17","South America","Brazil","Espírito Santo","Aguia Branca","Comunidade São Pedro, propriedade do S. João Ferreira, Pedra da Bandeira.","-40.6614","-18.9806","-40.6614","-18.9806","252","252","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1263455 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01018890","NY01018890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:36:01-03","NYBG","NYBG","1018783","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","Piper cernuum","E. F. Guimarães","M. M. Saavedra","671","2008","01","16","South America","Brazil","Espírito Santo","Aguia Branca","Propriedade do Sr. Ailton Cortelete.","-40.8019","-18.9544","-40.8019","-18.9544","285","285","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262429 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01018783","NY01018783","cernuum","Vell.","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:36:18-03","NYBG","NYBG","1018781","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","Piper gaudichaudianum","E. F. Guimarães","M. M. Saavedra","660","2008","01","16","South America","Brazil","Espírito Santo","Aguia Branca","Propriedade do Sr. Ailton Cortelete.","-40.8019","-18.9544","-40.8019","-18.9544","285","285","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262426 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01018781",NA,"gaudichaudianum","Kunth","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:37:06-03","NYBG","NYBG","1018782","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","Piper umbellatum","E. F. Guimarães","M. M. Saavedra","665","2008","01","16","South America","Brazil","Espírito Santo","Aguia Branca","Propriedade do Sr. Ailton Cortelete.","-40.8019","-18.9544","-40.8019","-18.9544","285","285","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262428 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01018782","NY01018782","umbellatum","L.","2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:26:37-03","NYBG","NYBG","2423189","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pleroma","Pleroma marinana",NA,"R. Goldenberg","2171","2015","05","13","South America","Brazil","Espírito Santo","Aguia Branca","Corrego Taquaral, Lajão do Zé Rochinha.","-40.7402992248535","-18.9831008911133",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685472 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02423189","NY02423189","marinana","P.J.F.Guim. & Fraga",NA,"19701","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:26:37-03","NYBG","NYBG","02256166","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pleroma","Pleroma penduliflora","C. N. Fraga","V. Demuner","Herb. MBML no.026354","2006","04","27","South America","Brazil","Espírito Santo","Águia Branca","Santa Luzia, prop.: Ciro Ferreira","-40.66558","-18.97792","-40.66558","-18.97792","170","600","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2422848 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02256166","NY02256166","penduliflora","Fraga & P.J.F.Guim.","2013",NA,NA,"paratype",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:26:37-03","NYBG","NYBG","879070","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pleroma","Pleroma penduliflora",NA,"V. Demuner","2441","2006","06","07","South America","Brazil","Espírito Santo","Aguia Branca","Rochedo, propr.: Arlindo Breda","-40.8003","-18.945","-40.8003","-18.9450","450","550","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536015 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00879070","NY00879070","penduliflora","Fraga & P.J.F.Guim.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:55:07-03","NYBG","NYBG","2212794","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","Protium widgrenii",NA,"V. Demuner","4544","2007","11","20","South America","Brazil","Espírito Santo","Aguia Branca","Pedra Redonda, propr. Jorge Wroblewski.","-40.7694","-18.9756","-40.7694","-18.9756","300","550","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2355606 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02212794","NY02212794","widgrenii","Engl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 18:31:44-03","NYBG","NYBG","1039385","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","Psidium brownianum",NA,"M. C. Souza","614","2008","01","17","South America","Brazil","Espírito Santo","Aguia Branca","Comunidade São Pedro. Propriedade Sr. João Ferreira, Pedra da Bandeira.","-40.6511","-18.9681","-40.6511","-18.9681","252","252","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485737 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039385","NY01039385","brownianum","DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 18:40:12-03","NYBG","NYBG","3908571","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","Rhynchospora",NA,"V. Demuner","2936","2006","10","18","South America","Brazil","Espírito Santo","Águia Branca","Santa Luzia, prop.: Ciro Ferreira","-40.66558","-18.97792","-40.66558","-18.97792","170","600","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4364096 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY03908571","NY03908571",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-12-16 17:54:05-03","NYBG","NYBG","1039384","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Siparuna","Siparuna guianensis",NA,"M. C. Souza","613","2008","01","17","South America","Brazil","Espírito Santo","Aguia Branca","Comunidade São Pedro. Propriedade Sr. João Ferreira, Pedra da Bandeira.","-40.6511","-18.9681","-40.6511","-18.9681","252","252","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485736 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039384","NY01039384","guianensis","Aubl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-16 18:52:33-03","NYBG","NYBG","1280131","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","Spondias venulosa","J. D. Mitchell; D. C. Daly","V. Demuner","1945","2006","03","15","South America","Brazil","Espírito Santo","Aguia Branca","Assentamento 16 de Abril.","-40.7347","-18.90703","-40.7347","-18.90703","150","200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1592469 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01280131","NY01280131","venulosa","Mart. ex Engl.","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-16 18:52:33-03","NYBG","NYBG","1280132","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","Spondias venulosa","J. D. Mitchell; D. C. Daly","V. Demuner","2382","2006","06","06","South America","Brazil","Espírito Santo","Aguia Branca","Águas Claras, Escola Agroecologica.","-40.73","-18.8922","-40.7300","-18.8922","300","500","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1592474 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01280132","NY01280132","venulosa","Mart. ex Engl.","2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-12-16 18:26:37-03","NYBG","NYBG","01874721","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pleroma","Pleroma",NA,"R. Goldenberg","2170","2015","05","13","South America","Brazil","Espírito Santo","Aguia Branca","Corrego Taquaral, Lajão do Zé Rochinha.","-40.7402992248535","-18.9831008911133",NA,NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704158 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01874721","NY01874721",NA,NA,NA,"19701","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-12-16 18:21:24-03","NYBG","NYBG","2423175","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Merianthera","Merianthera pulchra",NA,"T. Bochorny","145","2015","05","13","South America","Brazil","Espírito Santo","Aguia Branca","Prop. José Rochinha","-40.7402992248535","-18.9831008911133",NA,NA,"200","200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685455 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02423175","NY02423175","pulchra","Kuhlm.",NA,"19701","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-12-16 19:17:05-03","NYBG","NYBG","02554048","PreservedSpecimen","Plantae","Pteridophyta","Schizaeales","Anemiaceae","Anemia","Anemia",NA,"R. F. Monteiro","336","2008","01","16","South America","Brazil","Espírito Santo","Aguia Branca","Próximo à propriedade de Ailton Cortelete, afloramento rochoso atrás de rio.","-40.7761","-18.9875","-40.7761","-18.9875","159","159","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2808645 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02554048","NY02554048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-12-16 18:34:36-03","NYBG","NYBG","02433303","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","Aristolochia",NA,"V. Demuner","4788","2007","12","12","South America","Brazil","Espírito Santo","Aguia Branca","Rochedo, propr.: Arlindo Breda.","-40.80206","-18.9444","-40.80206","-18.9444","340","450","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2649773 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02433303","NY02433303",NA,"L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-12-16 18:34:37-03","NYBG","NYBG","1182725","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","Aristolochia gracilipedunculata","F. A. González","V. Demuner","2262","2006","04","27","South America","Brazil","Espírito Santo","Aguia Branca","Santa Luzia, prop. Ciro Ferreira.","-40.66558","-18.97792","-40.66558","-18.97792","170","600","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408677 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01182725","NY01182725","gracilipedunculata","F.González","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-12-16 18:34:37-03","NYBG","NYBG","1182726","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","Aristolochia gracilipedunculata","F. A. González","V. Demuner","3517","2007","04","03","South America","Brazil","Espírito Santo","Aguia Branca","Santa Luzia, prop. Ciro Ferreira.","-40.6644","-18.9739","-40.6644","-18.9739","400","600","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408679 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01182726","NY01182726","gracilipedunculata","F.González","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-12-16 18:34:37-03","NYBG","NYBG","1182727","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","Aristolochia gracilipedunculata","F. A. González","V. Demuner","4834","2007","12","20","South America","Brazil","Espírito Santo","Aguia Branca","Santa Luzia, prop. Ciro Ferreira.","-40.66247","-18.98483","-40.66247","-18.98483","150","270","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408681 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01182727","NY01182727","gracilipedunculata","F.González","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-12-16 18:34:37-03","NYBG","NYBG","1182730","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","Aristolochia melastoma","F. A. González","V. Demuner","2034","2006","03","16","South America","Brazil","Espírito Santo","Aguia Branca","Assentamento 16 de Abril, fragmento a esquerda do campo.","-40.7347","-18.9069","-40.7347","-18.9069","200","400","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408688 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01182730","NY01182730","melastoma","Silva Manso ex Duch.","2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-12-16 18:34:37-03","NYBG","NYBG","1182731","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Aristolochiaceae","Aristolochia","Aristolochia tamnifolia","F. A. González","V. Demuner","3892","2007","05","16","South America","Brazil","Espírito Santo","Aguia Branca","Rochedo, propr.: Arlindo Breda.","-40.8028","-19.9458","-40.8028","-19.9458","400","550","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408692 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01182731","NY01182731","tamnifolia",NA,"2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-12-16 18:52:15-03","NYBG","NYBG","02685224","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Astronium","Astronium concinnum",NA,"V. Demuner","4559","2007","11","21","South America","Brazil","Espírito Santo","Aguia Branca","Assentamento 16 de abril.","-40.7353","-18.9033","-40.7353","-18.9033","170","200","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2972785 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02685224","NY02685224","concinnum","Schott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-12-16 16:59:24-03","NYBG","NYBG","1731810","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","Begonia wasshauseniana",NA,"V. Demuner","3550","2007","04","04","South America","Brazil","Espírito Santo","Aguia Branca","Santa Luzia, propr.: Ciro Ferreira (propiedad vendida)","-40.6711","-18.9858","-40.6711","-18.9858","180","300","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1951262 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01731810","NY01731810","wasshauseniana","L.Kollmann & Peixoto",NA,NA,NA,"paratype",NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-12-16 18:38:16-03","NYBG","NYBG","3908574","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","Bulbostylis",NA,"V. Demuner","4831","2007","12","20","South America","Brazil","Espírito Santo","Aguia Branca","Santa Luzia, prop. Ciro Ferreira.","-40.66247","-18.98483","-40.66247","-18.98483","150","270","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4364110 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY03908574","NY03908574",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-12-16 18:38:16-03","NYBG","NYBG","3908577","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","Bulbostylis",NA,"V. Demuner","2222","2006","04","26","South America","Brazil","Espírito Santo","Aguia Branca","São Pedra, pedra do CEIER","-40.648","-19.02283","-40.64800","-19.02283","200","250","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4364183 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY03908577","NY03908577",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-12-16 18:38:16-03","NYBG","NYBG","3908578","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Bulbostylis","Bulbostylis",NA,"V. Demuner","2228","2006","04","26","South America","Brazil","Espírito Santo","Aguia Branca","São Pedra, pedra do CEIER","-40.648","-19.02283","-40.64800","-19.02283","200","250","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4364193 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY03908578","NY03908578",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-12-16 18:38:33-03","NYBG","NYBG","3908560","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","Cyperus articulatus",NA,"V. Demuner","4856","2007","12","21","South America","Brazil","Espírito Santo","Aguia Branca","Santa Luzia, prop. José Rochinha.","-40.6928","-18.98439","-40.6928","-18.98439","200","300","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4363929 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY03908560","NY03908560","articulatus","L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-12-16 18:39:36-03","NYBG","NYBG","3908568","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Eleocharis","Eleocharis interstincta",NA,"V. Demuner","4874","2007","12","21","South America","Brazil","Espírito Santo","Aguia Branca","Santa Luzia, prop. José Rochinha.","-40.6928","-18.98439","-40.6928","-18.98439","200","300","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4364067 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY03908568","NY03908568","interstincta","(Vahl) Roem. & Schult.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-12-16 17:46:20-03","NYBG","NYBG","1018784","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","Fridericia subincana","A. R. Zuntini","M. M. Saavedra","680","2008","01","17","South America","Brazil","Espírito Santo","Aguia Branca","Comunidade Sao Pedro, propriedade do Sr. Joao Ferreira, Pedra Bandeira.","-40.6614","-18.9806","-40.6614","-18.9806","252","252","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1262430 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01018784","NY01018784","subincana","(Mart.) L.G.Lohmann","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-12-16 17:46:37-03","NYBG","NYBG","01132293","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Lundia","Lundia corymbifera",NA,"M. Kaehler","402","2009","01","12","South America","Brazil","Espírito Santo","Aguia Branca","ES 020, entre Águia Branca e São Domingos do Norte.","-40.7403","-18.9831","-40.7403","-18.9831",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1298406 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01132293","NY01132293","corymbifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-12-16 18:21:24-03","NYBG","NYBG","02485351","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Merianthera","Merianthera bullata",NA,"R. Goldenberg","1153","2008","05","11","South America","Brazil","Espírito Santo","Aguia Branca","Santa Luzia, Córrego Taquaral","-40.69714","-18.98672","-40.69714","-18.98672","211","211","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2711159 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02485351","NY02485351","bullata","R.Goldenb., Fraga & A.P.Fontana","2015",NA,NA,"paratype",NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-12-16 18:21:24-03","NYBG","NYBG","01874703","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Merianthera","Merianthera pulchra","F. A. Michelangeli","V. Demuner","2967","2006","10","18","South America","Brazil","Espírito Santo","Águia Branca","Santa Luzia, prop.: Ciro Ferreira","-40.66558","-18.97792","-40.66558","-18.97792","170","600","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2699019 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01874703","NY01874703","pulchra","Kuhlm.","2015",NA,NA,NA,"08",NA,NA,NA,NA,NA,NA,NA
"34","2019-12-16 18:21:24-03","NYBG","NYBG","01874702","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Merianthera","Merianthera pulchra","F. A. Michelangeli","H. Q. B. Fernandes","3419","2007","10","03","South America","Brazil","Espírito Santo","Águia Branca","Santa Lúzia. Pedra do Ciro.","-40.3944","-18.5989","-40.3944","-18.5989","175","210","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2698861 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01874702","NY01874702","pulchra","Kuhlm.","2015",NA,NA,NA,"08",NA,NA,NA,NA,NA,NA,NA
"35","2019-12-16 18:31:28-03","NYBG","NYBG","1039383","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrciaria","Myrciaria floribunda",NA,"M. C. Souza","612","2008","01","17","South America","Brazil","Espírito Santo","Aguia Branca","Comunidade São Pedro. Propriedade Sr. João Ferreira, Pedra da Bandeira.","-40.6511","-18.9681","-40.6511","-18.9681","252","252","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1485733 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039383","NY01039383","floribunda","(H.West ex Willd.) O.Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-12-16 17:26:54-03","NYBG","NYBG","00935532","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Parapiptadenia","Parapiptadenia pterosperma","L. M. Borges","H. Lorenzi","1193","1997","10","16","South America","Brazil","Espírito Santo","Aguia Branca","On road to Sao Domingos do Norte","-40.7403","-18.9831","-40.7403","-18.9831",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=981381 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00935532","NY00935532","pterosperma","(Benth.) Brenan","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-02-04 14:17:01-03","UNESP-IBB","BOTU","27650","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Bulbophyllum","Bulbophyllum epiphytum","Vervloet, R.R.","Demuner, V.","3447","2007","04","02",NA,"Brasil","Espírito Santo","Águia Branca","Córrego Taquaral, Santa Luzia, propriedade de José Rocinha","-40.696111","-18.994167","40°41'46w","18°59'39s",NA,NA,NA,NA,"BOTU027650",NA,"epiphytum","Barb. Rodr.","2008",NA,NA,NA,"03","11",NA,NA,NA,NA,NA,NA
"38","2015-02-10 11:46:17-02","BM","SOLANACEAE_SOURCE_BR","97982","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","Solanum filirhachis","Giacomin, L.L.","Demuner, V.; Cruz, T.A.; Belisário, M.","4817","2007","12","19","Southern America","Brazil","Espírito Santo","Águia Branca","Rochedo, , trilha do córrego, prop. Ailton Corteleti.","-40.801389","-18.955833","-40.801389","-18.955833","300","400",NA,"Arbusto 2,5 m botões florais e frutos verdes.; Interior de mata, riacho.","BHCB002731",NA,"filirhachis","Giacomin & Stehmann","2014",NA,NA,NA,"11",NA,"Dicotyledoneae","129463",NA,NA,NA,NA
"39","2015-02-10 11:46:17-02","BM","SOLANACEAE_SOURCE_BR","97983","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","Solanum filirhachis","Giacomin, L.L.","Demuner, V.; Magnago, L.S.F.; Cruz, T.; Bausen, E.; Clara","1919","2006","03","15","Southern America","Brazil","Espírito Santo","Águia Branca","Assentamento 16 de Abril.","-40.734722","-18.906944","-40.734722","-18.906944","150","200",NA,"Arbusto 2 m, botões florais lilás, estames amarelos, frutos verdes.; Interior de mata.",NA,NA,"filirhachis","Giacomin & Stehmann","2014",NA,NA,NA,"11",NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"40","2015-02-10 11:46:17-02","BM","SOLANACEAE_SOURCE_BR","98071","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","Solanum filirhachis","Knapp, S.","Demuner, V.; Cruz, T.A.; Belisario, M.","4817","2007","12","19","Southern America","Brazil","Espírito Santo","Águia Branca","Rochedo, Trilha do Córrego, prop. Ailton Corteleti","-40.801389","-18.955833","-40.801389","-18.955833","300","400",NA,"arbusto 2.5 m; botões florais e frutos verdes; interior de mata, riacho",NA,NA,"filirhachis","Giacomin & Stehmann","2014",NA,NA,NA,"01","01","Dicotyledoneae","129463",NA,NA,NA,NA
"41","2015-02-10 11:46:17-02","BM","SOLANACEAE_SOURCE_BR","97982","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","Solanum filirhachis","Giacomin, L.L.","Demuner, V.; Cruz, T.A.; Belisário, M.","4817","2007","12","19","Southern America","Brazil","Espírito Santo","Águia Branca","Rochedo, , trilha do córrego, prop. Ailton Corteleti.","-40.801389","-18.955833","-40.801389","-18.955833","300","400",NA,"Arbusto 2,5 m botões florais e frutos verdes.; Interior de mata, riacho.",NA,NA,"filirhachis","Giacomin & Stehmann","2014",NA,NA,NA,"11",NA,"Dicotyledoneae",NA,NA,NA,NA,NA
"42","2015-02-10 11:46:17-02","BM","SOLANACEAE_SOURCE_BR","97983","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","Solanum filirhachis","Giacomin, L.L.","Demuner, V.; Magnago, L.S.F.; Cruz, T.; Bausen, E.; Clara","1919","2006","03","15","Southern America","Brazil","Espírito Santo","Águia Branca","Assentamento 16 de Abril.","-40.734722","-18.906944","-40.734722","-18.906944","150","200",NA,"Arbusto 2 m, botões florais lilás, estames amarelos, frutos verdes.; Interior de mata.","BHCB019058",NA,"filirhachis","Giacomin & Stehmann","2014",NA,NA,NA,"11",NA,"Dicotyledoneae","129424",NA,NA,NA,NA
"43","2015-02-10 11:46:17-02","BM","SOLANACEAE_SOURCE_BR","98071","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","Solanum filirhachis","Knapp, S.","Demuner, V.; Cruz, T.A.; Belisario, M.","4817","2007","12","19","Southern America","Brazil","Espírito Santo","Águia Branca","Rochedo, Trilha do Córrego, prop. Ailton Corteleti","-40.801389","-18.955833","-40.801389","-18.955833","300","400",NA,"arbusto 2.5 m; botões florais e frutos verdes; interior de mata, riacho",NA,NA,"filirhachis","Giacomin & Stehmann","2014",NA,NA,NA,"01","01","Dicotyledoneae","32397",NA,NA,NA,NA
