"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","individualCount","occurrenceRemarks","geoFlag","continentOcean","preparationType","barcode","imagecode","infraspecificEpithet","class","previousCatalogNumber","typeStatus","relatedCatalogItem"
"1","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","3426","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","amoena","Billbergia amoena","(Lodd.) Lindl.","Machado, T.M.","2010","11","30","Machado, T.M.; Forzza, R.C.; Stehmann, J.R.; Amorin, A.M.","301","2010","11","30","Brasil","Espírito Santo","Ibitirama","Rio Norte","-41.6671981811523","-20.5414009094238","41° 41'","20°26'","22282","1140","1140","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","3423","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","euphemiae","Billbergia euphemiae","E.Morren","Machado, T.M.","2010","10","24","Machado,T.M.; Stehmann, J.R.; Martins da Costa, I","182","2010","10","24","Brasil","Espírito Santo","Ibitirama","Pedra Roxa","-41.6671981811523","-20.5414009094238","41°44' 09,1","20° 23' 36,9","22282","1172","1172","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","3427","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Neoregelia","brownii","Neoregelia brownii","Leme","Machado, T.M.","2010","12","17","Machado, T.M.; Souza, F. S.; Gomides, S.C.","323","2010","12","17","Brasil","Espírito Santo","Ibitirama","Rio Norte","-41.6671981811523","-20.5414009094238","41°44'087","20°26' 438","22282","1176","1176","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:37:06-03","NYBG","NYBG","02610081","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","viminifolium","Piper viminifolium",NA,NA,NA,NA,NA,"D. Monteiro","618","2012","03","08","Brazil","Espírito Santo","Ibitirama","Parna do Caparaó, mata da Cachoeira do Rio Calçado, entrando pela Tecnotruta.","-41.733056","-20.467778","-41.733056","-20.467778",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2916874 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY02610081","NY02610081",NA,NA,NA,NA,NA
"5","2019-12-16 17:17:38-03","NYBG","NYBG","2423267","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","nictitans","Chamaecrista nictitans","(L.) Moench",NA,NA,NA,NA,"T. B. Flores","1632","2012","10","27","Brazil","Espírito Santo","Ibitirama","Estrada entre o centro do município de Ibitirama e o vilarejo de São José","-41.66856","-20.46936","-41.66856","-20.46936",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685675 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY02423267","NY02423267",NA,NA,NA,NA,NA
"6","2019-12-16 18:26:56-03","NYBG","NYBG","2423283","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","arborea","Tibouchina arborea","(Gardner) Cogn.",NA,NA,NA,NA,"Collector unknown","1459","2012","10","23","Brazil","Espírito Santo","Ibitirama","Santa Marta-Estrada que ramifica a esquerda logo após a ponte, rumo ao alojamento do ICMBIO. Mata de Encosta.","-41.72644","-20.50742","-41.72644","-20.50742",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685697 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY02423283","NY02423283",NA,NA,NA,NA,NA
"7","2019-12-16 18:27:46-03","NYBG","NYBG","02104114","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina","sebastianopolitana","Tibouchina sebastianopolitana hirsuta","Cogn.","F. S. Meyer","2014","09",NA,"L. F. Bacci","44","2014",NA,NA,"Brazil","Espírito Santo","Ibitirama","Cachoeirinha, Serra do Caparaó, Vale de Santa Marta","-41.743333","-20.49","-41.743333","-20.490000",NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2624364 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY02104114","NY02104114","hirsuta",NA,NA,NA,NA
"8","2015-02-10 11:46:42-02","BM","SOLANACEAE_SOURCE_BR","96261","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","pseudoquina","Solanum pseudoquina","A.St.-Hil.","Giacomin, L.L.","2012","01","01","Giacomin, L.L.; Machado, T.M.; Souza, F.S.","1244","2011","02","10","Brazil","Espírito Santo","Ibitirama","Parque Nacional do Caparão, as margens da estrada de acesso ao alojamiento do IBAMA Santa Marta","-41.72","-20.504722","-41.72","-20.504722",NA,"858","858",NA,"arvoreta 6 m; frutos verdes; em ambiente degradado, amexo a pastagem",NA,"Southern America",NA,"BM001120465",NA,NA,"Dicotyledoneae",NA,NA,NA
"9","2015-02-10 11:46:42-02","BM","SOLANACEAE_SOURCE_BR","96261","O","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","pseudoquina","Solanum pseudoquina","A.St.-Hil.","Giacomin, L.L.","2012","01","01","Giacomin, L.L.; Machado, T.M.; Souza, F.S.","1244","2011","02","10","Brazil","Espírito Santo","Ibitirama","Parque Nacional do Caparão, as margens da estrada de acesso ao alojamiento do IBAMA Santa Marta","-41.72","-20.504722","-41.72","-20.504722",NA,"858","858",NA,"arvoreta 6 m; frutos verdes; em ambiente degradado, amexo a pastagem",NA,"Southern America",NA,NA,NA,NA,"Dicotyledoneae","152279",NA,NA
"10","2019-10-09 11:21:56-03","UFBA","ALCB","133391","PreservedSpecimen","Plantae","Dicotyledon",NA,"Ochnaceae","Ouratea",NA,"Ouratea",NA,NA,NA,NA,NA,"Nadruz, M; Temponi, L; Carmelo, M; Ribeiro, R","3283","2017","11","14","Brasil","Espírito Santo","Ibitirama","Parque Nacional do Caparaó, Rio Pedra Roxa.","-41.755556","-20.396667","-41.755556","-20.396667",NA,"1056","1056",NA,"Área alterada. Lamina foliar membranácea esverdeada discolor; pedúnculo e pedicelo esverdeados, cálice esverdeado-amarelado, corola amarelado, corola amarelada, androceu alaranjado. Frquência: raro.",NA,"Southern America",NA,"ALCB053128","ALCB053128",NA,NA,NA,NA,NA
"11","2019-02-22 15:08:55-03","ESALQ","ESA","112560","S","Plantae","Magnoliophyta",NA,"Acanthaceae","Staurogyne",NA,"Staurogyne",NA,NA,NA,NA,NA,"Colletta, G.D.","502","2010","04","12","Brasil","Espírito Santo","Ibitirama",NA,"-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,NA,NA,"auto",NA,NA,"ESA112560",NA,NA,NA,NA,NA,NA
"12","2019-07-11 10:04:29-03","ESALQ","ESA","122628","S","Plantae","Magnoliophyta",NA,"Acanthaceae","Staurogyne",NA,"Staurogyne",NA,NA,NA,NA,NA,"Flores, T.B.","1499","2012","10","24","Brasil","Espírito Santo","Ibitirama","Santa Marta - Sítio do Alemão (Claus - Diva), depois do sítio da Jacutinga.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","1168","1168",NA,"Erva, ca. 90cm de alt. Frutos amarelos","auto",NA,NA,"ESA122628",NA,NA,NA,NA,NA,NA
"13","2019-07-11 10:05:13-03","ESALQ","ESA","122773","S","Plantae","Magnoliophyta",NA,"Araliaceae","Dendropanax",NA,"Dendropanax",NA,NA,NA,NA,NA,"Flores, T.B.","1644","2012","10","28","Brasil","Espírito Santo","Ibitirama","Santa Marta #?# ao lado do alojamento do ICMBIO.","-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,NA,"Árvore, ca. 13m de alt. Flores alvas.","auto",NA,NA,"ESA122773",NA,NA,NA,NA,NA,NA
"14","2019-07-11 10:06:55-03","ESALQ","ESA","121901","S","Plantae","Magnoliophyta",NA,"Commelinaceae","Dichorisandra","hexandra","Dichorisandra hexandra",NA,"Pelegrini, M.O.O.","2013","10",NA,"Kuntz, J.","644","2012","03","23","Brasil","Espírito Santo","Ibitirama","Distrito Santa Marta. Mata do Calçado. Parque Nacional do Caparaó.","-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,NA,"Arbuto ca. 1,5 m alt., flores e frutos roxos.","auto",NA,NA,"ESA121901","ESA121901",NA,NA,NA,NA,NA
"15","2019-07-11 10:11:06-03","ESALQ","ESA","122584","S","Plantae","Magnoliophyta",NA,"Moraceae","Dorstenia",NA,"Dorstenia",NA,NA,NA,NA,NA,"Flores, T.B.","1455","2012","10","23","Brasil","Espírito Santo","Ibitirama","Santa Marta - Estrada que ramifica a esquerda logo após a ponte, rumo ao alojamento do ICMBIO. Mata de Encosta.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","920","920",NA,"Subarbusto, ca. 40cm de alt. Frutos esbranquiçados. Látex.","auto",NA,NA,"ESA122584",NA,NA,NA,NA,NA,NA
"16","2019-07-11 10:11:06-03","ESALQ","ESA","122676","S","Plantae","Magnoliophyta",NA,"Moraceae","Dorstenia",NA,"Dorstenia",NA,NA,NA,NA,NA,"Flores, T.B.","1547","2012","10","25","Brasil","Espírito Santo","Ibitirama","Santa Marta -Propriedade abandonada, depois do sítio da Jacutinga e antes do sítio do Alemão (Cláus #?# Diva) #?# Trilha atrás das ruínas da casa.","-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,NA,"Erva, ca. 80cm de alt. Frutos verdes.","auto",NA,NA,"ESA122676",NA,NA,NA,NA,NA,NA
"17","2019-07-11 10:13:06-03","ESALQ","ESA","122586","S","Plantae","Magnoliophyta",NA,"Rosaceae","Rubus",NA,"Rubus",NA,NA,NA,NA,NA,"Flores, T.B.","1457","2012","10","23","Brasil","Espírito Santo","Ibitirama","Santa Marta - Estrada que ramifica a esquerda logo após a ponte, rumo ao alojamento do ICMBIO. Mata de Encosta.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","920","920",NA,"Trepadeira, com frutos imaturos verdes, passando a vermelhos e amadurecendo pretos.","auto",NA,NA,"ESA122586","ESA122586",NA,NA,NA,NA,NA
"18","2019-07-11 10:08:40-03","ESALQ","ESA","122654","S","Plantae","Magnoliophyta",NA,"Fabaceae","Machaerium",NA,"Machaerium",NA,NA,NA,NA,NA,"Flores, T.B.","1525","2012","10","25","Brasil","Espírito Santo","Ibitirama","Pedra Roxa - Ao longo do rio do lado do alojamento do ICMBIO. Rio com aproximadamente 20m de largura - Pedregoso.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","1047","1047",NA,"Arbusto escandente, frutos imaturos verdes.","auto",NA,NA,"ESA122654",NA,NA,NA,NA,NA,NA
"19","2019-07-11 10:06:27-03","ESALQ","ESA","122755","S","Plantae","Magnoliophyta",NA,"Bromeliaceae","Edmundoa","linden","Edmundoa linden",NA,"Kessous, I.M.","2014","09","11","Flores, T.B.","1626","2012","10","27","Brasil","Espírito Santo","Ibitirama","Santa Marta -Propriedade abandonada, depois do sítio da Jacutinga e antes do sítio do Alemão (Cláus #?# Diva) #?# Trilha atrás das ruínas da casa.","-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,NA,"Epífita, flores alvas.","auto",NA,NA,"ESA122755","ESA122755",NA,NA,NA,NA,NA
"20","2019-02-22 15:08:32-03","ESALQ","ESA","112564","S","Plantae","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colletta, G.D.","506","2010","04","13","Brasil","Espírito Santo","Ibitirama",NA,"-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,NA,NA,"auto",NA,NA,"ESA112564",NA,NA,NA,NA,NA,NA
"21","2019-07-11 10:10:09-03","ESALQ","ESA","122765","S","Plantae","Magnoliophyta",NA,"Malvaceae","Eriotheca","macrophylla","Eriotheca macrophylla","(K.Schum.) A.Robyns","Ferreira, C.D.M.","2018","03","06","Flores, T.B.","1636","2012","10","27","Brasil","Espírito Santo","Ibitirama","Estrada entre os vilarejos de Santa Marta e São José #?# beira da estrada.","-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,NA,"Árvore, ca. 12m de alt. Cálice verde, corola alva, androceu amarelo.","auto",NA,NA,"ESA122765",NA,NA,NA,NA,NA,NA
"22","2019-07-11 10:13:22-03","ESALQ","ESA","122593","S","Plantae","Magnoliophyta",NA,"Rubiaceae","Coccocypselum","lanceolatum","Coccocypselum lanceolatum",NA,"Oliveira, J.A.","2016","07","01","Flores, T.B.","1464","2012","10","23","Brasil","Espírito Santo","Ibitirama","Santa Marta - Estrada que ramifica a esquerda logo após a ponte, rumo ao alojamento do ICMBIO. Mata de Encosta.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","920","920",NA,"Erva rastejante, frutos azuis.","auto",NA,NA,"ESA122593",NA,NA,NA,NA,NA,NA
"23","2019-07-11 10:11:23-03","ESALQ","ESA","122667","S","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia",NA,"Eugenia",NA,NA,NA,NA,NA,"Flores, T.B.","1538","2012","10","25","Brasil","Espírito Santo","Ibitirama","Pedra Roxa - Ao longo do rio do lado do alojamento do ICMBIO. Rio com aproximadamente 20m de largura - Pedregoso.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","1047","1047",NA,"Arvoreta, ca. 3m de alt. Frutos imaturos verdes, passando a vermelhos e amadurecendo roxos.","auto",NA,NA,"ESA122667",NA,NA,NA,NA,NA,NA
"24","2019-07-11 10:11:24-03","ESALQ","ESA","122772","S","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","brevistyla","Eugenia brevistyla","D. Legrand","Giaretta, A.","2015","05",NA,"Flores, T.B.","1643","2012","10","28","Brasil","Espírito Santo","Ibitirama","Santa Marta #?# ao lado do alojamento do ICMBIO.","-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,NA,"Árvore, ca. 9m de alt. Flores alvas.","auto",NA,NA,"ESA122772",NA,NA,NA,NA,NA,NA
"25","2019-07-11 10:11:23-03","ESALQ","ESA","122657","S","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","brevistyla","Eugenia brevistyla","D. Legrand","Giaretta, A.","2015","05","01","Flores, T.B.","1528","2012","10","25","Brasil","Espírito Santo","Ibitirama","Pedra Roxa - Estrada para o alojamento do ICMBIO.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","1047","1047",NA,"Árvore, ca. 4m de alt. Flores alvas.","auto",NA,NA,"ESA122657",NA,NA,NA,NA,NA,NA
"26","2019-07-11 10:14:01-03","ESALQ","ESA","122660","S","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","juglandifolia","Matayba juglandifolia","(Cambess.) Radlk.","Coelho, R.L.G.","2015","08","04","Flores, T.B.","1531","2012","10","25","Brasil","Espírito Santo","Ibitirama","Pedra Roxa - Estrada para o alojamento do ICMBIO.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","1047","1047",NA,"Árvore, ca. 6m de alt. Flores verdes, Frutos castanhos.","auto",NA,NA,"ESA122660",NA,NA,NA,NA,NA,NA
"27","2019-07-11 10:14:01-03","ESALQ","ESA","122604","S","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","juglandifolia","Matayba juglandifolia","(Cambess.) Radlk.","Coelho, R.L.G.","2015","08","04","Flores, T.B.","1475","2012","10","23","Brasil","Espírito Santo","Ibitirama","Pedra Roxa - Alojamento do ICMBIO - Beira do Rio","-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,NA,"Árvore, ca. 7m de alt. Flores alvas.","auto",NA,NA,"ESA122604",NA,NA,NA,NA,NA,NA
"28","2019-07-11 10:14:01-03","ESALQ","ESA","122696","S","Plantae","Magnoliophyta",NA,"Sapindaceae","Matayba","juglandifolia","Matayba juglandifolia","(Cambess.) Radlk.","Coelho, R.L.G.","2015","08","04","Flores, T.B.","1567","2012","10","25","Brasil","Espírito Santo","Ibitirama","Pedra Roxa - Ao longo do rio do lado do alojamento do ICMBIO. Rio com aproximadamente 20m de largura - Pedregoso.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","1047","1047",NA,"Árvore, ca. 12m de alt. Flores alvas.","auto",NA,NA,"ESA122696",NA,NA,NA,NA,NA,NA
"29","2019-07-11 10:06:42-03","ESALQ","ESA","122624","S","Plantae","Magnoliophyta",NA,"Celastraceae","Maytenus",NA,"Maytenus",NA,NA,NA,NA,NA,"Flores, T.B.","1495","2012","10","23","Brasil","Espírito Santo","Ibitirama","Pedra Roxa - Alojamento do ICMBIO - Beira do Rio","-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,NA,"Árvore, ca. 5m de alt. Frutos amarelos.","auto",NA,NA,"ESA122624",NA,NA,NA,NA,NA,NA
"30","2019-07-11 10:06:42-03","ESALQ","ESA","122619","S","Plantae","Magnoliophyta",NA,"Celastraceae","Maytenus",NA,"Maytenus",NA,NA,NA,NA,NA,"Flores, T.B.","1490","2012","10","23","Brasil","Espírito Santo","Ibitirama","Santa Marta - Trilha a direita após a ponte ao lado do alojamento do ICMBIO. Mata de Encosta.","-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,NA,"Árvore, ca. 8m de alt. Flores amarelas.","auto",NA,NA,"ESA122619",NA,NA,NA,NA,NA,NA
"31","2019-07-11 10:09:27-03","ESALQ","ESA","122587","S","Plantae","Magnoliophyta",NA,"Lauraceae","Nectandra","reticulata","Nectandra reticulata",NA,"Ribeiro, H.L.","2018","09","21","Flores, T.B.","1458","2012","10","23","Brasil","Espírito Santo","Ibitirama","Santa Marta - Estrada que ramifica a esquerda logo após a ponte, rumo ao alojamento do ICMBIO. Mata de Encosta.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","920","920",NA,"Árvore, ca. 4m de alt. Cúpula roxa avermelhada, frutos verdes, botões castanhos.","auto",NA,NA,"ESA122587",NA,NA,NA,NA,NA,NA
"32","2019-07-11 10:06:13-03","ESALQ","ESA","122776","S","Plantae","Magnoliophyta",NA,"Bignoniaceae","Fridericia",NA,"Fridericia",NA,NA,NA,NA,NA,"Flores, T.B.","1647","2012","10","28","Brasil","Espírito Santo","Ibitirama","Propriedade particular (Alcindo Luis Mota Filho) a 5 Km da entrada do município de Ibitirama #?# Mata de encosta.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","803","803",NA,"Trepadeira, frutos imaturos verdes.","auto",NA,NA,"ESA122776","ESA122776",NA,NA,NA,NA,NA
"33","2019-07-11 10:04:29-03","ESALQ","ESA","122699","S","Plantae","Magnoliophyta",NA,"Acanthaceae","Ruellia","menthoides","Ruellia menthoides","(Nees) Hiern","Azevedo, I.H.F.","2018","08","30","Flores, T.B.","1570","2012","10","25","Brasil","Espírito Santo","Ibitirama","Pedra Roxa - Ao longo do rio do lado do alojamento do ICMBIO. Rio com aproximadamente 20m de largura - Pedregoso.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","1047","1047",NA,"Erva, ca. 60cm de alt. Flores alvas, face interior da corola com pontuações roxas. Botões alvos.","auto",NA,NA,"ESA122699",NA,NA,NA,NA,NA,NA
"34","2019-07-11 10:13:23-03","ESALQ","ESA","121908","S","Plantae","Magnoliophyta",NA,"Rubiaceae","Galium",NA,"Galium",NA,NA,NA,NA,NA,"Kuntz, J.","651","2012","03","23","Brasil","Espírito Santo","Ibitirama","Distrito Santa Marta. Mata do Calçado. Parque Nacional do Caparaó.","-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,NA,"Trepadeira com frutos alaranjados.","auto",NA,NA,"ESA121908",NA,NA,NA,NA,NA,NA
"35","2019-07-11 08:49:09-03","ESALQ","ESA","112513","S","Plantae","Magnoliophyta",NA,"Acanthaceae","Mendoncia","velloziana","Mendoncia velloziana",NA,NA,NA,NA,NA,"Colletta, G.D.","402","2010","01","15","Brasil","Espírito Santo","Ibitirama, distrito de Santa Marta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESA112513","ESA112513_v1 ESA112513_v2",NA,NA,NA,NA,NA
"36","2019-07-11 10:10:36-03","ESALQ","ESA","122566","S","Plantae","Magnoliophyta",NA,"Melastomataceae","Miconia",NA,"Miconia",NA,NA,NA,NA,NA,"Flores, T.B.","1437","2012","10","22","Brasil","Espírito Santo","Ibitirama","Santa Marta - Estrada que ramifica a esquerda logo após a ponte, rumo ao alojamento do ICMBIO.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","920","920",NA,"Arbusto, ca. 2m de alt. Frutos pretos.","auto",NA,NA,"ESA122566","ESA122566",NA,NA,NA,NA,NA
"37","2019-07-11 10:10:36-03","ESALQ","ESA","122686","S","Plantae","Magnoliophyta",NA,"Melastomataceae","Miconia",NA,"Miconia",NA,NA,NA,NA,NA,"Flores, T.B.","1557","2012","10","25","Brasil","Espírito Santo","Ibitirama","Santa Marta -Estrada sentido ao sítio do Alemão (Cláus #?# Diva) #?# Beira da estrada.","-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,NA,"Árvore, ca. 5m de alt. Frutos imaturos verdes.","auto",NA,NA,"ESA122686","ESA122686",NA,NA,NA,NA,NA
"38","2019-07-11 10:10:36-03","ESALQ","ESA","122779","S","Plantae","Magnoliophyta",NA,"Melastomataceae","Miconia",NA,"Miconia",NA,NA,NA,NA,NA,"Flores, T.B.","1650","2012","10","28","Brasil","Espírito Santo","Ibitirama","Propriedade particular (Alcindo Luis Mota Filho) a 5 Km da entrada do município de Ibitirama #?# Mata de encosta.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","803","803",NA,"Arbusto, ca. 3m de alt. Flores alvas, frutos imaturos verdes.","auto",NA,NA,"ESA122779",NA,NA,NA,NA,NA,NA
"39","2019-07-11 10:13:08-03","ESALQ","ESA","122626","S","Plantae","Magnoliophyta",NA,"Rubiaceae","Chomelia","pedunculosa","Chomelia pedunculosa",NA,"Pessoa, M.C.","2014","04",NA,"Flores, T.B.","1497","2012","10","24","Brasil","Espírito Santo","Ibitirama","Santa Marta, Mata do Calçado, Trilha na Tecnotruta. Mata de encosta.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","1282","1282",NA,"Arvoreta, ca. 2m de alt. Flores alvas, Frutos pretos.","auto",NA,NA,"ESA122626",NA,NA,NA,NA,NA,NA
"40","2019-07-11 10:10:51-03","ESALQ","ESA","122578","S","Plantae","Magnoliophyta",NA,"Melastomataceae","Miconia","hirtella","Miconia hirtella",NA,"Goldenberg, R.","2014","10",NA,"Flores, T.B.","1449","2012","10","22","Brasil","Espírito Santo","Ibitirama","Santa Marta - Estrada que ramifica a esquerda logo após a ponte, rumo ao alojamento do ICMBIO.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","920","920",NA,"Arbusto, ca. 3m de alt. Frutos imaturos verdes.","auto",NA,NA,"ESA122578","ESA122578",NA,NA,NA,NA,NA
"41","2019-07-11 10:08:26-03","ESALQ","ESA","122664","S","Plantae","Magnoliophyta",NA,"Fabaceae","Collaea","speciosa","Collaea speciosa",NA,NA,NA,NA,NA,"Flores, T.B.","1535","2012","10","25","Brasil","Espírito Santo","Ibitirama","Pedra Roxa - Ao longo do rio do lado do alojamento do ICMBIO. Rio com aproximadamente 20m de largura - Pedregoso.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","1047","1047",NA,"Arbusto, ca. 2m de alt. Frutos castanhos, face abaxial da folha cinza.","auto",NA,NA,"ESA122664",NA,NA,NA,NA,NA,NA
"42","2019-07-11 10:14:08-03","ESALQ","ESA","122728","S","Plantae","Magnoliophyta",NA,"Sapotaceae","Micropholis",NA,"Micropholis",NA,NA,NA,NA,NA,"Flores, T.B.","1599","2012","10","26","Brasil","Espírito Santo","Ibitirama","Propriedade particular (Alcindo Luis Mota Filho) a 5 Km da entrada do município de Ibitirama #?# Mata de encosta.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","803","803",NA,"Árvore, ca. 5m de alt. Frutos imaturos vermelhos, amadurecendo pretos.","auto",NA,NA,"ESA122728","ESA122728",NA,NA,NA,NA,NA
"43","2019-07-11 10:08:12-03","ESALQ","ESA","122761","S","Plantae","Magnoliophyta",NA,"Fabaceae","Chamaecrista","nictitans","Chamaecrista nictitans",NA,"Escobar, N.A.G.","2013",NA,NA,"Flores, T.B.","1632","2012","10","27","Brasil","Espírito Santo","Ibitirama","Estrada entre o centro do município de Ibitirama e o vilarejo de São José #?# Pasto.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","859","859",NA,"Arbusto, ca. 90cm de alt. Flores amarelas, frutos imaturos verdes.","auto",NA,NA,"ESA122761",NA,NA,NA,NA,NA,NA
"44","2019-07-11 10:13:23-03","ESALQ","ESA","122743","S","Plantae","Magnoliophyta",NA,"Rubiaceae","Geophila",NA,"Geophila",NA,NA,NA,NA,NA,"Flores, T.B.","1614","2012","10","25","Brasil","Espírito Santo","Ibitirama","Santa Marta -Propriedade abandonada, depois do sítio da Jacutinga e antes do sítio do Alemão (Cláus #?# Diva) #?# Trilha atrás das ruínas da casa.","-41.6671981811523","-20.5414009094238",NA,NA,"22282",NA,NA,NA,"Erva rastejante, frutos roxos.","auto",NA,NA,"ESA122743",NA,NA,NA,NA,NA,NA
"45","2019-07-11 10:10:21-03","ESALQ","ESA","122729","S","Plantae","Magnoliophyta",NA,"Marantaceae","Goeppertia","colorata","Goeppertia colorata",NA,"Saka, M.N.","2014","11",NA,"Flores, T.B.","1600","2012","10","26","Brasil","Espírito Santo","Ibitirama","Propriedade particular (Alcindo Luis Mota Filho) a 5 Km da entrada do município de Ibitirama #?# Mata de encosta.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","803","803",NA,"Erva inteira, Brácteas vermelhas, flores amarelas. Face abaxial das folhas roxo.","auto",NA,NA,"ESA122729","ESA122729",NA,NA,NA,NA,NA
"46","2019-07-11 10:13:06-03","ESALQ","ESA","122662","S","Plantae","Magnoliophyta",NA,"Rhamnaceae","Gouania",NA,"Gouania",NA,NA,NA,NA,NA,"Flores, T.B.","1533","2012","10","25","Brasil","Espírito Santo","Ibitirama","Pedra Roxa - Ao longo do rio do lado do alojamento do ICMBIO. Rio com aproximadamente 20m de largura - Pedregoso.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","1047","1047",NA,"Trepadeira, frutos castanhos.","auto",NA,NA,"ESA122662","ESA122662",NA,NA,NA,NA,NA
"47","2019-07-11 10:11:40-03","ESALQ","ESA","122760","S","Plantae","Magnoliophyta",NA,"Nyctaginaceae","Guapira",NA,"Guapira",NA,NA,NA,NA,NA,"Flores, T.B.","1631","2012","10","27","Brasil","Espírito Santo","Ibitirama","Propriedade Particular (Paulo Kintão). No município de Ibitirama pegar o caminho para o cemitério, estrada de terra à direita em uma baixada. Mata de encosta.","-41.6671981811523","-20.5414009094238",NA,NA,"22282","795","795",NA,"Árvore, ca. 8m de alt. Frutos imaturos verdes, maduros vermelhos.","auto",NA,NA,"ESA122760","ESA122760",NA,NA,NA,NA,NA
