"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","scientificNameAuthorship","monthIdentified","dayIdentified","infraspecificEpithet","individualCount","class","relatedCatalogItem"
"216","2019-12-06 14:25:48-03","MBM","MBM","422899","S","Plantae",NA,NA,"Apocynaceae",NA,NA,NA,NA,NA,NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3512","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, cume","-40.793333","-19.187222",NA,"700","700",NA,NA,"MBM422899",NA,NA,"-40.793333","-19.187222",NA,NA,NA,NA,NA,NA,NA
"217","2019-12-06 14:28:49-03","MBM","MBM","422871","S","Plantae",NA,NA,"Asteraceae",NA,NA,NA,NA,NA,NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3484","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, trilha para o pico","-40.792778","-19.176111",NA,"400","400",NA,NA,"MBM422871",NA,NA,"-40.792778","-19.176111",NA,NA,NA,NA,NA,NA,NA
"218","2019-12-06 14:35:06-03","MBM","MBM","422898","S","Plantae",NA,NA,"Begoniaceae",NA,NA,NA,NA,NA,NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3511","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, cume","-40.793333","-19.187222",NA,"700","700",NA,NA,"MBM422898",NA,NA,"-40.793333","-19.187222",NA,NA,NA,NA,NA,NA,NA
"219","2019-12-06 14:42:24-03","MBM","MBM","422848","S","Plantae",NA,NA,"Dilleniaceae",NA,NA,NA,NA,NA,NA,"Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","6218","2019","04","07","Southern America","Brazil","Espírito Santo","Pancas","Pedra da Colina","-40.87","-19.231667",NA,"740","740",NA,NA,"MBM422848",NA,NA,"-40.87","-19.231667",NA,NA,NA,NA,NA,NA,NA
"220","2019-12-06 14:42:24-03","MBM","MBM","422873","S","Plantae",NA,NA,"Dilleniaceae",NA,NA,NA,NA,NA,NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3486","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, trilha para o pico","-40.799722","-19.178889",NA,"510","510",NA,NA,"MBM422873",NA,NA,"-40.799722","-19.178889",NA,NA,NA,NA,NA,NA,NA
"221","2019-12-06 14:45:46-03","MBM","MBM","422839","S","Plantae",NA,NA,"Fabaceae",NA,NA,NA,NA,NA,NA,"Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","6209","2019","04","07","Southern America","Brazil","Espírito Santo","Pancas","Pedra da Colina","-40.87","-19.231667",NA,"740","740",NA,NA,"MBM422839",NA,NA,"-40.87","-19.231667",NA,NA,NA,NA,NA,NA,NA
"222","2019-12-06 14:45:46-03","MBM","MBM","422870","S","Plantae",NA,NA,"Fabaceae",NA,NA,NA,NA,NA,NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3483","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, trilha para o pico","-40.792778","-19.176111",NA,"400","400",NA,NA,"MBM422870",NA,NA,"-40.792778","-19.176111",NA,NA,NA,NA,NA,NA,NA
"223","2019-12-06 15:01:29-03","MBM","MBM","422881","S","Plantae",NA,NA,"Malpighiaceae",NA,NA,NA,NA,NA,NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3494","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, trilha para o pico","-40.799722","-19.178889",NA,"510","510",NA,NA,"MBM422881",NA,NA,"-40.799722","-19.178889",NA,NA,NA,NA,NA,NA,NA
"224","2019-12-06 15:01:29-03","MBM","MBM","422892","S","Plantae",NA,NA,"Malpighiaceae",NA,NA,NA,NA,NA,NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3505","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, cume","-40.793333","-19.187222",NA,"700","700",NA,NA,"MBM422892",NA,NA,"-40.793333","-19.187222",NA,NA,NA,NA,NA,NA,NA
"225","2019-12-06 15:04:11-03","MBM","MBM","422852","S","Plantae",NA,NA,"Melastomataceae",NA,NA,NA,NA,NA,NA,"Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","6222","2019","04","07","Southern America","Brazil","Espírito Santo","Pancas","Pedra da Colina","-40.87","-19.231667",NA,"740","740",NA,NA,"MBM422852",NA,NA,"-40.87","-19.231667",NA,NA,NA,NA,NA,NA,NA
"226","2019-12-06 15:11:09-03","MBM","MBM","422893","S","Plantae",NA,NA,"Orchidaceae",NA,NA,NA,NA,NA,NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3506","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, cume","-40.793333","-19.187222",NA,"700","700",NA,NA,"MBM422893",NA,NA,"-40.793333","-19.187222",NA,NA,NA,NA,NA,NA,NA
"227","2019-12-06 15:11:09-03","MBM","MBM","422900","S","Plantae",NA,NA,"Orchidaceae",NA,NA,NA,NA,NA,NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3513","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, cume","-40.793333","-19.187222",NA,"700","700",NA,NA,"MBM422900",NA,NA,"-40.793333","-19.187222",NA,NA,NA,NA,NA,NA,NA
"228","2019-12-06 14:23:24-03","MBM","MBM","422889","S","Plantae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3502","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, cume","-40.793333","-19.187222",NA,"700","700",NA,NA,"MBM422889",NA,NA,"-40.793333","-19.187222",NA,NA,NA,NA,NA,NA,NA
"229","2019-12-06 15:13:49-03","MBM","MBM","422884","S","Plantae",NA,NA,"Poaceae",NA,NA,NA,NA,NA,NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3497","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, trilha para o pico","-40.799722","-19.178889",NA,"510","510",NA,NA,"MBM422884",NA,NA,"-40.799722","-19.178889",NA,NA,NA,NA,NA,NA,NA
"230","2019-12-06 15:17:58-03","MBM","MBM","422846","S","Plantae",NA,NA,"Rubiaceae",NA,NA,NA,NA,NA,NA,"Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","6216","2019","04","07","Southern America","Brazil","Espírito Santo","Pancas","Pedra da Colina","-40.87","-19.231667",NA,"740","740",NA,NA,"MBM422846",NA,NA,"-40.87","-19.231667",NA,NA,NA,NA,NA,NA,NA
"231","2019-12-06 15:17:58-03","MBM","MBM","422860","S","Plantae",NA,NA,"Rubiaceae",NA,NA,NA,NA,NA,NA,"Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","6230","2019","04","07","Southern America","Brazil","Espírito Santo","Pancas","Pedra da Colina","-40.87","-19.231667",NA,"740","740",NA,NA,"MBM422860",NA,NA,"-40.87","-19.231667",NA,NA,NA,NA,NA,NA,NA
"232","2019-12-06 15:17:58-03","MBM","MBM","422901","S","Plantae",NA,NA,"Rubiaceae",NA,NA,NA,NA,NA,NA,"Brotto, M.L.; Cordeiro, J.; Cordeiro, J.","3514","2019","04","08","Southern America","Brazil","Espírito Santo","Pancas","Pico do Vidal, cume","-40.793333","-19.187222",NA,"700","700",NA,NA,"MBM422901",NA,NA,"-40.793333","-19.187222",NA,NA,NA,NA,NA,NA,NA
"233","2019-12-06 15:21:08-03","MBM","MBM","422841","S","Plantae",NA,NA,"Scrophulariaceae",NA,NA,NA,NA,NA,NA,"Cordeiro, J.; Brotto, M.L.; Brotto, M.L.","6211","2019","04","07","Southern America","Brazil","Espírito Santo","Pancas","Pedra da Colina","-40.87","-19.231667",NA,"740","740",NA,NA,"MBM422841",NA,NA,"-40.87","-19.231667",NA,NA,NA,NA,NA,NA,NA
"234","2019-12-06 15:02:44-03","MBM","MBM","161992","S","Plantae",NA,NA,"Malvaceae","Abutilon","rufivellum","Abutilon rufivellum","Krapovickas, A.","1993",NA,"Arbo, M.M.; et al.; et al.","5587",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Pancas","Sítio Sturr, Feixe de Pedras, ca. 6km ESE de Pancas","-40.8513984680176","-19.2250003814697","32475","180","180",NA,"Arbusto ramoso 4-5 m tallo tostado, hojas discoloras. Flor fragante, caliz verde, petalos blancos de base verdosa, estambres amarillos. Antesis nocturna. Borde de mata sobre piedras","MBM161992","MBM161992","auto",NA,NA,"K. Schum.",NA,NA,NA,NA,NA,NA
