"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","verbatimLongitude","verbatimLatitude","scientificNameAuthorship","monthIdentified","dayIdentified","infraspecificEpithet","individualCount","class","relatedCatalogItem"
"1","2019-12-16 18:26:37-03","NYBG","NYBG","879073","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pleroma","marinana","Pleroma marinana","C. N. Fraga","2013","isotype","C. N. Fraga","962","2003","03","07","South America","Brazil","Espírito Santo","Pancas","Serra do Alto Mutum Preto, proximidades da rampa de vôo Livre","-40.8513984680176","-19.2250003814697","32475","750","750","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536021 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00879073","NY00879073","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 18:26:37-03","NYBG","NYBG","879072","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pleroma","penduliflora","Pleroma penduliflora",NA,NA,NA,"C. N. Fraga","959","2003","03","07","South America","Brazil","Espírito Santo","Pancas","Serra do Alto Mutum Preto, proximidades da rampa de vôo Livre","-40.8513984680176","-19.2250003814697","32475","750","750","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536018 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00879072","NY00879072","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:26:37-03","NYBG","NYBG","879071","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Pleroma","penduliflora","Pleroma penduliflora",NA,NA,NA,"C. N. Fraga","965","2003","03","07","South America","Brazil","Espírito Santo","Pancas","Serra do Alto Mutum Preto, proximidades da rampa de vôo Livre","-40.8513984680176","-19.2250003814697","32475","750","750","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2536017 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00879071","NY00879071","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:41:20-03","NYBG","NYBG","02861571","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Scleria",NA,"Scleria",NA,NA,NA,"L. F. A. de Paula","900","2016","03","12","South America","Brazil","Espírito Santo","Pancas","Fazenda do Sr. Geraldino Romais. Inselberg em frente à Pedra do Camelo.","-40.8063889","-19.2388889",NA,"144","144","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3196290 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02861571","NY02861571",NA,"-40.8063889","-19.2388889",NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:38:47-03","NYBG","NYBG","02864681","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Cyperus","coriifolius","Cyperus coriifolius",NA,NA,NA,"R. C. Forzza","8743","2016","03","11","South America","Brazil","Espírito Santo","Pancas","Pedra da Colina.","-40.8767","-19.2311",NA,"745","745","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3196319 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02864681","NY02864681",NA,"-40.8767","-19.2311","Boeckeler",NA,NA,NA,NA,NA,NA
"6","2019-12-16 17:19:36-03","NYBG","NYBG","02474107","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Dalbergia","foliosa","Dalbergia foliosa",NA,NA,NA,"H. C. de Lima","7636","2013","04","14","South America","Brazil","Espírito Santo","Pancas","Serra do Alto Mutum Preto, estrada para Pedra da Colina, rampa de voo-livre","-40.87675","-19.23122",NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685435 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02474107","NY02474107",NA,"-40.87675","-19.23122","(Benth.) A.M.Carvalho",NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:19:43-03","NYBG","NYBG","1281365","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia",NA,"Huberia","F. A. Michelangeli",NA,NA,"R. C. Forzza","5825","2010","03","12","South America","Brazil","Espírito Santo","Pancas","Pedra da COlina.","-40.8764","-19.2308",NA,"700","700","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1687705 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01281365","NY01281365",NA,"-40.8764","-19.2308",NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:19:57-03","NYBG","NYBG","02736634","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Huberia","espiritosantensis","Huberia espiritosantensis",NA,NA,NA,"C. N. Fraga","3506","2013","04","13","South America","Brazil","Espírito Santo","Pancas","Serra do Alto Mutum Preto, Pedra da Colina, caminho para a rampa de vôo livre.","-40.8764","-19.2308",NA,"775","775","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3244527 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02736634","NY02736634",NA,"-40.8764","-19.2308","Baumgratz",NA,NA,NA,NA,NA,NA
"9","2019-12-16 18:09:26-03","NYBG","NYBG","03060707","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae","Passiflora","mediterranea","Passiflora mediterranea",NA,NA,NA,"H. C. de Lima","7643","2013","04","14","South America","Brazil","Espírito Santo","Pancas","Serra do Alto Mutum Preto, estrada para Pedra da Colina, rampa de voo-livre. Vegetação rupestre.","-40.8766667","-19.2311111",NA,"750","750","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3286140 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY03060707","NY03060707",NA,"-40.8766667","-19.2311111","Vell.",NA,NA,NA,NA,NA,NA
"10","2019-12-16 16:45:37-03","NYBG","NYBG","00568002","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Syagrus","ruschiana","Syagrus ruschiana",NA,NA,NA,"L. R. Noblick","4838","1992","03","10","South America","Brazil","Espírito Santo","Pancas","3 km NW of town on the road Pancas/Vila Verde.","-40.87","-19.25",NA,"250","400","packeted","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193691 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00568002","NY00568002_01 NY00568002_02 NY00568002_03 NY00568002_04",NA,"-40.87","-19.25",NA,NA,NA,NA,NA,NA,NA
"11","2019-12-16 18:26:55-03","NYBG","NYBG","1281364","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Tibouchina",NA,"Tibouchina","F. A. Michelangeli","2017",NA,"R. C. Forzza","5826","2010","03","12","South America","Brazil","Espírito Santo","Pancas","Pedra da COlina.","-40.8764","-19.2308",NA,"700","700","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1687702 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01281364","NY01281364",NA,"-40.8764","-19.2308",NA,"10","27",NA,NA,NA,NA
"12","2019-12-16 18:11:42-03","NYBG","NYBG","2422919","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Trigoniaceae","Trigonia","nivea","Trigonia nivea",NA,NA,NA,"H. C. de Lima","7634","2013","04","14","South America","Brazil","Espírito Santo","Pancas","Serra do Alto Mutum Preto, estrada para Pedra da Colina, rampa de voo-livre","-40.8767","-19.23122",NA,"750","750","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2675026 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02422919","NY02422919",NA,"-40.8767","-19.23122","Cambess.",NA,NA,NA,NA,NA,NA
"13","2019-12-16 17:56:54-03","NYBG","NYBG","533353","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Myristicaceae","Virola","oleifera","Virola oleifera",NA,NA,NA,"J. G. Kuhlmann","373","1930","09","29","South America","Brazil","Espírito Santo","Pancas","Km. 8, estrada velha do Pancas, Rio Doce, Colatina.","-40.8514","-19.2253",NA,NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301138 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00533353","NY00533353",NA,"-40.8514","-19.2253","(Schott) A.C.Sm.",NA,NA,NA,NA,NA,NA
"14","2020-02-03 10:43:05-03","UNESP-IBB","BOTU","32991","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Poiretia","punctata","Poiretia punctata","Pinto, R.B.; Mansano, V. de F.","2009",NA,"Forzza, R.C.","5745","2009","11","18",NA,"Brasil","Espírito Santo","Pancas","Há 5 km do centro de Pancas","-40.805","-19.239444",NA,NA,NA,NA,NA,"BOTU032991",NA,NA,"40°48'18w","19°14'22s","(Willd.) Desv.","11","06",NA,NA,NA,NA
"15","2019-10-09 11:17:14-03","UFBA","ALCB","09078","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Stylosanthes",NA,"Stylosanthes",NA,NA,NA,"s.col.","s/n",NA,NA,NA,"Southern America","Brasil","Espírito Santo","Pancas",NA,"-40.8513984680176","-19.2250003814697","32475",NA,NA,NA,NA,"ALCB032634","ALCB032634","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-10-09 11:19:15-03","UFBA","ALCB","02463","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Bakeridia","rufivela","Bakeridia rufivela","Krapovickas, A","1980",NA,"Pinto, GCP","s/n","1972","08",NA,"Southern America","Brasil","Espírito Santo","Pancas","Alto Rio Novo","-40.8513984680176","-19.2250003814697","32475",NA,NA,NA,"De tronco erecto.","ALCB062807",NA,"auto",NA,NA,"Hockr.",NA,NA,NA,NA,NA,NA
"17","2019-11-25 16:50:58-03","UFBA","ALCB","136571","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Cryptocarya","aschersoniana","Cryptocarya aschersoniana","Moraes, PLR de","2015",NA,"Moraes, PLR de; Werff, H van der; Pontes, TA; Cruz, M","4716","2015","01","29","Southern America","Brasil","Espírito Santo","Pancas","Córrego São Luiz.","-40.8513984680176","-19.2250003814697","32475",NA,NA,NA,"Árvore 18 m, frutos verdes.","ALCB066193","ALCB066193","auto",NA,NA,"Mez","01",NA,NA,NA,NA,NA
"18","2019-11-25 16:50:44-03","UFBA","ALCB","136566","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Bauhinia",NA,"Bauhinia",NA,NA,NA,"Moraes, PLR de; Werff, H van der; Pontes, TA; Cruz, M","4732","2015","01","29","Southern America","Brasil","Espírito Santo","Pancas","Pedra da Colina","-40.8513984680176","-19.2250003814697","32475",NA,NA,NA,"Vine, flowers white, fragrant.","ALCB066188","ALCB066188","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-25 16:51:33-03","UFBA","ALCB","135371","PreservedSpecimen","Plantae","Dicotyledon",NA,"Rubiaceae",NA,NA,NA,NA,NA,NA,"Moraes, PLR de; Werff, H van der; Pontes, TA; Cruz, M","4731","2015","01","29","Southern America","Brasil","Espírito Santo","Pancas","Pedra da Colina.","-40.8513984680176","-19.2250003814697","32475",NA,NA,NA,"Árvore 15 m, flores brancas.","ALCB063314","ALCB063314","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-11-25 16:50:58-03","UFBA","ALCB","136572","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Nectandra","megapotamica","Nectandra megapotamica","Moraes, PLR de","2015",NA,"Moraes, PLR de; Werff, H van der; Pontes, TA; Cruz, M","4726","2015","01","29","Southern America","Brasil","Espírito Santo","Pancas","Trilha para a Pedra da Colina.","-40.8513984680176","-19.2250003814697","32475",NA,NA,NA,"Árvore 18 m, flores brancas.","ALCB066194","ALCB066194","auto",NA,NA,"(Spreng.) Mez","01",NA,NA,NA,NA,NA
"21","2019-11-25 16:50:58-03","UFBA","ALCB","136568","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Nectandra","puberula","Nectandra puberula","Moraes, PLR de","2015",NA,"Moraes, PLR de","4723","2015","01","29","Southern America","Brasil","Espírito Santo","Pancas","Trilha para a Pedra da Colina.","-40.8513984680176","-19.2250003814697","32475",NA,NA,NA,"Árvore 20m, flores brancas.","ALCB066190","ALCB066190","auto",NA,NA,"(Schott) Nees","01",NA,NA,NA,NA,NA
"22","2020-02-14 14:10:59-03","UFBA","ALCB","136569","PreservedSpecimen","Plantae","Dicotyledon",NA,"Symplocaceae","Symplocos",NA,"Symplocos",NA,NA,NA,"Moraes, PLR de; Werff, H van der; Pontes, TA; Cruz, M","4719","2015","01","29","Southern America","Brasil","Espírito Santo","Pancas","Trilha para a Pedra da Colina.","-40.8513984680176","-19.2250003814697","32475",NA,NA,NA,"Árvore 6m, frutos verdes.","ALCB066191","ALCB066191","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-07-11 08:52:44-03","ESALQ","ESA","98387","S","Plantae","Magnoliophyta",NA,"Fabaceae","Senna","affinis","Senna affinis","Toledo, C.A.P.","2015",NA,"Fraga, C.N.","973","2003","03","07",NA,"Brasil","Espírito Santo","Pancas",NA,"-40.8513984680176","-19.2250003814697","32475",NA,NA,NA,NA,"ESA098387","ESA098387","auto",NA,NA,"(Benth.) H.S. Irwin & Barneby","04",NA,NA,NA,NA,NA
"24","2019-02-22 15:17:04-03","ESALQ","ESA","98386","S","Plantae","Magnoliophyta",NA,"Fabaceae",NA,NA,NA,NA,NA,NA,"Fraga, C.N.","972","2003","03","07",NA,"Brasil","Espírito Santo","Pancas",NA,"-40.8513984680176","-19.2250003814697","32475",NA,NA,NA,NA,"ESA098386","ESA098386","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-02-13 14:09:18-03","MN","R","171652","S","Plantae",NA,NA,"Fabaceae","Andira","anthelmia","Andira anthelmia",NA,NA,NA,"Shepherd, G.J.; Semir,J.; Andrade,J.B. de; Leite,V.","5878","1977","09","08",NA,"Brasil","Espírito Santo","Vale de Pancas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Vell.) J.F. Macbr.",NA,NA,NA,NA,NA,NA
"26","2020-02-13 14:08:17-03","MN","R","234890","S","Plantae",NA,NA,"Cannaceae","Canna","indica","Canna indica","Couto, D.R.","2014",NA,"Couto, D.R.; Paixão-Souza, B.; Kessous, I.M. & Mota, T.","2873","2014","08","23",NA,"Brasil","Espirito Santo","Pancas Lajunha",NA,"-40.758611","-19.257222",NA,NA,NA,NA,NA,"R010055679,R010055680,R010055681","R010055679 R010055680 R010055681",NA,"40º45'31W","19º15'26S","L.","08","28",NA,NA,NA,NA
"27","2020-02-13 14:07:50-03","MN","R","215821","S","Plantae",NA,NA,"Bromeliaceae","Alcantarea","trepida","Alcantarea trepida",NA,NA,NA,"Coser, T.S.; Francino, D.M.T.","621","2012","02","29",NA,"Brasil","Espírito Santo","Pancas",NA,"-40.8513984680176","-19.2250003814697","32475",NA,NA,NA,NA,"R010004453",NA,"auto",NA,NA,"Versieux & Wand.",NA,NA,NA,NA,NA,NA
"28","2020-02-13 14:06:29-03","MN","R","87506","S","Plantae",NA,NA,"Apocynaceae","Allamanda","schottii","Allamanda schottii",NA,NA,NA,"Bueno, E.A. 89; Mello Filho, L.E.",NA,"1942","07","10",NA,"Brasil","Espírito Santo","Pancas",NA,"-40.8513984680176","-19.2250003814697","32475",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"Pohl",NA,NA,NA,NA,NA,NA
"29","2015-07-02 14:01:58-03","JBP","HPL","4482","S","Plantae",NA,NA,"Fabaceae-Faboideae","Deguelia","hatschbachii","Deguelia hatschbachii","E.R. Salviani & H. Lorenzi","1998",NA,"E.R. Salviani & H. Lorenzi","134","1998","07","22",NA,"Brasil","ES","Pancas","Coletado na estrada para Pancas a cerca de 8km do entroncamento.","-40.8514","-19.225","32475",NA,NA,NA,NA,NA,NA,"auto",NA,NA,"A.M.G. de Azevedo-Tozzi","07","22",NA,NA,NA,NA
"30","2019-02-15 11:44:52-02","IPA","IPA","20479","S","Plantae","Plantae",NA,"Malpighiaceae","Byrsonima","perseifolia","Byrsonima perseifolia","Francener, A.","2015",NA,"Kuhlmann, J.G.","6554","1943","11","30","Southern America","Brasil","Espirito Santo","Pancas","Colatino, Rio Doce.","-40.8513984680176","-19.2250003814697","32475",NA,NA,NA,NA,"IPA0020479",NA,"auto",NA,NA,"Griseb.","08","11",NA,NA,NA,NA
"31","2020-03-10 08:29:29-03","UFV","VIC","46608","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Senegalia","giganticarpa","Senegalia giganticarpa","Robson D. Ribeiro","2010",NA,"Moraes, E.N.","12","1990","08","16",NA,"Brasil","Espírito Santo","Pancas","Fazenda Gambá de Agustinho Coelho, À beira da mata, próximo a um cafezal e um pasto.","-40.8513984680176","-19.2250003814697","32475",NA,NA,NA,"Terrestre. Pasto. Árvore de 8m de altura; bastante ramificada. Planta resinífera; tronco áspero; botão verde; flor creme. Região montanhosa, solo argino-arenoso. Terreno inclinado.; Planta resinífera; tronco áspero; botão verde; flor c","VIC046608","VIC046608","auto",NA,NA,"(G.P. Lewis) Seigler & Ebinger","04","08",NA,NA,NA,NA
"32","2020-03-06 15:30:45-03","UFES","SAMES","8825","PreservedSpecimen","Plantae",NA,NA,"Meliaceae",NA,NA,NA,NA,NA,NA,"Alves-Araújo,A.; Souza,w.o.;Sossai,B.G.;Freitas,J.;Almeida,L.S;Luber,J.","1771","2015","07","07",NA,"Brasil","Espírito Santo","Pancas","Monumento Natural dos Pontões Capixabas. Propriedade do Sr.Stur.","-40.8513984680176","-19.2250003814697","32475",NA,NA,NA,"Frutos imaturos verdes. Habito: Árvore","SAMES08825",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-03-06 15:31:07-03","UFES","SAMES","8818","PreservedSpecimen","Plantae",NA,NA,"Nyctaginaceae","Ramisia","brasiliensis","Ramisia brasiliensis",NA,NA,NA,"Alves-Araújo,A.; Souza,w.o.;Sossai,B.G.;Freitas,J.;Almeida,L.S;Luber,J.","1773","2015","07","07",NA,"Brasil","Espírito Santo","Pancas","Monumento Natural dos Pontões Capixabas. Propriedades do Sr. Stur.","-40.8513984680176","-19.2250003814697","32475",NA,NA,NA,"Frutos com alas alvo-esverdeadas. Habito: Árvore","SAMES08818",NA,"auto",NA,NA,"Oliv.",NA,NA,NA,NA,NA,NA
"34","2019-08-20 10:07:39-03","UNICAMP","UEC","194738","S","Plantae","Magnoliopsida",NA,"Bignoniaceae",NA,NA,NA,NA,NA,NA,"Santos, K; Monge, M; Shimizu, GH; Jönnson, K","4720","2016","10","05",NA,"Brazil","Espírito Santo","Pancas","Sítio Santa Inês, próximo ao córrego Água Boa, entre 15-25 km antes de Pancas","-41.202239","-19.459414",NA,"213","213",NA,"Trepadeira, frutos com 1 m. de comprimento.; Em cerca de pasto, próximo à inselberg.","UEC149274","UEC149274",NA,"-41.202239","-19.459414",NA,NA,NA,NA,NA,NA,NA
"35","2019-08-20 10:02:26-03","UNICAMP","UEC","194736","S","Plantae","Magnoliopsida",NA,"Anacardiaceae","Astronium","graveolens","Astronium graveolens",NA,NA,NA,"Santos, K; Monge, M; Shimizu, GH; Jönnson, K","4718","2016","10","05",NA,"Brazil","Espírito Santo","Pancas","Sítio Santa Inês, próximo ao córrego Água Boa, entre 15-25 km antes de Pancas","-41.202239","-19.459414",NA,"213","213",NA,"Árvore, 6 m. Frutos imaturos verdes.; Em área aberta (pasto), próximo à inselberg.","UEC149272","UEC149272",NA,"-41.202239","-19.459414","Jacq.",NA,NA,NA,NA,NA,NA
"36","2020-03-02 11:02:31-03","UNICAMP","UEC","1662","S","Plantae","Magnoliopsida",NA,"Asteraceae","Baccharis","serrulata","Baccharis serrulata","Heiden, G","2010",NA,"Shepherd, GJ; Semir, J; Andrade, JB; Leite, V","5680","1977","09","08",NA,"Brazil","Espírito Santo","Vale De Pancas","Ca. 80 km noroeste de Colatina. Beira da estrada.",NA,NA,NA,"400","400",NA,"Subarbusto de 1,5 m; capítulos creme.","UEC113657","UEC113657",NA,NA,NA,"(Lam.) Pers.","09",NA,NA,NA,NA,NA
"37","2019-08-20 10:07:39-03","UNICAMP","UEC","194737","S","Plantae","Magnoliopsida",NA,"Bignoniaceae",NA,NA,NA,NA,NA,NA,"Santos, K; Monge, M; Shimizu, GH; Jönnson, K","4719","2016","10","05",NA,"Brazil","Espírito Santo","Pancas","Sítio Santa Inês, próximo ao córrego Água Boa, entre 15-25 km antes de Pancas","-41.202239","-19.459414",NA,"213","213",NA,"Trepadeira, flores amarelas.; Em cerca de pasto, próximo à inselberg.","UEC149275","UEC149275",NA,"-41.202239","-19.459414",NA,NA,NA,NA,NA,NA,NA
"38","2019-08-20 10:24:03-03","UNICAMP","UEC","13497","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Borreria","ocymifolia","Borreria ocymifolia","Nepomuceno, FAA","2017",NA,"Shepherd, GJ; et al.","5862","1977","09","08",NA,"Brazil","Espírito Santo","Vale De Pancas","beira de estrada",NA,NA,NA,"400","400",NA,"subarbusto 1m, flores brancas","UEC110561","UEC110561",NA,NA,NA,"(Roem. & Schult.) Bacigalupo & E.L.Cabral","03","31",NA,NA,NA,NA
"39","2019-08-20 10:21:53-03","UNICAMP","UEC","12378","S","Plantae","Magnoliopsida",NA,"Nyctaginaceae","Bougainvillea",NA,"Bougainvillea",NA,NA,NA,"Shepherd, GJ; et al.","5876","1977","09","08",NA,"Brazil","Espírito Santo","Vale De Pancas","60 KM noroeste de Colatina.Em encosta de rochas graníticas",NA,NA,NA,NA,NA,NA,"Arbusto de 1,5m. Brácteas lilás forte, flores creme, em pasto","UEC110586","UEC110586",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-02-10 17:53:52-03","UNICAMP","UEC","10567","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Clidemia","biserrata","Clidemia biserrata","Matsumoto, K","1995",NA,"Shepherd, GJ; Semir, J; Andrade, JB; Leite, V","5877","1977","09","08",NA,"Brazil","Espírito Santo","Vale De Pancas","Ca. 40 Km. noroeste de Colatina.",NA,NA,NA,NA,NA,NA,"Arbusto de 2m; flores brancas.; Em pasto e brejo. Alt. 50 m.","UEC003365","UEC003365",NA,NA,NA,"A.DC.","04",NA,NA,NA,NA,NA
"41","2019-08-20 10:09:44-03","UNICAMP","UEC","194965","S","Plantae","Magnoliopsida",NA,"Clusiaceae","Clusia","criuva","Clusia criuva","Fraga, CN","2013",NA,"Fraga, CN; et al.","3504","2013","04","13",NA,"Brazil","Espírito Santo","Pancas","Serra do Alto Mutum Preto. Pedra da Colina, caminho para a rampa de vôo livre.","-40.876389","-19.230833",NA,"775","775",NA,"Arbusto, ca 2m. Folhas verdes discolores, suculentas. Flores com sépalas verdes, pétalas brancas.; Inselberd de gnaisse.","UEC132241","UEC132241",NA,"-40.876389","-19.230833","Cambess.","04","13",NA,NA,NA,NA
"42","2019-08-20 10:11:12-03","UNICAMP","UEC","4875","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Cnicodendron","hamosus","Cnicodendron hamosus","Webster, GL","1984",NA,"Shepherd, GJ; Semir, J; Andrade, JB; Leite, V","5871","1977","09","08",NA,"Brazil","Espírito Santo","Vale De Pancas","60 km noroeste de Colatina. Em encosta d",NA,NA,NA,"100","100",NA,"ori",NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA
"43","2019-08-20 10:11:12-03","UNICAMP","UEC","21693","S","Plantae","Magnoliopsida",NA,"Euphorbiaceae","Cnidoscolus","urens","Cnidoscolus urens","Webster, GL","1984",NA,"Shepherd, GJ; Semir, J; Andrade, JB; Leite, V","5872","1977","09","08",NA,"Brazil","Espírito Santo","Vale De Pancas","Ca 60 Km Noroeste De Colatina, Em encosta de rochas graníticas",NA,NA,NA,"100","100",NA,"fruto",NA,NA,NA,NA,NA,"(L.) Arthur","12",NA,NA,NA,NA,NA
"44","2019-08-20 10:10:11-03","UNICAMP","UEC","194739","S","Plantae","Magnoliopsida",NA,"Convolvulaceae",NA,NA,NA,NA,NA,NA,"Santos, K; Monge, M; Shimizu, GH; Jönnson, K","4721","2016","10","05",NA,"Brazil","Espírito Santo","Pancas","Sítio Santa Inês, próximo ao córrego Água Boa, entre 15-25 km antes de Pancas","-41.202239","-19.459414",NA,"213","213",NA,"Trepadeira, inflorescencia antiga.; Em cerca de pasto, próximo à inselberg.","UEC149236","UEC149236",NA,"-41.202239","-19.459414",NA,NA,NA,NA,NA,NA,NA
"45","2019-08-20 10:08:25-03","UNICAMP","UEC","1023","S","Plantae","Magnoliopsida",NA,"Boraginaceae","Cordia","curassavica","Cordia curassavica","Taroda, N","1983",NA,"Shepherd, GJ; et al.","5874","1977","09","08",NA,"Brazil","Espírito Santo","Vale De Pancas","ca. 60km, noroeste de Colatina. Em encosta de rochas graníticas.&nf;alt.: 100m.",NA,NA,NA,NA,NA,NA,"Arbusto até 2m; flores brancas.","UEC042592","UEC042592",NA,NA,NA,"(Jacq.) Roem. & Schult.",NA,NA,NA,NA,NA,NA
"46","2019-08-20 10:16:50-03","UNICAMP","UEC","195211","S","Plantae","Magnoliopsida",NA,"Lecythidaceae","Couratari",NA,"Couratari",NA,NA,NA,"Santos, K; Monge, M; Shimizu, GH; Jönnson, K","4708","2016","10","05",NA,"Brazil","Espírito Santo","Pancas","Sítio Santa Inês, próximo ao córrego Água Boa, entre 15-25 km antes de Pancas","-41.202239","-19.459414",NA,NA,NA,NA,"Árvore, 8 m. Frutos castanhos.; Pasto.","UEC149256","UEC149256",NA,"-41.202239","-19.459414",NA,NA,NA,NA,NA,NA,NA
"47","2019-08-20 10:13:10-03","UNICAMP","UEC","195212","S","Plantae","Magnoliopsida",NA,"Fabaceae","Dalbergia",NA,"Dalbergia",NA,NA,NA,"Santos, K; Monge, M; Shimizu, GH; Jönnson, K","4709","2016","10","05",NA,"Brazil","Espírito Santo","Pancas","Sítio Santa Inês, próximo ao córrego Água Boa, entre 15-25 km antes de Pancas","-41.202239","-19.459414",NA,NA,NA,NA,"Árvore, 7 m. Flores brancas, frutos antigos marrons.; Pasto.","UEC149264","UEC149264",NA,"-41.202239","-19.459414","L.f.",NA,NA,NA,NA,NA,NA
"48","2019-08-20 10:10:32-03","UNICAMP","UEC","194725","S","Plantae","Magnoliopsida",NA,"Dilleniaceae","Davilla",NA,"Davilla",NA,NA,NA,"Santos, K; Monge, M; Shimizu, GH; Jönnson, K","4717","2016","10","05",NA,"Brazil","Espírito Santo","Pancas","Sítio Santa Inês, próximo ao córrego Água Boa, entre 15-25 km antes de Pancas","-41.202239","-19.459414",NA,"213","213",NA,"Trepadeira, frutos alaranjados.; Em cerca de pasto, próximo à inselberg.","UEC149273","UEC149273",NA,"-41.202239","-19.459414","Vand.",NA,NA,NA,NA,NA,NA
