"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","typeStatus","minimumElevationInMeters","maximumElevationInMeters","relationshipType","relatedCatalogItem"
"37","2015-07-02 14:01:27-03","JBP","HPL","10027","S","Plantae",NA,NA,"Clethraceae","Clethra","Clethra scabra","Pers.","R. Tsuji & A. Campos-Rocha","2418","2008","01","10",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades do município de Ipatinga; na localidade de Achado.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"scabra","V.C. Souza","2013","03","19070","auto","01",NA,NA,NA,NA,NA,NA
"38","2015-07-02 14:01:15-03","JBP","HPL","6991","S","Plantae",NA,NA,"Boraginaceae","Cordia","Cordia",NA,"R. Tsuji, H. Lorenzi et al.","1571","2006","01","28",NA,"Brasil","MG","Ipatinga","Coletado em beira de estrada sentido Governador Valadares, 19°21'34,4''S; 42°26'47,8''W","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"39","2015-07-02 14:02:52-03","JBP","HPL","6969","S","Plantae",NA,NA,"Marantaceae","Ischnosiphon","Ischnosiphon ovatus","Koern.","R. Tsuji, H. Lorenzi et al.","1548","2007","01","27",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades da cidade subindo em direção a Ipaneminha-ES 19°25'01,7''S 42°38'20,8''W.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"ovatus","S. Vieira","2008","11","19070","auto","05",NA,NA,NA,NA,NA,NA
"40","2015-07-02 14:01:24-03","JBP","HPL","9523","S","Plantae",NA,NA,"Chrysobalanaceae","Licania","Licania",NA,"R. Tsuji","2364","2007","12","01",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades do município de Ipatinga, na estrada para Lagoa do Jacaré, CENIBRA.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"41","2015-07-02 14:01:26-03","JBP","HPL","6971","S","Plantae",NA,NA,"Chrysobalanaceae","Licania","Licania kunthiana",NA,"R. Tsuji, H. Lorenzi et al.","1550","2007","01","27",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades da cidade subindo em direção a Ipaneminha-ES","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"kunthiana","R. Tsuji","2007","01","19070","auto","27",NA,NA,NA,NA,NA,NA
"42","2015-07-02 14:01:26-03","JBP","HPL","9513","S","Plantae",NA,NA,"Chrysobalanaceae","Licania","Licania kunthiana",NA,"R. Tsuji","2354","2007","12","01",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades do município de Ipatinga, na estrada para Ipaneminha.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"kunthiana","R. Tsuji","2007","12","19070","auto","01",NA,NA,NA,NA,NA,NA
"43","2015-07-02 14:01:26-03","JBP","HPL","13631","S","Plantae",NA,NA,"Chrysobalanaceae","Licania","Licania kunthiana","Hook.f.","R. Tsuji","2234",NA,NA,NA,NA,"Brasil","MG","Ipatinga","Estrada entre Ipatinga e Ipaneminha, logo após a segunda entrada para Tribuna.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"kunthiana",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"44","2015-07-02 14:02:21-03","JBP","HPL","10026","S","Plantae",NA,NA,"Hypericaceae","Vismia","Vismia",NA,"R. Tsuji & A. Campos-Rocha","2417","2008","01","10",NA,"Brasil","MG","Ipatinga","Coletado nas proximidades do município de Ipatinga; na localidade de Achado.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"45","2015-07-02 14:02:10-03","JBP","HPL","9373","S","Plantae",NA,NA,"Fabaceae-Mimosoideae","Zygia","Zygia latifolia",NA,"R. Tsuji","2083","2007","08","26",NA,"Brasil","MG","Ipatinga","Coletado no Clube da CENIBRA; próximo à lagoa.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"latifolia","R. Tsuji","2007","08","19070","auto","26",NA,NA,NA,NA,NA,NA
"46","2015-07-02 14:02:10-03","JBP","HPL","9524","S","Plantae",NA,NA,"Fabaceae-Mimosoideae","Zygia","Zygia latifolia",NA,"R. Tsuji","2365","2007","12","01",NA,"Brasil","MG","Ipatinga","Coletado na Associação Atlética CENIBRA (AAC); às margens da Lagoa da Marola.","-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"latifolia","R. Tsuji","2007","12","19070","auto","01",NA,NA,NA,NA,NA,NA
"47","2020-03-10 08:30:07-03","UFV","VIC","44459","PreservedSpecimen","Plantae",NA,NA,"Pestalotiopsidaceae","Neopestalotiopsis","Neopestalotiopsis rosae","Maharachch., K.D. Hyde & Crous","CENIBRA","DOA 1431 07 CN","2017","07","05",NA,"Brasil","Minas Gerais","Ipatinga","CENIBRA","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Eucalyptus","VIC044459",NA,"rosae",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"48","2020-03-10 08:30:07-03","UFV","VIC","44466","PreservedSpecimen","Plantae",NA,NA,"Pestalotiopsidaceae","Neopestalotiopsis","Neopestalotiopsis rosae","Maharachch., K.D. Hyde & Crous","CENIBRA","DOA 1508 Menice","2018","03","20",NA,"Brasil","Minas Gerais","Ipatinga","CENIBRA","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Eucalyptus hibrido","VIC044466",NA,"rosae",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"49","2020-03-10 08:29:36-03","UFV","VIC","21874F","PreservedSpecimen","Plantae",NA,NA,"Mycosphaerellaceae","Mycovellosiella","Mycovellosiella lantane","(Chupp) Deighton","Pereira, Mauricio J","93","1996","08","28",NA,"Brasil","Minas Gerais","Ipatinga","Rodovia Governador Valadares","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Lantana camara L.","VIC21874F",NA,"lantane",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"50","2019-11-21 14:47:18-03","UFJF","CESJ","27098","PreservedSpecimen","Plantae","Angiosperma",NA,"Verbenaceae","Lantana","Lantana camara","L.","C.P.Guerra","05","1990","04","30","América do Sul","Brasil","Minas Gerais","Ipatinga","Coletada na Fazenda do Sr.Valquir no bairro limoeiro.","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Arbustiva.","CESJ027098",NA,"camara","T.R.S. Silva","1999","10","19070","auto",NA,NA,NA,NA,NA,NA,NA
"51","2019-11-21 14:33:22-03","UFJF","CESJ","43652","PreservedSpecimen","Plantae","Angiosperma",NA,"Chrysobalanaceae","Hirtella","Hirtella gracilipes","(Hook.f.) Prance","G.S. França","s.n.","2003","09","04","América do Sul","Brasil","Minas Gerais","Ipatinga","Ponte Perdida","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Arboreo-3,5m,Mata Ciliar.","CESJ043652",NA,"gracilipes",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"52","2019-08-20 10:25:40-03","UNICAMP","UEC","167907","S","Plantae","Magnoliopsida",NA,"Sapindaceae","Allophylus","Allophylus sericeus","Radlk.","Coelho, R; Zoca, M","425","2011","03",NA,NA,"Brazil","Minas Gerais","Ipatinga","Estrada para Caratinga.","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Arvoreta de 3 m. Frutos vermelhos maduros.","UEC091988","UEC091988","sericeus",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"53","2019-08-20 10:25:40-03","UNICAMP","UEC","167878","S","Plantae","Magnoliopsida",NA,"Sapindaceae","Allophylus","Allophylus sericeus","Radlk.","Coelho, R; Zoca, M","424","2011","03",NA,NA,"Brazil","Minas Gerais","Ipatinga","Estrada para Caratinga.","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Árvore de 6 m alt.","UEC091986","UEC091986","sericeus",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"54","2019-11-05 16:32:31-03","UFOP","OUPR","8968","PreservedSpecimen","Plantae",NA,NA,"Adoxaceae","Sambucus","Sambucus australis","Cham. & Schltdl.","Queiroz, D.A.","s.n.","1999","10","25",NA,"Brasil","Minas Gerais","Ipatinga","Bairro Limoeiro","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Arbusto. Cultivado",NA,NA,"australis","Queiroz, D.A.","2000","03","19070","auto","15",NA,NA,NA,NA,NA,NA
"55","2019-11-05 16:45:09-03","UFOP","OUPR","22765","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","Mikania glomerata","Spreng.","Silva, C.C.","s.n.","2003","01","14",NA,"Brasil","Minas Gerais","Ipatinga","Parque Ipanema","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Região Sul e Sudeste do Brasil, nas matas e cerrados. Planta trepadeira arbustiva",NA,NA,"glomerata","Silva, C.C.","2003","01","19070","auto","14",NA,NA,NA,NA,NA,NA
"56","2019-11-06 09:56:59-03","UFOP","OUPR","19363","PreservedSpecimen","Plantae",NA,NA,"Phyllanthaceae","Phyllanthus","Phyllanthus tenellus","Roxb.","Silva, C.C.","s.n.","2003","01","14",NA,"Brasil","Minas Gerais","Ipatinga","Parque Ipanema","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Locais úmidpos e de meia sombra",NA,NA,"tenellus","Martins, E.R.","2011","12","19070","auto","07",NA,NA,NA,NA,NA,NA
"57","2019-11-05 16:32:31-03","UFOP","OUPR","6977","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae",NA,NA,NA,"Queiroz, D.A.","s.n.","1998","05","15",NA,"Brasil","Minas Gerais","Ipatinga","Horto Medicinal do Laboratório de Fitoterapia da Prefeitura de Ipatinga.","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Erva. Flores com cálice verde claro e corola amarela. Folhas verde escuro. Cultivado.",NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"58","2019-11-06 09:55:53-03","UFOP","OUPR","6973","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae",NA,NA,NA,"Queiroz, D.A.","s.n.","1998","05","15",NA,"Brasil","Minas Gerais","Ipatinga","Horto Medicinal do Laboratório de Fitoterapia da Prefeitura de Ipatinga.","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Erva. Flor com cálice verde e corola branca. Folhas verde-claras. Cultivado.",NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"59","2019-11-06 09:55:53-03","UFOP","OUPR","6975","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae",NA,NA,NA,"Fragoas, O.C.A.","s.n.","1998","05","15",NA,"Brasil","Minas Gerais","Ipatinga","Horto Medicinal do Laboratório de Fitoterapia da Prefeitura de Ipatinga.","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Erva. Flores com cálice arroxeado e corola branca. Caule arroxeado. Folhas verde-escuras. Cultivado.",NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"60","2019-11-05 16:32:31-03","UFOP","OUPR","6979","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae",NA,NA,NA,"Queiroz, D.A.","s.n.","1998","05","15",NA,"Brasil","Minas Gerais","Ipatinga","Horto Medicinal do Laboratório de Fitoterapia da Prefeitura de Ipatinga.","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Erva. Flores brancas. Folhas verdes e caule avermelhado. Cultivado.",NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"61","2019-11-05 16:32:31-03","UFOP","OUPR","6978","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae",NA,NA,NA,"Fragoas, O.C.A.","s.n.","1998","05","15",NA,"Brasil","Minas Gerais","Ipatinga","Horto Medicinal do Laboratório de Fitoterapia da Prefeitura de Ipatinga.","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Erva. Folhas verde-claras, amareladas quando novas. Flores brancas. Cultivado.",NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"62","2019-11-06 09:55:53-03","UFOP","OUPR","6974","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae",NA,NA,NA,"Queiroz, D.A.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Ipatinga","Horto Medicinal do Laboratório de Fitoterapia da Prefeitura de Ipatinga.","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Erva. Flores com cálice verde e corola branca. Folhas verde claras. Cultivado.",NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"63","2019-11-06 09:57:17-03","UFOP","OUPR","8967","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","Adiantum capillus-veneris","L.","Queiroz, D.A.","s.n.","1999","10","25",NA,"Brasil","Minas Gerais","Ipatinga","Bairro Cariru","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Erva. Cultivado.",NA,NA,"capillus-veneris","Queiroz, D.A.","2000","03","19070","auto","15",NA,NA,NA,NA,NA,NA
"64","2019-11-05 16:32:31-03","UFOP","OUPR","6980","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Alternanthera","Alternanthera","Forssk.","Fragoas, O.C.A.","s.n.","1998","05","15",NA,"Brasil","Minas Gerais","Ipatinga","Horto Medicinal do Laboratório de Fitoterapia da Prefeitura de Ipatinga.","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Erva. Folhas e caule roxos. Flor branca. Cultivado.",NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"65","2019-11-06 09:55:00-03","UFOP","OUPR","19366","PreservedSpecimen","Plantae",NA,NA,"Equisetaceae","Equisetum","Equisetum giganteum","L.","Silva, C.C.","s.n.","2003","01","14",NA,"Brasil","Minas Gerais","Ipatinga","Parque Ipanema","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Terreno arenosos e úmido",NA,NA,"giganteum","Silva, C.C.","2003","01","19070","auto","14",NA,NA,NA,NA,NA,NA
"66","2019-11-05 16:45:19-03","UFOP","OUPR","6976","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Solidago","Solidago microglossa","DC.","Queiroz, D.A.","s.n.","1998","05","15",NA,"Brasil","Minas Gerais","Ipatinga","Horto Medicinal do Laboratório de Fitoterapia da Prefeitura de Ipatinga","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Cultivado. Erva. Folhas verde escuro. Corola amarela. Cálice verde",NA,NA,"microglossa","Messias, M.C.T.B.","2002","10","19070","auto",NA,NA,NA,NA,NA,NA,NA
"67","2013-04-01 09:19:51-03","IPT","BCTW","19829","S","Plantae","Magnoliophyta",NA,NA,"Sloanea","Sloanea retusa","Uittien","Lorenzi, H.","457",NA,NA,NA,NA,"Brasil","Minas Gerais","Ipatinga",NA,"-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"retusa","Instituto Plantarum",NA,NA,"19070","auto",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"68","2013-04-01 09:20:22-03","IPT","BCTW","19806","S","Plantae","Magnoliophyta",NA,NA,"Vismia","Vismia sp.",NA,"Lorenzi, H.","504",NA,NA,NA,NA,"Brasil","Minas Gerais","Ipatinga",NA,"-42.5367","-19.4683",NA,NA,NA,NA,NA,NA,"sp.","Instituto Plantarum",NA,NA,"19070","auto",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"69","2019-12-06 15:08:06-03","MBM","MBM","409955","S","Plantae",NA,NA,"Myrtaceae","Eugenia","Eugenia grandissima","Sobral, Mazine & E.A.D. Melo","Sobral, M.; Melo, E.A.D.; Melo, E.A.D.","15783","2016","02","17","Southern America","Brazil","Minas Gerais","Ipatinga","Bairro Ipanemão","-42.163889","-19.419722","-42.163889","-19.419722",NA,NA,"MBM409955","MBM409955","grandissima",NA,NA,NA,NA,NA,NA,NA,"ISOTYPE","596","596",NA,NA
"70","2020-02-18 22:20:31-03","UFMG","BHCB","56418","PreservedSpecimen","Plantae","Dicotyledon",NA,"Podostemaceae","Cipoia","Cipoia inserta","C.T.Philbrick, Novelo & Irgang","Philbrick, CT; et al.","s.n.","2001","07","13","Southern America","Brasil","Minas Gerais","Ipatinga","Rio Doce.","-42.477222","-19.48","-42.477222","-19.48",NA,NA,NA,NA,"inserta",NA,NA,NA,NA,NA,NA,NA,NA,"239","239",NA,NA
"71","2019-10-02 15:00:05-03","UFMG","BHCB","189916","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Eugenia","Eugenia grandissima","Sobral, Mazine & E.A.D.Melo","Sobral, M; Melo, EA","15783","2016","02","17","Southern America","Brasil","Minas Gerais","Ipatinga","Bairro Ipanemão","-42.163889","-19.419722","-42.163889","-19.419722",NA,"Arvoreta ca. 5 metros, com dois ou três troncos crescendo a partir de um mesmo ponto, o maior com ca. 100 mm de diâmetro à altura do peito, flores com sépalas castanhas e pétalas brancas, com odor suave","BHCB189916",NA,"grandissima",NA,"2016",NA,NA,NA,NA,NA,"Isotypus","596","596",NA,NA
"72","2019-10-02 15:08:21-03","UFMG","BHCB","68775","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Gynerium","Gynerium sagittatum","(Aubl.) P.Beauv.","Greco, MKB","s.n.","2002","01","21","Southern America","Brasil","Minas Gerais","Ipatinga","Rio Doce.",NA,"-19.466667",NA,"-19.466667",NA,NA,NA,NA,"sagittatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2019-10-02 14:52:41-03","UFMG","BHCB","83062","PreservedSpecimen","Plantae","Dicotyledon",NA,"Elaeocarpaceae","Sloanea","Sloanea guianensis","(Aubl.) Benth.","França, GS","411","2003","09","04","Southern America","Brasil","Minas Gerais","Ipatinga","Ponte perdida","-42.521667","-19.554167","-42.521667","-19.554167",NA,"Arbóreo 6 met, flores amarelas; Mata ciliar","BHCB020308",NA,"guianensis",NA,"2015",NA,NA,NA,NA,NA,NA,"140","140",NA,NA
"74","2019-10-02 15:08:43-03","UFMG","BHCB","68776","PreservedSpecimen","Plantae","Monocotyledon",NA,"Poaceae","Urochloa","Urochloa mutica","(Forssk.) T.Q.Nguyen","Greco, MKB","s.n.","2002","01","21","Southern America","Brasil","Minas Gerais","Ipatinga","Rio Doce.",NA,"-19.466667",NA,"-19.466667",NA,NA,NA,NA,"mutica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","2019-10-02 14:55:01-03","UFMG","BHCB","22307","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lacistemataceae","Lacistema","Lacistema pubescens","Mart.","Costa, LV; Atalla, NC","s.n.","1992","09","30","Southern America","Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,NA,NA,"pubescens",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"76","2019-10-24 17:20:27-03","UFMG","BHCB","22284","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Piper","Piper klotzschianum","(Kunth) C.DC.","Costa, LV; Atalla, NC","s.n.","1992","09","29","Southern America","Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,"Cenibra, Projeto Cenibra II.; Arbustivo.; Sub-bosque de eucalipto.","BHCB052481",NA,"klotzschianum",NA,"1995","07","19070","auto",NA,NA,NA,NA,NA,NA,NA
"77","2019-10-02 15:01:33-03","UFMG","BHCB","22284","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Piper","Piper klotzschianum","(Kunth) C.DC.","Costa, LV; Atalla, NC","s.n.","1992","09","29","Southern America","Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,NA,NA,"klotzschianum",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"78","2019-10-02 14:56:30-03","UFMG","BHCB","17648","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Sida","Sida",NA,"Guerra, CP","2","1990","04","30","Southern America","Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,"BHCB045432",NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"79","2019-10-02 15:01:31-03","UFMG","BHCB","22282","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Piper","Piper","L.","Costa, LV; Atalla, NC","s.n.","1992","09","29","Southern America","Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"80","2019-10-02 15:04:54-03","UFMG","BHCB","17658","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lantana","Lantana camara","L.","Guerra, CP","5","1990","04","30","Southern America","Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,NA,NA,"camara",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"81","2019-10-02 14:56:37-03","UFMG","BHCB","17650","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malvaceae","Wissadula","Wissadula amplissima","(L.) R.E.Fr.","Guerra, CP","4","1990","04","30","Southern America","Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,NA,NA,"amplissima",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"82","2019-10-02 15:01:31-03","UFMG","BHCB","22282","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Piper","Piper","L.","Costa, LV; Atalla, NC","s.n.","1992","09","29","Southern America","Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"83","2019-10-02 15:00:36-03","UFMG","BHCB","22301","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","Myrcia splendens","(Sw.) DC.","Costa, LV; Atalla, NC","s.n.","1992","09","28","Southern America","Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,"Arbóreo, 13m; Floresta Atlântica","BHCB018142",NA,"splendens",NA,"2014","08","19070","auto","12",NA,NA,NA,NA,NA,NA
"84","2019-10-02 14:59:40-03","UFMG","BHCB","25583","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Ficus","Ficus eximia","Schott",NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,NA,NA,"eximia",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"85","2019-10-02 14:55:01-03","UFMG","BHCB","22307","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lacistemataceae","Lacistema","Lacistema pubescens","Mart.","Costa, LV; Atalla, NC","s.n.","1992","09","30","Southern America","Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,NA,NA,"pubescens",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"86","2019-10-02 14:59:40-03","UFMG","BHCB","25583","PreservedSpecimen","Plantae","Dicotyledon",NA,"Moraceae","Ficus","Ficus eximia","Schott",NA,"s.n.",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,NA,NA,"eximia",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"87","2019-10-02 14:57:15-03","UFMG","BHCB","22251","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Miconia","Miconia splendens","(Sw.) Griseb.","Costa, LV; Atalla, NC","s.n.","1992","10","01","Southern America","Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,NA,NA,"splendens",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"88","2019-10-02 14:55:01-03","UFMG","BHCB","22308","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lacistemataceae","Lacistema","Lacistema pubescens","Mart.","Costa, LV; Atalla, NC","s.n.","1992","09","28","Southern America","Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,NA,NA,"pubescens",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"89","2019-10-02 14:55:01-03","UFMG","BHCB","22308","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lacistemataceae","Lacistema","Lacistema pubescens","Mart.","Costa, LV; Atalla, NC","s.n.","1992","09","28","Southern America","Brasil","Minas Gerais","Ipatinga",NA,"-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,NA,NA,"pubescens",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"90","2019-10-02 14:57:15-03","UFMG","BHCB","22251","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Miconia","Miconia prasina","(Sw.) DC.","Costa, LV; Atalla, NC","s.n.","1992","10","01","Southern America","Brasil","Minas Gerais","Ipatinga","Cenibra","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Cenibra, Proj. Cenibra II","BHCB003085",NA,"prasina",NA,"2011","02","19070","auto","22",NA,NA,NA,NA,NA,NA
"91","2020-01-07 18:14:55-03","UFMG","BHCB","17649","PreservedSpecimen","Plantae","Dicotyledon",NA,"Acanthaceae","Thunbergia","Thunbergia alata","Bojer","Guerra, CP","3","1990","04","30","Southern America","Brasil","Minas Gerais","Ipatinga","Fazenda do Sr. Valquir do bairro Limoeiro.","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Invasora.; Trepadeira.","BHCB053660","BHCB053660","alata",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"92","2020-02-18 22:20:31-03","UFMG","BHCB","56418","PreservedSpecimen","Plantae","Dicotyledon",NA,"Podostemaceae","Cipoia","Cipoia inserta","C.T.Philbrick, Novelo & Irgang","Philbrick, CT; et al.","s.n.","2001","07","13","Southern America","Brasil","Minas Gerais","Ipatinga","Rio Doce.","-42.5367012023926","-19.4682998657227",NA,NA,NA,NA,NA,NA,"inserta",NA,NA,NA,"19070","auto",NA,NA,NA,NA,NA,NA,NA
"93","2020-03-09 08:20:29-03","UFPR","UPCB","51171","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","Miconia serrulata","(DC.) Naudin","França, G.S.","413","2003","09","04",NA,"Brasil","Minas Gerais","Ipatinga","Ponte Perdida","-42.5367012023926","-19.4682998657227",NA,NA,NA,"Arbusto 2,5m, frutos verdes, mata ciliar..","UPCB0020011","UPCB0020011","serrulata","Goldenberg, R.","2004","01","19070","auto","01",NA,NA,NA,NA,NA,NA
