"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","monthIdentified","class","dayIdentified","coordinatePrecision","previousCatalogNumber","geoFlag","typeStatus","infraspecificEpithet","relatedCatalogItem"
"100","2019-06-27 10:25:39-03","UFES","VIES","13343","S","Plantae",NA,NA,"Melastomataceae","Miconia","lepidota","Miconia lepidota","DC.","Goldenberg, R.","2013","Gomes, J.M.L.; Mareto, F.","3760","2011","05","15",NA,"Brasil","Espírito Santo","Muniz Freire","Parque Florestal do Rio Pardo.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES013343","VIES013343",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"101","2020-03-19 11:42:06-03","UFES","VIES","13325","S","Plantae",NA,NA,"Piperaceae","Piper",NA,"Piper",NA,"A. Melo","2020","Gomes, J.M.L.; Mareto, F.","3770","2011","05","15",NA,"Brasil","Espírito Santo","Muniz Freire","Parque Florestal do Rio Pardo.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES013325","VIES013325","01",NA,"20","30072",NA,"auto",NA,NA,NA
"102","2019-06-27 10:26:03-03","UFES","VIES","15967","S","Plantae",NA,NA,"Orchidaceae",NA,NA,NA,NA,NA,NA,"Gomes, J.M.L.","2987","2006","10","30",NA,"Brasil","Espírito Santo","Muniz Freire","PCH Santa Fé.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES015967","VIES015967",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"103","2020-03-19 11:41:09-03","UFES","VIES","15966","S","Plantae",NA,NA,"Gesneriaceae","Sinningia","bragae","Sinningia bragae","Chautems, M. Peixoto & Rossini","A. Chautems","2018","Gomes, J.M.L.","2988","2006","10","30",NA,"Brasil","Espírito Santo","Muniz Freire","PCH Santa Fé.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES015966","VIES015966","03",NA,"28","30072",NA,"auto","Paratipo",NA,NA
"104","2020-03-19 11:40:01-03","UFES","VIES","15961","S","Plantae",NA,NA,"Bignoniaceae","Handroanthus","ochraceus","Handroanthus ochraceus","(Cham.) Mattos","R.S. Ribeiro","2019","Gomes, J.M.L.","2906","2006","10","07",NA,"Brasil","Espírito Santo","Muniz Freire","PCH Santa Fé.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES015961","VIES015961","09",NA,"09","30072",NA,"auto",NA,NA,NA
"105","2020-03-13 17:59:37-03","UFES","VIES","15959","S","Plantae",NA,NA,"Rubiaceae","Alseis",NA,"Alseis",NA,"Gomes, J.M.L.",NA,"Gomes, J.M.L.",NA,"2006","10","07",NA,"Brasil","Espírito Santo","Muniz Freire","PCH Santa Fé.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES015959","VIES015959",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"106","2019-06-27 10:26:45-03","UFES","VIES","15963","S","Plantae",NA,NA,"Sapindaceae","Allophylus",NA,"Allophylus",NA,"Gomes, J.M.L.",NA,"Gomes, J.M.L.","2984","2006","10","30",NA,"Brasil","Espírito Santo","Muniz Freire","PCH Santa Fé.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES015963","VIES015963",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"107","2019-06-27 10:25:46-03","UFES","VIES","15971","S","Plantae",NA,NA,"Myrtaceae",NA,NA,NA,NA,NA,NA,"Gomes, J.M.L.","2982","2006","10","30",NA,"Brasil","Espírito Santo","Muniz Freire","PCH Santa Fé.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES015971","VIES015971",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"108","2019-06-27 10:25:42-03","UFES","VIES","15964","S","Plantae",NA,NA,"Meliaceae","Trichilia",NA,"Trichilia",NA,NA,NA,"Gomes, J.M.L.","2990","2006","10","30",NA,"Brasil","Espírito Santo","Muniz Freire","PCH Santa Fé.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES015964","VIES015964",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"109","2019-06-27 10:24:55-03","UFES","VIES","23870","S","Plantae",NA,NA,"Fabaceae",NA,NA,NA,NA,NA,NA,"Gomes, J.M.L","2980","2006","10","30",NA,"Brasil","Espírito Santo","Muniz Freire","PCH Santa Fé.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES023870","VIES023870",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"110","2019-06-27 10:24:50-03","UFES","VIES","15972","S","Plantae",NA,NA,"Euphorbiaceae","Cnidoscolus",NA,"Cnidoscolus",NA,NA,NA,"Gomes, J.M.L.","2981","2006","10","30",NA,"Brasil","Espírito Santo","Muniz Freire","PCH Santa Fé.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES015972","VIES015972",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"111","2019-06-27 10:25:52-03","UFES","VIES","15962","S","Plantae",NA,NA,"Myrtaceae","Eugenia","sulcata","Eugenia sulcata","Spring ex Mart.",NA,NA,"Gomes, J.M.L.","2907","2006","10","07",NA,"Brasil","Espírito Santo","Muniz Freire","PCH Santa Fé.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES015962","VIES015962",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"112","2020-03-19 11:39:59-03","UFES","VIES","15960","S","Plantae",NA,NA,"Asteraceae","Wunderlichia","azulensis","Wunderlichia azulensis","Maguire & G.M.Barroso","Teles, A.M.",NA,"Gomes, J.M.L.",NA,"2006","10","07",NA,"Brasil","Espírito Santo","Muniz Freire","PCH Santa Fé.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES015960","VIES015960",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"113","2020-03-19 11:39:42-03","UFES","VIES","15969","S","Plantae",NA,NA,"Apocynaceae","Tabernaemontana",NA,"Tabernaemontana",NA,"Rapini, A.","2010","Gomes, J.M.L.","2985","2006","10","30",NA,"Brasil","Espírito Santo","Muniz Freire","PCH Santa Fé.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES015969","VIES015969","06",NA,"11","30072",NA,"auto",NA,NA,NA
"114","2020-03-19 11:42:24-03","UFES","VIES","15974","S","Plantae",NA,NA,"Rubiaceae","Faramea",NA,"Faramea",NA,"F. Torres-Leite",NA,"Gomes, J.M.L.","2978","2006","10","30",NA,"Brasil","Espírito Santo","Muniz Freire","PCH Santa Fé.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES015974","VIES015974",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"115","2020-03-19 11:40:17-03","UFES","VIES","15970","S","Plantae",NA,NA,"Cactaceae","Rhipsalis","pachyptera","Rhipsalis pachyptera","Pfeiff.","W.C. Cardoso","2019","Gomes, J.M.L.","2983","2006","10","30",NA,"Brasil","Espírito Santo","Muniz Freire","PCH Santa Fé.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES015970","VIES015970","04",NA,"05","30072",NA,"auto",NA,NA,NA
"116","2020-03-19 11:40:58-03","UFES","VIES","15965","S","Plantae",NA,NA,"Fabaceae","Inga","vera","Inga vera affinis","(DC.) T.D.Penn.","Peterle, P.L.","2009","Gomes, J.M.L.","2989","2006","10","30",NA,"Brasil","Espírito Santo","Muniz Freire","PCH Santa Fé.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES015965","VIES015965","08",NA,"04","30072",NA,"auto",NA,"affinis",NA
"117","2020-03-19 11:39:44-03","UFES","VIES","15968","S","Plantae",NA,NA,"Araceae","Anthurium","longifolium","Anthurium longifolium","(Hoffmanns.) G.Don","Valadares, R.T.","2013","Gomes, J.M.L.","2986","2006","10","30",NA,"Brasil","Espírito Santo","Muniz Freire","PCH Santa Fé.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES015968","VIES015968","02",NA,"01","30072",NA,"auto",NA,NA,NA
"118","2019-06-27 10:26:07-03","UFES","VIES","18016","S","Plantae",NA,NA,"Orchidaceae","Prescottia","plantaginifolia","Prescottia plantaginifolia","Lindl. ex Hook.",NA,"2013","Gomes, J.M.L.","2031","1994","08","10",NA,"Brasil","Espírito Santo","Muniz Freire","Rio Pardo.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES018016","VIES018016",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"119","2020-03-13 17:59:05-03","UFES","VIES","16530","S","Plantae",NA,NA,"Bromeliaceae","Aechmea","phanerophlebia","Aechmea phanerophlebia","Baker","Gomes, J.M.L.","1997","Gomes, J.M.L.",NA,"1994","08","10",NA,"Brasil","Espírito Santo","Muniz Freire","Rio Pardo.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES016530","VIES016530",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"120","2019-06-27 10:24:21-03","UFES","VIES","16528","S","Plantae",NA,NA,"Bromeliaceae","Neoregelia","pascoaliana","Neoregelia pascoaliana","L.B.Sm.","Gomes, J.M.L.","1997","Gomes, J.M.L.","2029","1994","08","10",NA,"Brasil","Espírito Santo","Muniz Freire","Rio Pardo.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES016528","VIES016528",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"121","2020-03-19 11:41:57-03","UFES","VIES","18017","S","Plantae",NA,NA,"Orchidaceae","Epidendrum","secundum","Epidendrum secundum","Jacq.","Pessoa, E.","2013","Gomes, J.M.L.","2030","1994","08","10",NA,"Brasil","Espírito Santo","Muniz Freire","Rio Pardo.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES018017","VIES018017","08",NA,"27","30072",NA,"auto",NA,NA,NA
"122","2019-06-27 10:24:10-03","UFES","VIES","24778","S","Plantae",NA,NA,"Asteraceae","Mikania","perhirta","Mikania perhirta","R.M.King & H.Rob.",NA,NA,"Hatschbach, G.; Silva, J.M.","48628","1984","12","05",NA,"Brasil","Espírito Santo","Muniz Freire","Rodovia BR-262.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES024778","VIES024778",NA,NA,NA,"30072",NA,"auto","Isotipo",NA,NA
"123","2019-06-27 10:24:02-03","UFES","VIES","24777","S","Plantae",NA,NA,"Araceae","Philodendron","hatschbachii","Philodendron hatschbachii","Nadruz & Mayo","Mayo, S.",NA,"Hatschbach, G.; Silva, J.M.","48621","1984","12","05",NA,"Brasil","Espírito Santo","Muniz Freire","Rodovia BR-262.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES024777","VIES024777",NA,NA,NA,"30072",NA,"auto","Paratipo",NA,NA
"124","2019-06-27 10:26:03-03","UFES","VIES","16750","S","Plantae",NA,NA,"Orchidaceae",NA,NA,NA,NA,NA,NA,"Gomes, J.M.L.","3064","2006","10","01",NA,"Brasil","Espírito Santo","Muniz Freire","São Simão.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES016750","VIES016750",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"125","2020-03-19 11:39:47-03","UFES","VIES","16751","S","Plantae",NA,NA,"Araceae","Philodendron","edmundoi","Philodendron edmundoi","G.M.Barroso","Calazans, L.S.B.","2014","Gomes, J.M.L.","3063","2006","10","01",NA,"Brasil","Espírito Santo","Muniz Freire","São Simão.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES016751","VIES016751","08",NA,"03","30072",NA,"auto",NA,NA,NA
"126","2020-03-19 11:41:25-03","UFES","VIES","35739","S","Plantae",NA,NA,"Malvaceae","Dombeya","wallichii","Dombeya wallichii","(Lindl.) K.Schum.","Tuler, A.C.","2014","Tuler, A.C.; Nóia, L.R.; Nóia, A. & Nóia, L.","519","2014","07","06",NA,"Brasil","Espírito Santo","Muniz Freire","Serra do Guarani.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES035739","VIES035739","07",NA,"06","30072",NA,"auto",NA,NA,NA
"127","2020-03-19 11:42:21-03","UFES","VIES","35738","S","Plantae",NA,NA,"Rubiaceae","Coccocypselum","lanceolatum","Coccocypselum lanceolatum","(Ruiz & Pav.) Pers.","Tuler, A.C.","2014","Tuler, A.C.; Nóia, L.R.; Nóia, A. & Nóia, L.","521","2014","07","06",NA,"Brasil","Espírito Santo","Muniz Freire","Serra do Guarani.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES035738","VIES035738","07",NA,"06","30072",NA,"auto",NA,NA,NA
"128","2020-03-19 11:42:24-03","UFES","VIES","35737","S","Plantae",NA,NA,"Rubiaceae","Faramea",NA,"Faramea",NA,"Tuler, A.C.","2014","Tuler, A.C.; Nóia, L.R.; Nóia, A. & Nóia, L.","520","2014","07","06",NA,"Brasil","Espírito Santo","Muniz Freire","Serra do Guarani.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES035737","VIES035737","07",NA,"06","30072",NA,"auto",NA,NA,NA
"129","2019-09-27 18:04:01-03","UFES","VIES","21424","S","Plantae",NA,NA,"Bromeliaceae","Acanthostachys","strobilacea","Acanthostachys strobilacea","(Schult. & Schult.f.) Klotzsch","Couto, D.R.","2009","Couto, D.R.","1321","2009","10","16",NA,"Brasil","Espírito Santo","Muniz Freire","Sítio Nova Vicenza.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES021424",NA,"10",NA,"16","30072",NA,"auto",NA,NA,NA
"130","2019-06-27 10:25:45-03","UFES","VIES","33706","S","Plantae",NA,NA,"Moraceae","Ficus",NA,"Ficus",NA,NA,NA,"Couto, D.R.","1318","2009","10","16",NA,"Brasil","Espírito Santo","Muniz Freire","Vieira Machado.","-41.4131011962891","-20.4641990661621",NA,NA,"545","545",NA,NA,"VIES033706","VIES033706",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"131","2019-06-27 10:25:28-03","UFES","VIES","30314","S","Plantae",NA,NA,"Malpighiaceae",NA,NA,NA,NA,NA,NA,"Couto, D.R.","1320","2009","10","16",NA,"Brasil","Espírito Santo","Muniz Freire","Vieira Machado.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES030314",NA,NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"132","2019-09-27 18:04:39-03","UFES","VIES","30315","S","Plantae",NA,NA,"Fabaceae","Anadenanthera","peregrina","Anadenanthera peregrina peregrina",NA,"Couto, D.R.","2012","Couto, D.R.","1319","2009","10","16",NA,"Brasil","Espírito Santo","Muniz Freire","Vieira Machado.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"VIES030315",NA,"10",NA,"25","30072",NA,"auto",NA,"peregrina",NA
"133","2019-08-16 08:40:09-03","UTFPR","HCF","20821","S","Plantae",NA,NA,"Monimiaceae","Mollinedia","oligantha","Mollinedia oligantha","Perkins","E.J. Lírio","2016","G. Hatschbach","46881","1983","10","15",NA,"Brasil","ES","Muniz Freire","arredores","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,"arbusto, 2 m, flor verde-pálida. Mata.",NA,NA,"12",NA,NA,"30072",NA,"auto",NA,NA,NA
"134","2019-07-17 14:35:17-03","UFRRJ","RBR","37622","S","Plantae",NA,NA,"Monimiaceae","Mollinedia","elegans","Mollinedia elegans","Tul.","T. A. Amorim","2019","G. Hatschbach; O. Guimarães","46881","1983","10","15",NA,"Brasil","Espírito Santo","Muniz Freire","Arredores.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"RBR00037622",NA,"06",NA,"12","30072",NA,"auto",NA,NA,NA
"135","2019-07-17 14:38:49-03","UFRRJ","RBR","7486","S","Plantae",NA,NA,"Monimiaceae","Mollinedia","corcovadensis","Mollinedia corcovadensis","Perkins",NA,NA,"Hatschbach, G; Silva, JM","48618","1984","10","05",NA,"Brasil","Espírito Santo","Muniz Freire","Rod. BR- 262.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"RBR00007486",NA,NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"136","2019-12-06 14:23:37-03","MBM","MBM","76255","S","Plantae",NA,NA,"Acanthaceae","Jacobinia","clausseniana","Jacobinia clausseniana","(Nees) Lindau","Wasshausen, D.C.","1982","Hatschbach, G.; Guimarães, O.; Guimarães, O.","45167","1982","07","21","Southern America","Brazil","Espírito Santo","Muniz Freire","Rodovia BR-262","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM076255","MBM076255","07",NA,"21","30072",NA,"auto",NA,NA,NA
"137","2019-12-06 14:32:16-03","MBM","MBM","76199","S","Plantae",NA,NA,"Asteraceae","Lepidaploa","canescens","Lepidaploa canescens","(Kunth) H. Rob.","Robinson, H.",NA,"Hatschbach, G.; et al.; et al.","45173","1982","07","21","Southern America","Brazil","Espírito Santo","Muniz Freire","Rod. BR-262","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM076199","MBM076199",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"138","2019-12-06 15:04:57-03","MBM","MBM","84347","S","Plantae",NA,NA,"Melastomataceae","Marcetia","taxifolia","Marcetia taxifolia","(St. Hil.) DC.","Wurdack, J.J.",NA,"Hatschbach, G.","46695",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Muniz Freire","Muniz Freire, arredores","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM084347","MBM084347",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"139","2019-12-06 15:24:21-03","MBM","MBM","227955","S","Plantae",NA,NA,"Velloziaceae","Nanuza","plicata","Nanuza plicata","(Mart.) L.B. Smith & E. Ayensu","Mello-Silva, R.",NA,"Vieira, F.; et al.; et al.","s.n.",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Muniz Freire","Muniz Freire","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM227955","MBM227955",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"140","2019-12-06 14:53:38-03","MBM","MBM","89700","S","Plantae",NA,NA,"Gesneriaceae","Nematanthus","lanceolatus","Nematanthus lanceolatus","(Poiret) Chautems","Chautems, A.",NA,"Hatschbach, G.; Guimarães, O.; Guimarães, O.","46883",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Muniz Freire","Muniz Freire, arredores","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM089700","MBM089700",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"141","2019-12-06 14:37:14-03","MBM","MBM","167518","S","Plantae",NA,NA,"Bromeliaceae","Nidularium","longiflorum","Nidularium longiflorum","Ule","Leme, E.M.C.",NA,"Hatschbach, G.","60524","1993","03","05","Southern America","Brazil","Espírito Santo","Muniz Freire","Muniz Freire, arredores","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,"Cultivada na Reserva Biológica de Sapitanduva sob nº 157","MBM167518","MBM167518",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"142","2019-12-06 15:12:25-03","MBM","MBM","94332","S","Plantae",NA,NA,"Oxalidaceae","Oxalis","umbraticola","Oxalis umbraticola","St. Hil.","Lourteig, A.",NA,"Hatschbach, G.","47683",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Muniz Freire","Rod. BR-262","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM094332","MBM094332",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"143","2019-12-06 15:20:37-03","MBM","MBM","83684","S","Plantae",NA,NA,"Sapindaceae","Paullinia","uloptera","Paullinia uloptera","Radlk.","Ferrucci, M.S.",NA,"Hatschbach, G.","46694",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Muniz Freire","Muniz Freire, arredores","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM083684","MBM083684",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"144","2019-12-06 15:12:58-03","MBM","MBM","76449","S","Plantae",NA,NA,"Piperaceae","Peperomia","hernandiifolia","Peperomia hernandiifolia","(Vahl) A. Dietr.","Callejas, R.",NA,"Hatschbach, G.; Guimarães, O.; Guimarães, O.","45172",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Muniz Freire","Rod. BR-262","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM076449","MBM076449",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"145","2019-12-06 14:41:47-03","MBM","MBM","102157","S","Plantae",NA,NA,"Cyperaceae","Pleurostachys","millegrana","Pleurostachys millegrana","(Nees) Steud.","Pedersen, T.M.",NA,"Hatschbach, G.; Silva, J.M.; Silva, J.M.","48617","1984","12","05","Southern America","Brazil","Espírito Santo","Muniz Freire","Rod. BR-262","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM102157","MBM102157",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"146","2019-12-06 15:22:26-03","MBM","MBM","85346","S","Plantae",NA,NA,"Solanaceae","Solanum","luridifuscescens","Solanum luridifuscescens","Bitter","Stehmann, J.R.","2009","Hatschbach, G.; Guimarães, O.; Guimarães, O.","46879","1983","10","15","Southern America","Brazil","Espírito Santo","Muniz Freire","Arredores.","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,"Arbusto 2m, flor violeta. Clareiras da mata.","MBM085346","MBM085346","07",NA,"17","30072",NA,"auto",NA,NA,NA
"147","2019-12-06 14:38:46-03","MBM","MBM","90011","S","Plantae",NA,NA,"Celastraceae","Maytenus","schumanniana","Maytenus schumanniana","Loes.","Okano, R.M.C.",NA,"Hatschbach, G.","47852","1983","10","15","Southern America","Brazil","Espírito Santo","Muniz Freire","Munis Freire, arredores","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM090011","MBM090011",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"148","2019-12-06 15:13:01-03","MBM","MBM","84439","S","Plantae",NA,NA,"Piperaceae","Peperomia","tetraphylla","Peperomia tetraphylla","(Forst.) Hook. & Arn.","Callejas, R.",NA,"Hatschbach, G.","46693",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Muniz Freire","Muniz Freire","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM084439","MBM084439",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"149","2019-12-06 15:15:54-03","MBM","MBM","84903","S","Plantae",NA,NA,"Polygalaceae","Polygala","salicina","Polygala salicina","Chod.","Marques, M.C.M.",NA,"Hatschbach, G.; Guimarães, O.; Guimarães, O.","46875",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Muniz Freire","Muniz Freire, arredores","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM084903",NA,NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"150","2019-12-06 14:33:56-03","MBM","MBM","84213","S","Plantae",NA,NA,"Asteraceae","Senecio","graciellae","Senecio graciellae","Cabrera","Cabrera, A.L.",NA,"Hatschbach, G.","46691","1983","08","05","Southern America","Brazil","Espírito Santo","Muniz Freire","Muniz Freire, arredores","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM084213","MBM084213",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"151","2019-12-06 15:22:15-03","MBM","MBM","85352","S","Plantae",NA,NA,"Solanaceae","Solanum","cladotrichum","Solanum cladotrichum","Dunal","Nee, M.",NA,"Hatschbach, G.; et al.; et al.","46870",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Muniz Freire","Muniz Freire, arredores","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM085352","MBM085352",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"152","2019-12-06 15:20:37-03","MBM","MBM","83681","S","Plantae",NA,NA,"Sapindaceae","Paullinia","uloptera","Paullinia uloptera","Radlk.","Ferrucci, M.S.",NA,"Hatschbach, G.","46689",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Muniz Freire","Muniz Freire, arredores","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM083681","MBM083681",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"153","2019-12-06 15:19:16-03","MBM","MBM","84963","S","Plantae",NA,NA,"Rubiaceae","Psychotria","stachyoides","Psychotria stachyoides","Benth.","Kirkbride Jr., J.H.; J.H.",NA,"Hatschbach, G.; et al.; et al.","46874","1983","10","15","Southern America","Brazil","Espírito Santo","Muniz Freire","Muniz Freire, arredores","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM084963","MBM084963",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"154","2019-12-06 15:20:40-03","MBM","MBM","83685","S","Plantae",NA,NA,"Sapindaceae","Serjania","elegans","Serjania elegans","Cambess.","Ferrucci, M.S.",NA,"Hatschbach, G.","46699",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Muniz Freire","Muniz Freire, arredores","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM083685","MBM083685",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"155","2019-12-06 15:06:53-03","MBM","MBM","85362","S","Plantae",NA,NA,"Monimiaceae","Mollinedia","stenophylla","Mollinedia stenophylla","Perkins","Peixoto, A.L.",NA,"Hatschbach, G.; Guimarães, O.; Guimarães, O.","46881","1983","10","15","Southern America","Brazil","Espírito Santo","Muniz Freire","Muniz Freire, arredores","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM085362","MBM085362",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"156","2019-12-06 15:03:58-03","MBM","MBM","89628","S","Plantae",NA,NA,"Marantaceae","Calathea","colorata","Calathea colorata","(Koern.) Benth.","Vieira, S.",NA,"Hatschbach, G.","46876","1983","10","15","Southern America","Brazil","Espírito Santo","Muniz Freire","Muniz Freire, arredores","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM089628","MBM089628",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
"157","2019-12-06 15:12:40-03","MBM","MBM","85413","S","Plantae",NA,NA,"Passifloraceae","Passiflora","speciosa","Passiflora speciosa","Gardn.","Cervi, A.C.; Pessoa, S.",NA,"Hatschbach, G.; Guimarães, O.; Guimarães, O.","46871",NA,NA,NA,"Southern America","Brazil","Espírito Santo","Muniz Freire","Muniz Freire, arredores","-41.4131011962891","-20.4641990661621",NA,NA,NA,NA,NA,NA,"MBM085413","MBM085413",NA,NA,NA,"30072",NA,"auto",NA,NA,NA
