"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordNumber","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","verbatimLongitude","verbatimLatitude","occurrenceRemarks","infraspecificEpithet","continentOcean","order"
"62","2019-11-13 11:21:46-03","USP","SPF","153295","PreservedSpecimen","Plantae","Hatschbach, G","1984","04","11","Brasil","Minas Gerais","Frei Inocêncio","-41.9220008850098","-18.5450000762939","22276","SPF00153295","auto",NA,"Leguminosae","Centrolobium","microchaete","Centrolobium microchaete","(Mart. ex Benth.) H.C.Lima","Lima, HC","47821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2018-12-03 11:16:30-02","CEPLAC","CEPEC","99139","S","Plantae","G. Hatschbach","1984","04","11","Brasil","Minas Gerais","frei inocêncio","-41.9220008850098","-18.5450000762939","22276",NA,"auto",NA,"Fabaceae","Centrolobium","microchaete","Centrolobium microchaete",NA,"H. C. de Lima","47821",NA,NA,NA,NA,"Arredores da cidade.",NA,NA,NA,NA,NA,NA
"64","2019-11-07 11:19:21-03","UFMG","BHCB-SL","68255","PreservedSpecimen","Plantae","Mota, RC","2001","12","12","Brasil","Minas Gerais","Frei Inocêncio","-47.990689","-18.699525",NA,NA,NA,NA,"Pteridaceae","Adiantum","deflectens","Adiantum deflectens","Mart.","Salino, A","1380",NA,"2001",NA,NA,"Rio Suaçuí Grande.","-47.990689","-18.699525","Erva coletada em mata secundária.",NA,"América",NA
"65","2019-11-07 11:13:42-03","UFMG","BHCB-SL","68247","PreservedSpecimen","Plantae","Mota, RC","2001","12","12","Brasil","Minas Gerais","Frei Inocêncio","-47.8498","-18.520411",NA,NA,NA,NA,"Anemiaceae","Anemia",NA,"Anemia","Sw.",NA,"1372",NA,NA,NA,NA,"Serra do Paiol.","-47.8498","-18.520411",NA,NA,"América",NA
"66","2019-11-07 11:13:45-03","UFMG","BHCB-SL","68248","PreservedSpecimen","Plantae","Mota, RC","2001","12","12","Brasil","Minas Gerais","Frei Inocêncio","-47.990689","-18.699525",NA,NA,NA,NA,"Anemiaceae","Anemia","collina","Anemia collina","Raddi","Salino, A","1373",NA,NA,NA,NA,"Rio Suaçuí Grande.","-47.990689","-18.699525",NA,NA,"América",NA
"67","2019-11-07 11:19:35-03","UFMG","BHCB-SL","68260","PreservedSpecimen","Plantae","Mota, RC","2001","12","12","Brasil","Minas Gerais","Frei Inocêncio","-47.990689","-18.699525",NA,NA,NA,NA,"Pteridaceae","Adiantum","tetragonum","Adiantum tetragonum","Schrad.","Salino, A","1385",NA,"2004","09",NA,"Rio Suaçuí Grande.","-47.990689","-18.699525","Planta coletada em mata secundária; erva.",NA,"América",NA
"68","2019-11-07 11:19:14-03","UFMG","BHCB-SL","68253","PreservedSpecimen","Plantae","Mota, RC","2001","12","12","Brasil","Minas Gerais","Frei Inocêncio","-47.990689","-18.699525",NA,NA,NA,NA,"Pteridaceae","Acrostichum","danaeifolium","Acrostichum danaeifolium","Langsd. & Fisch.","Salino, A","1378",NA,NA,NA,NA,"Rio Suaçuí Grande.","-47.990689","-18.699525","Planta coletada em área brejosa; erva.",NA,"América",NA
"69","2019-11-07 11:13:58-03","UFMG","BHCB-SL","68252","PreservedSpecimen","Plantae","Mota, RC","2001","12","12","Brasil","Minas Gerais","Frei Inocêncio",NA,"-18.699525",NA,NA,NA,NA,"Anemiaceae","Anemia","rotundifolia","Anemia rotundifolia","Schrad.","Jascone, CE","1377",NA,"2005","06",NA,"Rio Suaçuí Grande.",NA,"-18.699525",NA,NA,"América",NA
"70","2019-11-07 11:13:49-03","UFMG","BHCB-SL","68250","PreservedSpecimen","Plantae","Mota, RC","2001","12","12","Brasil","Minas Gerais","Frei Inocêncio","-4.851944","-18.599611",NA,NA,NA,NA,"Anemiaceae","Anemia","luetzelburgii","Anemia luetzelburgii","Rosenst.","Salino, A","1375",NA,NA,NA,NA,"Rio Suaçuí Grande.","-4.851944","-18.599611","Planta coletada em mata secundária; erva",NA,"América",NA
"71","2019-11-07 11:21:24-03","UFMG","BHCB-SL","68249","PreservedSpecimen","Plantae","Mota, RC","2001","12","12","Brasil","Minas Gerais","Frei Inocêncio","-47.990689","-18.699525",NA,NA,NA,NA,"Thelypteridaceae","Christella","dentata","Christella dentata","(Forssk.) Brownsey & Jermy","Salino, A","1374",NA,NA,NA,NA,"Rio Suaçuí Grande.","-47.990689","-18.699525","Erva, coletada em mata secundária",NA,"América",NA
"72","2020-03-04 20:43:45-03","UFMG","BHCB-SL","68259","PreservedSpecimen","Plantae","Mota, RC","2001","12","12","Brasil","Minas Gerais","Frei Inocêncio","-47.990689","-18.699525",NA,NA,NA,NA,"Thelypteridaceae","Cyclosorus","interruptus","Cyclosorus interruptus","(Willd.) Ito","Salino, A","1384",NA,NA,NA,NA,"Rio Suaçuí Grande.","-47.990689","-18.699525","Erva coletada no brejo",NA,"América",NA
"73","2019-12-19 16:21:03-03","UFMG","BHCB-SL","68256","PreservedSpecimen","Plantae","Mota, RC","2001","12","12","Brasil","Minas Gerais","Frei Inocêncio","-47.990689","-18.699525",NA,"BHCB002496",NA,NA,"Selaginellaceae","Selaginella","sulcata","Selaginella sulcata","(Desv. ex Poir.) Spring","Heringer, G","1381","BHCB002496","2010","03",NA,"Rio Suaçuí Grande.","-47.990689","-18.699525","Planta coletada em mata secundária. erva.",NA,"América",NA
"74","2019-11-21 10:04:31-03","IBt","SP","258387","S","Plantae","Gemtchújnicov, ID","1972","01","31","Brasil","Minas Gerais","Frei Inocêncio","-41.9220008850098","-18.5450000762939","22276",NA,"auto",NA,"Euphorbiaceae","Microstachys","daphnoides","Microstachys daphnoides","(Mart.) Müll.Arg.","Cordeiro, I","14",NA,"1992","04",NA,"Fazenda Macuco",NA,NA,NA,NA,NA,NA
