"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","dayIdentified","individualCount","class"
"68","2019-11-06 09:57:19-03","UFOP","OUPR","11550","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","papillosum","Adiantum papillosum","Handro","Prado, J.","Oliveira, L.; Baeta-Neves, A.T.","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"1999","01",NA,NA,"18289","auto","12",NA,NA
"69","2019-11-06 09:57:14-03","UFOP","OUPR","5922","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Pecluma","chnoophora","Pecluma chnoophora","(Kunze) Salino & Costa Assis","Salino, A.","Santos, M.A.","s.n.","1909","06","26",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,"Erva",NA,NA,"2009","05",NA,NA,"18289","auto",NA,NA,NA
"70","2019-11-06 09:57:17-03","UFOP","OUPR","8455","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum",NA,"Adiantum",NA,"Mynssen, C.M.","Flores, F.","s.n.","1909","06","28",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"1999","12",NA,NA,"18289","auto","18",NA,NA
"71","2019-11-06 09:57:14-03","UFOP","OUPR","5568","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Pecluma","chnoophora","Pecluma chnoophora","(Kunze) Salino & Costa Assis","Salino, A.","Turma 1° ano","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2009","05",NA,NA,"18289","auto",NA,NA,NA
"72","2019-11-06 09:57:17-03","UFOP","OUPR","5542","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum",NA,"Adiantum",NA,NA,"Turma 1° ano","s.n.","1909","09","06",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18289","auto",NA,NA,NA
"73","2019-11-06 09:57:19-03","UFOP","OUPR","11840","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","decurrens","Pteris decurrens","C.Presl",NA,"Felippe, J.","s.n.","1909","06","26",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18289","auto",NA,NA,NA
"74","2019-11-06 09:57:17-03","UFOP","OUPR","11524","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","dolosum","Adiantum dolosum","Kunze","Salino, A.","Ferreira, A.","s.n.","1909","06","29",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2015","04",NA,NA,"18289","auto",NA,NA,NA
"75","2019-11-05 16:46:21-03","UFOP","OUPR","32636","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Neoblechnum","brasiliense","Neoblechnum brasiliense","(Desv.) Gasper & V.A.O. Dittrich","Jascone, C.E.","Jascone, C.E.; Mynssen, C.M.","410","2005","06","13",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,"Subarborescente, em grupo, heliófila em barranco seco, na beira da estrada.",NA,NA,"2005","06",NA,NA,"18289","auto","13",NA,NA
"76","2019-11-06 09:54:59-03","UFOP","OUPR","5937","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Ctenitis","aspidioides","Ctenitis aspidioides","(C.Presl) Copel","Salino, A.","Santos, M.A.","s.n.","1909","06","26",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,"Erva. Beira de córrego.",NA,NA,"2002","10",NA,NA,"18289","auto",NA,NA,NA
"77","2019-11-05 16:46:15-03","UFOP","OUPR","5791","PreservedSpecimen","Plantae",NA,NA,"Athyriaceae","Diplazium","mutilum","Diplazium mutilum","Kunze","Mynssen, C.M.","s.col.","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2008",NA,NA,NA,"18289","auto",NA,NA,NA
"78","2019-11-05 16:46:15-03","UFOP","OUPR","10703","PreservedSpecimen","Plantae",NA,NA,"Athyriaceae","Diplazium","plantaginifolium","Diplazium plantaginifolium","(L.) Urb.","Salino, A.","Velloso, L.","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2013","04",NA,NA,"18289","auto","17",NA,NA
"79","2019-11-05 16:46:15-03","UFOP","OUPR","5557","PreservedSpecimen","Plantae",NA,NA,"Athyriaceae","Diplazium","cristatum","Diplazium cristatum","(Desr.) Alston","Mynssen, C.M.","s.col.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2004","03",NA,NA,"18289","auto","24",NA,NA
"80","2019-11-06 09:57:19-03","UFOP","OUPR","11918","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","quadriaurita","Pteris quadriaurita","Retz.",NA,"Turma 1° ano","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18289","auto",NA,NA,NA
"81","2019-11-06 09:57:19-03","UFOP","OUPR","7153","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","latifolium","Adiantum latifolium","Lam.","Prado, J.","Turma 1° ano","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2001","04",NA,NA,"18289","auto",NA,NA,NA
"82","2019-11-05 16:43:30-03","UFOP","OUPR","10121","PreservedSpecimen","Plantae",NA,NA,"Aspleniaceae","Asplenium","serratum","Asplenium serratum","(Ching) Ching & Y.X. Lin","Sylvestre, L.S.","Oliveira, L.","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"1999",NA,NA,NA,"18289","auto",NA,NA,NA
"83","2019-11-06 09:56:07-03","UFOP","OUPR","5556","PreservedSpecimen","Plantae",NA,NA,"Lygodiaceae","Lygodium","volubile","Lygodium volubile","Sw.","Góes-Neto, L.A.A.","Turma 1° ano","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2015","04",NA,NA,"18289","auto","08",NA,NA
"84","2019-11-06 09:54:59-03","UFOP","OUPR","7533","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Ctenitis","aspidioides","Ctenitis aspidioides","(C.Presl) Copel","Salino, A.","Flores, F.","s.n.","1909","06","26",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2009","04",NA,NA,"18289","auto",NA,NA,NA
"85","2019-11-06 09:55:00-03","UFOP","OUPR","10812","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Mickelia","scandens","Mickelia scandens","(Raddi) R.C. Moran et al.","Salino, A.","Fellipe, J.","s.n.","1909","09","28",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,"Trepante em uma palmeira.",NA,NA,"2013","04",NA,NA,"18289","auto","17",NA,NA
"86","2019-11-06 09:57:33-03","UFOP","OUPR","10631","PreservedSpecimen","Plantae",NA,NA,"Saccolomataceae","Saccoloma","elegans","Saccoloma elegans","Kaulf.","Salino, A.","Oliveira, L.; Filippe, J.","s.n.","1909","06","26",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,"Ex Herb. Escola de Minas n. 4715",NA,NA,"2013","04",NA,NA,"18289","auto","17",NA,NA
"87","2019-11-05 16:46:15-03","UFOP","OUPR","4562","PreservedSpecimen","Plantae",NA,NA,"Athyriaceae","Diplazium","cristatum","Diplazium cristatum","(Desr.) Alston","Mynssen, C.M.","Turma 1° ano","s.n.","1909",NA,NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"1999","12",NA,NA,"18289","auto","18",NA,NA
"88","2019-11-06 09:54:59-03","UFOP","OUPR","7535","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Ctenitis","aspidioides","Ctenitis aspidioides","(C.Presl) Copel","Salino, A.","Velloso, C.","s.n.","1999","06","29",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2002","10",NA,NA,"18289","auto",NA,NA,NA
"89","2019-11-06 09:57:19-03","UFOP","OUPR","11579","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Doryopteris","collina","Doryopteris collina","(Raddi) J.Sm.","Yesilyurt, J.C.","Turma 1° ano","s.n.","1908","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"1999","01",NA,NA,"18289","auto","12",NA,NA
"90","2019-11-06 09:57:14-03","UFOP","OUPR","5923","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Pecluma","plumula","Pecluma plumula","(Humb. & Bonpl. ex Willd.) M.G.Price","Assis, F.C.","Santos, M.A.","s.n.","1909","06","28",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,"Erva",NA,NA,"2012","03",NA,NA,"18289","auto",NA,NA,NA
"91","2019-11-06 09:57:17-03","UFOP","OUPR","11798","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","glaucescens","Adiantum glaucescens","Klotzsch","Prado, J.","Diogenes; Baeta-Neves, A.T.","s.n.","1909","06","29",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"1999","01",NA,NA,"18289","auto","12",NA,NA
"92","2019-11-06 09:54:59-03","UFOP","OUPR","8457","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Ctenitis","aspidioides","Ctenitis aspidioides","(C.Presl) Copel","Salino, A.","Santos, M.A.","s.n.","1909","06","26",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2002","10",NA,NA,"18289","auto",NA,NA,NA
"93","2019-11-06 09:54:59-03","UFOP","OUPR","8458","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Ctenitis","aspidioides","Ctenitis aspidioides","(C.Presl) Copel","Salino, A.","Flores, F.","s.n.","1909","06","26",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2002","10",NA,NA,"18289","auto",NA,NA,NA
"94","2019-11-06 09:57:20-03","UFOP","OUPR","11905","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Pteris","splendens","Pteris splendens","Kaulf.",NA,"Turma 1° ano","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18289","auto",NA,NA,NA
"95","2019-11-06 09:54:59-03","UFOP","OUPR","10678","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Ctenitis","christensenii","Ctenitis christensenii","Viveiros & Salino","Viveiros, R.S.","s.col.","s.n.","1909","06","16",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2015","04",NA,NA,"18289","auto",NA,NA,NA
"96","2019-12-18 15:50:54-03","UFOP","OUPR","5544","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","latifolium","Adiantum latifolium","Lam.","Pena, N.T.L.","Santos, M.A.","s.n.","1909","06","28",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,"Ex Escola de Minas s.n.",NA,NA,"2019","12",NA,NA,"18289","auto","02",NA,NA
"97","2019-12-18 15:50:54-03","UFOP","OUPR","5539","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","latifolium","Adiantum latifolium","Lam.","Pena, N.T.L.","Turma 1° ano","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,"Ex Escola de Minas s.n.",NA,NA,"2019","12",NA,NA,"18289","auto","02",NA,NA
"98","2019-11-06 09:57:17-03","UFOP","OUPR","7151","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","glaucescens","Adiantum glaucescens","Klotzsch","Prado, J.","Turma 1° ano","s.n.","1919","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"1999","10",NA,NA,"18289","auto","14",NA,NA
"99","2019-11-06 09:57:19-03","UFOP","OUPR","11530","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","subcordatum","Adiantum subcordatum","Sw.",NA,"Oliveira, L.","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18289","auto",NA,NA,NA
"100","2019-11-06 09:55:50-03","UFOP","OUPR","11171","PreservedSpecimen","Plantae",NA,NA,"Hymenophyllaceae","Abrodictyum","rigidum","Abrodictyum rigidum","(Sw.) Ebihara & Dubuisson","Almeida, T.E.","Olisun, L.","s.n.","1909","06","26",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2013","04",NA,NA,"18289","auto","17",NA,NA
"101","2019-11-06 09:55:50-03","UFOP","OUPR","5665","PreservedSpecimen","Plantae",NA,NA,"Hymenophyllaceae","Vandenboschia","radicans","Vandenboschia radicans","(Sw.) Copel.","Almeida, T.E.","s.col.","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2013","04",NA,NA,"18289","auto","17",NA,NA
"102","2019-11-06 09:57:19-03","UFOP","OUPR","11546","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","pentadactylon","Adiantum pentadactylon","Langsd. & Fisch.","Prado, J.","Felippe, J.C.; Baeta-Neves, A.T.","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"1999","01",NA,NA,"18289","auto","12",NA,NA
"103","2019-11-06 09:57:19-03","UFOP","OUPR","7152","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","obliquum","Adiantum obliquum","Willd.","Prado, J.","Carneiro, F.","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"1999","10",NA,NA,"18289","auto","14",NA,NA
"104","2019-11-05 16:46:21-03","UFOP","OUPR","5792","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","occidentale","Blechnum occidentale","L.","Dittrich, V.A.O.","s.col.","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2002","12",NA,NA,"18289","auto",NA,NA,NA
"105","2019-11-05 16:47:16-03","UFOP","OUPR","10511","PreservedSpecimen","Plantae",NA,NA,"Cyatheaceae","Cyathea","corcovadensis","Cyathea corcovadensis","(Raddi) Domin","Fernandes, I.","Turma 1° ano","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"1995",NA,NA,NA,"18289","auto",NA,NA,NA
"106","2019-11-06 09:57:19-03","UFOP","OUPR","5659","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","obliquum","Adiantum obliquum","Willd.","Prado, J.","Fiusa, J.","s.n.","1909","06","26",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"1999","10",NA,NA,"18289","auto","14",NA,NA
"107","2019-11-05 16:46:21-03","UFOP","OUPR","5656","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","polypodioides","Blechnum polypodioides","Raddi","Dittrich, V.A.O.","s.col.","s.n.","1909","06","26",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,"Rizoma. Planta de lugares úmidos.",NA,NA,"2002","12",NA,NA,"18289","auto",NA,NA,NA
"108","2019-11-05 16:46:15-03","UFOP","OUPR","8287","PreservedSpecimen","Plantae",NA,NA,"Athyriaceae","Diplazium","cristatum","Diplazium cristatum","(Desr.) Alston","Salino, A.","s.col.","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2002","10",NA,NA,"18289","auto",NA,NA,NA
"109","2019-11-05 16:47:16-03","UFOP","OUPR","5934","PreservedSpecimen","Plantae",NA,NA,"Cyatheaceae","Cyathea","corcovadensis","Cyathea corcovadensis","(Raddi) Domin","Salino, A.","Santos, M.A.","s.n.","1909","06","26",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,"Erva. Capão.",NA,NA,"2009","05",NA,NA,"18289","auto",NA,NA,NA
"110","2019-11-05 16:46:15-03","UFOP","OUPR","4560","PreservedSpecimen","Plantae",NA,NA,"Athyriaceae","Diplazium","mutilum","Diplazium mutilum","Kunze","Salino, A.","Fiuza, J.","s.n.","1909","06","26",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2009","05",NA,NA,"18289","auto",NA,NA,NA
"111","2019-11-06 09:55:50-03","UFOP","OUPR","11142","PreservedSpecimen","Plantae",NA,NA,"Hymenophyllaceae","Trichomanes","elegans","Trichomanes elegans","Rich.","Almeida, T.E.","Turma 1° ano","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2013","04",NA,NA,"18289","auto","17",NA,NA
"112","2019-11-06 09:57:14-03","UFOP","OUPR","5569","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Pecluma","robusta","Pecluma robusta","(Fée) M.Kessler & A.R.Sm.","Assis, F.C.","Santos, L. dos","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,"Capoeira",NA,NA,"2012","03",NA,NA,"18289","auto",NA,NA,NA
"113","2019-11-06 09:57:19-03","UFOP","OUPR","5571","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","obliquum","Adiantum obliquum","Willd.","Prado, J.","s.col.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"1999","10",NA,NA,"18289","auto","14",NA,NA
"114","2019-11-06 09:57:17-03","UFOP","OUPR","11782","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantopsis","chlorophylla","Adiantopsis chlorophylla","(Sw.) Fée","Almeida, T.E.","Oliveira, L.","s.n.","1909","06","26",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2013","04",NA,NA,"18289","auto","17",NA,NA
"115","2019-11-06 09:56:04-03","UFOP","OUPR","5661","PreservedSpecimen","Plantae",NA,NA,"Lindsaeaceae","Lindsaea","lancea","Lindsaea lancea","(L.) Bedd.","Salino, A.","Velloso, C.","s.n.","1909","06","29",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2009","05",NA,NA,"18289","auto",NA,NA,NA
"116","2019-11-05 16:46:21-03","UFOP","OUPR","5712","PreservedSpecimen","Plantae",NA,NA,"Blechnaceae","Blechnum","occidentale","Blechnum occidentale","L.","Dittrich, V.A.O.","Araújo, M.L.; Silva, J.L.","s.n.","1996","03","12",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2002","12",NA,NA,"18289","auto",NA,NA,NA
"117","2019-11-05 16:42:52-03","UFOP","OUPR","5657","PreservedSpecimen","Plantae",NA,NA,"Anemiaceae","Anemia","phyllitidis","Anemia phyllitidis","(L.) Sw.","Jascone, C.E.","Flores, F.","s.n.","1909","06","28",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2005","06",NA,NA,"18289","auto","07",NA,NA
"118","2019-11-06 09:57:38-03","UFOP","OUPR","12023","PreservedSpecimen","Plantae",NA,NA,"Selaginellaceae","Selaginella","suavis","Selaginella suavis","(Spring) Spring","Hirai, R.Y.","Turma 1° ano","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2008","05",NA,NA,"18289","auto","27",NA,NA
"119","2019-11-05 16:46:15-03","UFOP","OUPR","5789","PreservedSpecimen","Plantae",NA,NA,"Athyriaceae","Diplazium","mutilum","Diplazium mutilum","Kunze","Mynssen, C.M.","s.col.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2008",NA,NA,NA,"18289","auto",NA,NA,NA
"120","2019-11-06 09:57:17-03","UFOP","OUPR","11813","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","abscissum","Adiantum abscissum","Schrad.","Prado, J.","Machado; Velloso, S.; Fiusa & Filippe","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"1999","01",NA,NA,"18289","auto","12",NA,NA
"121","2019-11-05 16:42:52-03","UFOP","OUPR","5553","PreservedSpecimen","Plantae",NA,NA,"Anemiaceae","Anemia","phyllitidis","Anemia phyllitidis","(L.) Sw.","Jascone, C.E.","Santos, M.A.","s.n.","1909","06","29",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2005","06",NA,NA,"18289","auto","07",NA,NA
"122","2019-11-06 09:57:13-03","UFOP","OUPR","12146","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Campyloneurum","repens","Campyloneurum repens","(Aubl.) C.Presl","Almeida, T.E.","s.col.","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,"Epífeta. Capoeira, nas árvores",NA,NA,"2013","04",NA,NA,"18289","auto","17",NA,NA
"123","2019-11-06 09:56:07-03","UFOP","OUPR","5564","PreservedSpecimen","Plantae",NA,NA,"Lygodiaceae","Lygodium","volubile","Lygodium volubile","Sw.","Góes-Neto, L.A.A.","Turma 1° ano","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2015","04",NA,NA,"18289","auto","08",NA,NA
"124","2019-11-06 09:54:59-03","UFOP","OUPR","10679","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Ctenitis","aspidioides","Ctenitis aspidioides","(C.Presl) Copel","Salino, A.","Velloso, C.","s.n.","1909","06","28",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2002","10",NA,NA,"18289","auto",NA,NA,NA
"125","2019-11-06 09:57:15-03","UFOP","OUPR","11740","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Serpocaulon","fraxinifolium","Serpocaulon fraxinifolium","(Jacq.) A.R.Sm.","Salino, A.","Turma 1° ano","s.n.","1909","06",NA,NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2013","04",NA,NA,"18289","auto","17",NA,NA
"126","2019-11-06 09:54:59-03","UFOP","OUPR","5924","PreservedSpecimen","Plantae",NA,NA,"Dryopteridaceae","Ctenitis","aspidioides","Ctenitis aspidioides","(C.Presl) Copel","Salino, A.","Flores, F.","s.n.","1909","06","26",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,"Erva.",NA,NA,"2002","10",NA,NA,"18289","auto",NA,NA,NA
"127","2019-11-06 09:57:14-03","UFOP","OUPR","5566","PreservedSpecimen","Plantae",NA,NA,"Polypodiaceae","Pecluma","robusta","Pecluma robusta","(Fée) M.Kessler & A.R.Sm.","Assis, F.C.","Velloso, C.","s.n.","1909","06","29",NA,"Brasil","Minas Gerais","Rio Pomba",NA,"-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2012","03",NA,NA,"18289","auto",NA,NA,NA
"128","2019-11-05 16:46:15-03","UFOP","OUPR","5790","PreservedSpecimen","Plantae",NA,NA,"Athyriaceae","Diplazium","mutilum","Diplazium mutilum","Kunze","Salino, A.","s.col.","s.n.","1909","06","26",NA,"Brasil","Minas Gerais","Rio Pomba","Arredores da cidade","-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2009","05",NA,NA,"18289","auto",NA,NA,NA
"129","2019-11-06 09:57:38-03","UFOP","OUPR","5532","PreservedSpecimen","Plantae",NA,NA,"Selaginellaceae","Selaginella","muscosa","Selaginella muscosa","Spring","Góes-Neto, L.A.A.","Veloso, C.","s.n.","1909","06","29",NA,"Brasil","Minas Gerais","Rio Pomba","Arredores da cidade","-43.17919921875","-21.2747001647949",NA,NA,NA,"Vegeta à sombra",NA,NA,"2015","04",NA,NA,"18289","auto","08",NA,NA
"130","2019-11-06 09:56:04-03","UFOP","OUPR","10583","PreservedSpecimen","Plantae",NA,NA,"Lindsaeaceae","Lindsaea","lancea","Lindsaea lancea","(L.) Bedd.","Salino, A.","Velloso, C.","s.n.","1909","06","29",NA,"Brasil","Minas Gerais","Rio Pomba","Arredores de Pomba. Capão, sumidouro","-43.17919921875","-21.2747001647949",NA,NA,NA,NA,NA,NA,"2009","05",NA,NA,"18289","auto",NA,NA,NA
