"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","scientificName","recordedBy","year","month","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","recordNumber","locality","identifiedBy","yearIdentified","monthIdentified","dayIdentified","day","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","class","individualCount","relatedCatalogItem"
"1","2019-12-16 16:52:03-03","NYBG","NYBG","01080719","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Praxelis","Praxelis","L. Riedel","1826","01","South America","Brazil","Minas Gerais","Ipanema","-41.7131","-19.8008","-41.7131","-19.8008","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1208777 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01080719","NY01080719",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 16:52:35-03","NYBG","NYBG","798926","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stevia","Stevia collina","L. Riedel","1834","02","South America","Brazil","Minas Gerais","Ipanema","-41.7131","-19.8008","-41.7131","-19.8008","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=349551 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00798926","NY00798926","collina","Gardner","2081","Itú, Sorocaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 16:48:51-03","NYBG","NYBG","788242","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Baccharis","Baccharis subdentata","L. Riedel","1834","03","South America","Brazil","Minas Gerais","Ipanema","-41.7131","-19.8008","-41.7131","-19.8008","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727526 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00788242","NY00788242","subdentata","DC.","2103",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:02:55-03","NYBG","NYBG","1027924","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Dalechampia","Dalechampia clausseniana","C. Farney","1985","01","South America","Brazil","Minas Gerais","Ipanema","-41.7131","-19.8008","-41.7131","-19.8008","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143276 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01027924","NY01027924","clausseniana","Baill.","544","estrada Ipanema/Santana, km 14.","M. A. Nadruz Coelho","1987","03","17","17","400","400",NA,NA,NA,NA,NA,NA
"5","2020-03-04 11:48:15-03","UFRJ","RFA","Fungos 44948","Preservedecimen","Fungi",NA,NA,"Phyllostictaceae","Phyllosticta","Phyllosticta qualeae","A. Puttemans","1903",NA,NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Herbário Puttemans 717. Herbário RFA 654","RFAFungos57468",NA,"qualeae","Allesch.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"26330","auto",NA,NA,NA,NA
"6","2019-11-21 14:39:55-03","UFJF","CESJ","33297","PreservedSpecimen","Plantae","Angiosperma",NA,"Moraceae","Ficus","Ficus clusiifolia","L.V. Costa","1999","09","América do Sul","Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Hábitat: margem do rio Manhuaçu. Habitus: árvore - 15m. EX: BHCB 50351","CESJ033297",NA,"clusiifolia","(Miq.) Schott ex Spreng.","s.n.","UHE - Pipoca","C.C. Berg","2001","03",NA,NA,NA,NA,"26330","auto",NA,NA,NA,NA
"7","2019-11-06 09:56:07-03","UFOP","OUPR","15533","PreservedSpecimen","Plantae",NA,NA,"Lygodiaceae","Lygodium","Lygodium venustum","Messias, M.C.T.B.","2004","06",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Trepadeira. Ruderal",NA,NA,"venustum","Sw.","898",NA,"Jascone, C.E.","2005","06","08","05",NA,NA,"26330","auto",NA,NA,NA,NA
"8","2019-11-06 09:56:59-03","UFOP","OUPR","7479","PreservedSpecimen","Plantae",NA,NA,"Phytolaccaceae","Rivina","Rivina humilis","Messias, M.C.T.B.","1996","04",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Erva. Ruderal",NA,NA,"humilis","L.","124",NA,"Messias, M.C.T.B.","1996","04","18","07",NA,NA,"26330","auto",NA,NA,NA,NA
"9","2019-11-06 09:56:59-03","UFOP","OUPR","10228","PreservedSpecimen","Plantae",NA,NA,"Phytolaccaceae","Rivina","Rivina humilis","Messias, M.C.T.B.","2001","07",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Erva, flores com pétalas brancas, frutos vermelhos quando maduros. Ruderal",NA,NA,"humilis","L.","467",NA,"Messias, M.C.T.B.","2001","07","29","29",NA,NA,"26330","auto",NA,NA,NA,NA
"10","2019-11-05 16:46:20-03","UFOP","OUPR","7454","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tabebuia","Tabebuia","Messias, M.C.T.B.","1997","07",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Árvore, 15m, DAP 23cm, flores lilases, graganta da corola pilosa internamente. Cultivada.",NA,NA,NA,NA,"116",NA,NA,NA,NA,NA,"08",NA,NA,"26330","auto",NA,NA,NA,NA
"11","2019-11-05 16:46:46-03","UFOP","OUPR","18918","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Licania","Licania tomentosa","Messias, M.C.T.B.","2004","08",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Árvore ~ 7m. flor amarelo clara. Cultivada",NA,NA,"tomentosa","(Benth.) Fritsch.","922",NA,NA,NA,NA,NA,"30",NA,NA,"26330","auto",NA,NA,NA,NA
"12","2019-11-06 09:55:39-03","UFOP","OUPR","18661","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Senna","Senna bacillaris","Messias, M.C.T.B.","1997","06",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Mata. Árvore. Flores amarelas",NA,NA,"bacillaris","(L.f.) H.S.Irwin & Barneby","196",NA,"Dutra, V.F.","2001","11","23","08",NA,NA,"26330","auto",NA,NA,NA,NA
"13","2019-11-06 09:57:53-03","UFOP","OUPR","7480","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Priva","Priva","Messias, M.C.T.B.","1996","04",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Ruderal. Erva. Flores lilases. Frutos aderem à pele de animais",NA,NA,NA,NA,"121",NA,"Messias, M.C.T.B.","1996","04","18","07",NA,NA,"26330","auto",NA,NA,NA,NA
"14","2019-11-06 09:57:53-03","UFOP","OUPR","7492","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Priva","Priva","Messias, M.C.T.B.","1995","11",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Ruderal. Erva",NA,NA,NA,NA,"121",NA,"Messias, M.C.T.B.",NA,NA,NA,"15",NA,NA,"26330","auto",NA,NA,NA,NA
"15","2019-11-06 09:56:36-03","UFOP","OUPR","8014","PreservedSpecimen","Plantae",NA,NA,"Meliaceae","Melia","Melia azedarach","Messias, M.C.T.B.","1994","10",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Árvore, cultivada, aproximadamente 7m, frutos verdes, corola branca com estrias vináceas",NA,NA,"azedarach","L.","224",NA,NA,NA,NA,NA,"03",NA,NA,"26330","auto",NA,NA,NA,NA
"16","2019-11-06 09:57:53-03","UFOP","OUPR","10231","PreservedSpecimen","Plantae",NA,NA,"Verbenaceae","Priva","Priva lappulacea","Messias, M.C.T.B.","2001","07",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Ruderal. Erva. Flores lilases. Presença de xilopódio. Sepalas persistentes e aderente ao pelo dos animais. Especie frequente",NA,NA,"lappulacea","(L.) Pers.","466",NA,"Messias, M.C.T.B.","2001","07","25","25",NA,NA,"26330","auto",NA,NA,NA,NA
"17","2019-11-06 09:56:07-03","UFOP","OUPR","18917","PreservedSpecimen","Plantae",NA,NA,"Lygodiaceae","Lygodium","Lygodium volubile","Messias, M.C.T.B.","2005","01",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Trepadeira. Ruderal",NA,NA,"volubile","Sw.","925",NA,"Góes-Neto, L.A.A.","2015","04","08","13",NA,NA,"26330","auto",NA,NA,NA,NA
"18","2019-11-05 16:46:20-03","UFOP","OUPR","8327","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Tabebuia","Tabebuia ochracea","Messias, M.C.T.B.","1999","10",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Árvore 8m, DAP 20cm, flores com corola amarela com guias de néctar escuras, frutos abundantes com pelos velutinos, poucas folhas. Campo.",NA,NA,"ochracea","A.H.Gentry","257","Estrada para Pocrane, Sede da AABB.",NA,NA,NA,NA,"10",NA,NA,"26330","auto",NA,NA,NA,NA
"19","2019-11-06 09:57:38-03","UFOP","OUPR","10227","PreservedSpecimen","Plantae",NA,NA,"Siparunaceae","Siparuna","Siparuna guianensis","Messias, M.C.T.B.","2001","07",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Arbusto. Vegetal com odor característico pronunciado. Em botões florais, flores amarelo-claras. Mata ciliar.",NA,NA,"guianensis","Aubl.","465","MG 111, Próximo à Santana do Manhuaçú.",NA,NA,NA,NA,"29",NA,NA,"26330","auto",NA,NA,NA,NA
"20","2019-11-06 09:56:52-03","UFOP","OUPR","23250","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Miltonia","Miltonia flavescens","Messias, M.C.T.B.","2003","11",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Erva epifíta. Flores amarelas e odoríficas. Em floresta estacional semidecidual.",NA,NA,"flavescens","(Lindl.) Lindl.","911","Próximo a Estação Biológica de Caratinga.","Vieira, T.L.","2015","01","27","06",NA,NA,"26330","auto",NA,NA,NA,NA
"21","2019-11-05 16:32:31-03","UFOP","OUPR","1823","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Thunbergia","Thunbergia fragrans","Messias, M.C.T.B.","1995","05",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Flores brancas. Trepadeira. Ruderal",NA,NA,"fragrans","Roxb.","s.n.","Vale do Rio Doce",NA,NA,NA,NA,"21",NA,NA,"26330","auto",NA,NA,NA,NA
"22","2019-11-06 09:57:23-03","UFOP","OUPR","18920","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae",NA,NA,"Messias, M.C.T.B.","2004","08",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Erva. Flor amarelo-clara.",NA,NA,NA,NA,"923",NA,NA,NA,NA,NA,"30",NA,NA,"26330","auto",NA,NA,NA,NA
"23","2019-11-06 09:56:44-03","UFOP","OUPR","8010","PreservedSpecimen","Plantae",NA,NA,"Ochnaceae",NA,NA,"Messias, M.C.T.B.","1994","10",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Arbusto, ca. 1m, flores amarelas. Campo",NA,NA,NA,NA,"223",NA,NA,NA,NA,NA,"03",NA,NA,"26330","auto",NA,NA,NA,NA
"24","2019-11-06 09:55:18-03","UFOP","OUPR","7378","PreservedSpecimen","Plantae",NA,NA,"Fabaceae",NA,NA,"Messias, M.C.T.B.","1998","08",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Erva. Ruderal. Flores alvas",NA,NA,NA,NA,"s.n.","Vale do Rio Doce","Messias, M.C.T.B.",NA,NA,NA,"30",NA,NA,"26330","auto",NA,NA,NA,NA
"25","2019-11-05 16:32:31-03","UFOP","OUPR","7666","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae",NA,NA,"Messias, M.C.T.B.","1999","02",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Ruderal. Erva +/- 15cm, flores brancas",NA,NA,NA,NA,"188","Vale do Rio Doce","Messias, M.C.T.B.","1999","02","12","12",NA,NA,"26330","auto",NA,NA,NA,NA
"26","2019-11-05 16:42:33-03","UFOP","OUPR","10226","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Allium","Allium","Messias, M.C.T.B.","2001","07",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Erva bulbosa, flores com pétalas brancas, frutos capsulares, folha com odor de alho, usada como condimentar. Cultivada",NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,"29",NA,NA,"26330","auto",NA,NA,NA,NA
"27","2019-11-05 16:42:52-03","UFOP","OUPR","18244","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Annona","Annona muricata","Messias, M.C.T.B.","2004","02",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Arbusto 1,8m. Flor branca. Cultivado.",NA,NA,"muricata","L.","899",NA,"Seigler",NA,NA,NA,"05",NA,NA,"26330","auto",NA,NA,NA,NA
"28","2019-11-05 16:42:57-03","UFOP","OUPR","8328","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Aspidosperma","Aspidosperma","Messias, M.C.T.B.","1999","10",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Árvore, ca. 6m, 15cm de DAP, flores alvo-amareladas, garganta amarela, estames inclusos, flores muito perfumadas, planta latescente. Campo.",NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,"08",NA,NA,"26330","auto",NA,NA,NA,NA
"29","2019-11-06 09:56:44-03","UFOP","OUPR","5170","PreservedSpecimen","Plantae",NA,NA,"Nyctaginaceae","Boerhavia","Boerhavia","Messias, M.C.T.B.","1995","11",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Erva ruderal, flores róseas",NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,"15",NA,NA,"26330","auto",NA,NA,NA,NA
"30","2019-11-06 09:56:44-03","UFOP","OUPR","6922","PreservedSpecimen","Plantae",NA,NA,"Nyctaginaceae","Boerhavia","Boerhavia diffusa","Messias, M.C.T.B.","1998","04",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Erva, ca. 20cm, flores rosa-escuro, mat. fixado FAA 50, planta medicinal, raízes usadas como colagoga e antiemética. Ruderal",NA,NA,"diffusa","L.","s.n.",NA,"Messias, M.C.T.B.","1998","04","13","11",NA,NA,"26330","auto",NA,NA,NA,NA
"31","2019-11-06 09:56:44-03","UFOP","OUPR","8340","PreservedSpecimen","Plantae",NA,NA,"Nyctaginaceae","Boerhavia","Boerhavia diffusa","Messias, M.C.T.B.","1999","10",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Erva prostrada. Flores róseo vináceas. Frutos aderentes à pele de animais. Raiz axial tuberosa. Espécie muito frequente. A raiz é usada para distúrbios hepáticos. Ruderal.",NA,NA,"diffusa","L.","256",NA,"Messias, M.C.T.B.","1999","10","25","09",NA,NA,"26330","auto",NA,NA,NA,NA
"32","2019-11-06 09:56:44-03","UFOP","OUPR","7264","PreservedSpecimen","Plantae",NA,NA,"Nyctaginaceae","Boerhavia","Boerhavia diffusa","Messias, M.C.T.B.","1998","08",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Erva prostrada, flores róseas escuras. Ruderal",NA,NA,"diffusa","L.","93","Vale do Rio Doce","Messias, M.C.T.B.","1998","08","30","30",NA,NA,"26330","auto",NA,NA,NA,NA
"33","2019-11-06 09:55:21-03","UFOP","OUPR","7461","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Caesalpinia","Caesalpinia pulcherrima","Messias, M.C.T.B.","1996","04",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Cultivado. Arbusto. Flores vermelhas, alaranjadas",NA,NA,"pulcherrima","(L.) Sw.","123",NA,"Messias, M.C.T.B.","1996","04","18","07",NA,NA,"26330","auto",NA,NA,NA,NA
"34","2019-11-06 09:56:00-03","UFOP","OUPR","9935","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","Cinnamomum verum","Messias, M.C.T.B.","2000","11",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Cultivada. Árvore ca. 5m, flores branco-amareladas",NA,NA,"verum","J.Presl","408",NA,"Moraes, P.L.R.","2011","12","12","04",NA,NA,"26330","auto",NA,NA,NA,NA
"35","2019-11-06 09:56:00-03","UFOP","OUPR","9893","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Cinnamomum","Cinnamomum verum","Messias, M.C.T.B.","2000","08",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Cultivada. Árvore ca. 4,5m, flores amarelo-claras",NA,NA,"verum","J.Presl","389",NA,"Nicolau, S.A.","2009","11","19","06",NA,NA,"26330","auto",NA,NA,NA,NA
"36","2019-11-06 09:55:27-03","UFOP","OUPR","5848","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Clitoria","Clitoria fairchildiana","Messias, M.C.T.B.","1994","10",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,NA,NA,NA,"fairchildiana","R.A.Howard","s.n.",NA,"Souza, V.C.; Rando, J...G...","2013",NA,NA,"03",NA,NA,"26330","auto",NA,NA,NA,NA
"37","2019-11-06 09:55:00-03","UFOP","OUPR","14151","PreservedSpecimen","Plantae",NA,NA,"Equisetaceae","Equisetum","Equisetum giganteum","Messias, M.C.T.B.","2001","07",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Erva. Brejo. Aprox. 50 cm",NA,NA,"giganteum","L.","629",NA,"Salino, A.","2013","04","17","23",NA,NA,"26330","auto",NA,NA,NA,NA
"38","2019-11-05 16:46:16-03","UFOP","OUPR","10229","PreservedSpecimen","Plantae",NA,NA,"Bignoniaceae","Fridericia","Fridericia","Messias, M.C.T.B.","2001","07",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Trepadeira, flores róseas, em frutos. Mata ciliar.",NA,NA,NA,NA,"s.n.","MG 03, Estrada para Sant'ana do Manhuaçu.",NA,NA,NA,NA,"25",NA,NA,"26330","auto",NA,NA,NA,NA
"39","2019-11-06 09:56:14-03","UFOP","OUPR","7543","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Galphimia","Galphimia brasiliensis","Messias, M.C.T.B.","1996","04",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Arbusto, flores amarelas, sem glândulas no cálice. Ruderal",NA,NA,"brasiliensis","(L.) A.Juss.","122",NA,"Messias, M.C.T.B.","1996","04","18","07",NA,NA,"26330","auto",NA,NA,NA,NA
"40","2019-11-06 09:55:16-03","UFOP","OUPR","13967","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Joannesia","Joannesia princeps","Messias, M.C.T.B.","2002","09",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Árvore, flores amarelo-claras, sementes usadas como purgativas. Mata",NA,NA,"princeps","Vell.","s.n.",NA,"Messias, M.C.T.B.","2002","11","01","07",NA,NA,"26330","auto",NA,NA,NA,NA
"41","2019-11-06 09:55:18-03","UFOP","OUPR","7465","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Manihot","Manihot esculenta","Messias, M.C.T.B.","1996","04",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Arbusto. Cultivado",NA,NA,"esculenta","Crantz","s.n.",NA,NA,NA,NA,NA,"07",NA,NA,"26330","auto",NA,NA,NA,NA
"42","2019-11-06 09:56:26-03","UFOP","OUPR","10230","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","Miconia ibaguensis","Messias, M.C.T.B.","2001","08",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Mata ciliar. Arbusto com 1,5m. Em botões florais",NA,NA,"ibaguensis","(Bonpl.) Triana","463",NA,"Rezende, A.R.","2011","02","24","25",NA,NA,"26330","auto",NA,NA,NA,NA
"43","2019-11-06 09:56:52-03","UFOP","OUPR","16248","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Miltonia","Miltonia flavescens","Messias, M.C.T.B.","2002","11",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Mata. Erva epifíta. Flores amarelo-claras. Labelo com guias de nectar vináceas",NA,NA,"flavescens","(Lindl.) Lindl.","682",NA,"Neto, L.M.","2005","03",NA,"16",NA,NA,"26330","auto",NA,NA,NA,NA
"44","2019-11-06 09:55:35-03","UFOP","OUPR","15586","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","Mimosa aurivillus aurivillus","s.col.",NA,NA,NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,NA,NA,NA,"aurivillus","Mart.","s.n.",NA,"Dutra, V.F.","2005","03","02",NA,NA,NA,"26330","auto","aurivillus",NA,NA,NA
"45","2019-11-06 09:55:57-03","UFOP","OUPR","7584","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Ocimum","Ocimum","Messias, M.C.T.B.","1995","11",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Erva, aproximadamente 30cm. Corola verde-claro, cálice persistente. Folhas e inflorescências usadas como expectorante. Cultivado.",NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,"15",NA,NA,"26330","auto",NA,NA,NA,NA
"46","2019-11-06 09:57:48-03","UFOP","OUPR","10225","PreservedSpecimen","Plantae",NA,NA,"Talinaceae","Talinum","Talinum fruticosum","Messias, M.C.T.B.","2001","07",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,"Erva. Flores com pétalas róseas, anteras amarelas. Umbrófila. Folhas crassas. Ruderal.",NA,NA,"fruticosum","(L.) Juss.","469",NA,"Messias, M.C.T.B.","2001","07","29","29",NA,NA,"26330","auto",NA,NA,NA,NA
"47","2019-07-17 14:33:57-03","UFRRJ","RBR","2776","S","Plantae",NA,NA,"Bignoniaceae","Anemopaegma","Anemopaegma","Gentry, A.l.; et al.","1985","01",NA,"Brasil","Minas Gerais","Ipanema","-41.833333","-19.966667","41º50'W","19º58'S",NA,NA,"RBR00002776","RBR00002776",NA,NA,"49623","23 Km S of Ypanema on Manhuaçui-Ypanema road, alt. 650m.",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-07-17 14:33:57-03","UFRRJ","RBR","2773","S","Plantae",NA,NA,"Bignoniaceae","Anemopaegma","Anemopaegma setilobum","Gentry, A.l.; et al.","1985","01",NA,"Brasil","Minas Gerais","Ipanema","-41.75","-19.666667","41º45'W","19º40'S",NA,NA,"RBR00002773","RBR00002773 RBR00002773_1","setilobum","A.H.Gentry","49632","14 Km S of Ipanema, alt. 400m, road to Manhuaçu, small forest remnant beside road",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA
"49","2019-07-17 14:33:57-03","UFRRJ","RBR","3082","S","Plantae",NA,NA,"Bignoniaceae","Anemopaegma","Anemopaegma setilobum","Gentry, A.l.; et al.","1985","01",NA,"Brasil","Minas Gerais","Ipanema","-41.75","-19.666667","41º45'W","19º40'S",NA,NA,"RBR00003082","RBR00003082","setilobum","A.H.Gentry","49679","14Km S of Ipanema, alt. 400m, road to Manhuaçu, small forest remnant beside road",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA
"50","2019-07-17 14:33:57-03","UFRRJ","RBR","2797","S","Plantae",NA,NA,"Bignoniaceae","Arrabidaea","Arrabidaea conjugata","Gentry, A.l.; et al.","1985","01",NA,"Brasil","Minas Gerais","Ipanema","-41.75","-19.666667","41º45'W","19º40'S",NA,NA,"RBR00002797","RBR00002797","conjugata","(Vell.) Mart.","49649","14 Km de Ipanema, alt. 400m, road to Manhuaçu, small forest remnat beside road",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA
"51","2019-07-17 14:33:57-03","UFRRJ","RBR","2862","S","Plantae",NA,NA,"Bignoniaceae","Arrabidaea","Arrabidaea triplinervia","Gentry, A.l.; et al.","1985","01",NA,"Brasil","Minas Gerais","Ipanema","-41.75","-19.666667","41º45'W","19º40'S",NA,NA,"RBR00002862","RBR00002862","triplinervia","Hassl.","49641","14 Km S of Ypanema, alt. 400m, road to Manhuaçu, small forest remnant beside road.",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA
"52","2019-07-17 14:33:47-03","UFRRJ","RBR","15812","S","Plantae",NA,NA,"Asteraceae","Vernonia","Vernonia","Gentry, A.; et al.","1985","01",NA,"Brasil","Minas Gerais","Ipanema","-41.75","-19.666667","41º45'W","19º40'S",NA,NA,"RBR00015812","RBR00015812",NA,NA,"49642","14Km S, alt. 400m, road to Manhuaçu, small forest remnatt beside road.",NA,NA,NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA
"53","2020-02-18 10:01:09-03","UFRRJ","RBR","2541","S","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","Aristolochia","Gentry, A; et al.","1985","01",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,NA,"RBR00002541","RBR00002541",NA,NA,"49645","'14 km S of Ipanema, alt. 400 m., road to Manhuaçu, small forest remnant beside road.19°40#?# S - 41°45#?# W'",NA,NA,NA,NA,"17",NA,NA,"26330","auto",NA,NA,NA,NA
"54","2020-02-18 10:01:20-03","UFRRJ","RBR","2985","S","Plantae",NA,NA,"Bignoniaceae","Stizophyllum","Stizophyllum perforatum","Gentry, A; et al.","1985","01",NA,"Brasil","Minas Gerais","Ipanema","-41.7131004333496","-19.8008003234863",NA,NA,NA,NA,"RBR00002985","RBR00002985","perforatum","(Cham.) Miers","49633","'14 km S of Ipanema, alt. 400 m., road to Manhuaçu, small forest remnant beside road.19°40#?# S - 41°45#?# W'",NA,NA,NA,NA,"17",NA,NA,"26330","auto",NA,NA,NA,NA
