"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","class","infraspecificEpithet"
"60","2019-10-07 09:14:15-03","UEFS","HUEFS","35867","PreservedSpecimen","Plantae","Angiospermae","Gentianales","Rubiaceae","Coutarea","hexandra","Coutarea hexandra","(Jacq.) K.Schum.",NA,NA,"Salino, A.","3840","1997","12","04",NA,"Brasil","Minas Gerais","Coimbra","2Km depois do Córrego Estiva.","-42.8027992248535","-20.8567008972168",NA,NA,NA,"Floresta semidecídua de encosta.","HUEFS0035867","HUEFS0035867","10161","auto",NA,NA,NA,NA,"Asteranae",NA
"61","2019-10-07 09:15:56-03","UEFS","HUEFS","229779","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Aegiphila","integrifolia","Aegiphila integrifolia","(Jacq.) Moldenke","F.França","2007","Salino, A.","3849","1997","12","04",NA,"Brasil","Minas Gerais","Coimbra","A 2 Km depois do Córrego Estiva.","-42.8027992248535","-20.8567008972168",NA,NA,NA,"Floresta semidecídua de encosta.","HUEFS0229779","HUEFS0229779","10161","auto","01",NA,NA,NA,"Asteranae",NA
"62","2019-01-25 15:43:55-02","IAC","IAC","37893","S","Plantae",NA,NA,"Passifloraceae-3.Passifloroideae","Passiflora","capsularis","Passiflora capsularis","L.","M.F. Vieira","1987","M.F. Vieira","595","1987","11","21",NA,"Brasil","Minas Gerais","Coimbra","Sítio São Mateus, proprietários Hermano S. Reis e Milene F.V.","-42.8028","-20.8567","-42.8028","-20.8567",NA,NA,NA,NA,NA,NA,"11","21",NA,NA,NA,NA
"63","2019-02-27 14:02:07-03","UFSJ","HUFSJ","3546","S","Plantae",NA,NA,"Fabaceae","Desmodium",NA,"Desmodium",NA,NA,NA,"Sobral, M","14824","2012","03","11",NA,"Brasil","Minas Gerais","Coimbra","BR-120","-42.804444","-20.916222","-42.804444","-20.916222",NA,"Arbusto 2-3 m, em campo alterado à beira da estrada; flores creme-esverdeadas.","HUFSJ003546","HUFSJ003546_v00 HUFSJ003546_v01 HUFSJ003546_v02 HUFSJ003546_v03",NA,NA,NA,NA,NA,NA,NA,NA
"64","2019-02-27 14:02:09-03","UFSJ","HUFSJ","3551","S","Plantae",NA,NA,"Fabaceae","Mimosa",NA,"Mimosa",NA,NA,NA,"Sobral, M","14829","2012","03","11",NA,"Brasil","Minas Gerais","Coimbra","BR-120","-42.804444","-20.916222","-42.804444","-20.916222",NA,"Erva 0,5-1 m, em campo alterado à beira da estrada; flores róseo-claras.","HUFSJ003551","HUFSJ003551_v00",NA,NA,NA,NA,NA,NA,NA,NA
"65","2017-03-27 17:52:51-03","UnB","UB","188350","S","Plantae","Monocotyledonae",NA,"Cyperaceae","Eleocharis",NA,"Eleocharis",NA,"Coons, MP","1977","Coons, MP; Souza, JR","77442","1977","09","21","Southern America","Brasil","Minas Gerais","Coimbra",NA,"-42.8027992248535","-20.8567008972168",NA,NA,NA,"Erva, menos que 50cm de altura. Flores verdes em espigas terminais.; Brejo com cavalinhas","UB0008133","UB0008133","10161","auto","09","21",NA,NA,NA,NA
"66","2017-04-20 17:53:42-03","UnB","UB","188351","S","Plantae","Monocotyledonae",NA,"Juncaceae","Juncus",NA,"Juncus",NA,"Alves, M","2015","Coons, MP; Souza, JR","77443","1977","09","21","Southern America","Brasil","Minas Gerais","Coimbra","Perto da cidade de Coimbra","-42.8027992248535","-20.8567008972168",NA,NA,NA,"Não muito comum no lugar; Ao lado de córrego de água, perto de brejo","UB0031306","UB0031306","10161","auto","05",NA,NA,NA,NA,NA
"67","2019-05-06 11:59:14-03","UFU","HUFU","19215","S","Plantae",NA,NA,"Melastomataceae","Clidemia","hirta","Clidemia hirta","(L.) D.Don","Romero, R.","2000","Salino, A.","3845","1997","12","04",NA,"Brasil","Minas Gerais","Coimbra","2 km depois do Córrego Estiva","-42.8027992248535","-20.8567008972168",NA,NA,NA,"Erva comfolhas cartáceas e flor branca.; Floresta semidecídua de encosta.","HUFU00060203","HUFU00060203","10161","auto","12",NA,NA,NA,NA,NA
"68","2020-03-02 13:42:57-03","UFSC","FLOR","6308","PreservedSpecimen","Plantae",NA,"Fagales","Betulaceae","Alnus","glutinosa","Alnus glutinosa","(L.) Gaertn.",NA,NA,"Mattos, J.","s.n.","1963","01","24",NA,"Brasil","Minas Gerais","Coimbra","Beira litoral: Coimbra, Fornos, PORTUGAL.","-42.8027992248535","-20.8567008972168",NA,NA,NA,NA,"FLOR0006308",NA,"10161","auto",NA,NA,NA,NA,NA,NA
"69","2019-11-21 10:12:31-03","IBt","SP","329861","S","Plantae",NA,NA,"Myrtaceae","Myrciaria","tenella","Myrciaria tenella","(DC.) O.Berg","Kawasaki, ML","1998","Salino, A","3846","1997","12","04",NA,"Brasil","Minas Gerais","Coimbra","2km depois do Córrego Estiva, floresta semidecídua de encosta.","-42.8027992248535","-20.8567008972168",NA,NA,NA,"Árvore 5ma lt., com caule descamante, folhas cartáceas frutos imauros verdes e maduros castanho escuros.",NA,NA,"10161","auto",NA,NA,NA,NA,NA,NA
