"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","identifiedBy","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","individualCount","typeStatus"
"131","2019-11-13 11:20:33-03","USP","SPF","150525","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Aegiphila","sellowiana","Aegiphila sellowiana","Cham.","Krieger, L","s.n.","1972","12","31",NA,"Brasil","Minas Gerais","Pedro Teixeira",NA,"-43.7456016540527","-21.7063999176025",NA,NA,NA,NA,"SPF00150525","SPF00150525",NA,"Krieger, L","1972","11303","auto",NA,NA,NA,NA,NA,NA,NA
"132","2019-11-13 11:23:56-03","USP","SPF","82464","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","ingrata","Cuphea ingrata","Cham. & Schltdl.","Scariot, AO","383","1989","02","09",NA,"Brasil","Minas Gerais","Teixeiras",NA,"-42.8567008972168","-20.6511001586914",NA,NA,NA,NA,"SPF00082464",NA,NA,"Cavalcanti, TB","1989","10355","auto",NA,"03",NA,"690","690",NA,NA
"133","2019-11-13 11:23:52-03","USP","SPF","82465","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","carthagenensis","Cuphea carthagenensis","(Jacq.) J.F.Macbr.","Scariot, AO","382","1989","02","09",NA,"Brasil","Minas Gerais","Teixeiras",NA,"-42.8567008972168","-20.6511001586914",NA,NA,NA,NA,"SPF00082465",NA,NA,"Cavalcanti, TB","1989","10355","auto",NA,"03",NA,"690","690",NA,NA
"134","2019-11-22 16:07:27-03","UEFS","HUEFS","33606","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Aegiphila","sellowiana","Aegiphila sellowiana","Cham.","Fontella, J.P.","1029","1978","05","22",NA,"Brasil","Minas Gerais","Teixeira","Estrada em direção à ponte Nova, à 4Km da ponte sobre o Córrego Bom Jardim e à 8Km do Riberão Vau açu.",NA,NA,NA,NA,NA,"Beira de estrada.","HUEFS0033606","HUEFS0033606",NA,NA,NA,NA,NA,"Asteranae",NA,NA,NA,NA,NA,NA
"135","2019-10-07 09:29:44-03","UEFS","HUEFS","95437","PreservedSpecimen","Plantae","Angiospermae","Fabales","Polygalaceae","Diclidanthera","laurifolia","Diclidanthera laurifolia","Mart.","Zanuncio, T.V.","VIC8968","1984","09","28",NA,"Brasil","Minas Gerais","Teixeira","Morro do Picão, do lado direito do asfalto, a 3,0 Km da entrada da cidade.",NA,NA,NA,NA,NA,NA,"HUEFS0095437","HUEFS0095437",NA,NA,NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,NA
"136","2019-10-07 09:26:15-03","UEFS","HUEFS","201787","PreservedSpecimen","Plantae","Angiospermae","Fabales","Leguminosae Subfam. Caesalpinioideae (Mimosoide)","Piptadenia","adiantoides","Piptadenia adiantoides","(Spreng.) J.F.Macbr.","Fontella, J.P.","1032","1978","05","22",NA,"Brasil","Minas Gerais","Teixeiras","Estrada BR-120,em direção á Ponte Nova, á 4 km da ponte sobre o Córrego Bom Jardim e á 8 km da ponte sobre o Ribeirão Vau Açu.","-42.8567008972168","-20.6511001586914",NA,NA,NA,NA,"HUEFS0201787",NA,NA,"P.G.Ribeiro","2017","10355","auto","Rosanae","05",NA,NA,NA,NA,NA
"137","2016-10-10 10:26:09-03","MOBOT","MOBOT_BR","100514756","S","Plantae",NA,NA,"Passifloraceae","Passiflora","suberosa","Passiflora suberosa litoralis","(Kunth) Port.-Utl. ex M.A.M. Azevedo, Baumgratz & Gonç.-Estev.","G. E. Valente","Valente 425","1999","04","24","South America","Brazil","Minas Gerais","Teixeiras",NA,"-42.8567","-20.6511",NA,NA,NA,NA,NA,NA,"litoralis","M. A. Milward-de-Azevedo","2012","10355","auto",NA,NA,NA,NA,NA,NA,NA
"138","2019-06-28 16:52:40-03","IAC","IAC","31327","S","Plantae",NA,NA,"Rubiaceae-205.Rubioideae-Coussareeae","Faramea","multiflora","Faramea multiflora","A.Rich. ex DC.","L. Krieger","11981","1973","01","01",NA,"Brasil","Minas Gerais","Pedro Teixeira",NA,"-43.7456","-21.7064","-43.7456","-21.7064",NA,NA,NA,NA,NA,"C.M. Taylor","1997",NA,NA,NA,"08","21",NA,NA,NA,NA
"139","2019-06-28 16:52:40-03","IAC","IAC","31375","S","Plantae",NA,NA,"Rubiaceae-205.Rubioideae-Coussareeae","Faramea","multiflora","Faramea multiflora","A.Rich. ex DC.","L. Krieger","11981","1973","01","01",NA,"Brasil","Minas Gerais","Pedro Teixeira",NA,"-43.7456","-21.7064","-43.7456","-21.7064",NA,NA,NA,NA,NA,"C.M. Taylor","1997",NA,NA,NA,"08","21",NA,NA,NA,NA
"140","2019-02-27 14:03:30-03","UFSJ","HUFSJ","649","S","Plantae",NA,NA,"Plantaginaceae","Russelia","equisetiformis","Russelia equisetiformis","Schltdl. & Cham.","Moreira, CN","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Teixeiras","Residência próxima a Delegacia Municipal de Teixeiras","-42.8567008972168","-20.6511001586914",NA,NA,NA,"O exemplas coletado, possui flores com 4 estames sendo didínamos, não possuindo estaminóides, flores hermafroditas, sendo oligostêmone, gamopétala, pentâmera, corola digitaliforme, distintamente personada, com o tubo da corola alarga","HUFSJ000649",NA,NA,NA,NA,"10355","auto",NA,NA,NA,NA,NA,NA,NA
"141","2019-10-16 14:11:12-03","UEL","FUEL","21720","PreservedSpecimen","Plantae","Tracheophyta","Asterales","Asteraceae","Mikania","cordifolia","Mikania cordifolia","(L.f.) Willd.","Maffei, NJ","5","1998","08","12",NA,"Brasil","Minas Gerais","Pedro Teixeira","BR-267, km 145, Km 145","-43.7456016540527","-21.7063999176025",NA,NA,NA,"Trepadeira, capítulos brancos",NA,NA,NA,"Ritter, MR","1998","11303","auto",NA,NA,NA,NA,NA,NA,NA
"142","2019-10-16 14:11:12-03","UEL","FUEL","21719","PreservedSpecimen","Plantae","Tracheophyta","Asterales","Asteraceae","Mikania","conferta","Mikania conferta","Gardner","Maffei, NJ","4","1998","08","12",NA,"Brasil","Minas Gerais","Pedro Teixeira","BR-267, km 145, Km 145","-43.7456016540527","-21.7063999176025",NA,NA,NA,"Trepadeira, capítulos branco-amarronzados",NA,NA,NA,"Ritter, MR","1998","11303","auto",NA,NA,NA,NA,NA,NA,NA
"143","2015-12-02 09:57:47-02","UnB","UB","176227","S","Plantae","Dicotyledoneae",NA,"Rubiaceae","Diodia","saponariifolia","Diodia saponariifolia","(Cham. & Schltdl.) K. Schum.","Kuhlmann","VIC1724","1934","02","15","Southern America","Brasil","Minas Gerais","Teixeiras",NA,"-42.8567008972168","-20.6511001586914",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10355","auto",NA,NA,NA,NA,NA,NA,NA
"144","2019-05-06 11:53:42-03","UFU","HUFU","23117","S","Plantae",NA,NA,"Asteraceae","Mikania","conferta","Mikania conferta","Gardner","Maffei, N.J.","04","1998","08","12",NA,"Brasil","Minas Gerais","Pedro Teixeira","BR - 267, Km 145.","-43.7456016540527","-21.7063999176025",NA,NA,NA,"Trepadeira, capítulos branco-amarronzados.","HUFU00070644","HUFU00070644",NA,"Ritter, M.R.","1998","11303","auto",NA,NA,NA,NA,NA,NA,NA
"145","2019-05-06 11:53:42-03","UFU","HUFU","23119","S","Plantae",NA,NA,"Asteraceae","Mikania","cordifolia","Mikania cordifolia","(L.f.) Willd.","Maffei, J.N.","05","1998","08","12",NA,"Brasil","Minas Gerais","Pedro Teixeira","BR - 267, Km 145.","-43.7456016540527","-21.7063999176025",NA,NA,NA,"Trepadeira, capítulos brancos.","HUFU00048129","HUFU00048129",NA,"Ritter, M.R.","1998","11303","auto",NA,NA,NA,NA,NA,NA,NA
"146","2019-05-06 11:54:29-03","UFU","HUFU","35421","S","Plantae",NA,NA,"Bignoniaceae","Fridericia","speciosa","Fridericia speciosa","Mart.","Krieger, L.","11983","1972","12","31",NA,"Brasil","Minas Gerais","Pedro Teixeira",NA,"-43.7456016540527","-21.7063999176025",NA,NA,NA,"Mata.","HUFU00002927","HUFU00002927",NA,"Forzza, R.C.","2002","11303","auto",NA,"06",NA,NA,NA,NA,NA
"147","2019-02-04 10:28:42-02","MN","R-TIPOS","28323","S","Plantae",NA,NA,"Piperaceae","Piper","sampaioi","Piper sampaioi","Yunck.","Sampaio, A.J.","858","1908","10","22",NA,"Brasil","Minas Gerais","Teixeira Soares",NA,NA,NA,NA,NA,NA,NA,"R000028323","R000028323_001",NA,"Guimarães, E.F.","1960",NA,NA,NA,NA,NA,NA,NA,NA,"Holotypus"
"148","2020-03-02 13:40:56-03","UFSC","FLOR","65694","PreservedSpecimen","Plantae",NA,"Apiales","Araliaceae","Hydrocotyle","macrophylla","Hydrocotyle macrophylla","Pohl ex DC.","Nery, E.K.; Fiaschi, P.; Richetti, E.","61","2018","01","20",NA,"Brasil","Minas Gerais","Pedro Teixeira","MG135.","-43.730556","-21.713333","43º43'50''W","21º42'48''S",NA,"Erva estolonífera, caule esverdeado, flores brancas, frutos brancos","FLOR0065694","FLOR0065694",NA,"Nery, E.K.","2018",NA,NA,NA,"01","20",NA,NA,NA,NA
"149","2019-10-14 18:39:19-03","UFRGS","ICN","133258","S","Plantae","Monocotyledon",NA,"Poaceae","Urochloa",NA,"Urochloa",NA,"Oliveira, RC; Garcia, MCM; Oliveira, LP","s.n.","1992","04","16","América do Sul","Brasil","MG","Pedro Teixeira",NA,"-43.7456016540527","-21.7063999176025",NA,NA,NA,"CESJ 25849",NA,NA,NA,"Longhi-Wagner, HM","2016","11303","auto",NA,"02","11",NA,NA,NA,NA
"150","2019-10-14 18:38:37-03","UFRGS","ICN","133677","S","Plantae","Monocotyledon",NA,"Poaceae","Parodiophyllochloa","penicillata","Parodiophyllochloa penicillata","(Nees ex Trin.) Zuloaga & Morrone","Krieger, L","11980","1973","01","01","América do Sul","Brasil","MG","Pedro Teixeira",NA,"-43.7456016540527","-21.7063999176025",NA,NA,NA,"doação UFJF.",NA,NA,NA,"Guglieri, A",NA,"11303","auto",NA,NA,NA,NA,NA,NA,NA
"151","2020-03-06 14:23:37-03","UFRGS","ICN","115028","S","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","cordifolia","Mikania cordifolia","(L.f.) Willd.","Maffei, NJ","5","1998","08","12","América do Sul","Brasil","MG","Pedro Teixeira","BR-267, km 145","-43.7456016540527","-21.7063999176025",NA,NA,NA,NA,NA,NA,NA,"Ritter, MR",NA,"11303","auto",NA,NA,NA,NA,NA,NA,NA
"152","2020-03-06 14:23:38-03","UFRGS","ICN","115004","S","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","hirsutissima","Mikania hirsutissima","DC.","Maffei, NJ","4","1998","08","12","América do Sul","Brasil","MG","Pedro Teixeira","BR-267, km 145","-43.7456016540527","-21.7063999176025",NA,NA,NA,NA,NA,NA,NA,"Ritter, MR",NA,"11303","auto",NA,NA,NA,NA,NA,NA,NA
"153","2019-11-21 10:16:19-03","IBt","SP","253278","S","Plantae",NA,NA,"Poaceae","Parodiophyllochloa","penicillata","Parodiophyllochloa penicillata","(Nees ex Trin.) Zuloaga & Morrone","Krieger, L","11980","1973","01","01",NA,"Brasil","Minas Gerais","Pedro Teixeira",NA,"-43.7456016540527","-21.7063999176025",NA,NA,NA,NA,NA,NA,NA,"Rodrigues, RS","2012","11303","auto",NA,"01","11",NA,NA,NA,NA
"154","2019-11-21 10:14:19-03","IBt","SP","32171","S","Plantae",NA,NA,"Piperaceae","Piper","aduncum","Piper aduncum","L.","Kuhlmann, M","s.n.","1934","12","01",NA,"Brasil","Minas Gerais","Teixeiras",NA,"-42.8567008972168","-20.6511001586914",NA,NA,NA,NA,NA,NA,NA,"Yuncker, TG","1960","10355","auto",NA,NA,NA,NA,NA,NA,NA
