"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","coordinatePrecision","imagecode","geoFlag"
"1","2020-02-10 17:53:06-03","UNICAMP","UEC","8941","S","Plantae","Magnoliopsida","Fabaceae","Rhynchosia","minima","Rhynchosia minima","(L.) A.DC.","Andrade, JB","1978","07","Salgado, PR; Paulino, VT","s.n.","1978","07","07","Brazil","Minas Gerais","Santa Maria Suaçuí","Rodovia Santa Maria Suaçuí a Capelinha","-42.683333","-18.3","-42.683333","-18.3","fruto","UEC128040",NA,NA,NA
"2","2019-05-06 11:57:45-03","UFU","HUFU","38943","S","Plantae",NA,"Fabaceae","Erythrina","verna","Erythrina verna","Vell.",NA,NA,NA,"Pereira, W.F.","s.n.","2004","10","01","Brasil","Minas Gerais","Santa Maria do Suaçuí","Fazenda Estrela D'alva, A 47 km de Santa Maria do Suaçuí, no Norte de Minas.","-42.4141998291016","-18.190299987793",NA,NA,NA,"HUFU00008971","36948","HUFU00008971","auto"
