"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","infraspecificEpithet","individualCount","class"
"55","2019-11-06 09:57:19-03","UFOP","OUPR","11533","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Adiantum","subcordatum","Adiantum subcordatum","Sw.",NA,NA,"Baeta-Neves, A.T.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Santana do Morro do Chapéu, (=Queluz de Minas)","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15602","auto",NA,NA,NA,NA
"56","2020-02-18 10:01:41-03","UFRRJ","RBR","17541","S","Plantae",NA,NA,"Fabaceae","Desmodium","adscendens","Desmodium adscendens","(Sw.) DC.",NA,NA,"Pace, LB","104","1990","05","10",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Bandeira km 151","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,"RBR00017541",NA,NA,"15602","auto",NA,NA,NA,NA
"57","2020-02-18 10:01:39-03","UFRRJ","RBR","19006","S","Plantae",NA,NA,"Fabaceae","Crotalaria","unifoliolata","Crotalaria unifoliolata","Benth.",NA,NA,"Pace, LB; et al.","107","1990","05","10",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Bandeira km 151 da Ferrovia","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,"RBR00019006",NA,NA,"15602","auto",NA,NA,NA,NA
"58","2019-07-05 14:36:00-03","UFRRJ","RBR","17336","S","Plantae",NA,NA,"Asteraceae",NA,NA,NA,NA,NA,NA,"Pace, L.B.; et al.","s.n.","1990","05","10",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Bandeira Km 151 da Ferrovia","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,"RBR00017336","RBR00017336",NA,"15602","auto",NA,NA,NA,NA
"59","2019-09-25 10:44:17-03","UFRRJ","RBR","13453","S","Plantae",NA,NA,"Asteraceae","Eupatorium","sp.","Eupatorium sp.",NA,NA,NA,"Pace, L.B.","109","1990","05","10",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Conselheiro Lafaiete Bandeira, Km 151 da ferrovia.","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,"RBR00013453","RBR00013453",NA,"15602","auto",NA,NA,NA,NA
"60","2020-02-18 10:01:35-03","UFRRJ","RBR","16517","S","Plantae",NA,NA,"Fabaceae","Calopogonium","caeruleum","Calopogonium caeruleum","(Benth.) C.Wright",NA,NA,"Pace, LB","120","1990","05","10",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Km 150 da ferrovia","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,"RBR00016517",NA,NA,"15602","auto",NA,NA,NA,NA
"61","2019-07-17 14:33:42-03","UFRRJ","RBR","44434","S","Plantae",NA,NA,"Asteraceae","Eupatorium",NA,"Eupatorium",NA,NA,NA,"Pace, L.B.; et al","109","1990","05","10",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Km 151 da Ferrovia","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,"RBR00044434",NA,NA,"15602","auto",NA,NA,NA,NA
"62","2019-07-17 14:33:42-03","UFRRJ","RBR","44433","S","Plantae",NA,NA,"Asteraceae","Eupatorium",NA,"Eupatorium",NA,NA,NA,"Pace, L.B.; et al","109","1990","05","10",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Km 151 da Ferrovia","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,"RBR00044433",NA,NA,"15602","auto",NA,NA,NA,NA
"63","2019-12-06 15:15:11-03","MBM","MBM","61769","S","Plantae",NA,NA,"Poaceae","Paspalum","paniculatum","Paspalum paniculatum","L.","Davidse, G.",NA,"Ramamoorthy, T.P.; et al.; et al.","10705",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Conselheiro Lafaiete","19km SE de Conselheiro Lafaiete","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,"MBM061769","MBM061769",NA,"15602","auto",NA,NA,NA,NA
"64","2019-12-06 15:14:08-03","MBM","MBM","61725","S","Plantae",NA,NA,"Poaceae","Aristida","torta","Aristida torta","Kunth","Davidse, G.",NA,"Ramamoorthy, T.P.; et al.; et al.","10766",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Conselheiro Lafaiete","Ca. 6km SE of Conselheiro Lafaiete","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,"MBM061725","MBM061725",NA,"15602","auto",NA,NA,NA,NA
"65","2019-10-02 14:53:29-03","UFMG","BHCB","135009","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Anadenanthera","peregrina","Anadenanthera peregrina peregrina",NA,NA,"2012","Novaes, RML","s.n.","2009","10","15","Southern America","Brasil","Minas Gerais","Conselheiro Lafaiete","Próximo ao parque de exposições","-43.787778","-20.690556","-43.787778","-20.690556",NA,NA,NA,"Indivíduos de até 20 m de altura.","BHCB034538",NA,"11",NA,NA,"01","peregrina",NA,NA
"66","2019-10-02 14:55:25-03","UFMG","BHCB","3075","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Ocotea","lancifolia","Ocotea lancifolia","(Schott) Mez",NA,"2018","Ferrari, JM","s.n.","1981","07",NA,"Southern America","Brasil","Minas Gerais","Conselheiro Lafaiete",NA,"-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"terrestre;umbrófilo;árvore;folhas 8/7cm;flores pálidas",NA,NA,"08","15602","auto","29",NA,NA,NA
"67","2019-10-02 15:05:54-03","UFMG","BHCB","3112","PreservedSpecimen","Plantae","Monocotyledon",NA,"Araceae","Anthurium","pedato-radiatum","Anthurium pedato-radiatum",NA,NA,NA,"Ferrari, JM","s.n.","1981","07",NA,"Southern America","Brasil","Minas Gerais","Conselheiro Lafaiete",NA,"-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"terrestre-paludoso;herbáceo;ornamental",NA,NA,NA,"15602","auto",NA,NA,NA,NA
"68","2019-10-02 15:00:26-03","UFMG","BHCB","3076","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","eriopus","Myrcia eriopus","DC.",NA,NA,"Ferrari, JM","s.n.","1981","07",NA,"Southern America","Brasil","Minas Gerais","Conselheiro Lafaiete",NA,"-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Variedade:panicularis;terrestre;barranco;arbusto;caule ped. pilosos;folhas oblongas acuminadas",NA,NA,NA,"15602","auto",NA,NA,NA,NA
"69","2019-10-02 15:03:13-03","UFMG","BHCB","63348","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Serjania","regnellii","Serjania regnellii","Schltdl.",NA,NA,"Gonçalves, MM","2131","1894","07","15","Southern America","Brasil","Minas Gerais","Conselheiro Lafaiete",NA,"-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Data: /VII/1894",NA,NA,NA,"15602","auto",NA,NA,NA,NA
"70","2019-10-02 15:01:57-03","UFMG","BHCB","70586","PreservedSpecimen","Plantae","Dicotyledon",NA,"Primulaceae","Myrsine","umbellata","Myrsine umbellata","Mart.",NA,NA,"Vasco; Krieger, L; Marília","11975",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Conselheiro Lafaiete",NA,"-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15602","auto",NA,NA,NA,NA
"71","2019-10-02 15:01:55-03","UFMG","BHCB","2889","PreservedSpecimen","Plantae","Dicotyledon",NA,"Primulaceae","Myrsine","coriacea","Myrsine coriacea","(Sw.) R.Br. ex Roem. & Schult.",NA,NA,"Ferrari, JM","s.n.","1981","07",NA,"Southern America","Brasil","Minas Gerais","Conselheiro Lafaiete",NA,"-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Variedade:major;terrestre;barranco;arbusto;folhas 9/1cm;flores glomérulo;n1C890",NA,NA,NA,"15602","auto",NA,NA,NA,NA
"72","2019-10-02 14:54:13-03","UFMG","BHCB","168638","PreservedSpecimen","Plantae","Dicotyledon",NA,"Fabaceae","Machaerium","hirtum","Machaerium hirtum","(Vell.) Stellfeld",NA,"2012","Krieger, L","10242","1971","02","21","Southern America","Brasil","Minas Gerais","Conselheiro Lafaiete","Beira da estrada.","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Árvore pequena, flores roxo-azuladas.","BHCB012449",NA,"10","15602","auto",NA,NA,NA,NA
"73","2019-10-02 15:04:47-03","UFMG","BHCB","65570","PreservedSpecimen","Plantae","Dicotyledon",NA,"Turneraceae","Turnera","hilaireana","Turnera hilaireana","Urb.",NA,"2015","Barreto, HLM","8185","1936","09","21","Southern America","Brasil","Minas Gerais","Conselheiro Lafaiete","Casa de Pedra. Congonhas.","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Flor amarela, subarbusto 0,10; Campo queimado","BHCB009235",NA,"04","15602","auto","01",NA,NA,NA
"74","2019-10-02 14:49:43-03","UFMG","BHCB","54964","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Chaptalia","piloselloides","Chaptalia piloselloides","(Vahl) Baker",NA,NA,"Barreto, HLM","8336","1936","09","21","Southern America","Brasil","Minas Gerais","Conselheiro Lafaiete","Casa de Pedra. Congonhas.","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Campo queimado. Muito frequente. Herbáceo. Flor alva.",NA,NA,NA,"15602","auto",NA,NA,NA,NA
"75","2019-10-02 14:55:16-03","UFMG","BHCB","83131","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae",NA,NA,NA,NA,NA,NA,"Barreto, HLM","8465","1936","09","21","Southern America","Brasil","Minas Gerais","Conselheiro Lafaiete","Casa de Pedra. Congonhas.","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Arbusto 1,5; Mata","BHCB046372",NA,NA,"15602","auto",NA,NA,NA,NA
"76","2019-10-02 15:01:34-03","UFMG","BHCB","58054","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Piper","peltatum","Piper peltatum","L.",NA,NA,"Krieger, L","11976",NA,NA,NA,"Southern America","Brasil","Minas Gerais","Conselheiro Lafaiete","Pedra do Sino","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15602","auto",NA,NA,NA,NA
"77","2019-10-02 14:57:13-03","UFMG","BHCB","121233","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Miconia","organensis","Miconia organensis","Gardner",NA,NA,"Vasco; Krieger, PL; Marília","11969","1972","12","09","Southern America","Brasil","Minas Gerais","Conselheiro Lafaiete","Pedra do Sino","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Árvore pequena (5-6m), flores esbranquiçadas, folhas quase brancas na face dorsal.",NA,NA,NA,"15602","auto",NA,NA,NA,NA
"78","2019-10-02 15:03:44-03","UFMG","BHCB","170585","PreservedSpecimen","Plantae","Dicotyledon",NA,"Solanaceae","Cestrum",NA,"Cestrum",NA,NA,NA,"Vasco; Krieger, PL; Marilia","s.n.","1972","12","09","Southern America","Brasil","Minas Gerais","Conselheiro Lafaiete","Pedra do Sino","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Arbusto 2 m, no brejo, flores amarelas.","BHCB015253",NA,NA,"15602","auto",NA,NA,NA,NA
"79","2019-10-02 14:49:49-03","UFMG","BHCB","124928","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Clibadium","armanii","Clibadium armanii","(Balb.) Sch.Bip. ex O.E.Schultz",NA,NA,"Krieger, PL; Vasco; Marília","11959","1972","12","09","Southern America","Brasil","Minas Gerais","Conselheiro Lafaiete","Pedra do Sino.","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Terreno úmido. Subarbusto. Folhas ásperas. Flores brancas.",NA,NA,NA,"15602","auto",NA,NA,NA,NA
"80","2020-03-09 08:20:33-03","UFPR","UPCB","88308","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","euphorbioides","Microlicia euphorbioides","Mart.","Meyer, F.S.","2016","Meyer, F.S.","1205","2012","03","24",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","MG 040, km 590. Floresta Ombrófila Densa","-43.473533","-20.420051","-43.473533","-20.420051",NA,NA,NA,"Arbusto 70 cm, coletado às margens da rodovia, flores com pétalas roxas, estames amarelos..","UPCB0031914","UPCB0031914","11",NA,NA,NA,NA,NA,NA
"81","2020-03-09 08:20:33-03","UFPR","UPCB","88313","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Microlicia","isophylla","Microlicia isophylla","DC.","Versiane, A.F.A","2016","Meyer, F.S.","1207","2012","03","24",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","MG 040, km 590. Floresta Ombrófila Densa","-43.473533","-20.420051","-43.473533","-20.420051",NA,NA,NA,"Arbusto 50cm alt., flores com pétalas róseas, estames amarelos..","UPCB0031916","UPCB0031916","07",NA,NA,"18",NA,NA,NA
"82","2020-03-09 08:20:41-03","UFPR","UPCB","91537","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Tibouchina","gracilis","Tibouchina gracilis","(Bonpl.) Cogn.","Meyer, F.S.","2016","Meyer, F.S.","1208","2012","03","24",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","MG-040, Km 590","-43.473533","-20.420051","-43.473533","-20.420051",NA,NA,NA,"Subarbusto 50 cm alt. Flores com pétalas róseas e estames amarelos..","UPCB0028340","UPCB0028340",NA,NA,NA,NA,NA,NA,NA
"83","2018-10-26 11:39:03-03","Cenargen","CEN","92922","S","Plantae",NA,NA,"Alstroemeriaceae","Alstroemeria",NA,"Alstroemeria",NA,NA,NA,"Antônio Fernando Caetano Tombolato","54","1993","02","04",NA,"Brasil","MG","CONSELHEIRO LAFAIETE","A 8 km do cruzamento c/ a Ferrovia Aço.","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,"Exsicatas","Doação do Herbário IAC 32.042.","CEN00092922","CEN00092922",NA,"15602","auto",NA,NA,"1",NA
"84","2019-07-24 16:07:10-03","SMITHSONIAN","US","2368129","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Microlicia","euphorbioides","Microlicia euphorbioides","Mart.",NA,NA,"E. Vainio","33440","1885","03","18","South America - Neotropics","Brazil","Minas Gerais","Conselheiro Lafaiete","Lafayette","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"<a href=http://n2t.net/ark:/65665/3a0fa5599-8edd-47d9-a17e-32789eb332b8 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"15602","auto",NA,NA,NA,"Dicotyledonae"
"85","2019-07-24 16:07:11-03","SMITHSONIAN","US","2368151","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Microlicia","fulva","Microlicia fulva","(Spreng.) Cham.",NA,NA,"E. Vainio","33471","1885","03","18","South America - Neotropics","Brazil","Minas Gerais","Conselheiro Lafaiete","Lafayette","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"<a href=http://n2t.net/ark:/65665/32da1966d-527b-4e0b-b68b-9b834370e089 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"15602","auto",NA,NA,NA,"Dicotyledonae"
"86","2019-07-24 16:07:31-03","SMITHSONIAN","US","2368163","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Pterolepis","repanda","Pterolepis repanda","(DC.) Triana",NA,NA,"E. Vainio","33543","1885","03","18","South America - Neotropics","Brazil","Minas Gerais","Conselheiro Lafaiete","Lafayette.","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"<a href=http://n2t.net/ark:/65665/38840fae8-1f6b-4a13-be10-5db098d7af6a target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"15602","auto",NA,NA,NA,"Dicotyledonae"
"87","2019-07-24 16:07:48-03","SMITHSONIAN","US","2368156","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","herbacea","Tibouchina herbacea","(DC.) Cogn.",NA,NA,"E. Vainio","33484","1885","03","18","South America - Neotropics","Brazil","Minas Gerais","Conselheiro Lafaiete","Lafayette","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"<a href=http://n2t.net/ark:/65665/304d19cd8-763a-45f3-bb05-14a7aa5f7db9 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"15602","auto",NA,NA,NA,"Dicotyledonae"
"88","2019-07-24 16:07:54-03","SMITHSONIAN","US","2368108","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","sebastianopolitana","Tibouchina sebastianopolitana","Cogn.",NA,NA,"E. Vainio","33374","1885","03","18","South America - Neotropics","Brazil","Minas Gerais","Conselheiro Lafaiete","Lafayette","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"<a href=http://n2t.net/ark:/65665/321ee5335-2468-4f12-8a10-e77c118271ca target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"15602","auto",NA,NA,NA,"Dicotyledonae"
"89","2019-07-24 16:07:56-03","SMITHSONIAN","US","2368119","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","serrana","Tibouchina serrana","Guimaraes & A.B. Martins",NA,NA,"E. Vainio","18-28 III","1905","01","08","South America - Neotropics","Brazil","Minas Gerais","Conselheiro Lafaiete","Lafayette","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"<a href=http://n2t.net/ark:/65665/3d8093e1b-a8ac-41c0-9bec-346b323448f7 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"15602","auto",NA,NA,NA,"Dicotyledonae"
"90","2019-07-24 16:07:56-03","SMITHSONIAN","US","2368105","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","stenocarpa","Tibouchina stenocarpa",NA,NA,NA,"E. Vainio","33368","1885","03","18","South America - Neotropics","Brazil","Minas Gerais","Conselheiro Lafaiete","Lafayette","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"<a href=http://n2t.net/ark:/65665/330ccad73-f69a-402d-bbec-cc42e0c40c4c target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"15602","auto",NA,NA,NA,"Dicotyledonae"
"91","2019-07-24 16:07:56-03","SMITHSONIAN","US","2368118","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Tibouchina","stenocarpa","Tibouchina stenocarpa",NA,NA,NA,"E. Vainio","18-28 III","1905","02","27","South America - Neotropics","Brazil","Minas Gerais","Conselheiro Lafaiete","Lafayette","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"<a href=http://n2t.net/ark:/65665/3a3603854-f9ef-4dd5-afe9-5c25822fab3a target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"15602","auto",NA,NA,NA,"Dicotyledonae"
"92","2019-11-13 11:29:31-03","USP","SPF","153028","PreservedSpecimen","Plantae",NA,NA,"Primulaceae","Myrsine","umbellata","Myrsine umbellata","Mart.","Freitas, MF","1998","Vasco","11975","1972","12","09",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete",NA,"-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,"SPF00153028",NA,"09","15602","auto",NA,NA,NA,NA
"93","2019-11-13 11:19:52-03","USP","SPF","196745","PreservedSpecimen","Plantae",NA,NA,"Euphorbiaceae","Croton","antisyphiliticus","Croton antisyphiliticus","Mart.","Ginzbarg, S","1987","Duarte, AP","9243","1965","10","12",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete",NA,"-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,"SPF00196745","SPF00196745","11","15602","auto",NA,NA,NA,NA
"94","2019-06-28 16:53:14-03","IAC","IAC","42785","S","Plantae",NA,NA,"Salicaceae-1.Samydoideae","Casearia","sylvestris","Casearia sylvestris","Sw.","R. Marquete","2000","A.P. Duarte","9246a","1965","10","12",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete",NA,"-43.7861","-20.6603","-43.7861","-20.6603",NA,NA,NA,NA,NA,NA,"08",NA,NA,"23",NA,NA,NA
"95","2019-01-25 15:40:54-02","IAC","IAC","32738","S","Plantae",NA,NA,"Fabaceae","Machaerium","hirtum","Machaerium hirtum","(Vell.) Stellfeld","C.V. Mendonça Filho","2000","L. Krieger","s/nº","1971","02","01",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete",NA,"-43.7861","-20.6603","-43.7861","-20.6603",NA,NA,NA,NA,NA,NA,"12",NA,NA,"01",NA,NA,NA
"96","2019-01-25 15:41:31-02","IAC","IAC","31567","S","Plantae",NA,NA,"Hypericaceae","Vismia",NA,"Vismia",NA,"M.V. Martins","2016","L. Krieger & S.V. Toledo","11968","1972","12","09",NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Pedra do Sino","-43.7861","-20.6603","-43.7861","-20.6603",NA,NA,NA,NA,NA,NA,"11",NA,NA,"09",NA,NA,NA
"97","2019-12-20 18:46:51-03","UFSJ","HUFSJ","520","S","Plantae",NA,NA,"Violaceae","Viola",NA,"Viola",NA,NA,NA,"Daniela","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","B. São João","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,NA,"HUFSJ000520",NA,NA,"15602","auto",NA,NA,NA,NA
"98","2019-12-20 18:46:51-03","UFSJ","HUFSJ","687","S","Plantae",NA,NA,"Verbenaceae","Petrea","volubilis","Petrea volubilis","L.",NA,NA,"Santos, FH","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Escola Meridional","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Comumente encontrada em jardins, pode atingir até 6m de altura; flor de cor roxa.","HUFSJ000687",NA,NA,"15602","auto",NA,NA,NA,NA
"99","2019-12-20 18:46:34-03","UFSJ","HUFSJ","647","S","Plantae",NA,NA,"Hydrangeaceae","Hydrangea","macrophylla","Hydrangea macrophylla","(Thunb.) Ser.",NA,NA,"Santos, FH","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Morro da Mina","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Atinge altura de 1 a 2.5m; a cor de sua flor varia de acordo com o ph do solo; sendo este exemplar azul (solo áciso).","HUFSJ000647",NA,NA,"15602","auto",NA,NA,NA,NA
"100","2019-12-20 18:46:35-03","UFSJ","HUFSJ","389","S","Plantae",NA,NA,"Malvaceae","Gossypium","arboreum","Gossypium arboreum","L.",NA,NA,"Santos, FH","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Morro da Mina","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Pode atingir 5m ou mais, possui sementes oleogenosas e envoltadas por fibras felpudas.","HUFSJ000389",NA,NA,"15602","auto",NA,NA,NA,NA
"101","2019-12-20 18:46:48-03","UFSJ","HUFSJ","477","S","Plantae",NA,NA,"Nyctaginaceae","Bougainvillea",NA,"Bougainvillea",NA,NA,NA,"Cristino, DPC","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Rua Alexandrina de Queiróz, b. São João","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Planta com aproximadamente 3m de altura, é tropical, não apresenta cheiro, nem néctar. Suas brácteas são vistosas e se apresentam de diversas cores.","HUFSJ000477",NA,NA,"15602","auto",NA,NA,NA,NA
"102","2019-12-20 18:46:51-03","UFSJ","HUFSJ","619","S","Plantae",NA,NA,"Solanaceae","Nicandra",NA,"Nicandra",NA,NA,NA,"Cristino, DPC","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Rua ALexandrina de Queiróz, b. São João","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Planta muito freqüente, com aproximadamente 50cm de altura, não apresenta cheiro, nem néctar. Fruto com muitas sementes.","HUFSJ000619",NA,NA,"15602","auto",NA,NA,NA,NA
"103","2019-12-20 18:46:29-03","UFSJ","HUFSJ","55","S","Plantae",NA,NA,"Asteraceae","Sphagneticola",NA,"Sphagneticola",NA,NA,NA,"Paula, GR","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Rua Doutor Zebral, n° 405, Museu","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Flores pentâmeras com papilho rudimentar, reunidas em capítulos, abrindo em padrão espiral de fora para dentro (femininas nos bordos com lígula amarela tornando-se gradualmente alaranjada; e tubulosas, actinomorfas e hermafroditas no","HUFSJ000055",NA,NA,"15602","auto",NA,NA,NA,NA
"104","2019-12-20 18:46:30-03","UFSJ","HUFSJ","168","S","Plantae",NA,NA,"Bromeliaceae","Tillandsia",NA,"Tillandsia",NA,NA,NA,"Paula, GR","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Rua Doutor Zebral, n° 405, Museu","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Folhas recobertas por escamas peltadas; flores inconspícuas hermafroditas sem aroma, com perianto trímero, elevadas a cerca de dez centímetros. Abundantes sobre troncos e ramos de árvores e arbustos por toda a a área, retendo muita u","HUFSJ000168",NA,NA,"15602","auto",NA,NA,NA,NA
"105","2019-12-20 18:46:34-03","UFSJ","HUFSJ","275","S","Plantae",NA,NA,"Iridaceae","Trimezia",NA,"Trimezia",NA,NA,NA,"Paula, GR","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Rua Doutor Zebral, n° 405, Museu","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Herbáceas acaules com cerca de 40 cm de altura e um bulbo subterrâneo do tipo sólido (cormo); inflorescências do tipo dicásio abreviado com flores hermafroditas amarelo-ouro, não aromatizadas. Encontradas em solo predominantemente ar","HUFSJ000275",NA,NA,"15602","auto",NA,NA,NA,NA
"106","2019-12-20 18:46:49-03","UFSJ","HUFSJ","490","S","Plantae",NA,NA,"Onagraceae","Fuchsia",NA,"Fuchsia",NA,NA,NA,"Paula, GR","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Conselheiro Lafaiete","Rua Doutor Zebral, n° 405, Museu","-43.7860984802246","-20.6602993011475",NA,NA,NA,NA,NA,"Arbustivos semi-trepadeiras com cerca de 2m de altura, sobre solo argiloso em região de cerrado. Flores actinomorfas vistosas com dois tons róseo contrastantes: cálice colorido tetrâmero infundibuliforme róseo claro e coroa tetrâmera","HUFSJ000490",NA,NA,"15602","auto",NA,NA,NA,NA
