"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","scientificNameAuthorship","verbatimLongitude","verbatimLatitude","phylum","continentOcean","barcode","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","infraspecificEpithet","imagecode","class","order","typeStatus"
"63","2019-02-27 14:02:37-03","UFSJ","HUFSJ","3165","S","Plantae","Myrtaceae","Campomanesia",NA,"Campomanesia",NA,NA,NA,NA,"Sobral, M","14572","2011","12","23","Brasil","Minas Gerais","Santana do Paraíso",NA,"-42.528333","-19.416667",NA,NA,NA,"-42.528333","-19.416667",NA,NA,"HUFSJ003165",NA,NA,"Árvore 3 m, em beira de mata; casca rugosa; flores creme.",NA,"HUFSJ003165_v00 HUFSJ003165_v01 HUFSJ003165_v02 HUFSJ003165_v03 HUFSJ003165_v04 HUFSJ003165_v05 HUFSJ003165_v06 HUFSJ003165_v07 HUFSJ003165_v08 HUFSJ003165_v09 HUFSJ003165_v10",NA,NA,NA
"64","2019-02-27 14:02:37-03","UFSJ","HUFSJ","3166","S","Plantae","Myrtaceae","Campomanesia","laurifolia","Campomanesia laurifolia",NA,NA,NA,NA,"Sobral, M","14573","2011","12","23","Brasil","Minas Gerais","Santana do Paraíso",NA,"-42.5075","-19.438889",NA,NA,"Gardner","-42.5075","-19.438889",NA,NA,"HUFSJ003166",NA,NA,"Árvore 5-6 m, em interior de mata; casca rugosa; flores brancas.",NA,"HUFSJ003166_v00 HUFSJ003166_v01 HUFSJ003166_v02 HUFSJ003166_v03 HUFSJ003166_v04 HUFSJ003166_v05 HUFSJ003166_v06 HUFSJ003166_v07 HUFSJ003166_v08 HUFSJ003166_v09 HUFSJ003166_v10",NA,NA,NA
"65","2019-02-27 14:01:44-03","UFSJ","HUFSJ","3168","S","Plantae","Asteraceae","Emilia",NA,"Emilia",NA,NA,NA,NA,"Sobral, M","14575","2011","12","23","Brasil","Minas Gerais","Santana do Paraíso",NA,"-42.528333","-19.416667",NA,NA,NA,"-42.528333","-19.416667",NA,NA,"HUFSJ003168",NA,NA,"Erva em interior de mata, junto a estrada; capítulos roxo-claros.",NA,"HUFSJ003168_v00 HUFSJ003168_v01 HUFSJ003168_v02",NA,NA,NA
"66","2019-02-27 14:02:38-03","UFSJ","HUFSJ","1601","S","Plantae","Myrtaceae","Eugenia",NA,"Eugenia",NA,NA,NA,NA,"Sobral, M","13571","2011","01","26","Brasil","Minas Gerais","Santana do Paraíso",NA,"-42.5291","-19.413558",NA,NA,NA,"-42.5291","-19.413558",NA,NA,"HUFSJ001601",NA,NA,"Árvore 4-5 m, em interior de mata; frutos imaturos.",NA,"HUFSJ001601_v00 HUFSJ001601_v01 HUFSJ001601_v02 HUFSJ001601_v03",NA,NA,NA
"67","2019-02-27 14:02:49-03","UFSJ","HUFSJ","3164","S","Plantae","Myrtaceae","Eugenia","leonorae","Eugenia leonorae",NA,NA,NA,NA,"Sobral, M","14571","2011","12","23","Brasil","Minas Gerais","Santana do Paraíso","Propriedade de Fernando Dantas dos Santos","-42.528611","-19.411111",NA,NA,"Mattos","-42.528611","-19.411111",NA,NA,"HUFSJ003164",NA,NA,"Árvore 4 m, em interior de mata; casca rugosa; flores fenecidas.",NA,"HUFSJ003164_v00 HUFSJ003164_v01 HUFSJ003164_v02 HUFSJ003164_v03 HUFSJ003164_v04 HUFSJ003164_v05 HUFSJ003164_v06 HUFSJ003164_v07 HUFSJ003164_v08",NA,NA,NA
"68","2019-02-27 14:02:54-03","UFSJ","HUFSJ","3170","S","Plantae","Myrtaceae","Eugenia","robustovenosa","Eugenia robustovenosa",NA,NA,NA,NA,"Sobral, M","14577","2011","12","23","Brasil","Minas Gerais","Santana do Paraíso","Achado","-42.605","-19.361111",NA,NA,"Kiaersk.","-42.605","-19.361111",NA,NA,"HUFSJ003170",NA,NA,"Arbusto 3-3,5 m, em mata alterada à beira de curso d'água; casca rugosa; flores creme; frutos imaturos.",NA,"HUFSJ003170_v00 HUFSJ003170_v01 HUFSJ003170_v02 HUFSJ003170_v03 HUFSJ003170_v04 HUFSJ003170_v05 HUFSJ003170_v06 HUFSJ003170_v07 HUFSJ003170_v08 HUFSJ003170_v09 HUFSJ003170_v10 HUFSJ003170_v11 HUFSJ003170_v12 HUFSJ003170_v13 HUFSJ003170_v14 HUFSJ003170_v15 HUFSJ003170_v16 HUFSJ003170_v17 HUFSJ003170_v18 HUFSJ003170_v19 HUFSJ003170_v20 HUFSJ003170_v21 HUFSJ003170_v22 HUFSJ003170_v23 HUFSJ003170_v24 HUFSJ003170_v25 HUFSJ003170_v26 HUFSJ003170_v27 HUFSJ003170_v28 HUFSJ003170_v29 HUFSJ003170_v30 HUFSJ003170_v31 HUFSJ003170_v32 HUFSJ003170_v33 HUFSJ003170_v34 HUFSJ003170_v35 HUFSJ003170_v36 HUFSJ003170_v37 HUFSJ003170_v38 HUFSJ003170_v39",NA,NA,NA
"69","2019-02-27 14:03:01-03","UFSJ","HUFSJ","3161","S","Plantae","Myrtaceae","Myrcia",NA,"Myrcia",NA,NA,NA,NA,"Sobral, M","14568","2011","12","23","Brasil","Minas Gerais","Santana do Paraíso","Propriedade de Fernando Dantas dos Santos","-42.528611","-19.411111",NA,NA,NA,"-42.528611","-19.411111",NA,NA,"HUFSJ003161",NA,NA,"Árvore 6-7 m, em interior de mata; casca rugosa; flores creme.",NA,"HUFSJ003161_v00 HUFSJ003161_v01 HUFSJ003161_v02",NA,NA,NA
"70","2019-02-27 14:03:03-03","UFSJ","HUFSJ","3169","S","Plantae","Myrtaceae","Myrcia","crocea","Myrcia crocea",NA,NA,NA,NA,"Sobral, M","14576","2011","12","23","Brasil","Minas Gerais","Santana do Paraíso",NA,"-42.528333","-19.416667",NA,NA,"Kiaersk.","-42.528333","-19.416667",NA,NA,"HUFSJ003169",NA,NA,"Árvore 4-5 m, em interior de mata; casca rugosa; flores em botão, creme.",NA,"HUFSJ003169_v00 HUFSJ003169_v01 HUFSJ003169_v02 HUFSJ003169_v03",NA,NA,NA
"71","2019-12-09 10:46:08-03","UFSJ","HUFSJ","1600","S","Plantae","Myrtaceae","Myrcia","pseudosplendens","Myrcia pseudosplendens","Sobral, M","2016",NA,NA,"Sobral, M","13570","2011","01","26","Brasil","Minas Gerais","Santana do Paraíso",NA,"-42.5291","-19.413558",NA,NA,"Sobral & Mazine","-42.5291","-19.413558",NA,NA,"HUFSJ001600",NA,NA,"Isotipo; Árvore 6-7 m, em interior de mata; frutos imaturos.",NA,"HUFSJ001600 HUFSJ001600_v00 HUFSJ001600_v01 HUFSJ001600_v02 HUFSJ001600_v03 HUFSJ001600_v04 HUFSJ001600_v05 HUFSJ001600_v06 HUFSJ001600_v07 HUFSJ001600_v08",NA,NA,"isotype"
"72","2019-02-27 14:03:15-03","UFSJ","HUFSJ","3171","S","Plantae","Myrtaceae","Myrcia","splendens","Myrcia splendens",NA,NA,NA,NA,"Sobral, M","14578","2011","12","23","Brasil","Minas Gerais","Santana do Paraíso","Achado","-42.611389","-19.372222",NA,NA,"(Sw.) DC.","-42.611389","-19.372222",NA,NA,"HUFSJ003171",NA,NA,"Árvore 5-6 m, em beira de mata; casca rugosa; frutos maduros negros.",NA,"HUFSJ003171_v00 HUFSJ003171_v01 HUFSJ003171_v02",NA,NA,NA
