"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","scientificNameAuthorship","verbatimLongitude","verbatimLatitude","phylum","continentOcean","barcode","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","infraspecificEpithet","imagecode","class","order","typeStatus"
"1","2015-07-02 14:03:17-03","JBP","HPL","9363","S","Plantae","Myrtaceae","Marlierea","tomentosa","Marlierea tomentosa","R. Tsuji","2007","08","26","R. Tsuji","2073","2007","08","26","Brasil","MG","Santana do Paraíso","Coletado nas proximidades da estrada para o Bairro Achado; comum localmente.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:04:07-03","JBP","HPL","11831","S","Plantae","Sabiaceae","Meliosma","chartacea","Meliosma chartacea","E. Ramos",NA,NA,NA,"H. Lorenzi","6729","2009","09","09","Brasil","MG","Santana do Paraiso","Em mata de altitude indo para Achado. DUPLICATA IAC.","-42.5686","-19.3636","17033","auto","Lombardi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:03:19-03","JBP","HPL","11835","S","Plantae","Myrtaceae","Myrcia","splendens","Myrcia splendens",NA,NA,NA,NA,"H. Lorenzi","6731","2009","09","09","Brasil","MG","Santana do Paraiso","Coletado no distrito de Achado","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:03:22-03","JBP","HPL","13634","S","Plantae","Myrtaceae","Myrciaria","coronata","Myrciaria coronata",NA,NA,NA,NA,"R. Tsuji","2237",NA,NA,NA,"Brasil","MG","Santana do Paraíso","Achado - Entrada por Ipaneminha.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-07-02 14:02:30-03","JBP","HPL","6976","S","Plantae","Lauraceae","Nectandra","membranacea","Nectandra membranacea","J.B. Baitello","2007","05","10","R. Tsuji, H. Lorenzi et al.","1555","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada lado esquerdo.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-07-02 14:03:39-03","JBP","HPL","10578","S","Plantae","Passifloraceae","Passiflora","rhamnifolia","Passiflora rhamnifolia","L.C. Bernacci","2008","02","25","L.C. Bernacci & R. Tsuji","4452","2008","02","25","Brasil","MG","Santana do Paraíso","Coletado próximo aos bairros rurais de Ipaneminha e Adiado. S 19° 23' 09; W 42° 29' 48 (290 m.s.m.)","-42.5686","-19.3636","17033","auto","Mast.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-07-02 14:03:40-03","JBP","HPL","6977","S","Plantae","Peraceae","Pera","heteranthera","Pera heteranthera","R. Tsuji","2007","01","30","R. Tsuji, H. Lorenzi et al.","1556","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada lado esquerdo.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2015-07-02 14:03:23-03","JBP","HPL","6984","S","Plantae","Myrtaceae","Plinia","cauliflora","Plinia cauliflora","V.C. Souza","2012","06","04","R. Tsuji, H. Lorenzi et al.","1563","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada.","-42.5686","-19.3636","17033","auto","(Mart.) Kausel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-07-02 14:03:23-03","JBP","HPL","9367","S","Plantae","Myrtaceae","Plinia","coronata","Plinia coronata","V.C. Souza","2012","06","04","R. Tsuji","2077","2007","08","26","Brasil","MG","Santana do Paraíso","Coletado nas proximidades da estrada para o Bairro Achado.","-42.5686","-19.3636","17033","auto","(Mattos) Mattos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-07-02 14:55:41-03","JBP","HPL","11838","S","Plantae","Polygalaceae","Polygala",NA,"Polygala",NA,NA,NA,NA,"H. Lorenzi","6734","2009","09","09","Brasil","MG","Santana do Paraiso","Coletada no distrito de Achado","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2015-07-02 14:04:17-03","JBP","HPL","9366","S","Plantae","Sapotaceae","Pouteria",NA,"Pouteria",NA,NA,NA,NA,"R. Tsuji","2076","2007","08","26","Brasil","MG","Santana do Paraíso","Coletado nas proximidades da estrada para o Bairro Achado.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-07-02 14:04:17-03","JBP","HPL","13633","S","Plantae","Sapotaceae","Pouteria",NA,"Pouteria",NA,NA,NA,NA,"R. Tsuji","2236",NA,NA,NA,"Brasil","MG","Santana do Paraíso","Achado - Entrada por Ipaneminha.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-07-02 14:04:17-03","JBP","HPL","6978","S","Plantae","Sapotaceae","Pouteria","aff. torta","Pouteria aff. torta","C.E. Carneiro","2007","12","01","R. Tsuji, H. Lorenzi et al.","1557","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2015-07-02 14:04:17-03","JBP","HPL","11836","S","Plantae","Sapotaceae","Pouteria","durlandii","Pouteria durlandii",NA,NA,NA,NA,"H. Lorenzi","6732","2009","09","09","Brasil","MG","Santana do Paraiso","Coletado no distrito de Achado","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2015-07-02 14:03:24-03","JBP","HPL","9354","S","Plantae","Myrtaceae","Psidium",NA,"Psidium",NA,NA,NA,NA,"R. Tsuji","2063","2007","08","26","Brasil","MG","Santana do Paraíso","Coletado no Sítio Chambalá, de propriedade do Sr. Lauro (estrada Achado-Cocais).","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2015-07-02 14:03:25-03","JBP","HPL","6985","S","Plantae","Myrtaceae","Psidium","oblongatum","Psidium oblongatum","M. Sobral","2007","05","13","R. Tsuji, H. Lorenzi et al.","1564","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2015-07-02 14:04:02-03","JBP","HPL","6980","S","Plantae","Rubiaceae","Psychotria","poeppigiana","Psychotria poeppigiana","R. Tsuji","2007","01","30","R. Tsuji, H. Lorenzi et al.","1559","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2015-07-02 14:03:31-03","JBP","HPL","9365","S","Plantae","Orchidaceae","Sacoila","lanceolata","Sacoila lanceolata","R. Tsuji","2007","08","26","R. Tsuji","2075","2007","08","26","Brasil","MG","Santana do Paraíso","Coletado nas proximidades da estrada para o Bairro Achado.","-42.5686","-19.3636","17033","auto","(Aubl.) Garay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2015-07-02 14:01:39-03","JBP","HPL","13632","S","Plantae","Elaeocarpaceae","Sloanea",NA,"Sloanea",NA,NA,NA,NA,"R. Tsuji","2235",NA,NA,NA,"Brasil","MG","Santana do Paraíso","Achado - Estrada Ipaneminha, lado esquerdo da via.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2015-07-02 14:04:23-03","JBP","HPL","6986","S","Plantae","Solanaceae","Solanum","swartzianum","Solanum swartzianum","R. Tsuji, H. Lorenzi et al.","2007","01","30","R. Tsuji, H. Lorenzi et al.","1565","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2015-07-02 14:41:56-03","JBP","HPL","9355","S","Plantae","Apocynaceae","Tabernaemontana",NA,"Tabernaemontana",NA,NA,NA,NA,"R. Tsuji","2064","2007","08","26","Brasil","MG","Santana do Paraíso","Coletado nas proximidades da Rodovia MG-232, pouco antes da entrada para o Condomínio Recanto dos Lagos.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2015-07-02 14:03:29-03","JBP","HPL","6982","S","Plantae","Oleaceae",NA,NA,NA,NA,NA,NA,NA,"R. Tsuji, H. Lorenzi et al.","1561","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-07-02 14:03:56-03","JBP","HPL","10579","S","Plantae","Rubiaceae","Amaioua",NA,"Amaioua","P.G. Delprete","2011","12","26","L.C. Bernacci & R. Tsuji","4451","2008","02","25","Brasil","MG","Santana do Paraíso","Coletado próximo aos bairros rurais de Ipaneminha e Adiado. S 19° 23' 09; W 42° 29' 48 (290 m.s.m.). IAC-49414.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2015-07-02 13:59:59-03","JBP","HPL","6983","S","Plantae","Acanthaceae","Aphelandra",NA,"Aphelandra",NA,NA,NA,NA,"R. Tsuji, H. Lorenzi et al.","1662","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2015-07-02 14:02:27-03","JBP","HPL","9368","S","Plantae","Lauraceae","Beilschmiedia","taubertiana","Beilschmiedia taubertiana","V.C. Souza","2011","03","06","R. Tsuji","2078","2007","08","26","Brasil","MG","Santana do Paraíso","Coletado nas proximidades da estrada para o Bairro Achado.","-42.5686","-19.3636","17033","auto","(Schwacke & Mez) Kosterm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2015-07-02 14:03:08-03","JBP","HPL","11840","S","Plantae","Myrtaceae","Campomanesia","aff. hirsuta","Campomanesia aff. hirsuta",NA,NA,NA,NA,"H. Lorenzi","6736","2009","09","09","Brasil","MG","Santana do Paraiso","Coletada no sitio de Vista Linda de José Dermo em Achado","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2015-07-02 14:03:09-03","JBP","HPL","6974","S","Plantae","Myrtaceae","Campomanesia","guaviroba","Campomanesia guaviroba","M. Sobral","2007","05","13","R. Tsuji, H. Lorenzi et al.","1553","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada lado esquerdo.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2015-07-02 14:04:25-03","JBP","HPL","10577","S","Plantae","Theophrastaceae","Clavija","cf. spinosa","Clavija cf. spinosa",NA,NA,NA,NA,"L.C. Bernacci & R. Tsuji","4453","2008","02","25","Brasil","MG","Santana do Paraíso","Coletado próximo aos bairros rurais de Ipaneminha e Adiado. S 19° 23' 09; W 42° 29' 48 (290 m.s.m.)","-42.5686","-19.3636","17033","auto","(Vell.) Mez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2015-07-02 14:01:26-03","JBP","HPL","9370","S","Plantae","Clethraceae","Clethra",NA,"Clethra",NA,NA,NA,NA,"R. Tsuji","2080","2007","08","26","Brasil","MG","Santana do Paraíso","Coletado nas proximidades da estrada para o Bairro Achado.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2015-07-02 14:42:45-03","JBP","HPL","11004","S","Plantae","Myrtaceae","Eugenia",NA,"Eugenia",NA,NA,NA,NA,"L.C. Bernacci & R. Tsuji","4450","2008","02","27","Brasil","MG","Santana do Paraíso","Cooletado no bairro rural de Ipaneminha (a partir de Ipatinga), em beira de estrada próximo a curso d'àgua. -19.414167 N; -42.529167 L (290m.s.m.)","-42.529167","-19.414167",NA,NA,NA,"42° 31' 45 W","19° 24' 51 S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2015-07-02 14:03:11-03","JBP","HPL","10580","S","Plantae","Myrtaceae","Eugenia",NA,"Eugenia",NA,NA,NA,NA,"L.C. Bernacci & R. Tsuji","4450","2008","02","25","Brasil","MG","Santana do Paraíso","Coletado no bairro rural de Ipaneminha (a partir de Ipatinga), em beira de estrada, próximo a curso d'àgua. S 19° 24' 51; W 42° 31' 45 (290 m.s.m.)","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2015-07-02 14:03:14-03","JBP","HPL","6973","S","Plantae","Myrtaceae","Eugenia","magnifica","Eugenia magnifica","R. Tsuji","2007","01","30","R. Tsuji, H. Lorenzi et al.","1552","2007","01","28","Brasil","MG","Santana do Paraiso","Bairro Achados, próximo a cerca pintada de amarelo, preto e branco, 19°21'35,6''S; 42°36'18,1''W.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2015-07-02 14:03:14-03","JBP","HPL","6987","S","Plantae","Myrtaceae","Eugenia","robustovenosa","Eugenia robustovenosa","H. Lorenzi","2007","04","25","R. Tsuji, H. Lorenzi et al.","1566","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2015-07-02 14:03:03-03","JBP","HPL","6972","S","Plantae","Moraceae","Ficus",NA,"Ficus",NA,NA,NA,NA,"R. Tsuji, H. Lorenzi et al.","1551","2007","01","27","Brasil","MG","Santana do Paraiso","Coletado no bairro achado.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2015-07-02 14:00:17-03","JBP","HPL","6981","S","Plantae","Annonaceae","Guatteria",NA,"Guatteria",NA,NA,NA,NA,"R. Tsuji, H. Lorenzi et al.","1560","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada, na igreja.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2015-07-02 14:01:26-03","JBP","HPL","9364","S","Plantae","Chrysobalanaceae","Licania","kunthiana","Licania kunthiana","R. Tsuji","2007","08","26","R. Tsuji","2074","2007","08","26","Brasil","MG","Santana do Paraíso","Coletado nas proximidades do município de Santana do Paraíso; em borda de estrada de terra.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2015-07-02 14:01:28-03","JBP","HPL","6975","S","Plantae","Combretaceae","Terminalia",NA,"Terminalia",NA,NA,NA,NA,"R. Tsuji, H. Lorenzi et al.","1554","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada lado direito.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2015-07-02 14:01:28-03","JBP","HPL","11834","S","Plantae","Combretaceae","Terminalia",NA,"Terminalia",NA,NA,NA,NA,"H. Lorenzi","6730","2009","09","09","Brasil","MG","Santana do Paraiso","Coletada no distrito de Achado","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2015-07-02 14:01:27-03","JBP","HPL","6979","S","Plantae","Clusiaceae","Tovomitopsis","paniculata","Tovomitopsis paniculata","R. Tsuji","2008","10","17","R. Tsuji, H. Lorenzi et al.","1558","2007","01","30","Brasil","MG","Santana do Paraiso","Coletado em direção ao bairro Achados, em borda de estrada, lado direito..","-42.5686","-19.3636","17033","auto","(Spreng.) Planch. & Triana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2015-07-02 14:00:58-03","JBP","HPL","9369","S","Plantae","Asteraceae","Vernonanthura",NA,"Vernonanthura","V.C. Souza","2011","02","16","R. Tsuji","2079","2007","08","26","Brasil","MG","Santana do Paraíso","Coletado nas proximidades da estrada para o Bairro Achado.","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2015-07-02 14:03:05-03","JBP","HPL","11839","S","Plantae","Myristicaceae","Virola",NA,"Virola",NA,NA,NA,NA,"H. Lorenzi","6735","2009","09","09","Brasil","MG","Santana do Paraiso","Coletada no distrito de Achado","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2015-07-02 14:04:33-03","JBP","HPL","11837","S","Plantae","Vochysiaceae","Vochysia",NA,"Vochysia",NA,NA,NA,NA,"H. Lorenzi","6733","2009","09","09","Brasil","MG","Santana do Paraiso","Coletado no distrito de Achado","-42.5686","-19.3636","17033","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-02-22 11:44:51-03","IPA","IPA","41661","S","Plantae","Leguminosae-Caes.","Senna","neglecta","Senna neglecta","Lima, J.E.G. de","1998","01","27","Brade, A.C.; Barbosa, A.; Barbosa, A.","17718","1943","04","13","Brasil","Minas Gerais","Santana do Paraíso","Itau, Rio Santa Maria","-42.5685997009277","-19.3635997772217","17033","auto","(Vogel) H.S. Irwin & Barneby",NA,NA,"Plantae","Southern America","IPA0041661",NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-11-26 13:10:39-03","UTFPR","HCF","29858","S","Plantae","Fabaceae","Inga","vera","Inga vera","F. Marinero","2019","03","14","F. Marinero","1078","2018","11","23","Brasil","MG","Santana do Paraíso","Rio Doce","-42.418056","-19.383889",NA,NA,"Willd.","42°25'05 W","19°23'02 S",NA,NA,NA,"214","214","árvore 6 m. Frutos verdes. Vegetação secundária em estágio inicial.",NA,NA,NA,NA,NA
"45","2019-12-06 14:48:34-03","MBM","MBM","418818","S","Plantae","Fabaceae","Inga","vera","Inga vera affinis","Marinero, F.","2019","03","14","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1078","2018","11","23","Brazil","Minas Gerais","Santana do Paraíso","Rio Doce","-42.418056","-19.383889",NA,NA,"(DC.) T.D. Penn.","-42.418056","-19.383889",NA,"Southern America","MBM418818","214","214",NA,"affinis",NA,NA,NA,NA
"46","2019-12-06 15:13:31-03","MBM","MBM","418821","S","Plantae","Piperaceae","Piper","gaudichaudianum","Piper gaudichaudianum","Marinero, F.","2019","03","25","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1081","2018","11","23","Brazil","Minas Gerais","Santana do Paraíso","Rio Doce","-42.418056","-19.383889",NA,NA,"Kunth","-42.418056","-19.383889",NA,"Southern America","MBM418821","214","214",NA,NA,NA,NA,NA,NA
"47","2019-12-06 15:13:37-03","MBM","MBM","418817","S","Plantae","Piperaceae","Piper","umbellatum","Piper umbellatum","Marinero, F.","2019","03","25","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1077","2018","11","23","Brazil","Minas Gerais","Santana do Paraíso","Rio Doce","-42.418056","-19.383889",NA,NA,"L.","-42.418056","-19.383889",NA,"Southern America","MBM418817","214","214",NA,NA,NA,NA,NA,NA
"48","2019-12-06 15:23:23-03","MBM","MBM","418819","S","Plantae","Thelypteridaceae","Christella","dentata","Christella dentata","Mazziero, F.F.F.","2019","04","15","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1079","2018","11","23","Brazil","Minas Gerais","Santana do Paraíso","Beira de trilho do trem","-42.418056","-19.383889",NA,NA,"(Forssk.) Brownsey & Jermy","-42.418056","-19.383889",NA,"Southern America","MBM418819","214","214",NA,NA,NA,NA,NA,NA
"49","2019-12-06 14:47:43-03","MBM","MBM","418820","S","Plantae","Fabaceae","Desmodium","axillare","Desmodium axillare","Marinero, F.","2019","03","14","Marinero, F.; Nardin, E.C.; Nardin, E.C.","1080","2018","11","23","Brazil","Minas Gerais","Santana do Paraíso","Rio Doce","-42.418056","-19.383889",NA,NA,"(Sw.) DC.","-42.418056","-19.383889",NA,"Southern America","MBM418820","214","214",NA,NA,NA,NA,NA,NA
"50","2019-10-02 14:59:53-03","UFMG","BHCB","171107","PreservedSpecimen","Plantae","Myrtaceae","Campomanesia",NA,"Campomanesia",NA,NA,NA,NA,"Sobral, M","14572","2011","12","23","Brasil","Minas Gerais","Santana do Paraíso",NA,"-42.528333","-19.416667",NA,NA,NA,"-42.528333","-19.416667","Dicotyledon","Southern America","BHCB015673","230","230","Árvore, 3 m de altura; casca rugosa; flores creme.; Em beira de mata.",NA,NA,NA,NA,NA
"51","2019-10-02 15:04:37-03","UFMG","BHCB","170710","PreservedSpecimen","Plantae","Solanaceae","Solanum","swartzianum","Solanum swartzianum",NA,"2007","01","30","Tsuji, R; Lorenzi, H; et al.","1565","2007","01","30","Brasil","Minas Gerais","Santana do Paraiso","Bairro Achados, Em borda de estrada","-42.5685997009277","-19.3635997772217","17033","auto","Roem. & Schult.",NA,NA,"Dicotyledon","Southern America","BHCB015387",NA,NA,"Arvoreta, ca. 5 m de altura. Flores botões verdes. Frutos ausentes.",NA,NA,NA,NA,NA
"52","2019-10-02 15:00:13-03","UFMG","BHCB","109908","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","robustovenosa","Eugenia robustovenosa",NA,"2007","04","25","Tsuji, R","1566","2007","01","30","Brasil","Minas Gerais","Santana do Paraíso","Coletado em direção ao bairro Achados, em borda de estrada.","-42.5685997009277","-19.3635997772217","17033","auto","Kiaersk.",NA,NA,"Dicotyledon","Southern America","BHCB010554",NA,NA,"Árvore, com casca pouco descamante, ca. 7,0-10,0m de alturFlores, A. brancas. Frutos beges.",NA,"BHCB010554",NA,NA,NA
