"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","phylum","identifiedBy","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","scientificNameAuthorship","recordNumber","barcode","imagecode","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","continentOcean","preparationType"
"44","2019-10-02 14:52:50-03","UFMG","BHCB","188423","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum",NA,"Erythroxylum","Paiva, JAM; Souza, JAM; Silva, E","2017","05","30","Brasil","Minas Gerais","Piranga","Fazenda Soares","-43.377778","-20.632778",NA,"Arbustiva. Terrícola. 3,5 metros de altura. Frutos imaturos verdes, maduros laranjas; Floresta Estacional Semidecidual",NA,"Dicotyledon",NA,"-43.377778","-20.632778","846","846",NA,"1339","BHCB188423",NA,NA,NA,NA,NA,"Southern America",NA
"45","2019-10-02 15:07:01-03","UFMG","BHCB","188427","PreservedSpecimen","Plantae","Heliconiaceae","Heliconia","psittacorum","Heliconia psittacorum","Paiva, JAM; Souza, JAM; Silva, E","2017","06","01","Brasil","Minas Gerais","Piranga","Fazenda Soares","-43.381944","-20.630278",NA,"Herbárea. Terrícola. 1,5 metros de altura. Brácteas vermelhas, inflorescência laranja com ápice azulado.; Floresta Estacional Semidecidual.",NA,"Monocotyledon",NA,"-43.381944","-20.630278","814","814","L.","1343","BHCB188427",NA,NA,NA,NA,NA,"Southern America",NA
"46","2019-10-02 14:53:14-03","UFMG","BHCB","188425","PreservedSpecimen","Plantae","Euphorbiaceae","Mabea","fistulifera","Mabea fistulifera","Paiva, JAM; Souza, JAM; Silva, E","2017","05","31","Brasil","Minas Gerais","Piranga","Fazenda Soares","-43.38","-20.628889",NA,"Arbórea. Terrícola. 4,0 metros de altura. Botões florais ferrugem. Presença de látex branco.; Floresta Estacional Semidecidual",NA,"Dicotyledon",NA,"-43.38","-20.628889","764","764","Mart.","1341","BHCB188425",NA,NA,NA,NA,NA,"Southern America",NA
"47","2019-10-02 14:55:22-03","UFMG","BHCB","188428","PreservedSpecimen","Plantae","Lauraceae","Nectandra","oppositifolia","Nectandra oppositifolia","Paiva, JAM; Souza, JAM; Silva, E","2017","06","01","Brasil","Minas Gerais","Piranga","Fazenda Soares","-43.378889","-20.631389",NA,"Arbórea. Terrícola. 8,0 metros de altura.; Floreta Estacional Semidecidual.",NA,"Dicotyledon",NA,"-43.378889","-20.631389","790","790","Nees","1344","BHCB188428",NA,NA,NA,NA,NA,"Southern America",NA
"48","2019-10-02 14:59:32-03","UFMG","BHCB","188424","PreservedSpecimen","Plantae","Meliaceae","Trichilia",NA,"Trichilia","Paiva, JAM; Souza, JAM; Silva, E","2017","05","30","Brasil","Minas Gerais","Piranga","Fazenda Soares","-43.379722","-20.63",NA,"Arbórea. Terrícola. Frutor maduros castanhos.; Floresta Estacional Semidacidual",NA,"Dicotyledon",NA,"-43.379722","-20.63","781","781",NA,"1340","BHCB188424",NA,NA,NA,NA,NA,"Southern America",NA
"49","2019-10-02 14:49:21-03","UFMG","BHCB","55738","PreservedSpecimen","Plantae","Asteraceae","Baccharis","caprariifolia","Baccharis caprariifolia","Gardner, G",NA,NA,NA,"Brasil","Minas Gerais","Piranga",NA,"-43.3003005981445","-20.684700012207","23775",NA,"auto","Dicotyledon",NA,NA,NA,NA,NA,"Gardner","4900",NA,NA,NA,NA,NA,NA,"Southern America",NA
"50","2020-03-31 05:00:04-03","MNHN","RECOLNAT_GLAZIOU","P05592011","S","Plantae","Marcgraviaceae","Schwartzia","adamantium","Schwartzia adamantium","Glaziou","1892","3","26","Brasil","Minas Gerais","Piranga",NA,"-43.3003005981445","-20.684700012207","23775","operation de numerisation 2010-2012","auto",NA,NA,NA,NA,NA,NA,"(Cambess.) Bedell","18916","P05592011","P05592011_01",NA,NA,NA,NA,NA,"hb"
"51","2019-12-09 10:45:55-03","UFSJ","HUFSJ","2714","S","Plantae","Fabaceae","Pseudopiptadenia","contorta","Pseudopiptadenia contorta","Sobral, M","2011","10","31","Brasil","Minas Gerais","Piranga","BR-482","-43.207778","-20.674861",NA,"Árvore 6-7 m, em resto de mata junto à estrada; flores creme, com odor forte e agradáv",NA,NA,"Sobral, M","-43.207778","-20.674861",NA,NA,"(DC.) G.P.Lewis & M.P.Lima","14338","HUFSJ002714","HUFSJ002714_v00 HUFSJ002714_v01 HUFSJ002714_v02 HUFSJ002714_v03 HUFSJ002714_v04",NA,"2011",NA,NA,NA,NA
"52","2019-12-19 16:20:56-03","UFMG","BHCB-SL","188426","PreservedSpecimen","Plantae","Polypodiaceae","Pleopeltis","hirsutissima","Pleopeltis hirsutissima","Paiva, JAM; Souza, JAM; Silva, E","2017","05","31","Brasil","Minas Gerais","Piranga","Fazenda Soares","-43.379444","-20.627222",NA,"Herbáceae. Epífita.; Floresta Estacional Semidecidual",NA,NA,"Pivari, MOD","-43.379444","-20.627222","783","783","(Raddi) de la Sota","1342","BHCB188426",NA,NA,NA,NA,NA,"América",NA
"53","2017-09-11 17:06:48-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Apocynaceae","Anisolobus","gracilipes","Anisolobus gracilipes","Martius, CFP",NA,NA,NA,"Brazil","Minas Gerais","Piranga","Habitat in silvis prope Rio Piranga prov. Minarum","-43.3","-20.69",NA,NA,NA,NA,NA,"-43.3","-20.69",NA,NA,"(Stadelm.) Müll.Arg.","s.n.",NA,NA,NA,NA,NA,NA,"Southern America",NA
"54","2017-09-11 17:07:40-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Asteraceae","Baccharis","recurvata","Baccharis recurvata","Martius, CFP",NA,NA,NA,"Brazil","Minas Gerais","Piranga","Prope Piranga.","-43.3003","-20.6847","23775","Habitat in silvis apertis Brasiliae orientalis.; HABITAT: Habitat in silvis apertis Brasiliae orientalis.","auto",NA,NA,NA,NA,NA,NA,"Gardner","s.n.",NA,NA,NA,NA,NA,NA,"Southern America",NA
"55","2017-09-11 17:07:40-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Asteraceae","Baccharis","recurvata","Baccharis recurvata","Ackermann, ?",NA,NA,NA,"Brazil","Minas Gerais","Piranga","e. gr. in prov. Minas Geraes prope Piranga etc","-43.3003","-20.6847","23775",NA,"auto",NA,NA,NA,NA,NA,NA,"Gardner","s.n.",NA,NA,NA,NA,NA,NA,"Southern America",NA
"56","2017-09-11 17:07:40-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Asteraceae","Baccharis","recurvata","Baccharis recurvata","Gardner, G",NA,NA,NA,"Brazil","Minas Gerais","Piranga","Prope Piranga.","-43.3003","-20.6847","23775","Habitat in silvis apertis Brasiliae orientalis.; HABITAT: Habitat in silvis apertis Brasiliae orientalis.","auto",NA,NA,NA,NA,NA,NA,"Gardner","4900",NA,NA,NA,NA,NA,NA,"Southern America",NA
"57","2017-09-11 17:07:40-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Asteraceae","Baccharis","recurvata","Baccharis recurvata","Langsdorff, GH (Baron)",NA,NA,NA,"Brazil","Minas Gerais","Piranga","Prope Piranga.","-43.3003","-20.6847","23775","Habitat in silvis apertis Brasiliae orientalis.; HABITAT: Habitat in silvis apertis Brasiliae orientalis.","auto",NA,NA,NA,NA,NA,NA,"Gardner","s.n.",NA,NA,NA,NA,NA,NA,"Southern America",NA
"58","2017-09-11 17:07:39-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Asteraceae","Baccharis","recurvata","Baccharis recurvata","Ackermann, ?",NA,NA,NA,"Brazil","Minas Gerais","Piranga","Prope Piranga.","-43.3003","-20.6847","23775","Habitat in silvis apertis Brasiliae orientalis.; HABITAT: Habitat in silvis apertis Brasiliae orientalis.","auto",NA,NA,NA,NA,NA,NA,"Gardner","s.n.",NA,NA,NA,NA,NA,NA,"Southern America",NA
