"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","specificEpithet","infraspecificEpithet","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","typeStatus","preparationType","individualCount","class","order"
"67","2017-09-14 11:49:12-03","MBML","MBML-HERBARIO","48481",NA,"Plantae",NA,"Orchidaceae","Encyclia","Encyclia patens",NA,"L. Kollmann; A.P. Fontana","12518","2012","09","26","Brasil","Espírito Santo","Mantenópolis",NA,"-41.1227989196777","-18.8624992370605",NA,NA,"Epifita, sépalas e pétalas marrons, labelo amarelado.","MBML048481",NA,"L. Kollmann","900","900","patens",NA,NA,NA,"24010","auto",NA,NA,NA,NA,NA
"68","2017-09-14 11:42:32-03","MBML","MBML-HERBARIO","44928",NA,"Plantae",NA,"Begoniaceae","Begonia","Begonia cucullata",NA,"L. Kollmann; A.P.Fontana","12506","2012","09","25","Brasil","Espírito Santo","Mantenópolis","Córrego São José","-41.1227989196777","-18.8624992370605",NA,NA,"Erva no brejo ao sol, flores rosas","MBML044928","MBML044928","L. Kollmann",NA,NA,"cucullata",NA,NA,NA,"24010","auto",NA,NA,NA,NA,NA
"69","2020-02-19 14:10:20-03","MBML","MBML-HERBARIO","48473",NA,"Plantae",NA,"Orchidaceae","Pseudolaelia","Pseudolaelia canaanensis",NA,"L. Kollmann; A.P. Fontana","12504","2012","09","25","Brasil","Espírito Santo","Mantenópolis","São José","-41.1227989196777","-18.8624992370605",NA,NA,"Rupícola ao sol. Frutos verdes","MBML048473",NA,"L. Kollmann","950","950","canaanensis",NA,NA,NA,"24010","auto",NA,NA,NA,NA,NA
"70","2017-09-14 11:49:19-03","MBML","MBML-HERBARIO","48474",NA,"Plantae",NA,"Orchidaceae","Gomesa","Gomesa ramosa",NA,"L. Kollmann; A.P. Fontana","12503","2012","09","25","Brasil","Espírito Santo","Mantenópolis","São José","-41.1227989196777","-18.8624992370605",NA,NA,"Rupícola ao sol. Flores amarelas com maculas marrons","MBML048474",NA,"T.E.C. Meneguzzo/2017","950","950","ramosa",NA,NA,NA,"24010","auto",NA,NA,NA,NA,NA
"71","2017-09-14 11:51:44-03","MBML","MBML-HERBARIO","44939",NA,"Plantae",NA,"Scrophulariaceae","Achetaria","Achetaria crenata",NA,"L. Kollmann; A.P.Fontana","12494","2012","09","25","Brasil","Espírito Santo","Mantenópolis","São José","-41.088611",NA,"41W5'19",NA,"Erva. Rupícola ao sol, flores lilás","MBML044939",NA,"André Vito Scatigna/Março-2016","950","950","crenata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2017-09-14 11:41:50-03","MBML","MBML-HERBARIO","44938",NA,"Plantae",NA,"Apocynaceae","Mandevilla","Mandevilla grazielae",NA,"L. Kollmann; A.P.Fontana","12496","2012","09","25","Brasil","Espírito Santo","Mantenópolis","São José","-41.088611",NA,"41W5'19",NA,"Arbusto 2m. Rupícola ao sol, flores vináceas","MBML044938","MBML044938","L. Kollmann","950","950","grazielae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","2019-12-15 13:40:51-03","UNESP-RC","HRCB","13503","S","Plantae",NA,"Cactaceae","Selenicereus","Selenicereus setaceus","(Salm-Dyck) A. Berger ex Werderm.","Taylor, N. P.","778","1990","12","15","Brasil","Espírito Santo","Mantenópolis",NA,"-41.1227989196777","-18.8624992370605",NA,NA,"rateiro sobre rocha",NA,NA,NA,"500","500","setaceus",NA,NA,NA,"24010","auto",NA,NA,NA,NA,NA
"74","2018-10-26 11:42:06-03","Cenargen","CEN","89334","S","Plantae",NA,"Asteraceae","Eremanthus","Eremanthus",NA,"A. M. Assis- MBML","2098","2009","09","23","Brasil","ES","MANTENOPOLIS","Alto Monteiro.","-41.088055","-18.849166","-41,088055","-18,849166","Doação Museu de Biologia Mello Leitão - MBML nº 46494.","CEN00089334","CEN00089334",NA,"710","710",NA,NA,NA,NA,NA,NA,NA,"Exsicatas","1",NA,NA
"75","2018-10-26 11:42:06-03","Cenargen","CEN","89316","S","Plantae",NA,"Asteraceae","Eremanthus","Eremanthus",NA,"Ludovic Jean Charles Kollmann","12523","2012","09","26","Brasil","ES","MANTENOPOLIS",NA,"-41.1227989196777","-18.8624992370605",NA,NA,"Doação De biologia Mello Leitão - MBML nº 44916.","CEN00089316","CEN00089316",NA,NA,NA,NA,NA,NA,NA,"24010","auto",NA,"Exsicatas","1",NA,NA
"76","2019-10-07 09:24:11-03","UEFS","HUEFS","209040","PreservedSpecimen","Plantae","Angiospermae","Leguminosae",NA,NA,NA,"Kollmann, L.","12514","2012","09","26","Brasil","Espírito Santo","Mantenopolis",NA,"-41.115278",NA,"41W6'55''",NA,NA,"HUEFS0209040",NA,NA,"900","1800",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rosanae","Fabales"
"77","2019-07-03 08:47:17-03","CEPLAC","CEPEC","151619","S","Plantae",NA,"Flacourtiaceae",NA,NA,NA,"L. Kollmann","12521",NA,NA,NA,"Brasil","Espírito Santo","Mantenópolis",NA,"-41.1227989196777","-18.8624992370605",NA,NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"24010","auto",NA,NA,NA,NA,NA
"78","2019-12-20 18:46:35-03","UFSJ","HUFSJ","10568","S","Plantae",NA,"Malvaceae","Pseudobombax","Pseudobombax",NA,"Fontana, AP; Kollmann, L","7472","2012","09","25","Brasil","Espírito Santo","Mantenópolis",NA,"-41.088056","-18.898889","-41.088056","-18.898889","Arborea, ca. 4m. Repicola no sol. Frutos amarrnsados.","HUFSJ010568",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","2020-03-02 13:45:45-03","UFSC","FLOR","64280","PreservedSpecimen","Plantae",NA,"Oxalidaceae","Oxalis","Oxalis",NA,"Kollmann, L.; Fontana, A.P.","12508","2012","09","26","Brasil","Espírito Santo","Mantenópolis","São José.","-41.086944","-18.907778","41º5'13''W","18º54'28''S","Planta 80 cm, folhas vináceas na face abaxial, flores rosas","FLOR0064280","FLOR0064280",NA,"18","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oxalidales"
