"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","individualCount","geoFlag","recordNumber","minimumElevationInMeters","maximumElevationInMeters","class","infraspecificEpithet","continentOcean","preparationType","typeStatus","previousCatalogNumber","relatedCatalogItem"
"1","2020-03-04 15:24:29-03","UNESC","CRI","2592","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","fulgens","Nidularium fulgens","Lem.","R. Reitz","R. Reitz","1974","07","06","Brasil","Minas Gerais","Santa Bárbara","Caraça.","-43.415556","-19.96","43º24'56''W","19º57'36''S","Habito: epífita","CRI001892","CRI001892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","1191","S","Plantae","Bromeliaceae","Tillandsia","pohliana","Tillandsia pohliana","Mez",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2007","11","01","33136","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1353","S","Plantae","Cactaceae","Hatiora","salicornioides","Hatiora salicornioides","(Haw.) Britton & Rose",NA,"Juliana Ordones Rego;",NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça, Bocaina","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"33136","2","auto","ordones337",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1355","S","Plantae","Cactaceae","Rhipsalis","elliptica","Rhipsalis elliptica","G.Lindb. ex K.Schum.","Nygel Taylor","Juliana Ordones Rego;",NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça,Padre Caio","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"33136","2","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","174","S","Plantae","Bromeliaceae","Aechmea","lamarchei","Aechmea lamarchei","Mez","Elton. C. M. Leme","Elton M. C. Leme; Luiz Cláudio Marigo; T. Lineham; S. Smith","1990","04","24","Brasil","Minas Gerais","Santa Bárbara","Parque Nacional do Caraça. Caminho para a cascatona","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2011","08",NA,"33136","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","1161","S","Plantae","Bromeliaceae","Aechmea","lamarchei","Aechmea lamarchei","Mez",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça / Cascatona","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2008","07","21","33136","2","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","1196","S","Plantae","Bromeliaceae","Billbergia","elegans","Billbergia elegans","Mart. ex Schult. & Schult.f.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça - Cascatona","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2008","07","21","33136","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2576","S","Plantae","Solanaceae","Capsicum","sp.","Capsicum sp.",NA,"João Renato Stehmann","Juliana Ordones Rego; Jão Renato, Clemens, Flávia","2013","03","19","Brasil","Minas Gerais","Santa Bárbara","Serra do Caraça, Caminho para a Capelinha","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Solanales","2013","03","19","33136",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2577","S","Plantae","Solanaceae","Capsicum","sp.","Capsicum sp.",NA,"João Renato Stehmann","Juliana Ordones Rego; Jão Renato, Clemens, Flávia","2013","03","19","Brasil","Minas Gerais","Santa Bárbara","Serra do Caraça, Caminho para a Capelinha","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Solanales","2013","03","19","33136","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1354","S","Plantae","Cactaceae","Cipocereus","laniflorus","Cipocereus laniflorus","N.P.Taylor & Zappi.","Nygel Taylor","Juliana Ordones Rego;",NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça, Campo de Fora","-43.4152984619141","-19.959400177002","43º31'25","20º 06' 49","254",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"33136","3","auto",NA,"1235","1235",NA,NA,NA,NA,NA,NA,NA
"11","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1357","S","Plantae","Cactaceae","Cipocereus","laniflorus","Cipocereus laniflorus","N.P.Taylor & Zappi.","Nygel Taylor","Juliana Ordones Rego;",NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça, Cascatona","-43.4152984619141","-19.959400177002","45º31'25","22º 06' 49","254",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"33136","1","auto",NA,"1235","1235",NA,NA,NA,NA,NA,NA,NA
"12","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1250","S","Plantae","Bromeliaceae","Cryptanthus","caracensis","Cryptanthus caracensis","Leme & E. Gross",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2008","07","21","33136","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1190","S","Plantae","Bromeliaceae","Cryptanthus","glazioui","Cryptanthus glazioui","Mez.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça - Padre Caio/Cascatona","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Poales",NA,NA,NA,"33136","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","595","S","Plantae","Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","(Baker) Leme et al.","Elton. C. M. Leme","Elton M. C. Leme;","2001","07","27","Brasil","Minas Gerais","Santa Bárbara","Parque Natural do Caraça, Bocaina (depressão)","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2011","08",NA,"33136",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","3306","S","Plantae","Bromeliaceae","Eduandrea","selloana","Eduandrea selloana","(Baker) Leme et al.",NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça - Bocaina","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2008","06","10","33136","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1366","S","Plantae","Cactaceae","Hatiora","salicornioides","Hatiora salicornioides","(Haw.) Britton & Rose","Nygel Taylor","Juliana Ordones Rego;",NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça, Padre Caio","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"33136","2","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1149","S","Plantae","Bromeliaceae","Neoregelia","bahiana","Neoregelia bahiana","(Ule) L.B.Sm.","Elton C. M. Leme",NA,NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2007","11","01","33136","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","594","S","Plantae","Bromeliaceae","Nidularium","linehamii","Nidularium linehamii","Leme","Elton. C. M. Leme","Elton M. C. Leme;","2001","07","27","Brasil","Minas Gerais","Santa Bárbara","Parque Natural do Caraça, Cascatinha","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2011","08",NA,"33136","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","1019","S","Plantae","Araceae","Philodendron","sp.","Philodendron sp.",NA,NA,"Juliana Ordones Rego;","2001",NA,NA,"Brasil","Minas Gerais","Santa Bárbara",NA,"-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Alismatales",NA,NA,NA,"33136",NA,"auto","Ordones80",NA,NA,"Equisetopsida",NA,NA,NA,NA,NA,NA
"20","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","172","S","Plantae","Bromeliaceae","Quesnelia","indecora","Quesnelia indecora","Mez","Elton. C. M. Leme","Elton M. C. Leme; Luiz Cláudio Marigo; T. Lineham; S. Smith","1990","04","24","Brasil","Minas Gerais","Santa Bárbara","Parque Nacional do Caraça, Cascatinha","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2009","05",NA,"33136",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","173","S","Plantae","Bromeliaceae","Quesnelia","indecora","Quesnelia indecora","Mez","Elton. C. M. Leme","Elton M. C. Leme; Luiz Cláudio Marigo; T. Lineham; S. Smith","1990","04","24","Brasil","Minas Gerais","Santa Bárbara","Parque Nacional do Caraça, Cascatinha","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Poales","2011","08",NA,"33136","2","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1359","S","Plantae","Cactaceae","Rhipsalis","floccosa","Rhipsalis floccosa subsp. pulvinigera (g.lindb.) barthlott & n.p.taylor","Salm-Dyck ex Pfeiff.","Nygel Taylor","Juliana Ordones Rego;",NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","RPPN Caraça, Padre Caio","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Caryophyllales",NA,NA,NA,"33136","1","auto",NA,NA,NA,NA,"subsp. pulvinigera (g.lindb.) barthlott & n.p.taylor",NA,NA,NA,NA,NA
"23","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2574","S","Plantae","Solanaceae","Solanum","graveolens","Solanum graveolens","Bunbury.","João Renato Stehmann","Juliana Ordones Rego; Jão Renato, Clemens, Flávia","2013","03","19","Brasil","Minas Gerais","Santa Bárbara","Serra do Caraça, Caminho para o Tanque Grande","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Solanales","2013","03","19","33136",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2575","S","Plantae","Solanaceae","Solanum","graveolens","Solanum graveolens","Bunbury.","João Renato Stehmann","Juliana Ordones Rego; Jão Renato, Clemens, Flávia","2013","03","19","Brasil","Minas Gerais","Santa Bárbara","Serra do Caraça, Caminho para o Tanque Grande","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Solanales","2013","03","19","33136",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","2578","S","Plantae","Melastomataceae","Tibouchina","heteromalla","Tibouchina heteromalla","(D.Don) Cogn.","Juliana Ordones","Juliana Ordones Rego; Jão Renato, Clemens, Flávia","2013","03","19","Brasil","Minas Gerais","Santa Bárbara","Serra do Caraça, Caminho para o Tanque Grande","-43.4152984619141","-19.959400177002",NA,NA,"254",NA,NA,"Magnoliophyta","Myrtales","2013","03","19","33136","1","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-12-16 18:14:13-03","NYBG","NYBG","00942531","PreservedSpecimen","Plantae","Malvaceae","Pavonia","viscosa","Pavonia viscosa","A.St.-Hil.","A. Rapini","A. Rapini","1997","05","23","Brazil","Minas Gerais","Santa Bárbara","Serra do Caraça. Trilha do Pico do Carapuça.","-43.4153","-19.9594","-43.4153","-19.9594","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1049019 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00942531","NY00942531","Magnoliophyta","Malvales","1997",NA,NA,NA,NA,NA,"293",NA,NA,NA,NA,"South America","sheet",NA,NA,NA
"27","2019-12-16 19:15:18-03","NYBG","NYBG","1039040","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","recurvata","Pecluma recurvata","(Kaulf.) M.G.Price",NA,"J. P. Condack","2004","04","22","Brazil","Minas Gerais","Santa Bárbara do Monte Verde","Serra Negra - Fazenda Três Cruzes - Chapadão.","-43.8308","-21.9653","-43.8308","-21.9653","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1479478 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039040","NY01039040","Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,"121","1200","1200",NA,NA,"South America","sheet",NA,NA,NA
"28","2019-12-16 18:08:03-03","NYBG","NYBG","00916329","PreservedSpecimen","Plantae","Malpighiaceae","Peixotoa","tomentosa","Peixotoa tomentosa","A.Juss.","A. Rapini","R. de Mello-Silva","1997","05","22","Brazil","Minas Gerais","Santa Bárbara","Serra do Caraça. Estrada para o Tanque Grande.","-43.4153","-19.9594","-43.4153","-19.9594","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987133 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00916329","NY00916329","Magnoliophyta","Malpighiales","1997",NA,NA,NA,NA,NA,"1331","1260","1260",NA,NA,"South America","sheet",NA,NA,NA
"29","2019-12-16 16:39:42-03","NYBG","NYBG","02478927","PreservedSpecimen","Plantae","Lycopodiaceae","Phlegmariurus","pungentifolius","Phlegmariurus pungentifolius","(Silveira) B.Øllg.",NA,"P. H. Labiak E.","2013","02","05","Brazil","Minas Gerais","Santa Bárbara","Parque Natural do Caraça. Trilha para os Campos de Fora.","-43.561","-20.101","-43.561","-20.101","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2690314 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02478927","NY02478927","Lycopodiophyta","Lycopodiales",NA,NA,NA,NA,NA,NA,"5439","1300","1300",NA,NA,"South America","sheet",NA,NA,NA
"30","2019-12-16 19:15:33-03","NYBG","NYBG","925067","PreservedSpecimen","Plantae","Polypodiaceae","Pleopeltis","desvauxii","Pleopeltis desvauxii",NA,NA,"F. C. Hoehne","1921","01","21","Brazil","Minas Gerais","Santa Bárbara",NA,"-43.4153","-19.9594","-43.4153","-19.9594","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994249 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00925067","NY00925067","Pteridophyta","Polypodiales","2014","07","16",NA,NA,NA,"5072",NA,NA,NA,NA,"South America","sheet",NA,NA,NA
"31","2019-12-16 19:15:33-03","NYBG","NYBG","1039032","PreservedSpecimen","Plantae","Polypodiaceae","Pleopeltis","macrocarpa","Pleopeltis macrocarpa","(Willd.) Kaulf.",NA,"J. P. Condack","2004","04","22","Brazil","Minas Gerais","Santa Bárbara do Monte Verde","Serra Negra - Fazenda Três Cruzes - Chapadão.","-43.8308","-21.9653","-43.8308","-21.9653","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1479455 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039032","NY01039032","Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,"112","1200","1200",NA,NA,"South America","sheet",NA,NA,NA
"32","2019-12-16 17:32:54-03","NYBG","NYBG","00846689","PreservedSpecimen","Plantae","Polygalaceae","Polygala","cuspidata","Polygala cuspidata","DC.","J. F. B. Pastore","H. de F. Leitão Filho","1978","12","13","Brazil","Minas Gerais","Santa Bárbara","Serra da Caraça","-43.4153","-19.9594","-43.4153","-19.9594","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=927071 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00846689","NY00846689","Magnoliophyta","Fabales","2006","09",NA,NA,NA,NA,"9681",NA,NA,NA,NA,"South America","sheet",NA,NA,NA
"33","2019-12-16 17:33:09-03","NYBG","NYBG","634592","PreservedSpecimen","Plantae","Polygalaceae","Polygala","glochidiata","Polygala glochidiata","Kunth","J. J. Wurdack","H. S. Irwin","1971","02","02","Brazil","Minas Gerais","Santa Bárbara","Ca 3 km N of Mariana, road to Santa Barbara","-43.4153","-19.9594","-43.4153","-19.9594","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=580298 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00634592","NY00634592","Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,"29683","1500","1500",NA,NA,"South America","sheet",NA,NA,NA
"34","2019-12-16 17:33:11-03","NYBG","NYBG","00846680","PreservedSpecimen","Plantae","Polygalaceae","Polygala","paniculata","Polygala paniculata","L.","J. F. B. Pastore","H. de F. Leitão Filho","1978","12","13","Brazil","Minas Gerais","Santa Bárbara","Serra da Caraça","-43.4153","-19.9594","-43.4153","-19.9594","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=927036 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00846680","NY00846680","Magnoliophyta","Fabales","2006","09",NA,NA,NA,NA,"9670",NA,NA,NA,NA,"South America","sheet",NA,NA,NA
"35","2019-12-16 19:15:34-03","NYBG","NYBG","1039037","PreservedSpecimen","Plantae","Polypodiaceae","Polypodium","aureum","Polypodium aureum","L.",NA,"J. P. Condack","2004","04","22","Brazil","Minas Gerais","Santa Bárbara do Monte Verde","Serra Negra - Fazenda Três Cruzes - Chapadão.","-43.8308","-21.9653","-43.8308","-21.9653","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1479472 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039037","NY01039037","Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,"118","1200","1200",NA,NA,"South America","sheet",NA,NA,NA
"36","2019-12-16 19:15:36-03","NYBG","NYBG","1039034","PreservedSpecimen","Plantae","Polypodiaceae","Polypodium","hirsutissimum","Polypodium hirsutissimum","Raddi",NA,"J. P. Condack","2004","04","22","Brazil","Minas Gerais","Santa Bárbara do Monte Verde","Serra Negra - Fazenda Três Cruzes - Chapadão.","-43.8308","-21.9653","-43.8308","-21.9653","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1479460 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039034","NY01039034","Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,"114","1200","1200",NA,NA,"South America","sheet",NA,NA,NA
"37","2019-12-16 18:53:25-03","NYBG","NYBG","929424","PreservedSpecimen","Plantae","Burseraceae","Protium","brasiliense","Protium brasiliense",NA,"D. C. Daly","M. L. Kawasaki","1995","10","11","Brazil","Minas Gerais","Santa Bárbara","Serra do Caraça. Próximo a riacho.","-43.4153","-19.9594","-43.4153","-19.9594","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1048031 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00929424","NY00929424","Magnoliophyta","Sapindales","1999",NA,NA,NA,NA,NA,"864","1200","1200",NA,NA,"South America","sheet",NA,NA,NA
"38","2019-12-16 16:25:36-03","NYBG","NYBG","01126981","PreservedSpecimen","Fungi","Trypetheliaceae","Pseudopyrenula","diluta","Pseudopyrenula diluta diluta","(Fée) Müll.Arg.",NA,"R. C. Harris","1994","10","23","Brazil","Minas Gerais","Santa Bárbara","Serra do Espinhaço, Parque Natural do Caraça, along trail from Santuário do Caraça to Cascatona","-43.5","-20.02","-43.50","-20.02","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1266901 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01126981",NA,"Ascomycota","Trypetheliales","2019","05","13",NA,NA,NA,"35197","1300","1300","Dothideomycetes","diluta","South America","packeted",NA,NA,NA
"39","2019-12-16 16:25:36-03","NYBG","NYBG","04000051","PreservedSpecimen","Fungi","Trypetheliaceae","Pseudopyrenula","diluta","Pseudopyrenula diluta diluta","(Fée) Müll.Arg.",NA,"R. C. Harris","1994","10","23","Brazil","Minas Gerais","Santa Bárbara","Serra do Espinhaço, Parque Natural do Caraça, along trail from Santuário do Caraça to Cascatona","-43.5","-20.02","-43.50","-20.02","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4373550 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY04000051",NA,"Ascomycota","Trypetheliales","2019","05","13",NA,NA,NA,"35126-A","1300","1300","Dothideomycetes","diluta","South America","packeted",NA,NA,NA
"40","2019-12-16 17:42:59-03","NYBG","NYBG","502441","PreservedSpecimen","Plantae","Rubiaceae","Psyllocarpus","asparagoides","Psyllocarpus asparagoides","Mart. & Zucc.",NA,"V. C. Souza","1994","01","16","Brazil","Minas Gerais","Santa Bárbara","Parque Natural do Caraça. Arrededores da Cascantinha","-43.45","-20.12","-43.45","-20.12","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=607461 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00502441","NY00502441","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,"South America","sheet",NA,NA,NA
"41","2019-12-16 18:08:03-03","NYBG","NYBG","00916352","PreservedSpecimen","Plantae","Malpighiaceae","Pterandra","pyroidea","Pterandra pyroidea","A.Juss.","W. R. Anderson","L. Duarte","1966","11","04","Brazil","Minas Gerais","Santa Bárbara","Estr. Rio Acima, Fazenda Gandarela.","-43.4153","-19.9594","-43.4153","-19.9594","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987358 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00916352","NY00916352","Magnoliophyta","Malpighiales","1974",NA,NA,NA,NA,NA,"990",NA,NA,NA,NA,"South America","sheet",NA,NA,NA
"42","2019-12-16 18:32:18-03","NYBG","NYBG","00923092","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","dichotoma","Qualea dichotoma",NA,NA,"N. D. d. Cruz","1977","11","18","Brazil","Minas Gerais","Santa Bárbara","Serra da Caraça","-43.4153","-19.9594","-43.4153","-19.9594","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004216 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00923092","NY00923092","Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,"6377",NA,NA,NA,NA,"South America","sheet",NA,NA,NA
"43","2019-12-16 16:38:15-03","NYBG","NYBG","01127019","PreservedSpecimen","Plantae","Rhizogoniaceae","Rhizogonium","lindigii","Rhizogonium lindigii","(Hampe) Mitt.",NA,"W. R. Buck","1994","10","22","Brazil","Minas Gerais","Santa Bárbara","Serra do Espinhaço, Parque Natural do Caraça, along trail from Santuário do Caraça to Pico da Carapuça, Gruta de N. Sa. de Lourdes","-43.5","-20.03","-43.50","-20.03","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1276587 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01127019",NA,"Bryophyta",NA,NA,NA,NA,NA,NA,NA,"26639","1300","1460",NA,NA,"South America","packeted",NA,NA,NA
"44","2019-12-16 18:41:03-03","NYBG","NYBG","00939013","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","rigida","Rhynchospora rigida","(Kunth) Boeckeler","W. W. Thomas","S. Eliasaro","1985","11","20","Brazil","Minas Gerais","Santa Bárbara","Parq. Nat. Caraça.","-43.4153","-19.9594","-43.4153","-19.9594","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=939654 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00939013","NY00939013","Magnoliophyta","Poales","1997",NA,NA,NA,NA,NA,"27",NA,NA,NA,NA,"South America","sheet",NA,NA,NA
"45","2019-12-16 18:41:19-03","NYBG","NYBG","00939156","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","stolonifera","Rhynchospora stolonifera","(Nees) Boeckeler","R. Gross","F. C. Hoehne","1921","01","19","Brazil","Minas Gerais","Santa Bárbara",NA,"-43.4153","-19.9594","-43.4153","-19.9594","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=955298 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00939156","NY00939156","Magnoliophyta","Poales",NA,NA,NA,NA,NA,NA,"5054",NA,NA,NA,NA,"South America","sheet",NA,NA,NA
"46","2019-12-16 19:14:39-03","NYBG","NYBG","1039030","PreservedSpecimen","Plantae","Dryopteridaceae","Rumohra","adiantiformis","Rumohra adiantiformis","(G.Forst.) Ching",NA,"J. P. Condack","2004","04","22","Brazil","Minas Gerais","Santa Bárbara do Monte Verde","Serra Negra - Fazenda Três Cruzes - Chapadão.","-43.8308","-21.9653","-43.8308","-21.9653","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1479433 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039030","NY01039030","Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,"109","1200","1200",NA,NA,"South America","sheet",NA,NA,NA
"47","2019-12-16 19:14:39-03","NYBG","NYBG","1039038","PreservedSpecimen","Plantae","Dryopteridaceae","Rumohra","adiantiformis","Rumohra adiantiformis","(G.Forst.) Ching",NA,"J. P. Condack","2004","04","22","Brazil","Minas Gerais","Santa Bárbara do Monte Verde","Serra Negra - Fazenda Três Cruzes - Chapadão.","-43.8308","-21.9653","-43.8308","-21.9653","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1479473 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01039038","NY01039038","Pteridophyta","Polypodiales",NA,NA,NA,NA,NA,NA,"119","1200","1200",NA,NA,"South America","sheet",NA,NA,NA
