"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","individualCount","geoFlag","recordNumber","minimumElevationInMeters","maximumElevationInMeters","class","infraspecificEpithet","continentOcean","preparationType","typeStatus","previousCatalogNumber","relatedCatalogItem"
"7416","2019-11-21 10:05:17-03","IBt","SP","4858","S","Plantae","Fabaceae","Chamaecrista","trichopoda","Chamaecrista trichopoda","(Benth.) Britton & Rose ex Britton & Killip","Mamede, MCH","Hoehne, FC","1921","01","10","Brasil","Minas Gerais","Santa Bárbara","Campo ourifero cavadol","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,"2007","06",NA,"33136",NA,"auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7417","2019-11-21 10:06:34-03","IBt","SP","38033","S","Plantae","Fabaceae","Senna","multijuga","Senna multijuga","(Rich.) H.S.Irwin & Barneby","Mamede, MCH","Mello Barreto","1933","04","12","Brasil","Minas Gerais","Santa Bárbara","Campo sujo, Santa Bárbara","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,"2007","06",NA,"33136",NA,"auto","5897",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7418","2019-11-21 10:06:43-03","IBt","SP","37764","S","Plantae","Fabaceae","Stylosanthes","guianensis","Stylosanthes guianensis","(Aubl.) Sw.","Gehrt, A","Sampaio, A","1934","02","11","Brasil","Minas Gerais","Santa Bárbara","Capoeira","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33136",NA,"auto","7056",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7419","2019-11-21 10:10:43-03","IBt","SP","38485","S","Plantae","Melastomataceae","Tibouchina","semidecandra","Tibouchina semidecandra","(Schrank & Mart. ex DC.) Cogn.","Wurdack, JJ","Mello Barreto","1933","04","15","Brasil","Minas Gerais","Santa Bárbara","Caraça","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,"1964","08",NA,"33136",NA,"auto","6889",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7420","2019-11-21 10:10:29-03","IBt","SP","38609","S","Plantae","Melastomataceae","Pleroma","oleifolia","Pleroma oleifolia","(DC.) R.Romero & Versiane","Versiane, AFA","Mello Barreto","1933","04","14","Brasil","Minas Gerais","Santa Bárbara","Caraça","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,"2014",NA,NA,"33136",NA,"auto","6865",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7421","2019-11-21 10:02:44-03","IBt","SP","44726","S","Plantae","Bromeliaceae","Quesnelia","indecora","Quesnelia indecora","Mez","Forzza, RC","Foster, M; Foster, RC","1940","07","22","Brasil","Minas Gerais","Santa Bárbara","Caraça","-43.4152984619141","-19.959400177002",NA,NA,NA,"SP052566","SP052566",NA,NA,"2005",NA,NA,"33136",NA,"auto","682",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7422","2019-11-21 10:02:51-03","IBt","SP","44728","S","Plantae","Bromeliaceae","Vriesea","clausseniana","Vriesea clausseniana","(Baker) Mez","Smith, LB","Foster, M; Foster, R","1940","07","22","Brasil","Minas Gerais","Santa Bárbara","Caraça","-43.4152984619141","-19.959400177002",NA,NA,NA,"SP053350","SP053350",NA,NA,"1952","02",NA,"33136",NA,"auto","688",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7423","2019-11-21 10:02:44-03","IBt","SP","44727","S","Plantae","Bromeliaceae","Tillandsia","gardneri","Tillandsia gardneri","Lindl.","Smith, LB","Foster, M; Foster, RC","1940","07","22","Brasil","Minas Gerais","Santa Bárbara","Caraça","-43.4152984619141","-19.959400177002",NA,NA,NA,"SP052840","SP052840",NA,NA,"1952","02",NA,"33136",NA,"auto","687",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7424","2019-11-21 10:13:27-03","IBt","SP","442212","S","Plantae","Orchidaceae","Habenaria","pubidactyla","Habenaria pubidactyla","J.A.N.Bat. & Bianch.","Batista, JAN","Batista, JAN; Mota, RC","2003","12","15","Brasil","Minas Gerais","Santa Bárbara","Caraça, Campo de Fora. Ca. 7 km SO do santuário. Área à direita da trilha, após atingir o Campo de Fora e continuar percorrendo a trilha atravessando um pequeno capão de mata, mais ou menos após o ponto em que a trilha corta um curso d'água que forma","-43.4152984619141","-19.959400177002",NA,NA,"ERva terrestre, em campo limpo estacionalmente úmido em baixada, em campo limpo seco e em campo rupestre. Ocasional; observados no total ca. de 15 exemplares esparsos por uma grande área. Em plena floração. Brácteas e ovário verdes. Sép","SP002163","SP002163",NA,NA,"2003","12",NA,"33136",NA,"auto","1462",NA,NA,NA,NA,NA,NA,"Isotype",NA,NA
"7425","2019-11-21 10:08:46-03","IBt","SP","276339","S","Plantae","Malpighiaceae","Heteropterys","byrsonimifolia","Heteropterys byrsonimifolia","A.Juss.","Mamede, MCH","Attala, NC","1988","10","06","Brasil","Minas Gerais","Santa Bárbara","Caraça, estrada antes de chegar ao colégio","-43.4152984619141","-19.959400177002",NA,NA,NA,"SP017887",NA,NA,NA,"2003",NA,NA,"33136",NA,"auto","60",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7426","2019-11-21 10:08:35-03","IBt","SP","444571","S","Plantae","Malpighiaceae","Byrsonima","variabilis","Byrsonima variabilis","A.Juss.","Mamede, MCH","Marcondes Ferreira, W; Semir, J; Martins, AB; Miotto, S; Queiróz, LP; Martins, EF; Silveira, L","1990","03","14","Brasil","Minas Gerais","Santa Bárbara","Colégio do Caraça, caminho da Cachoeirinha","-43.4152984619141","-19.959400177002",NA,NA,NA,"SP010307","SP010307",NA,NA,"2009","10",NA,"33136",NA,"auto","185",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7427","2019-11-21 10:13:51-03","IBt","SP","9474","S","Plantae","Orchidaceae","Stanhopea","guttulata","Stanhopea guttulata","Lindl.","Hoehne, FC","Hoehne, FC",NA,NA,NA,"Brasil","Minas Gerais","Santa Bárbara","Cultivada em São Paulo","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33136",NA,"auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7428","2019-11-21 10:17:43-03","IBt","SP","397210","S","Plantae","Rubiaceae","Cordiera",NA,"Cordiera",NA,"Zappi, D","Mendes Magalhães, G","1943","02","04","Brasil","Minas Gerais","Santa Bárbara","Entre Catas Altas e Santa Rita","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,NA,NA,NA,"2012","10",NA,"33136",NA,"auto","5769",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7429","2019-11-21 10:07:57-03","IBt","SP","232460","S","Plantae","Malpighiaceae","Banisteriopsis","malifolia","Banisteriopsis malifolia malifolia","(Nees & Mart.) B.Gates","Mamede, MCH","Stehmann, JR; Pedralli, G","1987","09","29","Brasil","Minas Gerais","Santa Bárbara","EPDA de Peti, CEMIG","-43.4152984619141","-19.959400177002",NA,NA,"Arbusto, pétalas rosadas","SP012921",NA,NA,NA,"1989","03","15","33136",NA,"auto","s.n.",NA,NA,NA,"malifolia",NA,NA,NA,NA,NA
"7430","2019-11-21 10:08:58-03","IBt","SP","232481","S","Plantae","Malpighiaceae","Heteropterys","umbellata","Heteropterys umbellata","A.Juss.","Mamede, MCH","Stehmann, JR; Pedralli, G","1987","09","29","Brasil","Minas Gerais","Santa Bárbara","EPDA de PETI - CEMIG","-43.4152984619141","-19.959400177002",NA,NA,NA,"SP019258",NA,NA,NA,"1989","03","15","33136",NA,"auto","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7431","2019-11-21 10:08:43-03","IBt","SP","363702","S","Plantae","Malpighiaceae","Diplopterys","pubipetala","Diplopterys pubipetala","(A.Juss.) W.R.Anderson & C.C.Davis","Mamede, MCH","Stehmann, JR; França, GS","2002","09","26","Brasil","Minas Gerais","Santa Bárbara","Estação Ambiental de Peti","-43.4152984619141","-19.959400177002",NA,NA,NA,"SP017479",NA,NA,NA,"2006","10","27","33136",NA,"auto","3104","585","585",NA,NA,NA,NA,NA,NA,NA
