"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","specificEpithet","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","class","order","infraspecificEpithet"
"62","2019-09-13 12:00:17-03","UFVJM","HDJF","4218","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Myrcia","Myrcia","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6259","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.305556","-19.318889","-43.305556","-19.318889","775","775",NA,"HDJF004218","HDJF004218_01",NA,"DC.",NA,NA,NA,NA,NA,NA,NA
"63","2019-09-13 12:00:17-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Myrcia","Myrcia","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6259","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.305556","-19.318889","-43.305556","-19.318889","775","775",NA,NA,NA,NA,"DC.",NA,NA,NA,NA,NA,NA,NA
"64","2019-09-13 12:00:17-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Myrcia","Myrcia","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6259","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.305556","-19.318889","-43.305556","-19.318889","775","775",NA,NA,NA,NA,"DC.",NA,NA,NA,NA,NA,NA,NA
"65","2019-09-13 12:00:17-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Myrcia","Myrcia","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6259","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.305556","-19.318889","-43.305556","-19.318889","775","775",NA,NA,NA,NA,"DC.",NA,NA,NA,NA,NA,NA,NA
"66","2019-12-19 09:39:14-03","UFVJM","HDJF","4214","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Myrciaria","Myrciaria cuspidata","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6255","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.296667","-19.309722","-43.296667","-19.309722","697","697",NA,"HDJF004214","HDJF004214_01","cuspidata","O. Berg","Faria, JEQ","2016","07",NA,NA,NA,NA
"67","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Myrciaria","Myrciaria cuspidata","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6255","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.296667","-19.309722","-43.296667","-19.309722","697","697",NA,NA,NA,"cuspidata","O. Berg","Faria, JEQ","2016","07",NA,NA,NA,NA
"68","2019-12-19 09:39:14-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Myrciaria","Myrciaria cuspidata","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6255","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.296667","-19.309722","-43.296667","-19.309722","697","697",NA,NA,NA,"cuspidata","O. Berg","Faria, JEQ","2016","07",NA,NA,NA,NA
"69","2019-09-13 12:00:21-03","UFVJM","HDJF","4215","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Psidium","Psidium cupreum","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6256","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.296667","-19.309722","-43.296667","-19.309722","697","697",NA,"HDJF004215","HDJF004215_01","cupreum","O. Berg","Faria, JEQ","2016","07",NA,NA,NA,NA
"70","2019-09-13 12:00:21-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Psidium","Psidium cupreum","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6256","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.296667","-19.309722","-43.296667","-19.309722","697","697",NA,NA,NA,"cupreum","O. Berg","Faria, JEQ","2016","07",NA,NA,NA,NA
"71","2019-09-13 12:00:21-03","UFVJM","HDJF","4221","PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Psidium","Psidium myrtoides","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6262","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.325833","-19.34","-43.325833","-19.34","874","874",NA,"HDJF004221","HDJF004221_01","myrtoides","O. Berg","Faria, JEQ","2016","07",NA,NA,NA,NA
"72","2019-09-13 12:00:21-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Psidium","Psidium myrtoides","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6262","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.325833","-19.34","-43.325833","-19.34","874","874",NA,NA,NA,"myrtoides","O. Berg","Faria, JEQ","2016","07",NA,NA,NA,NA
"73","2019-09-13 12:00:21-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Myrtaceae","Psidium","Psidium myrtoides","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6262","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.325833","-19.34","-43.325833","-19.34","874","874",NA,NA,NA,"myrtoides","O. Berg","Faria, JEQ","2016","07",NA,NA,NA,NA
"74","2019-09-13 12:00:00-03","UFVJM","HDJF","4219","PreservedSpecimen","Plantae","Dicotyledoneae","Malvaceae","Waltheria","Waltheria","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6260","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.305556","-19.318889","-43.305556","-19.318889","775","775",NA,"HDJF004219","HDJF004219_01",NA,"L.",NA,NA,NA,NA,NA,NA,NA
"75","2019-09-13 11:59:58-03","UFVJM","HDJF",NA,"PreservedSpecimen","Plantae","Dicotyledoneae","Malvaceae","Waltheria","Waltheria","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6260","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.305556","-19.318889","-43.305556","-19.318889","775","775",NA,NA,NA,NA,"L.",NA,NA,NA,NA,NA,NA,NA
"76","2019-01-25 15:44:09-02","IAC","IAC","45634","S","Plantae",NA,"Passifloraceae-3.Passifloroideae","Passiflora","Passiflora speciosa","E.F. Souto; L.C. Bernacci; F.C. Campos Neto; N.C. Oliveira & V. Luna","5134","2005","03","04",NA,"Brasil","Minas Gerais","São Sebastião do Rio Preto","Estrada Real, Itambé do Mato Dentro para Morro do Pilar","-43.305944","-19.317889","-43.305944","-19.317889",NA,NA,"19o 19#?# 04.4S, 43o 18#?# 21.4W",NA,NA,"speciosa","Gardner","E.F. Souto et al.","2005","03","04",NA,NA,NA
"77","2017-06-02 14:27:36-03","UnB","UB",NA,"S","Plantae","Dicotyledoneae","Myrtaceae","Myrcia","Myrcia","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6259","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.305556","-19.318889","-43.305556","-19.318889","775","775","Arbusto ca. 1,8 m de altura, botões florais verdes; Campo rupestre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","2017-06-02 14:27:37-03","UnB","UB",NA,"S","Plantae","Dicotyledoneae","Myrtaceae","Myrciaria","Myrciaria cuspidata","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6255","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.296667","-19.309722","-43.296667","-19.309722","697","697","Arvoreta ca. 2,5 m de altura, Caule liso, botões florais verdes, flores brancas e frutos imaturos verdes; Floresta estacional semidecidual",NA,NA,"cuspidata","O. Berg","Faria, JEQ","2016","07",NA,NA,NA,NA
"79","2017-06-02 14:27:37-03","UnB","UB",NA,"S","Plantae","Dicotyledoneae","Myrtaceae","Psidium","Psidium myrtoides","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6262","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.325833","-19.34","-43.325833","-19.34","874","874","Árvore ca. 4 m de altura, caule rugoso, botões florais verdes e flores brancas; Campo sujo",NA,NA,"myrtoides","O. Berg","Faria, JEQ","2016","07",NA,NA,NA,NA
"80","2017-06-02 14:27:37-03","UnB","UB",NA,"S","Plantae","Dicotyledoneae","Myrtaceae","Psidium","Psidium rufum","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6256","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.296667","-19.309722","-43.296667","-19.309722","697","697","Árvore ca. 4 m de altura, caule liso, frutos imaturos verdes; Floresta estacional semidecidual",NA,NA,"rufum","Mart. ex DC.","Faria, JEQ","2016","07",NA,NA,NA,NA
"81","2017-06-02 14:27:13-03","UnB","UB",NA,"S","Plantae","Dicotyledoneae","Malvaceae","Waltheria","Waltheria","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6260","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.305556","-19.318889","-43.305556","-19.318889","775","775","Arbusto ca. 1,2 m de altura, flores amarelas; Campo rupestre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","2017-06-02 14:26:29-03","UnB","UB",NA,"S","Plantae","Dicotyledoneae","Ericaceae","Agarista","Agarista","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6264","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.326944","-19.346111","-43.326944","-19.346111","931","931","Arbusto ca. 1,7 m de altura, botões florais vermelhos; Campo rupestre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","2017-06-02 14:27:14-03","UnB","UB",NA,"S","Plantae","Dicotyledoneae","Myrtaceae","Campomanesia","Campomanesia hirsuta","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6258","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.296667","-19.309722","-43.296667","-19.309722","697","697","Árvore ca. 5 m de altura, caule com ritidoma esfoliante, frutos imaturos verdes; Floresta estacional semidecidual",NA,NA,"hirsuta","Gardner","Faria, JEQ","2016","07",NA,NA,NA,NA
"84","2017-06-02 14:27:36-03","UnB","UB",NA,"S","Plantae","Dicotyledoneae","Myrtaceae","Eugenia","Eugenia punicifolia","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6261","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.325833","-19.34","-43.325833","-19.34","874","874","Arbusto ca. 2 m de alturaa, botões florais verdes e flores brancas; Campo sujo",NA,NA,"punicifolia","(Kunth) DC.","Faria, JEQ","2016","07",NA,NA,NA,NA
"85","2017-06-02 14:27:36-03","UnB","UB",NA,"S","Plantae","Dicotyledoneae","Myrtaceae","Marlierea","Marlierea excoriata","Faria, JEQ; Vasconcelos, TNC; Stadnik, AMS","6257","2016","07","11","Southern America","Brasil","Minas Gerais","São Sebastião do Rio Preto","Margem da estrada de terra de Morro do Pilar para Itambé do Mato Dentro","-43.296667","-19.309722","-43.296667","-19.309722","697","697","Árvore ca. 4,5 m de altura, caule liso soltando finas placas de ritidoma, botões florais verdes; Floresta estacional semidecidual",NA,NA,"excoriata","Mart.","Faria, JEQ","2016","07",NA,NA,NA,NA
"86","2019-05-06 11:59:42-03","UFU","HUFU","76031","S","Plantae",NA,"Melastomataceae","Miconia","Miconia elegans","Gontijo, F.D.; Tameirão Neto, E. & Souza, D.T.","874","2014","08","25",NA,"Brasil","Minas Gerais","São Sebastião do Rio Preto",NA,"-43.303333","-19.349722","-43.303333","-19.349722","847","847","Arbustivo/Subarbustivo; Frutificação; Frutos avermelhados.; Floresta estacional semidecidual.","HUFU00073642","HUFU00073642","elegans","Cogn.","Romero, R.","2018","04",NA,NA,NA,NA
"87","2020-03-06 14:30:54-03","UFRGS","ICN","180974","S","Plantae","Dicotyledon","Onagraceae","Ludwigia","Ludwigia octovalvis octovalvis","Silva Filho, PJS; et al.","2132","2014","11","04","América do Sul","Brasil","MG","São Sebastião do Rio Preto",NA,"-43.285833","-19.291667","-43.285833","-19.291667",NA,NA,NA,NA,NA,"octovalvis","(Jacq.) P.H. Raven","Pesamosca, SC","2015","01",NA,NA,NA,"octovalvis"
"88","2019-10-14 18:17:24-03","UFRGS","ICN","180975","S","Plantae","Dicotyledon","Onagraceae","Ludwigia","Ludwigia octovalvis sessiliflora","Silva Filho, PJS; et al.","2133","2014","11","04","América do Sul","Brasil","MG","São Sebastião do Rio Preto",NA,"-43.285833","-19.291667","-43.285833","-19.291667",NA,NA,NA,NA,NA,"octovalvis","(Micheli) Raven","Pesamosca, SC","2015","01",NA,NA,NA,"sessiliflora"
