"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","class","order","specificEpithet","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","individualCount","geoFlag","scientificNameAuthorship","continentOcean","typeStatus","infraspecificEpithet","preparationType"
"633","2019-10-02 14:49:46-03","UFMG","BHCB","184860","PreservedSpecimen","Plantae","Asteraceae","Chromolaena","Chromolaena laevigata","Rezende, SG; Justo, AG","5520","2015","04","14","Brasil","Minas Gerais","Rio Acima","Rio do Peixe, Próximo a RPPN Capitão do Mato","-43.925","-20.140556","-43.925","-20.140556","1280","1350","Arbusto; Campo Sujo","BHCB184860",NA,"Dicotyledon",NA,NA,"laevigata",NA,NA,NA,NA,NA,NA,NA,"(Lam.) R.M.King & H.Rob.","Southern America",NA,NA,NA
"634","2019-10-02 14:49:46-03","UFMG","BHCB","118471","PreservedSpecimen","Plantae","Asteraceae","Chromolaena","Chromolaena multiflosculosa","Carmo, FF; Vasconcelos, MF de","1118","2007","10","11","Brasil","Minas Gerais","Rio Acima","Serra de Gandarela., C1.","-43.683056","-20.093889","-43.683056","-20.093889","1624","1624","Plantas do Brasil. Fendas e depressões na rocha; afloramento de canga. coordenada indicada na exsicata como 20.0537°S e 43.4059°W.",NA,NA,"Dicotyledon",NA,NA,"multiflosculosa",NA,NA,NA,NA,NA,NA,NA,"(DC.) R.M.King & H.Rob.","Southern America",NA,NA,NA
"635","2019-10-02 14:49:46-03","UFMG","BHCB","191388","PreservedSpecimen","Plantae","Asteraceae","Chromolaena","Chromolaena multiflosculosa","Vidal, CV","s.n.","2017","11","27","Brasil","Minas Gerais","Rio Acima",NA,"-43.677222","-20.101944","-43.677222","-20.101944","1600","1600","Campo Rupestre sobre Canga","BHCB191388",NA,"Dicotyledon",NA,NA,"multiflosculosa",NA,NA,NA,NA,NA,NA,NA,"(DC.) R.M.King & H.Rob.","Southern America",NA,NA,NA
"636","2019-10-02 14:49:49-03","UFMG","BHCB","180496","PreservedSpecimen","Plantae","Asteraceae","Chromolaena","Chromolaena squalida","Rezende, SG; Justo, AG","4857","2015","04","08","Brasil","Minas Gerais","Rio Acima","Região do Córrego Fazenda Velha","-44.341389","-20.241389","-44.341389","-20.241389","940","980","Arbustivo; Campo sujo",NA,NA,"Dicotyledon",NA,NA,"squalida",NA,"2015","04",NA,NA,NA,NA,"(DC.) R.M.King & H.Rob.","Southern America",NA,NA,NA
"637","2019-10-02 14:49:49-03","UFMG","BHCB","181531","PreservedSpecimen","Plantae","Asteraceae","Chromolaena","Chromolaena stachyophylla","Tameirão Neto, E; Mansur, T","5331","2013","07","16","Brasil","Minas Gerais","Rio Acima",NA,"-43.702903","-20.090481","-43.702903","-20.090481",NA,NA,"Subarbustivo; flores roxas; Campo limpo",NA,NA,"Dicotyledon",NA,NA,"stachyophylla",NA,"2015","04","13",NA,NA,NA,"(Spreng.) R.M.King & H.Rob.","Southern America",NA,NA,NA
"638","2019-10-02 14:49:49-03","UFMG","BHCB","151792","PreservedSpecimen","Plantae","Asteraceae","Chrysolaena","Chrysolaena","Mendes, MS","s.n.","2010","03","25","Brasil","Minas Gerais","Rio Acima","Bacia do córrego fazenda velha","-43.838056","-20.162222","-43.838056","-20.162222","1200","1200","Herbáceo; Campo sujo","BHCB034932",NA,"Dicotyledon",NA,NA,NA,NA,"2016","03",NA,NA,NA,NA,"H.Rob.","Southern America",NA,NA,NA
"639","2019-10-02 15:08:16-03","UFMG","BHCB","125414","PreservedSpecimen","Plantae","Poaceae","Chusquea","Chusquea pinifolia","Carmo, FF","3276","2008","05","26","Brasil","Minas Gerais","Rio Acima","Serra de Gandarela, C1","-43.683056","-20.093611","-43.683056","-20.093611","1624","1624","Em fendas e depressões na rocha. Afloramento de canga","BHCB019797",NA,"Monocotyledon",NA,NA,"pinifolia",NA,"2008","11","06",NA,NA,NA,"(Nees) Nees","Southern America",NA,NA,NA
"640","2019-10-02 14:59:35-03","UFMG","BHCB","145834","PreservedSpecimen","Plantae","Menispermaceae","Cissampelos","Cissampelos ovalifolia","Tameirão Neto, E; Mansur, T","4875","2010","05","07","Brasil","Minas Gerais","Rio Acima",NA,"-44.255608","-20.043475","-44.255608","-20.043475","1229","1300","Cerrado ralo rupestre",NA,NA,"Dicotyledon",NA,NA,"ovalifolia",NA,"2010","09",NA,NA,NA,NA,"DC.","Southern America",NA,NA,NA
"641","2019-10-02 14:53:49-03","UFMG","BHCB","176803","PreservedSpecimen","Plantae","Fabaceae","Cleobulia","Cleobulia","Paiva, JAM; Pivari, MOD; Tomich, S; Nascimento, L","80","2015","04","09","Brasil","Minas Gerais","Rio Acima","RPPN Andaime","-43.824167","-20.175","-43.824167","-20.175","983","983","Prensado no álcool; Erva escandente; ca. 0,80m alt; flor rosa; Campo Rupestre Quartzitico",NA,NA,"Dicotyledon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA
"642","2019-10-02 14:51:41-03","UFMG","BHCB","179361","PreservedSpecimen","Plantae","Brassicaceae","Cleome","Cleome rosea","Carmo, FF; Ribeiro, LC; Silva, ES","2317","2008","02","10","Brasil","Minas Gerais","Rio Acima","Serra da Gandarela","-43.683111","-20.093806","-43.683111","-20.093806","1624","1624","Coletada em borda de capão de canga.","BHCB035829",NA,"Dicotyledon",NA,NA,"rosea",NA,"2015","10","21",NA,NA,NA,"Vahl ex DC.","Southern America",NA,NA,NA
"643","2019-10-02 14:52:13-03","UFMG","BHCB","184943","PreservedSpecimen","Plantae","Clethraceae","Clethra","Clethra scabra","Rezende, SG; Justo, AG","5603","2015","04","16","Brasil","Minas Gerais","Rio Acima","Córrego Fazenda Velha, Região do Córrego Fazenda Velha","-43.801667","-20.143611","-43.801667","-20.143611","900","980","Árvore; Campo sujo","BHCB184943",NA,"Dicotyledon",NA,NA,"scabra",NA,NA,NA,NA,NA,NA,NA,"Pers.","Southern America",NA,NA,NA
"644","2019-10-02 14:52:13-03","UFMG","BHCB","196903","PreservedSpecimen","Plantae","Clethraceae","Clethra","Clethra scabra","Rezende, SG; Justo, AG","6604","2018","02","24","Brasil","Minas Gerais","Rio Acima","Serra do Gandarela","-43.682778","-20.11","-43.682778","-20.11","1330","1330","Arbóreo; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","BHCB196903",NA,"Dicotyledon",NA,NA,"scabra",NA,NA,NA,NA,NA,NA,NA,"Pers.","Southern America",NA,NA,NA
"645","2019-10-02 14:52:13-03","UFMG","BHCB","197911","PreservedSpecimen","Plantae","Clethraceae","Clethra","Clethra scabra","Rezende, SG; Justo, AG","6918","2018","09","04","Brasil","Minas Gerais","Rio Acima","Serra do Gandarela","-43.674444","-20.030278","-43.674444","-20.030278","1493","1493","Árvore; Floresta Estacional Semidecidual em Estágio Avançado de Regeneração","BHCB197911",NA,"Dicotyledon",NA,NA,"scabra",NA,NA,NA,NA,NA,NA,NA,"Pers.","Southern America",NA,NA,NA
"646","2019-10-02 14:56:45-03","UFMG","BHCB","185167","PreservedSpecimen","Plantae","Melastomataceae","Clidemia","Clidemia capitellata","Rezende, SG; Justo, AG","5827","2015","04","06","Brasil","Minas Gerais","Rio Acima","Bacia do Córrego do Andaime","-43.808889","-20.168056","-43.808889","-20.168056","930","930","Arbusto; Cerrado ralo","BHCB185167",NA,"Dicotyledon",NA,NA,"capitellata",NA,"2018","05",NA,NA,NA,NA,"(Bonpl.) D.Don","Southern America",NA,NA,NA
