"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","year","month","day","continentOcean","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","dayIdentified","class","relatedCatalogItem"
"3511","2017-09-14 11:41:56-03","MBML","MBML-HERBARIO","34294",NA,"Plantae",NA,NA,"Apocynaceae","Tabernaemontana","salzmannii","Tabernaemontana salzmannii",NA,"Fraga & Kollmann/Out.2016",NA,NA,"C. N. de Fraga; et al","2088","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.466667","-18.766667",NA,NA,NA,NA,"2008","05","10",NA,"40W27'60","18S46'0",NA,"MBML034294","MBML034294",NA,NA,NA,NA,NA,NA,NA
"3512","2017-09-14 11:41:56-03","MBML","MBML-HERBARIO","5721",NA,"Plantae",NA,NA,"Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta",NA,"Carine G.P. Quinet/01-08-2006",NA,NA,"H. Q. Boudet Fernandes; et al","2805","Brasil","Espírito Santo","Nova Venécia","Serra de Baixo","-41.432778","-18.7825",NA,NA,"Flor com corola branco amarela, aromática.",NA,"1989","09","07",NA,"41W25'58","18S46'57",NA,"MBML005721","MBML005721",NA,NA,NA,NA,NA,NA,NA
"3513","2017-09-14 11:41:56-03","MBML","MBML-HERBARIO","40074",NA,"Plantae",NA,NA,"Apocynaceae","Tabernaemontana","salzmannii","Tabernaemontana salzmannii",NA,"Fraga & Kollmann/Out.2016",NA,NA,"E. S. Leal; J. Silva, K.V. Hmeljeviski & R.C. Forzza","74","Brasil","Espírito Santo","Nova Venécia","Pedra da Torre. Inselbergue","-40.550556","-18.646667",NA,NA,"Árvore 6m alt. Flores brancas",NA,"2009","11","20",NA,"40W33'2","18S38'48",NA,"MBML040074","MBML040074","330","330",NA,NA,NA,NA,NA
"3514","2017-09-14 11:50:29-03","MBML","MBML-HERBARIO","5738",NA,"Plantae",NA,NA,"Portulacaceae","Talinum","paniculatum","Talinum paniculatum",NA,"Fraga & Kollmann/03-11-2016",NA,NA,"H. Q. Boudet Fernandes; et al","2816","Brasil","Espírito Santo","Nova Venécia","Todos os Santos","-40.400278","-18.710833",NA,NA,"Sub arbusto até 1m, flor com pétalas rosas. Frutos verdes. Vide cultivo: jardim rupestre.",NA,"1989","09","08",NA,"40W24'1","18S42'39",NA,"MBML005738","MBML005738",NA,NA,NA,NA,NA,NA,NA
"3515","2017-09-14 11:50:30-03","MBML","MBML-HERBARIO","38681",NA,"Plantae",NA,NA,"Portulacaceae","Talinum","triangulare","Talinum triangulare",NA,"Fraga & Kollmann/03-XI-2016",NA,NA,"R. C. Forzza; A.M.Amorim, C.N.Fraga & L.Daneu","5526","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante. Serra de Baixo. Mata do Fuxico. Floresta Estacional Semidecidual.","-40.432778","-18.7825",NA,NA,"Erva em borda de mata em local alterado. Flores com cálice verde; corola rósea e estames amarelos.",NA,"2009","04","14",NA,"40W25'58","18S46'57",NA,"MBML038681",NA,NA,NA,NA,NA,NA,NA,NA
"3516","2017-09-14 11:41:29-03","MBML","MBML-HERBARIO","33784",NA,"Plantae",NA,NA,"Anacardiaceae","Tapirira","guianensis","Tapirira guianensis",NA,"J.R. Pirani/jan.2011",NA,NA,"A. M. Amorim; et al","7196","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.443889","-18.776944",NA,NA,"Árvore ca. 10m alt. Frutos imaturos verdes. Material prensado em álcool.",NA,"2008","02","19",NA,"40W26'38","18S46'37",NA,"MBML033784","MBML033784",NA,NA,NA,NA,NA,NA,NA
"3517","2018-05-21 13:27:54-03","MBML","MBML-HERBARIO","34430",NA,"Plantae",NA,NA,"Capparaceae","Tarenaya","microcarpa","Tarenaya microcarpa",NA,"J. Luber/02-05-2018",NA,NA,"C. N. de Fraga; et al","1905","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.457778","-18.766944",NA,NA,NA,NA,"2008","02","19",NA,"40W27'28","18S46'1",NA,"MBML034430","MBML034430",NA,NA,NA,NA,NA,NA,NA
"3518","2018-08-02 09:42:15-03","MBML","MBML-HERBARIO","39057",NA,"Plantae",NA,NA,"Capparaceae","Tarenaya","rosea","Tarenaya rosea",NA,"J. Gurtler/2018",NA,NA,"L. Kollmann; B.Schwartsburd, A.P.Fontana & P.Labiak Evangelista.","11392","Brasil","Espírito Santo","Nova Venécia","APA da Pedra do Elefante. Serra de Baixo, morro lado direito na estrada para a Pedra do Elefante, afloramento rochoso. Inselbergue.","-40.4475","-18.77",NA,NA,"Erva 30 cm no sol, flores lilás.",NA,"2009","01","14",NA,"40W26'51","18S46'12",NA,"MBML039057","MBML039057","300","300",NA,NA,NA,NA,NA
"3519","2018-05-21 13:27:54-03","MBML","MBML-HERBARIO","47656",NA,"Plantae",NA,NA,"Capparaceae","Tarenaya","rosea","Tarenaya rosea",NA,"J. Luber/02-05-2018",NA,NA,"A. M. Assis; M.D.S. Demuner & R. S. Cribari","2399","Brasil","Espírito Santo","Nova Venécia","APA Pedra do Elefante - Fazenda Santa Rita - trilha da capela","-40.441417","-18.763917",NA,NA,"Rupícola, flores roxas e frutos verdes",NA,"2009","03","29",NA,"40W26'29,1","18S45'50,1",NA,"MBML047656",NA,"190","190",NA,NA,NA,NA,NA
"3520","2017-09-14 11:44:57-03","MBML","MBML-HERBARIO","34041",NA,"Plantae",NA,NA,"Dryopteridaceae","Tectaria","incisa","Tectaria incisa",NA,"N.T.L. Pena/03-06-2016",NA,NA,"P. Labiak; et al","4709","Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.443889","-18.776944",NA,NA,"Terrestre, no interior da mata. Material prensado em álcool.",NA,"2008","02","19",NA,"40W26'38","18S46'37",NA,"MBML034041","MBML034041",NA,NA,NA,NA,NA,NA,NA
