"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","continentOcean","locality"
"1","2020-02-13 14:08:17-03","MN","R","50831","S","Plantae","Cannaceae","Canna","paniculata","Canna paniculata","Ruiz & Pav.","Segeren, W.; van Duuren, J. & Maas, P.J.M.","1978","Freire, C.V.","242","Brasil","Minas Gerais","Cantagalo","-42.6268997192383","-18.5258007049561","12183","R010061147,R010061148,R010061149,R010061150","R010061147 R010061148 R010061149 R010061150","auto",NA,NA
"2","2017-09-11 17:11:57-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Isochilus","linearis","Isochilus linearis","(Jacq.) R.Br.",NA,NA,"Peckolt, T","342","Brazil","Minas Gerais","Cantagalo","-42.6269","-18.5258","12183",NA,"P03P5N0001","auto","Southern America","ad Canta Gallo"
