"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","individualCount","class","relatedCatalogItem"
"127","2020-03-10 08:29:27-03","UFV","VIC","27084","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Parapiptadenia","pterosperma","Parapiptadenia pterosperma","(Bojer) Brenan","Nunes, SRDFS da","Nunes, SRDFS da; et al.","152","2002","03","12",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Trilha da Lagoa dos Patos (Mombaça).","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Árvore, c.a. de 17 metros de altura, com frutos novos de cor avermelhada.","VIC027084","VIC027084",NA,"2002","31394","auto","09",NA,NA,NA,NA,NA,NA,NA
"128","2020-03-10 08:29:32-03","UFV","VIC","27119","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Stryphnodendron","polyphyllum","Stryphnodendron polyphyllum","Mart.","Nunes, SRDFS da","Nunes, SRDFS da; et al.","121","2001","11","28",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Trilha da Lagoa dos Patos (Mombaça).","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Árvore, c.a. de 25 metros de altura; com frutos de cor vermelha e botões florais.","VIC027119","VIC027119",NA,"2002","31394","auto","09",NA,NA,NA,NA,NA,NA,NA
"129","2020-03-10 08:29:32-03","UFV","VIC","27117","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Stryphnodendron","polyphyllum","Stryphnodendron polyphyllum","Mart.","Nunes, SRDFS da","Nunes, SRDFS da; et al.","93","2001","08","30",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Trilha da Lagoa dos Patos (Mombaça).","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Árvore. Com frutos avermelhados.","VIC027117","VIC027117",NA,"2002","31394","auto","09",NA,NA,NA,NA,NA,NA,NA
"130","2020-03-10 08:29:17-03","UFV","VIC","27136","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Inga","edulis","Inga edulis","(Vell.) Mart.","Nunes, SRDFS da","Nunes, SRDFS da; et al.","104","2001","10","02",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Trilha da Lagoa dos Patos (Mombaça).","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Árvore, c.a. de 20 metros de altura, com frutos retos e curvos. Ocorrência na beira da estrada.","VIC027136",NA,NA,"2001","31394","auto","10","03",NA,NA,NA,NA,NA,NA
"131","2020-03-10 08:29:27-03","UFV","VIC","27092","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Piptadenia","gonoacantha","Piptadenia gonoacantha","(Mart.) J.F. Macbr.","Nunes, SRDFS da","Nunes, SRDFS da; et al.","38","2001","03","15",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Trilha da Lagoa dos Patos (Mombaça).","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Árvore. Com inflorescências espiciformes.","VIC027092","VIC027092",NA,"2002","31394","auto","10",NA,NA,NA,NA,NA,NA,NA
"132","2020-03-10 08:29:17-03","UFV","VIC","27137","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Inga","edulis","Inga edulis","(Vell.) Mart.","Nunes, SRDFS da","Nunes, SRDFS da; et al.","25","2001","02","21",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Trilha da Lagoa dos Patos (Mombaça).","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Árvore, c.a. de 20 metros de altura. Encontrada em local úmido, com flores. Frutos coletados em 02/10/2001.","VIC027137",NA,NA,"2001","31394","auto","10","03",NA,NA,NA,NA,NA,NA
"133","2020-03-10 08:29:12-03","UFV","VIC","27059","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Albizia","polycephala","Albizia polycephala","(Benth.) Killip","Nunes, SRDFS da","Nunes, SRDFS da; et al.","53","2001","04","24",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Trilha da Lagoa dos Patos (Mombaça).","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Árvore, c.a. de 21 metros de altura, com frutos de cor oliváceo.","VIC027059","VIC027059",NA,"2002","31394","auto","02","28",NA,NA,NA,NA,NA,NA
"134","2020-03-10 08:29:17-03","UFV","VIC","27141","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Inga","edulis","Inga edulis","(Vell.) Mart.","Nunes, SRDFS da","Nunes, SRDFS da; et al.","120","2001","11","28",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Trilha da Lagoa dos Patos (Mombaça).","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Árvore, c.a. de 20 metros de altura, com frutos maduros marrom-esverdeados e aveludados, sulcados longitudinalmente.","VIC027141","VIC027141",NA,"2001","31394","auto","11","28",NA,NA,NA,NA,NA,NA
"135","2020-03-10 08:29:12-03","UFV","VIC","27060","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Albizia","polycephala","Albizia polycephala","(Benth.) Killip","Nunes, SRDFS da","Nunes, SRDFS da; et al.","75","2001","06","30",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Trilha da Lagoa dos Patos (Mombaça).","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Árvore, c.a. de 20 metros de altura, com frutos de cor oliváceo-amarronzado.","VIC027060","VIC027060",NA,"2002","31394","auto","02","28",NA,NA,NA,NA,NA,NA
"136","2020-03-10 08:29:12-03","UFV","VIC","27061","PreservedSpecimen","Plantae",NA,NA,"Mimosoideae","Albizia","polycephala","Albizia polycephala","(Benth.) Killip","Nunes, SRDFS da","Nunes, SRDFS da; et al.","92","2001","08","30",NA,"Brasil","Minas Gerais","Dionísio","Parque Estadual do Rio Doce (PERD), Trilha da Lagoa dos Patos (Mombaça).","-42.7766990661621","-19.8428001403809",NA,NA,NA,"Árvore, c.a. de 24 metros de altura, com frutos de cor oliváceo-amarronzado.","VIC027061","VIC027061",NA,"2002","31394","auto","02","28",NA,NA,NA,NA,NA,NA
