"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","class","relationshipType","relatedCatalogItem","individualCount"
"1","2019-12-16 18:14:13-03","NYBG","NYBG","407349","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Pavonia","schiedeana","Pavonia schiedeana","Steud.","H. S. Irwin","2232","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km E of Ponte Nova","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=134308 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00407349","NY00407349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-16 17:35:27-03","NYBG","NYBG","233178","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Peltastes","tubiflorus","Peltastes tubiflorus","Woodson","H. S. Irwin","2246","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. East of Ponte Nova","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=763074 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00233178","NY00233178 NY00233178_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-16 18:35:43-03","NYBG","NYBG","00957110","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","aduncum","Piper aduncum","L.","G. M. Magalhaes","18879","1962","06","11","South America","Brazil","Minas Gerais","Ponte Nova","Campo de Cana.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086400 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00957110","NY00957110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-16 18:35:43-03","NYBG","NYBG","00957111","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","aduncum","Piper aduncum","L.","G. M. Magalhaes","19016","1962","06","11","South America","Brazil","Minas Gerais","Ponte Nova","Campo de Cana.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1086405 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00957111","NY00957111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-16 18:36:02-03","NYBG","NYBG","00957337","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","crassinervium","Piper crassinervium","Kunth","G. M. Magalhaes","19015","1962","06","11","South America","Brazil","Minas Gerais","Ponte Nova","Campo de Cana.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1094006 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00957337","NY00957337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-16 18:54:00-03","NYBG","NYBG","929547","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","heptaphyllum","Protium heptaphyllum","(Aubl.) Marchand","E. T. Neto","2102","1996","09","25","South America","Brazil","Minas Gerais","Ponte Nova","EPDA - JACOB - CEMIG.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1050729 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00929547","NY00929547",NA,"E. T. Neto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-16 18:54:33-03","NYBG","NYBG","929583","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","ovatum","Protium ovatum","Engl.","E. T. Neto","2075","1996","06","26","South America","Brazil","Minas Gerais","Nova Ponte","EPDA - JACOB / CEMIG.","-47.6744","-19.1528","-47.6744","-19.1528","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051266 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00929583","NY00929583",NA,"E. T. Neto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-16 18:54:18-03","NYBG","NYBG","929584","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","ovatum","Protium ovatum",NA,"E. T. Neto","2127","1996","09","25","South America","Brazil","Minas Gerais","Nova Ponte","EPDA - JACOB / CEMIG.","-47.6744","-19.1528","-47.6744","-19.1528","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051270 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00929584","NY00929584",NA,"D. C. Daly","1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-12-16 18:54:50-03","NYBG","NYBG","929642","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Burseraceae","Protium","spruceanum","Protium spruceanum",NA,"L. V. Costa","s.n.","1997","03",NA,"South America","Brazil","Minas Gerais","Ponte Nova",NA,"-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1052186 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00929642","NY00929642",NA,"D. C. Daly","1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-12-16 17:42:58-03","NYBG","NYBG","1005551","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","vellosiana","Psychotria vellosiana","Benth.","H. S. Irwin","2251","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E. of Ponte Nova.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1090681 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01005551","NY01005551",NA,"J. H. Kirkbride Jr.","1984",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-12-16 17:43:16-03","NYBG","NYBG","1005731","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Rudgea",NA,"Rudgea",NA,"H. S. Irwin","2241","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E. of Ponte Nova.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1098001 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01005731","NY01005731",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-12-16 18:58:34-03","NYBG","NYBG","00995746","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","lethalis","Serjania lethalis","A.St.-Hil.","Pedralli","15356","1987","08","12","South America","Brazil","Minas Gerais","Nova Ponte",NA,"-47.6744","-19.1528","-47.6744","-19.1528","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1097523 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00995746","NY00995746",NA,"P. Acevedo-Rodríguez","1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-16 18:59:09-03","NYBG","NYBG","02694842","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Simaroubaceae","Simaba","suffruticosa","Simaba suffruticosa","Engl.","M. F. Devecchi","316","2014","09","01","South America","Brazil","Minas Gerais","Nova Ponte","Estrada entre Ponte Nova - São João Batista, MG-190, ca. 2 km após a barragem de Ponte Nova.","-47.6889","-19.10836","-47.6889","-19.10836","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2978382 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02694842","NY02694842",NA,"M. F. Devecchi","2014","11","01","892","892",NA,NA,NA,NA,NA,NA,NA
"14","2019-12-16 17:54:04-03","NYBG","NYBG","1550222","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Siparuna",NA,"Siparuna",NA,"H. S. Irwin","2245","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E. of Ponte Nova","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810159 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01550222","NY01550222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-12-16 19:02:28-03","NYBG","NYBG","00700488","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","asterophorum","Solanum asterophorum","Mart.","H. S. Irwin","2236","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E. of Ponte Nova","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=835987 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00700488","NY00700488",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-12-16 19:07:54-03","NYBG","NYBG","00697260","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","warmingii","Solanum warmingii","Hiern","H. S. Irwin","2229","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E. of Ponte Nova","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832449 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00697260","NY00697260",NA,"S. D. Knapp","1985","11","24",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-12-16 19:07:54-03","NYBG","NYBG","00697261","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","warmingii","Solanum warmingii","Hiern","H. S. Irwin","2229","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E. of Ponte Nova","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=832452 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00697261","NY00697261",NA,"S. D. Knapp","1985","11","24",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-12-16 16:55:31-03","NYBG","NYBG","02460979","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Alternanthera","microphylla","Alternanthera microphylla","R.E.Fr.","Pedralli","s.n.","1987","10","11","South America","Brazil","Minas Gerais","Nova Ponte","Rio Araçuaí.","-47.6747016906738","-19.1525001525879",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2688008 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02460979","NY02460979",NA,NA,NA,NA,NA,NA,NA,"47316","auto",NA,NA,NA,NA,NA
"19","2019-12-16 17:15:14-03","NYBG","NYBG","00917725","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Calliandra","parvifolia","Calliandra parvifolia","(Hook. & Arn.) Speg.","Pedralli","s.n.","1987","10","11","South America","Brazil","Minas Gerais","Nova Ponte","Rio Araçuaí.","-47.6747016906738","-19.1525001525879",NA,NA,"sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998359 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00917725","NY00917725",NA,"R. C. Barneby","1995",NA,NA,NA,NA,"47316","auto",NA,NA,NA,NA,NA
"20","2019-12-16 17:44:23-03","NYBG","NYBG","2699262","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae",NA,NA,NA,NA,"G. M. Magalhaes","18880","1962","06","11","South America","Brazil","Minas Gerais","Ponte Nova","Campo de Cana.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2994185 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY02699262","NY02699262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-12-16 17:12:59-03","NYBG","NYBG","00917913","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Acacia","polyphylla","Acacia polyphylla","DC.","E. T. Neto","2041","1996","06","26","South America","Brazil","Minas Gerais","Nova Ponte","Nova Ponte","-47.6744","-19.1528","-47.6744","-19.1528","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=994395 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00917913","NY00917913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-12-16 17:13:34-03","NYBG","NYBG","00917641","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Anadenanthera","peregrina","Anadenanthera peregrina",NA,"E. T. Neto","2166","1996","11","03","South America","Brazil","Minas Gerais","Nova Ponte","Nova Ponte","-47.6744","-19.1528","-47.6744","-19.1528","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997244 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00917641","NY00917641",NA,"E. T. Neto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-12-16 17:44:24-03","NYBG","NYBG","00863381","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Aphelandra","schottiana","Aphelandra schottiana","(Nees) Profice","G. M. Magalhaes","18876","1962","06","11","South America","Brazil","Minas Gerais","Ponte Nova","Campo Cana","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951267 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00863381","NY00863381",NA,"S. R. Profíce",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-12-16 17:32:37-03","NYBG","NYBG","00856556","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Caamembeca","laureola","Caamembeca laureola","(A.St.-Hil. & Moq.) J.F.B.Pastore","H. S. Irwin","2235","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12km E. of Ponte Nova.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=929679 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00856556","NY00856556",NA,"J. Richard Abbott","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-12-16 17:15:13-03","NYBG","NYBG","00390180","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Calliandra","foliolosa","Calliandra foliolosa","Benth.","E. T. Neto","2105","1996","09","25","South America","Brazil","Minas Gerais","Nova Ponte","Nova Ponte, cachoeira do corrego do Atoleiro","-47.6744","-19.1528","-47.6744","-19.1528","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=307422 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00390180","NY00390180",NA,"R. C. Barneby","1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-12-16 17:16:26-03","NYBG","NYBG","471768","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","aspleniifolia","Chamaecrista aspleniifolia","(H.S.Irwin & Barneby) H.S.Irwin & Barneby","J. C. Lindeman","4563","1967","02","01","South America","Brazil","Minas Gerais","Ponte Nova","E of Ouro Preto","-42.83","-20.33","-42.83","-20.33","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=727977 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00471768","NY00471768",NA,"R. C. Barneby","1994",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-12-16 17:16:26-03","NYBG","NYBG","00958911","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Chamaecrista","basifolia","Chamaecrista basifolia","(Vogel) H.S.Irwin & Barneby","E. T. Neto","2327","1997","02","23","South America","Brazil","Minas Gerais","Nova Ponte","Nova Ponte","-47.6744","-19.1528","-47.6744","-19.1528","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1025706 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00958911","NY00958911",NA,"R. C. Barneby","1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-12-16 18:48:22-03","NYBG","NYBG","00897612","PreservedSpecimen","Plantae","Magnoliophyta","Ranunculales","Menispermaceae","Cissampelos","ovalifolia","Cissampelos ovalifolia","DC.","E. T. Neto","2183","1996","11","03","South America","Brazil","Minas Gerais","Nova Ponte","Nova Ponte.","-47.6744","-19.1528","-47.6744","-19.1528","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978268 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00897612","NY00897612",NA,"R. C. Barneby",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-12-16 18:48:56-03","NYBG","NYBG","869143","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Clarisia","ilicifolia","Clarisia ilicifolia","(Spreng.) Lanj. & Rossberg","H. S. Irwin","2254","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km E of Ponte Nova","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1030337 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00869143","NY00869143",NA,"C. C. Berg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-12-16 16:58:35-03","NYBG","NYBG","01131574","PreservedSpecimen","Plantae","Magnoliophyta","Commelinales","Commelinaceae","Dichorisandra","pubescens","Dichorisandra pubescens","Mart.","H. S. Irwin","2234","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12km E. of Ponte Nova.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1276877 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY01131574","NY01131574",NA,"L. B. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-12-16 17:20:58-03","NYBG","NYBG","00924321","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"E. T. Neto","2146","1996","09","25","South America","Brazil","Minas Gerais","Nova Ponte","Nova Ponte","-47.6744","-19.1528","-47.6744","-19.1528","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999255 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00924321","NY00924321",NA,"E. T. Neto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-12-16 17:39:29-03","NYBG","NYBG","950109","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Faramea","multiflora","Faramea multiflora salicifolia","(C.Presl) Steyerm.","H. S. Irwin","2238","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E. of Ponte Nova.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1050208 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00950109","NY00950109",NA,"J. A. Steyermark","1965","03",NA,NA,NA,NA,NA,"salicifolia",NA,NA,NA,NA
"33","2019-12-16 17:39:29-03","NYBG","NYBG","950110","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Faramea","multiflora","Faramea multiflora salicifolia","(C.Presl) Steyerm.","H. S. Irwin","2238","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E. of Ponte Nova.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1050216 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00950110","NY00950110",NA,"J. A. Steyermark","1965","03",NA,NA,NA,NA,NA,"salicifolia",NA,NA,NA,NA
"34","2019-12-16 17:46:20-03","NYBG","NYBG","931131","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","speciosa","Fridericia speciosa","Mart.","H. S. Irwin","2227","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Alto do Canto Galo, Distrito Vau Assu","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991273 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00931131","NY00931131",NA,"A. H. Gentry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-12-16 17:46:20-03","NYBG","NYBG","931132","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Fridericia","speciosa","Fridericia speciosa","Mart.","H. S. Irwin","2227","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Alto do Canto Galo, Distrito Vau Assu","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991507 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00931132","NY00931132_01 NY00931132_02",NA,"A. H. Gentry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-12-16 18:55:42-03","NYBG","NYBG","00837107","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","macrophylla","Guarea macrophylla tuberculata","(Vell.) T.D.Penn.","H. S. Irwin","2253","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E. of Ponte Nova","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=926641 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00837107","NY00837107",NA,"T. D. Pennington","1981",NA,NA,NA,NA,NA,NA,"tuberculata",NA,NA,NA,NA
"37","2019-12-16 17:55:28-03","NYBG","NYBG","00836604","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Guatteria","australis","Guatteria australis","A.St.-Hil.","H. S. Irwin","2252","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E. of Ponte Nova.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=922397 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00836604","NY00836604",NA,"P. J. M. Maas; H. Maas-van de Kamer; R. H. J. Erkens","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-12-16 19:08:44-03","NYBG","NYBG","910063","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Heliconiaceae","Heliconia","angusta","Heliconia angusta","Vell.","H. S. Irwin","2230","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E. of Ponte Nova.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980018 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00910063","NY00910063",NA,"L. Andersson","1982","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-12-16 19:08:44-03","NYBG","NYBG","910064","PreservedSpecimen","Plantae","Magnoliophyta","Zingiberales","Heliconiaceae","Heliconia","angusta","Heliconia angusta","Vell.","H. S. Irwin","2230","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E. of Ponte Nova.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=980024 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00910064","NY00910064",NA,"L. Andersson","1982","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-12-16 17:48:24-03","NYBG","NYBG","00500841","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","multibracteata","Hyptis multibracteata","Benth.","H. S. Irwin","2233","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E. of Ponte Nova.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=743415 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00500841","NY00500841",NA,"L. B. Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-12-16 17:51:05-03","NYBG","NYBG","00955735","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Verbenaceae","Lippia","brasiliensis","Lippia brasiliensis","(Link) T.R.S.Silva","H. S. Irwin","2244","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E. of Ponte Nova","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1034400 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00955735","NY00955735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-12-16 17:44:57-03","NYBG","NYBG","930574","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Mendoncia",NA,"Mendoncia",NA,"H. S. Irwin","2248","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E of Ponte Nova.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005165 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00930574","NY00930574",NA,"L. A. McDade","1986","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-12-16 17:44:57-03","NYBG","NYBG","930575","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Acanthaceae","Mendoncia",NA,"Mendoncia",NA,"H. S. Irwin","2248","1958","12","07","South America","Brazil","Minas Gerais","Ponte Nova","Fazenda Varginha, 12 km. E of Ponte Nova.","-42.9086","-20.4164","-42.9086","-20.4164","sheet","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005166 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00930575","NY00930575",NA,"A. H. Gentry","1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
