"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","day","barcode","locality","imagecode","dayIdentified","continentOcean","infraspecificEpithet","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem"
"39","2020-01-31 11:24:24-03","CVRD","CVRD","3643","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Pterocarpus","rohrii","Pterocarpus rohrii","Vahl.","Domingos A. Folli","1993","05","Folli, D.A.","1991","12","BRASIL","ES","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,"<ll>dwc_commonname:</ll> Pau sangue","auto","1530","15","CVRD003643","Lado esquerdo da Estrada de Laranja da Terra à Afonso Claudio. Laranja da Terra - ES.",NA,"14","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida",NA
"40","2020-01-31 11:23:56-03","CVRD","CVRD","4075","PreservedSpecimen","Plantae","Magnoliophyta","Brassicales","Capparaceae","Crateva","tapia","Crateva tapia","L.","Domingos A. Folli","1992","11","Souza, V.D.","1992","11","BRASIL","ES","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,"<ll>dwc_commonname:</ll> Pau cebola","auto","393","10","CVRD004075","Lado esquerdo da estrada. Fazenda de Valdir Ratundi, Córrego Santa Rita - Laranja da Terra - ES.",NA,"10","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida",NA
"41","2020-03-09 10:32:48-03","CVRD","CVRD","3824","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Siparunaceae","Siparuna","guianensis","Siparuna guianensis","Aubl.","Susanne Renner","2013","09","Souza, V.D.","1992","03","BRASIL","ES","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,"<ll>dwc_commonname:</ll> Negamina","auto","314","12","CVRD003824","Lado esquerdo da estrada indo de Af. Claudio p/ o Córrego Manteiga, 150m da Ponte do Rio São Domingos - Laranja da Terra - ES.",NA,"12","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida",NA
"42","2020-01-31 13:35:23-03","CVRD","CVRD","3823","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Luehea","divaricata","Luehea divaricata","Mart. & Zucc.","Geovane S. Siqueira","2015","11","Souza, V.D.","1992","03","BRASIL","ES","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,"<ll>dwc_commonname:</ll> Açoita cavalo","auto","313","11","CVRD003823","Localizada em pasto, próx. a casa, 500m da est. Valdir Ratundi, Joatuba - Lar. da Terra - ES.",NA,"03","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida",NA
"43","2020-01-31 11:24:20-03","CVRD","CVRD","3025","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Centrolobium","tomentosum","Centrolobium tomentosum","Guillem. ex Benth.","Gwilym P. Lewis","1995","06","Souza, V.D.","1991","01","BRASIL","ES","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,"<ll>dwc_commonname:</ll> Araribá vermelho","auto","2","24","CVRD003025","Localizada nas margens do Rio Guandú, Km 3, Fazenda Severino, Laranja da Terra.",NA,"06","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida",NA
"44","2020-01-31 11:25:28-03","CVRD","CVRD","3634","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Ficus","clusiifolia","Ficus clusiifolia","Schott","J. P. P. Carauta","1993","07","Folli, D.A.","1991","12","BRASIL","ES","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,"<ll>dwc_commonname:</ll> Gameleira","auto","1521","12","CVRD003634","No meio do pasto, prop. do Sr. Reinaldo Ratunde, Córrego Ventania - Laranja da Terra - ES.",NA,"20","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida",NA
"45","2020-01-31 13:35:00-03","CVRD","CVRD","3644","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Albizia","polycephala","Albizia polycephala","(Benth.) Killip ex Record","Élvia Rodrigues de Souza","2003","09","Folli, D.A.","1991","12","BRASIL","ES","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,"<ll>dwc_commonname:</ll> Manjolo","auto","1531","15","CVRD003644","Próx. a estrada de Laranja da Terra à Sobrero, no barranco do rio. Laranja da Terra - ES.",NA,"30","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida",NA
"46","2020-01-31 13:35:06-03","CVRD","CVRD","3024","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Peltophorum","dubium","Peltophorum dubium","(Spreng.) Taub.","Domingos A. Folli","1991","02","Souza, V.D.","1991","01","BRASIL","ES","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,"Projeto Coleta de sementes. <ll>dwc_commonname:</ll> Angico canjiquinha","auto","1","24","CVRD003024","Próximo à estrada, 4 Km antes de São João de Laranja da Terra, na propriedade de Augusto Uleske.",NA,"27","América do Sul",NA,NA,NA,NA,NA,"Magnoliopsida",NA
"47","2019-11-13 11:30:52-03","USP","SPF","119498","PreservedSpecimen","Plantae",NA,NA,"Rutaceae","Galipea","jasminiflora","Galipea jasminiflora","(A.St.-Hil.) Engl.","Pirani, JR","1997",NA,"Hatschbach, G","1996","07","Brasil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,"Arbusto 3m.","auto","65271","08","SPF00119498","Km 10-15 da rodovia para Afonso Cláudio. Floresta Atlântica.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-11-13 11:22:13-03","USP","SPF","226087","PreservedSpecimen","Plantae",NA,NA,"Leguminosae","Dahlstedtia","floribunda","Dahlstedtia floribunda","(Vogel) M.J.Silva & A.M.G.Azevedo","Siqueira, GS","2015","03","Folli, DA","1991","12","Brasil","Espírito Santo","Laranja da Terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","1520","12","SPF00226087","Lado direito da estrada para Laranja da Terra, prop. Reinaldo Ratunde, Córrego Ventania.",NA,"04",NA,NA,NA,NA,NA,NA,NA,NA
"49","2019-10-21 13:35:42-03","CEPLAC","CEPEC","83825","S","Plantae",NA,NA,"Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa",NA,"G. Hatschbach",NA,NA,"G. Hatschbach","1996","07","Brasil","Espírito Santo","laranja da terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","65280","08",NA,"Km 10-15 da Rod. para Afonso Claudio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"30/12/1996"
"50","2018-12-03 11:25:27-02","CEPLAC","CEPEC","76232","S","Plantae",NA,NA,"Mimosaceae","Senegalia","giganticarpa","Senegalia giganticarpa",NA,"M. Barros",NA,NA,"G. Hatschbach","1996","07","Brasil","Espírito Santo","laranja da terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","65279","08",NA,"Km 10-15 da Rod. para Afonso Cláudio.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22/11/2010"
"51","2019-08-30 16:18:39-03","CEPLAC","CEPEC","76234","S","Plantae",NA,NA,"Mimosaceae","Inga","vera","Inga vera affinis",NA,"T. D. Pennington",NA,NA,"G. Hatschbach","1996","07","Brasil","Espírito Santo","laranja da terra","-41.0567016601562","-19.8988990783691","17356",NA,NA,"auto","65275","08",NA,"Marg. do Rio Guandu, prox. a Sao Joao.",NA,NA,NA,"affinis",NA,NA,NA,NA,NA,"30/12/1997"
