"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","recordNumber","continentOcean","locality","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","typeStatus","class","relatedCatalogItem"
"11","2019-12-16 17:41:49-03","NYBG","NYBG","02447162","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Psychotria","brachygyne",NA,"Psychotria brachygyne","Müll.Arg.","C. M. Taylor","2010",NA,"J. R. Pirani","1994","02","21","Brazil","Espírito Santo","Aracruz","-40.065886","-19.852031",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998001 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3058","South America","Rodovia Coqueiral - Regência, ramal a E da estrada a 2 km do trevo de Barra do Riacho, Restinga de Comboios, propriedade da Aracruz Florestal S.A.","-40.065886","-19.852031","sheet","NY02447162","NY02447162",NA,NA,NA,NA,NA,NA
"12","2019-12-16 17:43:14-03","NYBG","NYBG","2063215","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Randia",NA,NA,"Randia",NA,"M. R. de V. Barbosa","2014",NA,"V. de F. Mansano","2007","12","14","Brazil","Espírito Santo","Aracruz","-40.3011","-19.743925",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364805 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"473","South America","Retiro Serra Peladinha.","-40.3011","-19.743925","sheet","NY02063215","NY02063215","210","210",NA,NA,NA,NA
"13","2019-12-16 18:56:53-03","NYBG","NYBG","568478","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Rutaceae","Rauia","nodosa",NA,"Rauia nodosa","(Engl.) Kallunki","J. A. Kallunki","2002",NA,"J. R. Pirani","1994","02","21","Brazil","Espírito Santo","Aracruz","-40.2731","-19.8206",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=576966 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3075","South America","Bairro Coqueiral. Remanescente de floresta pluvial tropical conservada como parque na Avenida dos Vinháticos. Triha dos Cambarás.","-40.2731","-19.8206","sheet","NY00568478","NY00568478",NA,NA,NA,NA,NA,NA
"14","2019-12-16 18:09:07-03","NYBG","NYBG","687417","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Ochnaceae","Sauvagesia","erecta",NA,"Sauvagesia erecta","L.","M. Kirizawa","1998",NA,"J. R. Pirani","1982","11","22","Brazil","Espírito Santo","Aracruz","-40.2731","-19.8206",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=874963 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"193","South America","Na divisa com munic. de Linhares","-40.2731","-19.8206","sheet","NY00687417","NY00687417",NA,NA,NA,NA,NA,NA
"15","2019-12-16 17:28:19-03","NYBG","NYBG","02861557","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senegalia","velutina",NA,"Senegalia velutina","(DC.) Seigler & Ebinger",NA,NA,NA,"H. C. de Lima","2013","05","22","Brazil","Espírito Santo","Aracruz","-40.1541667","-19.6777778",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3196274 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"7662","South America","Rodovia ES-445, km 10, Fazenda Limoeiro. Fragmento de mata degradada.","-40.1541667","-19.6777778","sheet","NY02861557","NY02861557","40","40",NA,NA,NA,NA
"16","2019-12-16 17:30:17-03","NYBG","NYBG","01081206","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","silvestris","sapindifolia","Senna silvestris sapindifolia","(Vogel) H.S.Irwin & Barneby",NA,NA,NA,"H. C. de Lima","1987","05","11","Brazil","Espírito Santo","Aracruz","-40.2731","-19.8206",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221672 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"2944","South America","Rio Comboios, entre Barra do Riacho e Vila do Riacho, próx. a Fábrica de asfalto da Aracruz Celulose.","-40.2731","-19.8206","sheet","NY01081206","NY01081206_01 NY01081206_02",NA,NA,NA,NA,NA,NA
"17","2019-12-16 17:30:17-03","NYBG","NYBG","01081207","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Senna","silvestris","sapindifolia","Senna silvestris sapindifolia","(Vogel) H.S.Irwin & Barneby",NA,NA,NA,"H. C. de Lima","1987","05","11","Brazil","Espírito Santo","Aracruz","-40.2731","-19.8206",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221675 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"2944","South America","Rio Comboios, entre Barra do Riacho e Vila do Riacho, próx. a Fábrica de asfalto da Aracruz Celulose.","-40.2731","-19.8206","sheet","NY01081207","NY01081207_01 NY01081207_02",NA,NA,NA,NA,NA,NA
"18","2019-12-16 18:58:33-03","NYBG","NYBG","514415","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","communis","communis","Serjania communis communis","Cambess.","P. Acevedo-Rodríguez",NA,NA,"D. S. D. de Araújo","1986","01","09","Brazil","Espírito Santo","Aracruz","-40.139638","-19.971657",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=689847 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"296","South America","Estaçao de Biologia Marinha Mello Leitao.","-40.139638","-19.971657","sheet","NY00514415","NY00514415",NA,NA,NA,NA,NA,NA
"19","2019-12-16 19:02:44-03","NYBG","NYBG","669542","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","caavurana",NA,"Solanum caavurana","Vell.","S. D. Knapp","1990",NA,"H. C. de Lima","1987","05","11","Brazil","Espírito Santo","Aracruz","-40.2731","-19.8206",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239786 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"2941","South America","Rio Comboios, entre Barra do Riacho e Vila do Riacho, próx. a Fábrica de asfalto da Aracruz Celulose.","-40.2731","-19.8206","sheet","NY00669542",NA,NA,NA,NA,NA,NA,NA
"20","2019-12-16 17:32:34-03","NYBG","NYBG","459653","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Zygia","latifolia","glabrata","Zygia latifolia glabrata","(Mart.) Barneby & J.W.Grimes",NA,NA,NA,"H. C. de Lima","1987","05","11","Brazil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464272 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto",NA,"2943","South America","Rio Comboios, entre Barra do riacho e Vila do Riacho, prox. a Fabrica de asfalto da Aracruz Celulose",NA,NA,"sheet","NY00459653","NY00459653",NA,NA,NA,NA,NA,NA
"21","2019-12-16 17:37:25-03","NYBG","NYBG","2063234","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae",NA,NA,NA,NA,NA,NA,NA,NA,"V. de F. Mansano","2007","12","14","Brazil","Espírito Santo","Aracruz","-40.3011","-19.743939",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364828 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"479","South America","Retiro Serra Peladinha.","-40.3011","-19.743939","sheet","NY02063234","NY02063234","210","210",NA,NA,NA,NA
"22","2019-12-16 16:48:03-03","NYBG","NYBG","2063239","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae",NA,NA,NA,NA,NA,NA,NA,NA,"V. de F. Mansano","2007","12","14","Brazil","Espírito Santo","Aracruz","-40.3011","-19.743914",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364833 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"470","South America","Retiro Serra Peladinha.","-40.3011","-19.743914","sheet","NY02063239","NY02063239","210","210",NA,NA,NA,NA
"23","2019-12-16 17:12:42-03","NYBG","NYBG","1844395","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae",NA,NA,NA,NA,NA,NA,NA,NA,"V. de F. Mansano","2007","12","14","Brazil","Espírito Santo","Aracruz","-40.3011","-19.743944",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2142007 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"481","South America","Retiro Serra Peladinha.","-40.3011","-19.743944","sheet","NY01844395","NY01844395","210","210",NA,NA,NA,NA
"24","2019-12-16 18:09:08-03","NYBG","NYBG","1551144","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Passifloraceae",NA,NA,NA,NA,NA,NA,NA,NA,"V. de F. Mansano","2007","12","14","Brazil","Espírito Santo","Aracruz","-40.3011","-19.743953",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1911937 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"484","South America","Retiro Serra Peladinha.","-40.3011","-19.743953","sheet","NY01551144","NY01551144","210","210",NA,NA,NA,NA
"25","2019-12-16 18:57:10-03","NYBG","NYBG","2063227","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae",NA,NA,NA,NA,NA,NA,NA,NA,"V. de F. Mansano","2007","12","14","Brazil","Espírito Santo","Aracruz","-40.3011","-19.743942",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364820 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"480","South America","Retiro Serra Peladinha.","-40.3011","-19.743942","sheet","NY02063227","NY02063227","210","210",NA,NA,NA,NA
"26","2019-12-16 16:42:34-03","NYBG","NYBG","00568043","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Allagoptera","arenaria",NA,"Allagoptera arenaria",NA,"H. Q. B. Fernandes",NA,NA,"H. Q. B. Fernandes","1986","08","09","Brazil","Espírito Santo","Aracruz","-40.2731","-19.8206",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=557796 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"2010","South America","Santa Cruz, Estaçao de Biologia Marinha.","-40.2731","-19.8206","packeted","NY00568043","NY00568043_01 NY00568043_02 NY00568043_03 NY00568043_04",NA,NA,NA,NA,NA,NA
"27","2019-12-16 17:54:53-03","NYBG","NYBG","2063238","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Annona",NA,NA,"Annona","L.","P. J. M. Maas","2017",NA,"V. de F. Mansano","2007","12","14","Brazil","Espírito Santo","Aracruz","-40.3011","-19.743933",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364832 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"07-477","South America","Retiro Serra Peladinha.","-40.3011","-19.743933","sheet","NY02063238","NY02063238","210","210",NA,NA,NA,NA
"28","2019-12-16 18:06:35-03","NYBG","NYBG","1015470","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Byrsonima",NA,NA,"Byrsonima",NA,NA,NA,NA,"H. C. de Lima","2007","04","04","Brazil","Espírito Santo","Aracruz","-40.2828","-19.8922",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1106412 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"6599","South America","Estrada para Santa Rosa, antes de Santa Rosa. Fragmento de Mata.","-40.2828","-19.8922","sheet","NY01015470","NY01015470",NA,NA,NA,NA,NA,NA
"29","2019-12-16 18:28:53-03","NYBG","NYBG","1281790","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Campomanesia","guazumifolia",NA,"Campomanesia guazumifolia","(Cambess.) O.Berg","M. I. U. de Oliveira","2010",NA,"H. C. de Lima","1984","01","09","Brazil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1742503 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","auto",NA,"4855","South America","Trecho entre Itaóca e Itapemirim, Pontal, ca. 4 km antes da ponte sobre o rio Itapemirim.",NA,NA,"sheet","NY01281790","NY01281790",NA,NA,NA,NA,NA,NA
"30","2019-12-16 19:00:47-03","NYBG","NYBG","626968","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Cestrum","retrofractum",NA,"Cestrum retrofractum","Dunal","M. H. Nee","1995",NA,"J. R. Pirani","1994","02","21","Brazil","Espírito Santo","Aracruz","-40.065886","-19.852031",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=217812 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"3065","South America","Rodovia Coqueiral-Regência, ramal a E da estrada a 2km do trevo de Barra do Riacho, Restinga de Camboios, propiedade de Aracruz Florestal S.A.","-40.065886","-19.852031","sheet","NY00626968","NY00626968",NA,NA,NA,NA,NA,NA
"31","2019-12-16 19:08:26-03","NYBG","NYBG","1551143","PreservedSpecimen","Plantae","Magnoliophyta","Vitales","Vitaceae","Cissus","verticillata","verticillata","Cissus verticillata verticillata","(L.) Nicolson & C.E.Jarvis","J. A. Lombardi","2013","07","V. de F. Mansano","2007","12","14","Brazil","Espírito Santo","Aracruz","-40.3011","-19.74395",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1911934 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"483","South America","Retiro Serra Peladinha.","-40.3011","-19.743950","sheet","NY01551143","NY01551143","210","210",NA,NA,NA,NA
"32","2019-12-16 17:19:04-03","NYBG","NYBG","585983","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Cratylia","hypargyrea",NA,"Cratylia hypargyrea","Mart. ex Benth.",NA,NA,NA,"H. C. de Lima","1987","05","11","Brazil","Espírito Santo","Aracruz","-40.2731","-19.8206",NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=269105 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"2945","South America","Rio Comboios, entre Barra do Riacho e Vila do Riacho, próx. a Fábrica de asfalto da Aracruz Celulose","-40.2731","-19.8206","sheet","NY00585983","NY00585983",NA,NA,NA,NA,NA,NA
