"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","recordNumber","continentOcean","locality","verbatimLongitude","verbatimLatitude","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","typeStatus","class","relatedCatalogItem"
"1271","2020-03-19 11:42:24-03","UFES","VIES","22443","S","Plantae",NA,NA,"Rubiaceae","Palicourea",NA,NA,"Palicourea",NA,"F. Torres-Leite",NA,NA,"Sarnaglia Júnior, V.B.; Gomes, J.M.L.; Zani, L.B. & Dutra, S.S.","2009","11","23","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"283",NA,"A.I. do Limão.",NA,NA,NA,"VIES022443","VIES022443",NA,NA,NA,NA,NA,NA
"1272","2019-06-27 10:23:52-03","UFES","VIES","22300","S","Plantae",NA,NA,"Annonaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Sarnaglia Júnior, V.B.; Gomes, J.M.L.; Zani, L.B. & Dutra, S.S.","2009","11","23","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"287",NA,"A.I. do Limão.",NA,NA,NA,"VIES022300","VIES022300",NA,NA,NA,NA,NA,NA
"1273","2020-03-19 11:42:00-03","UFES","VIES","22487","S","Plantae",NA,NA,"Oxalidaceae","Oxalis",NA,NA,"Oxalis",NA,"Sarnaglia Júnior, V.B.","2010","03","Sarnaglia Júnior, V.B.; Gomes, J.M.L. & Zani, L.B.","2010","03","29","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"339",NA,"A.I. do Limão.",NA,NA,NA,"VIES022487","VIES022487",NA,NA,"29",NA,NA,NA
"1274","2020-03-19 11:41:37-03","UFES","VIES","22702","S","Plantae",NA,NA,"Meliaceae","Trichilia",NA,NA,"Trichilia",NA,"Thomaz, L.D.","2009","06","Thomaz, L.D.; Gomes, J.M.L. & Sarnaglia Júnior, V.B.","2009","06","17","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"1830",NA,"A.I. do Limão.",NA,NA,NA,"VIES022702","VIES022702",NA,NA,"17",NA,NA,NA
"1275","2020-03-19 11:41:37-03","UFES","VIES","22701","S","Plantae",NA,NA,"Meliaceae","Trichilia",NA,NA,"Trichilia",NA,"Thomaz, L.D.","2009","02","Thomaz, L.D.; Fabris, L.C.; Gomes, J.M.L. & Sarnaglia Júnior, V.B.","2009","02","17","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"1837",NA,"A.I. do Limão.",NA,NA,NA,"VIES022701","VIES022701",NA,NA,"17",NA,NA,NA
"1276","2020-03-19 11:40:58-03","UFES","VIES","22489","S","Plantae",NA,NA,"Fabaceae","Machaerium",NA,NA,"Machaerium",NA,"Silva, L.A.","2014","06","Sarnaglia Júnior, V.B.; Gomes, J.M.L.; Zani, L.B. & Dutra, S.S.","2009","12","22","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"299",NA,"A.I. do Limão.",NA,NA,NA,"VIES022489","VIES022489",NA,NA,"30",NA,NA,NA
"1277","2020-03-19 11:39:44-03","UFES","VIES","22495","S","Plantae",NA,NA,"Araceae","Anthurium","comtum",NA,"Anthurium comtum","Schott","Valadares, R.T.","2011","01","Sarnaglia Júnior, V.B.","2008","12","16","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"376",NA,"A.I. do Limão.",NA,NA,NA,"VIES022495","VIES022495",NA,NA,"11",NA,NA,NA
"1278","2019-06-27 10:24:02-03","UFES","VIES","9224","S","Plantae",NA,NA,"Arecaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Sarnaglia Júnior, V.B.; Gomes, J.M.L. & Zani, L.B.","2009","08","12","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"152",NA,"A.I. do Limão.",NA,NA,NA,"VIES009224","VIES009224",NA,NA,NA,NA,NA,NA
"1279","2019-06-27 10:25:39-03","UFES","VIES","22438","S","Plantae",NA,NA,"Melastomataceae","Miconia","affinis",NA,"Miconia affinis","DC.","Goldenberg, R.","2013",NA,"Sarnaglia Júnior, V.B.; Gomes, J.M.L. & Zani, L.B.","2010","03","03","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"335",NA,"A.I. do Limão.",NA,NA,NA,"VIES022438","VIES022438",NA,NA,NA,NA,NA,NA
"1280","2020-03-19 11:41:11-03","UFES","VIES","9245","S","Plantae",NA,NA,"Heliconiaceae","Heliconia","psittacorum",NA,"Heliconia psittacorum","L.f.","Mascarenhas, A.A.S.","2016","09","Sarnaglia Júnior, V.B.","2010","09","09","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"368",NA,"A.I. do Limão.",NA,NA,NA,"VIES009245","VIES009245",NA,NA,"27",NA,NA,NA
"1281","2020-03-19 11:40:58-03","UFES","VIES","22666","S","Plantae",NA,NA,"Fabaceae","Machaerium",NA,NA,"Machaerium",NA,"Thomaz, L.D.","2009","06","Thomaz, L.D.; Gomes, J.M.L. & Sarnaglia Júnior, V.B.","2009","06","17","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"1822",NA,"A.I. do Limão.",NA,NA,NA,"VIES022666","VIES022666",NA,NA,"17",NA,NA,NA
"1282","2019-06-27 10:25:59-03","UFES","VIES","22444","S","Plantae",NA,NA,"Nyctaginaceae","Guapira",NA,NA,"Guapira",NA,NA,NA,NA,"Sarnaglia Júnior, V.B.; Gomes, J.M.L.; Zani, L.B. & Dutra, S.S.","2009","11","23","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"282",NA,"A.I. do Limão.",NA,NA,NA,"VIES022444","VIES022444",NA,NA,NA,NA,NA,NA
"1283","2020-03-19 11:42:26-03","UFES","VIES","8198","S","Plantae",NA,NA,"Rubiaceae","Palicourea",NA,NA,"Palicourea",NA,"F. Torres-Leite",NA,NA,"Sarnaglia Júnior, V.B.; Zani, L.B. & Gomes, J.M.L.","2009","09","25","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"182",NA,"A.I. do Limão.",NA,NA,NA,"VIES008198","VIES008198",NA,NA,NA,NA,NA,NA
"1284","2019-06-27 10:23:43-03","UFES","VIES","22491","S",NA,NA,NA,"Indeterminada",NA,NA,NA,NA,NA,NA,NA,NA,"Sarnaglia Júnior, V.B.; Gomes, J.M.L.; Zani, L.B. & Dutra, S.S.","2009","12","22","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"301",NA,"A.I. do Limão.",NA,NA,NA,"VIES022491","VIES022491",NA,NA,NA,NA,NA,NA
"1285","2019-06-27 10:25:59-03","UFES","VIES","22700","S","Plantae",NA,NA,"Nyctaginaceae","Guapira",NA,NA,"Guapira",NA,NA,NA,NA,"Thomaz, L.D.; Gomes, J.M.L. & Sarnaglia Júnior, V.B.","2009","06","17","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"1826",NA,"A.I. do Limão.",NA,NA,NA,"VIES022700","VIES022700",NA,NA,NA,NA,NA,NA
"1286","2019-09-27 18:05:31-03","UFES","VIES","9142","S","Plantae",NA,NA,"Myrtaceae","Eugenia",NA,NA,"Eugenia",NA,"Sarnaglia Júnior, V.B.","2010","12","Sarnaglia Júnior, V.B.; Gomes, J.M.L.; Zani, L.B. & Dutra, S.S.","2010","12","22","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"303",NA,"A.I. do Limão.",NA,NA,NA,"VIES009142","VIES009142",NA,NA,"22",NA,NA,NA
"1287","2019-06-27 10:24:49-03","UFES","VIES","22737","S","Plantae",NA,NA,"Euphorbiaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Sarnaglia Júnior, V.B.; Gomes, J.M.L.; Zani, L.B. & Dutra, S.S.","2009","07","28","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"151",NA,"A.I. do Limão. Distrito Guaraná. Floresta de Tabuleiro.",NA,NA,NA,"VIES022737","VIES022737",NA,NA,NA,NA,NA,NA
"1288","2020-03-19 11:41:17-03","UFES","VIES","45993","S","Plantae",NA,NA,"Lejeuneaceae","Stictolejeunea","squamata",NA,"Stictolejeunea squamata","(Willd. ex Weber) Schiffn.","Peralta, D.F.",NA,NA,"Sarnaglia-Jr., V.B.","2009","07","22","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"190",NA,"AI do Limão. Floresta de tabuleiro.",NA,NA,NA,"VIES045993",NA,NA,NA,NA,NA,NA,NA
"1289","2020-03-19 11:42:43-03","UFES","VIES","45996","S","Plantae",NA,NA,"Sematophyllaceae","Sematophyllum","subsimplex",NA,"Sematophyllum subsimplex","(Hedw.) Mitt.","Peralta, D.F.",NA,NA,"Sarnaglia-Jr., V.B.","2009","07","22","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"193",NA,"AI do Limão. Floresta de tabuleiro.",NA,NA,NA,"VIES045996",NA,NA,NA,NA,NA,NA,NA
"1290","2020-03-19 11:42:43-03","UFES","VIES","45994","S","Plantae",NA,NA,"Sematophyllaceae","Sematophyllum","subsimplex",NA,"Sematophyllum subsimplex","(Hedw.) Mitt.","Peralta, D.F.",NA,NA,"Sarnaglia-Jr., V.B.","2009","07","22","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"191",NA,"AI do Limão. Floresta de tabuleiro.",NA,NA,NA,"VIES045994",NA,NA,NA,NA,NA,NA,NA
"1291","2020-03-19 11:40:17-03","UFES","VIES","45995","S","Plantae",NA,NA,"Calymperaceae","Syrrhopodon","prolifer",NA,"Syrrhopodon prolifer","Schwägr.","Peralta, D.F.",NA,NA,"Sarnaglia-Jr., V.B.","2009","07","22","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"192",NA,"AI do Limão. Floresta de tabuleiro.",NA,NA,NA,"VIES045995",NA,NA,NA,NA,NA,NA,NA
"1292","2019-06-27 10:25:55-03","UFES","VIES","22705","S","Plantae",NA,NA,"Myrtaceae","Myrcia","longisepala",NA,"Myrcia longisepala","B.S. Amorim","B.S. Amorim","2018",NA,"Thomaz, L.D.; Gomes, J.M.L. & Sarnaglia Júnior, V.B.","2009","06","17","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"1828",NA,"A.I. do Limão. Interior da mata.",NA,NA,NA,"VIES022705","VIES022705",NA,NA,NA,"Holotipo",NA,NA
"1293","2020-03-19 11:41:19-03","UFES","VIES","22493","S","Plantae",NA,NA,"Lygodiaceae","Lygodium","volubile",NA,"Lygodium volubile","Sw.","Condack, J.P.",NA,NA,"Thomaz, L.D.; Gomes, J.M.L. & Sarnaglia Júnior, V.B.","2009","06","17","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,NA,NA,"A.I. do Limão. Interior da mata.",NA,NA,NA,"VIES022493","VIES022493",NA,NA,NA,NA,NA,NA
"1294","2019-06-27 10:24:49-03","UFES","VIES","22625","S","Plantae",NA,NA,"Euphorbiaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Sarnaglia Júnior, V.B.; Gomes, J.M.L. & Zani, L.B.","2010","03","29","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"342",NA,"A.I. do Limão. Mata de Tabuleiro. Interior da mata.",NA,NA,NA,"VIES022625","VIES022625",NA,NA,NA,NA,NA,NA
"1295","2019-06-27 10:26:16-03","UFES","VIES","28428","S","Plantae",NA,NA,"Piperaceae","Peperomia","magnoliifolia",NA,"Peperomia magnoliifolia","(Jacq.) A.Dietr.","Sarnaglia-Jr., V.B.","2010",NA,"Sarnaglia-Jr., V.B.","2010","09","09","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"364",NA,"AI do Limão. Tabuleiro.",NA,NA,NA,"VIES028428","VIES028428",NA,NA,NA,NA,NA,NA
"1296","2019-06-27 10:26:17-03","UFES","VIES","28427","S","Plantae",NA,NA,"Piperaceae","Peperomia","rubricaulis",NA,"Peperomia rubricaulis","(Nees) A.Dietr.","Sarnaglia-Jr., V.B.","2010",NA,"Sarnaglia-Jr., V.B.","2010","09","09","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"363",NA,"AI do Limão. Tabuleiro.",NA,NA,NA,"VIES028427","VIES028427",NA,NA,NA,NA,NA,NA
"1297","2020-03-19 11:42:08-03","UFES","VIES","29197","S","Plantae",NA,NA,"Piperaceae","Piper","vicosanum",NA,"Piper vicosanum","Yunck.","A. Melo","2020","01","Sarnaglia-Jr., V.B.","2010","04","23","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"351",NA,"AI do Limão. Tabuleiro.",NA,NA,NA,"VIES029197","VIES029197",NA,NA,"20",NA,NA,NA
"1298","2020-03-19 11:40:04-03","UFES","VIES","20204","S","Plantae",NA,NA,"Bixaceae","Bixa","arborea",NA,"Bixa arborea","Huber","Zorzanelli, J.P.F.","2011","03","Neves, J.N.","1995","06","05","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"208",NA,"Ao lado do guarabu amarelo.",NA,NA,NA,"VIES020204",NA,NA,NA,"30",NA,NA,NA
"1299","2019-06-27 10:25:18-03","UFES","VIES","8283","S","Plantae",NA,NA,"Gentianaceae","Irlbachia","purpurascens",NA,"Irlbachia purpurascens","(Aubl.) Maas","Maas, H.","1999",NA,"Pereira, O.J.; Gomes, J.M.L. & Simões, J.M.","1992","10","27","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"3978",NA,"Aracruz Celulose S.A. - Área 103.",NA,NA,NA,"VIES008283","VIES008283",NA,NA,NA,NA,NA,NA
"1300","2019-06-27 10:25:18-03","UFES","VIES","8292","S","Plantae",NA,NA,"Gentianaceae","Irlbachia","purpurascens",NA,"Irlbachia purpurascens","(Aubl.) Maas","Maas, H.","1999",NA,"Pereira, O.J.; Gomes, J.M.L. & Martins, M.L.L.","1992","02","20","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"2784",NA,"Aracruz Celulose S.A. - Área 103.",NA,NA,NA,"VIES008292","VIES008292",NA,NA,NA,NA,NA,NA
"1301","2019-06-27 10:25:18-03","UFES","VIES","8293","S","Plantae",NA,NA,"Gentianaceae","Irlbachia","purpurascens",NA,"Irlbachia purpurascens","(Aubl.) Maas","Maas, H.","1999",NA,"Pereira, O.J.; Gomes, J.M.L. & Pereira, S.V.","1992","07","29","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"3647",NA,"Aracruz Celulose S.A. - Área 106.",NA,NA,NA,"VIES008293","VIES008293",NA,NA,NA,NA,NA,NA
"1302","2019-06-27 10:25:40-03","UFES","VIES","6478","S","Plantae",NA,NA,"Melastomataceae","Miconia","pusilliflora",NA,"Miconia pusilliflora","(DC.) Naudin","Goldenberg, R.","2013",NA,"Pereira, O.J.; et al.","1992","04","28","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"3320",NA,"Aracruz Florestal S.A.",NA,NA,NA,"VIES006478","VIES006478 VIES006478_1",NA,NA,NA,NA,NA,NA
"1303","2019-06-27 10:26:14-03","UFES","VIES","16089","S","Plantae",NA,NA,"Phyllanthaceae","Hyeronima","oblonga",NA,"Hyeronima oblonga","(Tul.) Müll. Arg.","Sobral, M.","2009",NA,"Pereira, O.J.","1992","11","25","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"4217",NA,"Área 100 da Aracruz Celulose S.A.",NA,NA,NA,"VIES016089","VIES016089",NA,NA,NA,NA,NA,NA
"1304","2019-06-27 10:26:37-03","UFES","VIES","9553","S","Plantae",NA,NA,"Rubiaceae","Perama","hirsuta",NA,"Perama hirsuta","Aubl.",NA,NA,NA,"Pereira, O.J.; Gomes, J.M.L. & Martins, M.L.L.","1992","08","26","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"3789",NA,"Área 100 da Aracruz Celulose S.A.",NA,NA,NA,"VIES009553","VIES009553",NA,NA,NA,NA,NA,NA
"1305","2020-03-19 11:39:48-03","UFES","VIES","8150","S","Plantae",NA,NA,"Arecaceae","Desmoncus","orthacanthos",NA,"Desmoncus orthacanthos","Mart.","Fernandes, H.Q.B.","1992","02","Pereira, O.J.; Gomes, J.M.L. & Martins, M.L.L.","1992","11","20","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"2772",NA,"Área 103 - Brejo Grande.",NA,NA,NA,"VIES008150","VIES008150",NA,NA,"24",NA,NA,NA
"1306","2019-06-27 10:25:41-03","UFES","VIES","7823","S","Plantae",NA,NA,"Melastomataceae","Tibouchina",NA,NA,"Tibouchina",NA,NA,NA,NA,"Pereira, O.J.; Gomes, J.M.L. & Martins, M.L.L.","1992","02","20","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"2800",NA,"Área 103 - Brejo Grande.",NA,NA,NA,"VIES007823","VIES007823",NA,NA,NA,NA,NA,NA
"1307","2019-06-27 10:25:29-03","UFES","VIES","6568","S","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis",NA,NA,"Banisteriopsis",NA,"Amorim, A.","1999",NA,"Pereira, O.J.; Gomes, J.M.L. & Simões, J.M.","1992","10","27","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"3998",NA,"Área 103 - Brejo Grande.",NA,NA,NA,"VIES006568","VIES006568",NA,NA,NA,NA,NA,NA
"1308","2019-06-27 10:26:45-03","UFES","VIES","7607","S","Plantae",NA,NA,"Sapindaceae",NA,NA,NA,NA,NA,NA,NA,NA,"Pereira, O.J.; Gomes, J.M.L. & Martins, M.L.L.","1992","11","20","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"2771",NA,"Área 103 - Brejo Grande.",NA,NA,NA,"VIES007607","VIES007607",NA,NA,NA,NA,NA,NA
"1309","2019-09-27 18:05:24-03","UFES","VIES","7822","S","Plantae",NA,NA,"Melastomataceae","Tibouchina",NA,NA,"Tibouchina",NA,"Pereira, O.J.","1992","10","Pereira, O.J.; Gomes, J.M.L. & Simões, J.M.","1992","10","27","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"3980",NA,"Área 103 - Brejo Grande.",NA,NA,NA,"VIES007822","VIES007822 VIES007822_1",NA,NA,"27",NA,NA,NA
"1310","2019-06-27 10:26:46-03","UFES","VIES","7613","S","Plantae",NA,NA,"Sapindaceae","Matayba","guianensis",NA,"Matayba guianensis","Aubl.",NA,NA,NA,"Pereira, O.J.; Gomes, J.M.L. & Simões, J.M.","1992","10","27","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"4007",NA,"Área 103 - Brejo Grande.",NA,NA,NA,"VIES007613","VIES007613",NA,NA,NA,NA,NA,NA
"1311","2019-06-27 10:26:25-03","UFES","VIES","16086","S","Plantae",NA,NA,"Polygalaceae","Securidaca",NA,NA,"Securidaca",NA,NA,NA,NA,"Pereira, O.J.; Gomes, J.M.L. & Simões, J.","1992","10","27","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"4015",NA,"Área 103 - Brejo Grande.",NA,NA,NA,"VIES016086","VIES016086",NA,NA,NA,NA,NA,NA
"1312","2020-03-19 11:41:54-03","UFES","VIES","15110","S","Plantae",NA,NA,"Orchidaceae","Catasetum","discolor",NA,"Catasetum discolor","(Lindl.) Lindl.","Fraga, C.N.","1995","03","Pereira, O.J.; Gomes, J.M.L. & Simões, J.M.","1992","10","27","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"3983",NA,"Área 103 - Brejo Grande.",NA,NA,NA,"VIES015110","VIES015110",NA,NA,"07",NA,NA,NA
"1313","2020-03-19 11:42:21-03","UFES","VIES","9582","S","Plantae",NA,NA,"Rubiaceae","Cordiera",NA,NA,"Cordiera",NA,"F. Torres-Leite",NA,NA,"Pereira, O.J.; Gomes, J.M.L. & Simões, J.M.","1992","10","27","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"3995",NA,"Área 103 - Brejo Grande.",NA,NA,NA,"VIES009582","VIES009582",NA,NA,NA,NA,NA,NA
"1314","2020-03-19 11:41:14-03","UFES","VIES","9683","S","Plantae",NA,NA,"Lamiaceae","Vitex","polygama",NA,"Vitex polygama","Cham.","Pereira, O.J.","1992","02","Pereira, O.J.; Gomes, J.M.L.","1992","02","20","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"2768",NA,"Área 103 - Brejo Grande.",NA,NA,NA,"VIES009683","VIES009683",NA,NA,"20",NA,NA,NA
"1315","2019-09-27 18:03:30-03","UFES","VIES","6982","S","Plantae",NA,NA,"Annonaceae","Xylopia","sericea",NA,"Xylopia sericea","A.St.-Hil.","Pereira, O.J.","1992","10","Pereira, O.J.; Gomes, J.M.L. & Simões, J.","1992","10","27","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"3976",NA,"Área 103 - Brejo Grande.",NA,NA,NA,"VIES006982",NA,NA,NA,"27",NA,NA,NA
"1316","2019-06-27 10:26:48-03","UFES","VIES","7645","S","Plantae",NA,NA,"Sapindaceae","Serjania","dentata",NA,"Serjania dentata","(Vell.) Radlk.",NA,NA,NA,"Pereira, O.J.; Gomes, J.M.L. & Martins, M.L.L.","1992","02","20","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"2795",NA,"Área 103 - Brejo Grande.",NA,NA,NA,"VIES007645","VIES007645",NA,NA,NA,NA,NA,NA
"1317","2020-03-19 11:41:23-03","UFES","VIES","6561","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","hispidula",NA,"Peixotoa hispidula","A.Juss.","Amorim, A.",NA,NA,"Pereira, O.J.; Gomes, J.M.L. & Martins, M.L.L.","1992","02","20","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"2763",NA,"Área 103 - Brejo Grande.",NA,NA,NA,"VIES006561","VIES006561",NA,NA,NA,NA,NA,NA
"1318","2020-03-19 11:39:47-03","UFES","VIES","7029","S","Plantae",NA,NA,"Arecaceae","Bactris","setosa",NA,"Bactris setosa","Mart.","Fernandes, H.Q.B.","1994","02","Pereira, O.J.; Gomes, J.M.L. & Simões, J.M.","1992","10","27","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"4013",NA,"Área 103 - Brejo Grande.",NA,NA,NA,"VIES007029","VIES007029 VIES007029_1",NA,NA,"14",NA,NA,NA
"1319","2019-09-27 18:03:42-03","UFES","VIES","8912","S","Plantae",NA,NA,"Aristolochiaceae","Aristolochia","cordigera",NA,"Aristolochia cordigera","Willd. ex Klotzsch","Freitas, J.","2015","11","Pereira, O.J.; Gomes, J.M.L. & Simões, J.","1992","10","27","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"4001",NA,"Área 103 - Brejo Grande.",NA,NA,NA,"VIES008912","VIES008912",NA,NA,"27",NA,NA,NA
"1320","2019-06-27 10:25:41-03","UFES","VIES","7819","S","Plantae",NA,NA,"Melastomataceae","Rhynchanthera",NA,NA,"Rhynchanthera",NA,NA,NA,NA,"Pereira, O.J.; Gomes, J.M.L. & Simões, J.M.","1992","10","27","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"3960",NA,"Área 103 - Brejo Grande.",NA,NA,NA,"VIES007819","VIES007819 VIES007819_1 VIES007819_2",NA,NA,NA,NA,NA,NA
"1321","2019-09-27 18:05:43-03","UFES","VIES","17687","S","Plantae",NA,NA,"Orchidaceae","Catasetum",NA,NA,"Catasetum",NA,"Pereira, O.J.","1992","11","Pereira, O.J.; Gomes, J.M.L.","1992","11","20","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"2791",NA,"Área 103 - Brejo Grande.",NA,NA,NA,"VIES017687","VIES017687",NA,NA,"20",NA,NA,NA
"1322","2019-06-27 10:25:26-03","UFES","VIES","16085","S","Plantae",NA,NA,"Loganiaceae","Spigelia",NA,NA,"Spigelia",NA,NA,NA,NA,"Pereira, O.J.; Gomes, J.M.L. & Simões, J.","1992","10","27","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"3971",NA,"Área 103 - Brejo Grande.",NA,NA,NA,"VIES016085","VIES016085",NA,NA,NA,NA,NA,NA
"1323","2020-03-19 11:40:43-03","UFES","VIES","7712","S","Plantae",NA,NA,"Euphorbiaceae","Manihot","tripartita","humilis","Manihot tripartita humilis","(Müll.Arg.) D.J.Rogers & Appan","Martins, M.L.L.","2009","09","Pereira, O.J.; Gomes, J.M.L. & Martins, M.L.L.","1992","07","28","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"2807",NA,"Área 103 - Brejo Grande. Restinga.",NA,NA,NA,"VIES007712","VIES007712",NA,NA,"04",NA,NA,NA
"1324","2020-03-19 11:40:25-03","UFES","VIES","16087","S","Plantae",NA,NA,"Connaraceae","Rourea","glabra",NA,"Rourea glabra","Kunth","C.A.P. Toledo",NA,NA,"Pereira, O.J.; Gomes, J.M.L. & Simões, J.","1992","10","27","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"4003",NA,"Área 103 - Brejo Grande. Restinga de Ericaceae",NA,NA,NA,"VIES016087","VIES016087",NA,NA,NA,NA,NA,NA
"1325","2019-06-27 10:24:26-03","UFES","VIES","8565","S","Plantae",NA,NA,"Cactaceae","Pereskia","aculeata",NA,"Pereskia aculeata","Mill.",NA,NA,NA,"Pereira, O.J.; Gomes, J.M.L. & Martins, M.L.L.","1992","02","20","Brasil","Espírito Santo","Aracruz","-40.2733001708984","-19.8202991485596","37987",NA,"auto",NA,"2773",NA,"Área 103 da Aracruz Celulose S.A.",NA,NA,NA,"VIES008565","VIES008565",NA,NA,NA,NA,NA,NA
