"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","recordNumber","class","infraspecificEpithet","continentOcean","preparationType","barcode","imagecode","typeStatus","previousCatalogNumber","relatedCatalogItem"
"3172","2019-10-02 14:53:06-03","UFMG","BHCB","584","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Croton","floribundus","Croton floribundus","Spreng.",NA,NA,NA,NA,"Coletor Desconhecido","1942",NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051","Arbóreo.; Capoeira.","auto",NA,NA,NA,NA,NA,"s.n.",NA,NA,"Southern America",NA,"BHCB013419","BHCB013419",NA,NA,NA
"3173","2019-10-02 14:51:21-03","UFMG","BHCB","37529","PreservedSpecimen","Plantae","Dicotyledon",NA,"Bignoniaceae","Arrabidaea","formosa","Arrabidaea formosa","(Bureau) Sandwith",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"s.n.",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3174","2019-10-02 14:57:12-03","UFMG","BHCB","73351","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Miconia","ligustroides","Miconia ligustroides","(DC.) Naudin",NA,NA,NA,NA,"Barreto, HLM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"6669",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3175","2019-10-02 14:56:45-03","UFMG","BHCB","68082","PreservedSpecimen","Plantae","Dicotyledon",NA,"Melastomataceae","Clidemia","urceolata","Clidemia urceolata","DC.",NA,"2018","05",NA,"Magalhães, GM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051","Arbusto 2,0m. Flor alva","auto",NA,NA,NA,NA,NA,"2684",NA,NA,"Southern America",NA,"BHCB046264",NA,NA,NA,NA
"3176","2019-10-02 14:56:07-03","UFMG","BHCB","67548","PreservedSpecimen","Plantae","Dicotyledon",NA,"Malpighiaceae","Heteropterys","bicolor","Heteropterys bicolor","A.Juss.",NA,NA,NA,NA,"Magalhães, GM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"2311",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3177","2019-10-02 15:04:57-03","UFMG","BHCB","65276","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","glandulosa","Lippia glandulosa","Schauer",NA,NA,NA,NA,"Barreto, HLM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"3212",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3178","2019-10-02 15:04:57-03","UFMG","BHCB","65279","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","glandulosa","Lippia glandulosa","Schauer",NA,NA,NA,NA,"Magalhães, GM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"2650",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3179","2019-10-02 15:04:57-03","UFMG","BHCB","65280","PreservedSpecimen","Plantae","Dicotyledon",NA,"Verbenaceae","Lippia","glandulosa","Lippia glandulosa","Schauer",NA,NA,NA,NA,"Magalhães, GM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"2436",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3180","2019-10-02 14:52:02-03","UFMG","BHCB","22635","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Maytenus","gonoclada","Maytenus gonoclada","Mart.",NA,NA,NA,NA,"Lombardi, JA","1993","09","29","Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"s.n.",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3181","2019-10-02 14:52:02-03","UFMG","BHCB","22635","PreservedSpecimen","Plantae","Dicotyledon",NA,"Celastraceae","Maytenus","gonoclada","Maytenus gonoclada","Mart.",NA,NA,NA,NA,"Lombardi, JA","1993","09","29","Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"s.n.",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
"3182","2019-10-02 15:00:39-03","UFMG","BHCB","72836","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","splendens","Myrcia splendens","(Sw.) DC.",NA,NA,NA,NA,"Magalhães, GM",NA,NA,NA,"Brasil","Minas Gerais","Caeté",NA,"-43.6697006225586","-19.8799991607666","22051",NA,"auto",NA,NA,NA,NA,NA,"2719",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA
