"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","recordNumber","class","infraspecificEpithet","continentOcean","preparationType","barcode","imagecode","typeStatus","previousCatalogNumber","relatedCatalogItem"
"1","2019-06-10 10:10:38-03","FZB-BH","CVJBFZB","1433","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Vellozia","sellowii","Vellozia sellowii","Seub.","Carlos A. Ferreira Jr.","2009","05","24","Carlos Alberto F. Jr.; Alysson Rezende","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade, área da capelinha de baixo","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1309","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","cf. bituminosa","Vriesea cf. bituminosa","Wawra.","Carlos A. Ferreira Jr.","2009","05","25","Carlos Alberto F. Jr.;","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade - Caminho do milagre","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1304","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Cryptanthus","schwackeanus","Cryptanthus schwackeanus","Mez.","Carlos A. Ferreira Jr.","2009","05","25","Carlos Alberto F. Jr.;","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade - Caminho da Capela antiga","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:47-03","FZB-BH","CVJBFZB","1451","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Tillandsia","stricta","Tillandsia stricta","Sol.","Carlos A. Ferreira Jr.","2010","05","17","Carlos Alberto F. Jr.; Alysson Rezende","2010","05","16","Brasil","Minas Gerais","Caeté","Milagre, Serra da Piedade","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","1452","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Vriesea","bituminosa","Vriesea bituminosa","Wawra.","Carlos A. Ferreira Jr.","2010","04","01","Carlos Alberto F. Jr.; Rainna Souza Gomes e Allysson Rezende","2010","04","01","Brasil","Minas Gerais","Caeté","Serra da Piedade, área lateral (Leste) da última curva anterior ao topo da Serra","-43.6697006225586","-19.8799991607666","22051","254","auto","1","43°40.319'","19°49.293'","1667","1667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","2345","S","Plantae","Pterifophyta",NA,"Dryopteridaceae","Elaphoglossum","sp.","Elaphoglossum sp.",NA,"Carlos A. Ferreira Jr.","2009","05","25","Carlos Alberto F. Jr.;","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","1836","S","Plantae","Pteridophyta",NA,"Pteridaceae","Adiantum","sp.","Adiantum sp.",NA,"Carlos A. Ferreira Jr.","2010","07","12","Carlos Alberto F. Jr.; Thaynara Ferreira e Alysson Rezende","2010","07","11","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG435","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,"43°39.129'","19°48.727'","1247","1247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","1621","S","Plantae","Pteridophyta",NA,"Pteridaceae","Adiantum","sp.","Adiantum sp.",NA,"Carlos A. Ferreira Jr.","2011","01","09","Carlos Alberto F. Jr.;","2011","01","09","Brasil","Minas Gerais","Caeté","Serra da Piedade, entrada de terra na Mata antes do ponto de onibus do Asílo São Luiz","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,"43°39'25","19°48'59","1226","1226","CAF129",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","1476","S","Plantae","Pterydophyta",NA,"Anemiaceae","Anemia","gardneri","Anemia gardneri","Hook.","Carlos A. Ferreira Jr.","2011","12","12","Carlos Alberto F. Jr.; Alysson Rezende","2010","05","30","Brasil","Minas Gerais","Caeté","Funil - Próximo ao corrego Caeté","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","1828","S","Plantae","Pterydophyta",NA,"Anemiaceae","Anemia","raddiana","Anemia raddiana","Link","Carlos A. Ferreira Jr.","2010","07","12","Carlos Alberto F. Jr.; Thaynara Ferreira e Alysson Rezende","2010","07","11","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG435","-43.6697006225586","-19.8799991607666","22051","254","auto","1","43°39.696'","19°48.935'","1252","1252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","2348","S","Plantae","Pterydophyta",NA,"Anemiaceae","Anemia","raddiana","Anemia raddiana","Link","Carlos A. Ferreira Jr.","2009","05","25","Carlos Alberto F. Jr.;","2009","05","24","Brasil","Minas Gerais","Caeté","biquinha - atras da Escola NUCEC","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","1617","S","Plantae","Pterydophyta",NA,"Anemiaceae","Anemia","raddiana","Anemia raddiana","Link","Carlos A. Ferreira Jr.","2011","01","09","Carlos Alberto F. Jr.;","2011","01","09","Brasil","Minas Gerais","Caeté","Serra da Piedade, entrada de terra na Mata antes do ponto de onibus do Asílo São Luiz","-43.6697006225586","-19.8799991607666","22051","254","auto","1","43°39'51","19°49'05","1340","1340","CAF126",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","1555","S","Plantae","Pterydophyta",NA,"Anemiaceae","Anemia","sp.","Anemia sp.",NA,"Carlos A. Ferreira Jr.","2011","01","23","Carlos Alberto F. Jr.;","2011","01","23","Brasil","Minas Gerais","Caeté","Biquinha, área atrás da E. E. José Brandão","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,"43°40'29","19°53'14","937","937","CAF160",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-06-10 10:11:04-03","FZB-BH","CVJBFZB","2349","S","Plantae","Pterydophyta",NA,"Anemiaceae","Anemia","sp.","Anemia sp.",NA,"Carlos A. Ferreira Jr.","2009","05","25","Carlos Alberto F. Jr.;","2009","05","24","Brasil","Minas Gerais","Caeté","biquinha - atras da Escola NUCEC","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","1437","S","Plantae","Magnoliophyta","Alismatales","Araceae","Anthurium","scandens","Anthurium scandens","(Aubl.) Engl.","Carlos A. Ferreira Jr.","2009","05","24","Carlos Alberto F. Jr.; Alysson Rezende","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade, caminho de subida da capela de baixo para o topo.","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,"Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1438","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Arthrocereus","glaziovii","Arthrocereus glaziovii","(K.Schum.) N.P.Taylor & Zappi.","Carlos A. Ferreira Jr.","2009","05","24","Carlos Alberto F. Jr.; Alysson Rezende","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade, caminho de subida da capela de baixo para o topo.","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","1439","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Arthrocereus","glaziovii","Arthrocereus glaziovii","(K.Schum.) N.P.Taylor & Zappi.","Carlos A. Ferreira Jr.","2009","05","24","Carlos Alberto F. Jr.; Alysson Rezende","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade, caminho de subida da capela de baixo para o topo.","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-06-10 10:10:57-03","FZB-BH","CVJBFZB","2573","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aspidogyne","hylibates","Aspidogyne hylibates","(Rchb.f.) Garay","Mathias Engels","2014","01","21","Carlos Alberto F. Jr.;","2013","05","06","Brasil","Minas Gerais","Caeté","Serra da Piedade, entrada de terra na Mata antes do ponto de onibus do Asílo São Luiz","-43.6697006225586","-19.8799991607666","22051","254","auto","1","43°39'01","19°48'43","1249","1249","CAF1066","Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-06-10 10:10:57-03","FZB-BH","CVJBFZB","2572","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Aspidogyne","hylibates","Aspidogyne hylibates","(Rchb.f.) Garay","Mathias Engels","2014","01","21","Carlos Alberto F. Jr.;","2013","05","06","Brasil","Minas Gerais","Caeté","Serra da Piedade, entrada de terra na Mata antes do ponto de onibus do Asílo São Luiz","-43.6697006225586","-19.8799991607666","22051","254","auto","1","43°39'01","19°48'43","1249","1249","CAF1066","Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","2346","S","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","auritum","Asplenium auritum","Sw.","Carlos A. Ferreira Jr.","2008","05","25","Carlos Alberto F. Jr.;","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,"Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","2347","S","Plantae","Pteridophyta","Polypodiales","Aspleniaceae","Asplenium","auritum","Asplenium auritum","Sw.","Carlos A. Ferreira Jr.","2008","05","25","Carlos Alberto F. Jr.;","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,"Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","1859","S","Plantae","Magnoliophyta","Alismatales","Araceae","Asterostigma","lombardii","Asterostigma lombardii","E.G.Gonç.","Carlos A. Ferreira Jr.","2011","01","09","Carlos Alberto F. Jr.;","2011","01","09","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG436","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,"43º39'39","19º49'08","1259","1259","CAF140","Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","1429","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","luzulifolia","Barbacenia luzulifolia","Mart. ex Schult. & Schult.f.","Carlos A. Ferreira Jr.","2009","05","24","Carlos Alberto F. Jr.; Alysson Rezende","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade, área da capelinha de baixo","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","1616","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","sellowii","Barbacenia sellowii","Goethart & Henrard","Carlos A. Ferreira Jr.","2012","01","13","Carlos Alberto F. Jr.;","2012","01","13","Brasil","Minas Gerais","Caeté","Morro do serrote próximo as torres de TV.","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,"43º40'40","19º53'05","1047","1047","CAF361",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-06-10 10:10:35-03","FZB-BH","CVJBFZB","3916","S","Plantae","Magnoliophyta","Pandanales","Velloziaceae","Barbacenia","sp.","Barbacenia sp.",NA,"Carlos Alberto","2016","10","02","Carlos Alberto; Fernando Campos","2016","11","02","Brasil","MG","Caeté","Pousada Canela de Ema, Pedra da Cambota, Trilha das Pedras Caídas","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,NA,NA,NA,NA,"CAF1630",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1818","S","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","angularis","Begonia angularis","Raddi","Carlos A. Ferreira Jr.","2010","04","19","Carlos Alberto F. Jr.; Thaynara Ferreira e Alysson Rezende","2010","04","18","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG435","-43.6697006225586","-19.8799991607666","22051","254","auto","1","43°39.129'","19°48.727'","1247","1247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1824","S","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","cf. digitata","Begonia cf. digitata","Raddi","Carlos A. Ferreira Jr.","2010","07","12","Carlos Alberto F. Jr.; Thaynara Ferreira e Alysson Rezende","2010","07","11","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG435","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,"43°39.484'","19°48.907'","1246","1246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1823","S","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","cf. digitata","Begonia cf. digitata","Raddi","Carlos A. Ferreira Jr.","2010","04","19","Carlos Alberto F. Jr.; Thaynara Ferreira e Alysson Rezende","2010","04","18","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG435","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,"43°39.484'","19°48.907'","1246","1246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1436","S","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","rufa","Begonia rufa","Thunb.","Carlos A. Ferreira Jr.","2009","05","24","Carlos Alberto F. Jr.; Alysson Rezende","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade, caminho de subida da capela de baixo para o topo.","-43.6697006225586","-19.8799991607666","22051","254","auto","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","2286","S","Plantae","Pteridophyta",NA,"Blechnaceae","Blechnum","brasiliense","Blechnum brasiliense","Desv.",NA,NA,NA,NA,"Fernando Campos;",NA,NA,NA,"Brasil","Minas Gerais","Caeté","Rancho Novo","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","1829","S","Plantae","Pteridophyta",NA,"Blechnaceae","Blechnum","cf. divergens","Blechnum cf. divergens","(Kunze) Mett.","Carlos A. Ferreira Jr.","2010","07","12","Carlos Alberto F. Jr.; Thaynara Ferreira e Alysson Rezende","2010","07","11","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG435","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,"43°39.484'","19°48.907'","1246","1246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","3331","S","Plantae","Pteridophyta",NA,"Blechnaceae","Blechnum","cf. polypodioides","Blechnum cf. polypodioides","Raddi.","Carlos A. Ferreira Jr.","2011","01","23","Carlos Alberto F. Jr.;","2011","01","23","Brasil","Minas Gerais","Caeté","Biquinha, área atrás da E. E. José Brandão","-43.6697006225586","-19.8799991607666","22051","254","auto","1","43°40'27","19°53'14","931","931","CAF159",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","1830","S","Plantae","Pteridophyta",NA,"Blechnaceae","Blechnum","cf. proliferum","Blechnum cf. proliferum","Rosenst.","Carlos A. Ferreira Jr.","2010","07","12","Carlos Alberto F. Jr.; Thaynara Ferreira e Alysson Rezende","2010","07","11","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG435","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,"43°39.484'","19°48.907'","1246","1246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","1477","S","Plantae","Pteridophyta",NA,"Blechnaceae","Blechnum","lanceola","Blechnum lanceola","Sw.","Carlos A. Ferreira Jr.","2010","05","30","Carlos Alberto F. Jr.; Alysson Rezende","2010","05","30","Brasil","Minas Gerais","Caeté","Funil - Próximo ao corrego Caeté","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","1825","S","Plantae","Pteridophyta",NA,"Blechnaceae","Blechnum","sp.","Blechnum sp.",NA,"Carlos A. Ferreira Jr.","2010","07","12","Carlos Alberto F. Jr.; Thaynara Ferreira e Alysson Rezende","2010","07","11","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG435","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,"43°39.696'","19°48.935'","1252","1252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","2231","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","sp.","Bulbophyllum sp.",NA,"Carlos A. Ferreira Jr.","2009","05",NA,"Carlos Alberto F. Jr.;","2009","09",NA,"Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,"Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-06-10 10:10:58-03","FZB-BH","CVJBFZB","2246","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Bulbophyllum","sp.","Bulbophyllum sp.",NA,"Carlos A. Ferreira Jr.","2010","01",NA,"Carlos Alberto F. Jr.;","2010","01","17","Brasil","Minas Gerais","Caeté","Serra da Piedade","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,"Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-06-10 10:10:52-03","FZB-BH","CVJBFZB","3273","S","Plantae","Magnoliophyta","Zingiberales","Marantaceae","Calathea","sp.","Calathea sp.",NA,"Carlos A. Ferreira Jr.","2014","01","05","Carlos Alberto F. Jr.;","2014","01","05","Brasil","Minas Gerais","Caeté","Estrada para Antônio dos Santos, atras da Pedrona.","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,NA,NA,NA,NA,"CAF1331",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-06-10 10:11:02-03","FZB-BH","CVJBFZB","1626","S","Plantae","Pteridophyta",NA,"Polypodiaceae","Campyloneurum","sp.","Campyloneurum sp.",NA,"Carlos A. Ferreira Jr.","1997","09",NA,"Carlos Alberto F. Jr.;","1997","09",NA,"Brasil","Minas Gerais","Caeté","Serra da Piedade, na área de mata atrás da capela de São Sebastião.","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-06-10 10:11:02-03","FZB-BH","CVJBFZB","2340","S","Plantae","Pteridophyta",NA,"Polypodiaceae","Campyloneurum","sp.","Campyloneurum sp.",NA,"Lúcia Porto","2008","09","05","Carlos Alberto F. Jr.;",NA,NA,NA,"Brasil","Minas Gerais","Caeté","Funil","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","1453","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","longipes","Cattleya longipes","(Rchb.f.) Van den Berg","Carlos A. Ferreira Jr.","2018","11","12","Carlos Alberto F. Jr.; Rainna Souza Gomes e Allysson Rezende","2010","04","01","Brasil","Minas Gerais","Caeté","Serra da Piedade, área lateral (Leste) da última curva anterior ao topo da Serra","-43.6697006225586","-19.8799991607666","22051","254","auto","1","43°40.350'","19°49.232'","1643","1643",NA,"Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2234","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","longipes","Cattleya longipes","(Rchb.f.) Van den Berg","Carlos A. Ferreira Jr.","2009","05",NA,"Carlos Alberto F. Jr.;","2001","07",NA,"Brasil","Minas Gerais","Caeté","Serra do Garimpo - Antônio dos Santos","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,NA,NA,NA,NA,NA,"Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2235","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","longipes","Cattleya longipes","(Rchb.f.) Van den Berg","Carlos A. Ferreira Jr.","2009","05",NA,"Carlos Alberto F. Jr.;","2001","07",NA,"Brasil","Minas Gerais","Caeté","Serra do Garimpo - Antônio dos Santos","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,"Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","1459","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cattleya","sp.","Cattleya sp.",NA,"Carlos A. Ferreira Jr.","2010","04","01","Carlos Alberto F. Jr.; Rainna Souza Gomes","2010","04","01","Brasil","Minas Gerais","Caeté","serra da piedade","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,NA,NA,NA,NA,NA,"Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-06-10 10:10:43-03","FZB-BH","CVJBFZB","1305","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Cryptanthus","schwackeanus","Cryptanthus schwackeanus","Mez.","Carlos A. Ferreira Jr.","2009","05","25","Carlos Alberto F. Jr.;","2009","05","24","Brasil","Minas Gerais","Caeté","Serra da Piedade - Caminho da Capela antiga","-43.6697006225586","-19.8799991607666","22051","254","auto","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","1834","S","Plantae","Pterifophyta",NA,"Cyatheaceae","Cyathea","cf. sp.","Cyathea cf. sp.",NA,"Carlos A. Ferreira Jr.","2010","07","12","Carlos Alberto F. Jr.; Thaynara Ferreira e Alysson Rezende","2010","07","11","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG435","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,"43°39.571'","19°48.952'","1256","1256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","1832","S","Plantae","Pterifophyta",NA,"Cyatheaceae","Cyathea","corcovadensis","Cyathea corcovadensis","(Raddi) Domin","Carlos A. Ferreira Jr.","2010","07","12","Carlos Alberto F. Jr.; Thaynara Ferreira e Alysson Rezende","2010","07","11","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG435","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,"43°39.571'","19°48.952'","1256","1256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","1833","S","Plantae","Pterifophyta",NA,"Cyatheaceae","Cyathea","sp.","Cyathea sp.",NA,"Carlos A. Ferreira Jr.","2010","07","12","Carlos Alberto F. Jr.; Thaynara Ferreira e Alysson Rezende","2010","07","11","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG435","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,"43°39.696'","19°48.935'","1252","1252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2242","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","sp.","Cyrtopodium sp.",NA,"Carlos A. Ferreira Jr.","2009","05",NA,"Carlos Alberto F. Jr.;","2009","04","25","Brasil","Minas Gerais","Caeté","Biquinha - proximo ao final da rua do posto","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,NA,NA,NA,NA,NA,"Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA
"50","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2220","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","sp.","Cyrtopodium sp.",NA,"Carlos A. Ferreira Jr.","2008","04",NA,"Carlos Alberto F. Jr.;",NA,NA,NA,"Brasil","Minas Gerais","Caeté","Morro do Serrote","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,NA,NA,NA,NA,NA,"Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA
"51","2019-06-10 10:10:59-03","FZB-BH","CVJBFZB","2229","S","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Cyrtopodium","sp.","Cyrtopodium sp.",NA,"Carlos A. Ferreira Jr.","2008","04",NA,"Carlos Alberto F. Jr.;",NA,NA,NA,"Brasil","Minas Gerais","Caeté","Morro do Serrote","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,NA,NA,NA,NA,NA,"Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA
"52","2019-06-10 10:11:03-03","FZB-BH","CVJBFZB","1827","S","Plantae","Pteridophyta",NA,"Woodsiaceae","Diplazium","plantaginifolium","Diplazium plantaginifolium","(L.) Urb.","Carlos A. Ferreira Jr.","2010","08","10","Carlos Alberto F. Jr.; Thaynara Ferreira e Alysson Rezende","2010","07","11","Brasil","Minas Gerais","Caeté","Estrada próxima ao Asilo São Luis na MG435","-43.6697006225586","-19.8799991607666","22051","254","auto",NA,"43°39.696'","19°48.935'","1252","1252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
