"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","coordinatePrecision","geoFlag","monthIdentified","previousCatalogNumber","dayIdentified","individualCount","class","relatedCatalogItem"
"181","2019-09-24 15:03:56-03","CAS","CAS-BOT","297725","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","ibaguensis","Miconia ibaguensis","(Bonpl.) Triana",NA,NA,"Arbo, M.M.; Mello-Silva, R.; Schinini, A.; Souza, V. C.","4331","1990","05",NA,"South America","Brazil","Minas Gerais","Alvorada De Minas","Alrededores de Itapanhoacan ga, base de la Serra do Espinhaco.","-43.45","-18.7666666667","-43.4500000000","-18.7666666667","800","800",NA,"Arbolito 2m.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA
"182","2020-03-06 14:40:39-03","UFRGS","ICN","126491","S","Plantae","Monocotyledon",NA,"Poaceae","Saccharum","cf. asperum","Saccharum cf. asperum","(Nees) Steud.","Zanin, A",NA,"Zanin, A; Araújo, AC","699","1997","12","10","América do Sul","Brasil","MG","Alvorada de Minas","estrada para Serro, 30 km antes de Serro - 1 km após a entrada para MG 10","-43.3652992248535","-18.7360992431641",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18475","auto",NA,NA,NA,NA,NA,NA
"183","2019-11-21 10:07:46-03","IBt","SP","405424","S","Plantae",NA,NA,"Malpighiaceae","Banisteriopsis",NA,"Banisteriopsis",NA,NA,NA,"Forzza, RC; Mello-Silva, R; Monteiro, RF; Saavedra, MM","4827","2007","11","14",NA,"Brasil","Minas Gerais","Alvorada de Minas","Estrada para Itapanhoacanga, cachoeira Campinas, 3 km de Itapanhoacanga","-43.443056","-18.7975","-43.443056","-18.7975",NA,NA,NA,NA,"SP021444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","2019-11-21 10:08:10-03","IBt","SP","471910","S","Plantae",NA,NA,"Malpighiaceae","Byrsonima",NA,"Byrsonima",NA,NA,NA,"Saavedra, MM; Mello-Silva, R; Forzza, RC; Monteiro, RF","530","2007","11","14",NA,"Brasil","Minas Gerais","Alvorada de Minas","Itapanhoacanga. Estrada Itapanhoacanga - Cachoeira Campinas, 3 km de Itapanhoacanga","-43.443056","-18.7975","-43.443056","-18.7975","846","846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","2019-11-21 10:08:35-03","IBt","SP","247333","S","Plantae",NA,NA,"Malpighiaceae","Byrsonima","variabilis","Byrsonima variabilis","A.Juss.","Anderson, WR","1990","Arbo, MM; Mello-Silva, R; Schinini, A; Souza, VC","4312","1990","05","17",NA,"Brasil","Minas Gerais","Alvorada de Minas","Alrededores de Itapanhoacanga, base de la Serra do Espinhaço","-43.45","-18.766667","-43.45","-18.766667","860","860",NA,NA,"SP016435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","2019-11-21 10:08:54-03","IBt","SP","405425","S","Plantae",NA,NA,"Malpighiaceae","Heteropterys","nervosa","Heteropterys nervosa","A.Juss.","Mamede, MCH","2010","Forzza, RC; Mello-Silva, R; Monteiro, RF; Saavedra, MM","4845","2007","11","14",NA,"Brasil","Minas Gerais","Alvorada de Minas","Estrada para Itapanhoacanga, cachoeira Campinas, 3 km de Itapanhoacanga","-43.443056","-18.7975","-43.443056","-18.7975",NA,NA,NA,NA,"SP018827",NA,NA,NA,NA,"11",NA,NA,NA,NA,NA
"187","2019-11-21 10:04:20-03","IBt","SP","247371","S","Plantae",NA,NA,"Euphorbiaceae","Mabea","fistulifera","Mabea fistulifera","Mart.","Cordeiro, I",NA,"Arbo, MM; Mello-Silva, R; Schinini, A; Souza, VC","4329","1990","05","17",NA,"Brasil","Minas Gerais","Alvorada de Minas","alrededores de Itapanhoacanga, base de la Serra do Espinhaço, selva degradada, suelo rojo","-43.45","-18.766667","-43.45","-18.766667","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","2019-11-21 10:04:31-03","IBt","SP","247334","S","Plantae",NA,NA,"Euphorbiaceae","Microstachys","glandulosa","Microstachys glandulosa","(Mart. & Zucc.) Esser & M.J.Silva","Pscheidt, AC","2013","Arbo, MM; Mello-Silva, R; Schinini, A; Souza, VC","4310","1990","05","17",NA,"Brasil","Minas Gerais","Alvorada de Minas","alrededores de Itapanhoacanga, base de la Serra do Espinhaço, ladera de cerro con afloramientos rocosos cuarciticos y borde de selva","-43.45","-18.766667","-43.45","-18.766667","860","860",NA,"Arbusto 1-2m.",NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA
"189","2019-11-21 10:09:08-03","IBt","SP","247370","S","Plantae",NA,NA,"Malpighiaceae","Peixotoa","parviflora","Peixotoa parviflora","A.Juss.","Anderson, CE","1990","Arbo, MM; Mello-Silva, R; Schinini, A; Souza, VC","4336","1990","05","17",NA,"Brasil","Minas Gerais","Alvorada de Minas","Arredores de Itapanhoacanga, base de la Serra do Espinhaço","-43.45","-18.766667","-43.45","-18.766667",NA,NA,NA,NA,"SP020446","SP020446",NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","2019-11-21 10:09:26-03","IBt","SP","473558","S","Plantae",NA,NA,"Malvaceae","Pseudobombax",NA,"Pseudobombax",NA,NA,NA,"Menini Neto, L; et al.","702","2009","05","24",NA,"Brasil","Minas Gerais","Alvorada de Minas","Distrito de Itapanhoacanga, estrada para Cachoeira Campina, a 3 km de Itapanhoacanga","-43.443333","-18.798333","-43.443333","-18.798333","838","838",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","2019-11-21 10:19:58-03","IBt","SP","247170","S","Plantae",NA,NA,"Xyridaceae","Xyris","minarum","Xyris minarum","Seub.",NA,NA,"Arbo, MM; et al.","4319","1990","05","17",NA,"Brasil","Minas Gerais","Alvorada de Minas","Alrededores de Itapanhoacanga, base de la Serra do Espinhaço","-43.45","-18.766667","-43.45","-18.766667","860","860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","2019-11-21 10:20:01-03","IBt","SP","247168","S","Plantae",NA,NA,"Xyridaceae","Xyris","seubertii","Xyris seubertii","L.A.Nilsson",NA,NA,"Arbo, MM; et al.","4325","1990","05","17",NA,"Brasil","Minas Gerais","Alvorada de Minas","Alrededores de Itapanhoacanga, base de la Serra do Espinhaço","-43.3652992248535","-18.7360992431641",NA,NA,"860","860",NA,NA,NA,NA,NA,"18475","auto",NA,NA,NA,NA,NA,NA
"193","2019-11-21 10:03:53-03","IBt","SP","340940","S","Plantae",NA,NA,"Euphorbiaceae","Aparisthmium","cordatum","Aparisthmium cordatum","(A.Juss.) Baill.","Cordeiro, I",NA,"Hatschbach, G; et al.","67455","1997","11","24",NA,"Brasil","Minas Gerais","Alvorada de Minas","Itapanhoacanga. Floresta do alto de morro.","-43.3652992248535","-18.7360992431641",NA,NA,NA,NA,NA,"Árvore com 4m de altura, fruto avermelhado.",NA,NA,NA,"18475","auto",NA,NA,NA,NA,NA,NA
