"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","occurrenceRemarks","barcode","imagecode","phylum","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","infraspecificEpithet","class","order","typeStatus"
"71","2019-11-07 11:15:46-03","UFMG","BHCB-SL","130596","PreservedSpecimen","Plantae","Cyatheaceae","Cyathea",NA,"Cyathea",NA,"Almeida, TE","2009","07","07","Almeida, TE; Souza, DT","2017","2009","07","07","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Mata de galeria, próximo à comunidade de Quenta-Sol","-42.563556","-18.981361",NA,NA,"Arborescente ao lado de córrego, com 2m de altura Pecíolo com 100 cm, lâmina com 220cm. Área aberta",NA,NA,NA,"América","-42.563556","-18.981361","529","529",NA,NA,NA,NA,NA,NA
"72","2019-11-07 11:15:57-03","UFMG","BHCB-SL","130596","PreservedSpecimen","Plantae","Cyatheaceae","Cyathea","hirsuta","Cyathea hirsuta","C.Presl","Salino, A","2015","09",NA,"Almeida, TE; Souza, DT","2017","2009","07","07","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Mata de galeri, próximo à comunidade de Quenta-Sol.","42.563611","18.981389",NA,NA,"Arborescente ao lado de córrego, com 2m de altura. Pecíolo com 100cm, lâmina com 220cm. Área aberta.",NA,NA,NA,"América","42.563611","18.981389","529","529",NA,NA,NA,NA,NA,NA
"73","2019-11-07 11:15:57-03","UFMG","BHCB-SL",NA,"PreservedSpecimen","Plantae","Cyatheaceae","Cyathea","hirsuta","Cyathea hirsuta","C.Presl","Salino, A","2015","09",NA,"Almeida, TE; Souza, DT","2017","2009","07","07","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Mata de galeri, próximo à comunidade de Quenta-Sol.","42.563611","18.981389",NA,NA,"Arborescente ao lado de córrego, com 2m de altura. Pecíolo com 100cm, lâmina com 220cm. Área aberta.",NA,NA,NA,"América","42.563611","18.981389","529","529",NA,NA,NA,NA,NA,NA
"74","2019-11-07 11:17:08-03","UFMG","BHCB-SL","133901","PreservedSpecimen","Plantae","Gleicheniaceae","Dicranopteris","flexuosa","Dicranopteris flexuosa","(Schrad.) Underw.","Almeida, TE","2009","09","24","Almeida, TE; Souza, DT","2105","2009","09","24","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Mata Ciliar","-42.520389","-18.949611",NA,NA,"Erva terrestre em barranco a beira do rio, próximo a pasto",NA,NA,NA,"América","-42.520389","-18.949611","470","470",NA,NA,NA,NA,NA,NA
"75","2020-03-04 20:43:04-03","UFMG","BHCB-SL","128824","PreservedSpecimen","Plantae","Athyriaceae","Diplazium","asplenioides","Diplazium asplenioides","(Kunze) C.Presl","Mynssen, CM","2014","11",NA,"Almeida, TE; Souza, DT","1921","2009","03","29","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Floresta Estadual Semidecidual","-42.485167","-18.938083",NA,NA,"Terrestre a beira de córrego, interior de mata",NA,NA,NA,"América","-42.485167","-18.938083","496","496",NA,NA,NA,NA,NA,NA
"76","2019-11-07 11:17:10-03","UFMG","BHCB-SL","133903","PreservedSpecimen","Plantae","Gleicheniaceae","Gleichenella","pectinata","Gleichenella pectinata","(Willd.) Ching","Almeida, TE","2009","09","24","Almeida, TE; Souza, DT","2107","2009","09","24","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Floresta Estacional Semidecidual","-42.563556","-18.981361",NA,NA,"Erva terrestre em barranco",NA,NA,NA,"América","-42.563556","-18.981361","529","529",NA,NA,NA,NA,NA,NA
"77","2019-11-07 11:19:50-03","UFMG","BHCB-SL","128819","PreservedSpecimen","Plantae","Pteridaceae","Hemionitis","tomentosa","Hemionitis tomentosa","(Lam.) Raddi","Almeida, TE","2009","03","29","Almeida, TE; Souza, DT","1916","2009","03","29","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Floresta Estadual Semidecidual","-42.485167","-18.938083",NA,NA,"Terrestre no interior de mata",NA,NA,NA,"América","-42.485167","-18.938083","496","496",NA,NA,NA,NA,NA,NA
"78","2019-11-07 11:18:04-03","UFMG","BHCB-SL","128801","PreservedSpecimen","Plantae","Lygodiaceae","Lygodium","venustum","Lygodium venustum","Sw.","Almeida, TE","2009","03","26","Almeida, TE; Souza, DT","1898","2009","03","26","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Floresta Estadual Semidecidual","-42.546417","-18.966472",NA,NA,"Treapdeira em borda de mata",NA,NA,NA,"América","-42.546417","-18.966472","500","500",NA,NA,NA,NA,NA,NA
"79","2019-11-07 11:18:04-03","UFMG","BHCB-SL","130600","PreservedSpecimen","Plantae","Lygodiaceae","Lygodium","volubile","Lygodium volubile","Sw.","Almeida, TE","2009","07","10","Almeida, TE; Souza, DT","2021","2009","07","10","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Floresta Estacional Semidecidual","-42.489444","-18.948917",NA,NA,"Trepadeira em borda de floresta",NA,NA,NA,"América","-42.489444","-18.948917","330","330",NA,NA,NA,NA,NA,NA
"80","2019-11-07 11:18:40-03","UFMG","BHCB-SL","128828","PreservedSpecimen","Plantae","Polypodiaceae","Microgramma","vacciniifolia","Microgramma vacciniifolia","(Langsd. & Fisch.) Copel.","Almeida, TE","2013",NA,NA,"Almeida, TE; Souza, DT","1925","2009","03","30","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Floresta Estadual Semidecidual","-42.496861","-18.946278",NA,NA,"Epífita a beira do rio, a 1m de altura",NA,NA,NA,"América","-42.496861","-18.946278","496","496",NA,NA,NA,NA,NA,NA
"81","2019-11-07 11:18:05-03","UFMG","BHCB-SL","133913","PreservedSpecimen","Plantae","Nephrolepidaceae","Nephrolepis","hirsutula","Nephrolepis hirsutula","(G.Forst.) C.Presl","Almeida, TE","2010","03","03","Almeida, TE; Souza, DT","2117","2009","09","26","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Mata Ciliar","-42.52975","-18.948139",NA,NA,"Erva rupícola em barranco a beira de estrada",NA,NA,NA,"América","-42.52975","-18.948139","470","470",NA,NA,NA,NA,NA,NA
"82","2019-11-07 11:17:51-03","UFMG","BHCB-SL","133900","PreservedSpecimen","Plantae","Lycopodiaceae","Palhinhaea","cernua","Palhinhaea cernua","(L.) Franco & Vasc.","Almeida, TE","2009","09","24","Almeida, TE; Souza, DT","2104","2009",NA,NA,"Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Mata Ciliar","-42.520389","-18.949611",NA,NA,"Erva terrestre em barranco a beira do rio, próximo a pasto",NA,NA,NA,"América","-42.520389","-18.949611","470","470",NA,NA,NA,NA,NA,NA
"83","2020-02-11 18:26:16-03","UFMG","BHCB-SL","133897","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma",NA,"Pecluma","M.G.Price",NA,NA,NA,NA,"Almeida, TE; Souza, DT","2101","2009","09","24","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Mata Ciliar","-42.520278","-18.949722",NA,NA,"Erva rupícola a beira do rio",NA,NA,NA,"América","-42.520278","-18.949722","470","470",NA,NA,NA,NA,NA,NA
"84","2020-02-11 18:26:21-03","UFMG","BHCB-SL","133898","PreservedSpecimen","Plantae","Polypodiaceae","Pecluma","robusta","Pecluma robusta","(Fée) M.Kessler & A.R.Sm.","Bünger, MO","2000","09","24","Almeida, TE; Souza, DT","2102","2009","09","24","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande. Mata Ciliar","-42.520278","-18.949722",NA,NA,"Erva rupícola a beira do rio. Local sombreado",NA,NA,NA,"América","-42.520278","-18.949722","470","470",NA,NA,NA,NA,NA,NA
"85","2019-11-07 11:18:55-03","UFMG","BHCB-SL","128827","PreservedSpecimen","Plantae","Polypodiaceae","Pleopeltis","astrolepis","Pleopeltis astrolepis","(Liebm.) E.Fourn.","Almeida, TE","2009","03","30","Almeida, TE; Souza, DT","1924","2009","03","30","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande. Floresta Estadual Semidecidual","-42.496944","-18.946389",NA,NA,"Epífita a beira do rio, a 1m de altura",NA,NA,NA,"América","-42.496944","-18.946389","421","421",NA,NA,NA,NA,NA,NA
"86","2019-11-07 11:20:13-03","UFMG","BHCB-SL","128806","PreservedSpecimen","Plantae","Pteridaceae","Pteris","denticulata","Pteris denticulata","Sw.","Almeida, TE","2009","03","26","Almeida, TE; Souza, DT","1903","2009","03","26","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Floresta Estadual Semidecidual","-42.546417","-18.966472",NA,NA,"Erva terrestre no interior de mata",NA,NA,NA,"América","-42.546417","-18.966472","496","496",NA,NA,NA,NA,NA,NA
"87","2019-11-07 11:20:13-03","UFMG","BHCB-SL","95629","PreservedSpecimen","Plantae","Pteridaceae","Pteris","denticulata","Pteris denticulata","Sw.","Almeida, TE","2005","09",NA,"Werneck, MS; Rezende, SG","835","2005","10","19","Brasil","Minas Gerais","Açucena","Bacia do Rio Corrente Grande.","-42.917747","-19.125156",NA,NA,"Herbáceo",NA,NA,NA,"América","-42.917747","-19.125156",NA,NA,NA,NA,NA,NA,NA,NA
"88","2019-11-07 11:20:13-03","UFMG","BHCB-SL","133915","PreservedSpecimen","Plantae","Pteridaceae","Pteris","plumula","Pteris plumula","Desv.","Almeida, TE","2010","03","03","Almeida, TE; Souza, DT","2119","2009","09","26","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Floresta Estacional Semidecidual","-42.546417","-18.966444",NA,NA,"Erva terrestre no interior de floresta",NA,NA,NA,"América","-42.546417","-18.966444","470","470",NA,NA,NA,NA,NA,NA
"89","2019-11-07 11:20:13-03","UFMG","BHCB-SL","133915","PreservedSpecimen","Plantae","Pteridaceae","Pteris","plumula","Pteris plumula","Desv.","Almeida, TE","2010","03","03","Almeida, TE; Souza, DT","2119","2009","09","26","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Floresta Estacional Semidecidual.","-42.546389","-18.966389",NA,NA,"Erva terrestre no interior de floresta.",NA,NA,NA,"América","-42.546389","-18.966389","470","470",NA,NA,NA,NA,NA,NA
"90","2019-11-07 11:20:13-03","UFMG","BHCB-SL",NA,"PreservedSpecimen","Plantae","Pteridaceae","Pteris","plumula","Pteris plumula","Desv.","Almeida, TE","2010","03","03","Almeida, TE; Souza, DT","2119","2009","09","26","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Floresta Estacional Semidecidual.","-42.546389","-18.966389",NA,NA,"Erva terrestre no interior de floresta.",NA,NA,NA,"América","-42.546389","-18.966389","470","470",NA,NA,NA,NA,NA,NA
"91","2019-11-07 11:20:39-03","UFMG","BHCB-SL","128820","PreservedSpecimen","Plantae","Selaginellaceae","Selaginella","muscosa","Selaginella muscosa","Spring","Heringer, G","2011","02",NA,"Almeida, TE; Souza, DT","1917","2009",NA,NA,"Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Floresta Estadual Semidecidual","-42.485167","-18.938083",NA,NA,"Rupícola em pedra no meio de córrego",NA,NA,NA,"América","-42.485167","-18.938083","496","496",NA,NA,NA,NA,NA,NA
"92","2019-11-07 11:20:47-03","UFMG","BHCB-SL","128809","PreservedSpecimen","Plantae","Selaginellaceae","Selaginella","suavis","Selaginella suavis","(Spring) Spring","Heringer, G","2011","02",NA,"Almeida, TE; Souza, DT","1906","2009",NA,NA,"Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Floresta Estadual Semidecidual","-42.546417","-18.966472",NA,NA,"Erva terrestre no interior de mata. Rizoma ereto, avermelhado",NA,NA,NA,"América","-42.546417","-18.966472","496","496",NA,NA,NA,NA,NA,NA
"93","2019-11-07 11:20:50-03","UFMG","BHCB-SL","128821","PreservedSpecimen","Plantae","Selaginellaceae","Selaginella","sulcata","Selaginella sulcata","(Desv. ex Poir.) Spring","Heringer, G","2010","02",NA,"Almeida, TE; Souza, DT","1918","2009",NA,NA,"Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Floresta Estadual Semidecidual","-42.485167","-18.938083",NA,NA,"Terrestre no interior de floresta. Rizoma ereto, avermelhado",NA,NA,NA,"América","-42.485167","-18.938083","496","496",NA,NA,NA,NA,NA,NA
"94","2019-11-07 11:17:11-03","UFMG","BHCB-SL","128807","PreservedSpecimen","Plantae","Gleicheniaceae","Sticherus",NA,"Sticherus",NA,NA,NA,NA,NA,"Almeida, TE; Souza, DT","1904","2009","03","26","Brasil","Minas Gerais","Açucena","Margens do rio Corrente Grande, Floresta Estadual Semidecidual","-42.546417","-18.966472",NA,NA,"Erva terrestre no interior de mata. Beira de trilha",NA,NA,NA,"América","-42.546417","-18.966472","496","496",NA,NA,NA,NA,NA,NA
"95","2019-11-07 11:15:31-03","UFMG","BHCB-SL","95628","PreservedSpecimen","Plantae","Blechnaceae","Blechnum","occidentale","Blechnum occidentale","L.","Almeida, TE","2005","09",NA,"Rezende, SG; Werneck, MS","723","2005","10","19","Brasil","Minas Gerais","Açucena","Bacia do Rio Corrente Grande.","-42.5463981628418","-19.0730991363525","35235","auto","Herbáceo",NA,NA,NA,"América",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","2019-11-21 10:14:49-03","IBt","SP","473922","S","Plantae","Poaceae","Aulonemia","prolifera","Aulonemia prolifera","P.L.Viana & Filg.","Viana, PL","2013","05",NA,"Leite, FSF","3982","2004","10","15","Brasil","Minas Gerais","Açucena","Em riacho encachoeirado, afluente do rio Corrente Grande, a montante da área destinada à implantação da PCH Barra da Paciência","-42.483333","-18.933333",NA,NA,NA,"SP003383","SP003383",NA,NA,"-42.483333","-18.933333","512","512",NA,NA,NA,NA,NA,"Paratype"
