"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","infraspecificEpithet","yearIdentified","monthIdentified","locality","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","class","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","typeStatus","dayIdentified","previousCatalogNumber","fieldNumber","relatedCatalogItem"
"1","2020-03-04 15:24:29-03","UNESC","CRI","2599","PreservedSpecimen","Plantae","Bromeliaceae","Nidularium","innocentii","Nidularium innocentii","Lem.","R. Reitz","R. Reitz","7845","1975","04","19","Brasil","Espírito Santo","Domingos Martins","-40.659444","-20.363889","40º39'34''W","20º21'50''S","CRI001893","CRI001893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-03-04 15:24:29-03","UNESC","CRI","2618","PreservedSpecimen","Plantae","Bromeliaceae","Vriesea","ensiformis","Vriesea ensiformis","(Vell.) Beer","R. Reitz","R. Reitz",NA,"1975","04","19","Brasil","Espírito Santo","Domingos Martins","-40.659444","-20.363889","40º39'34''W","20º21'50''S","CRI001927","CRI001927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","548","S","Plantae","Bromeliaceae","Vriesea","carinata","Vriesea carinata var. flavo-miniata","Wawra","Elton. C. M. Leme","Elton M. C. Leme; Bruno Rezende Silva; Karl Green",NA,"2000","04","25","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales","var. flavo-miniata","2011","08","Mata do Kautsky","48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","578","S","Plantae","Bromeliaceae","Aechmea","entringeri","Aechmea entringeri","Leme","Elton. C. M. Leme","Roberto A.Kautsky;",NA,NA,NA,NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,"2009","05",NA,"48150",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","319","S","Plantae","Bromeliaceae","Aechmea","perforata","Aechmea perforata","L.B.Sm.","Elton. C. M. Leme","Roberto A. Kautsky; Elton M. C. Leme; F. Pratti",NA,"1995","04","29","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,"2009","05","Alto de Santa Maria","48150","3","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","323","S","Plantae","Bromeliaceae","Aechmea","pineliana","Aechmea pineliana var. minuta","(Brong. ex Planch.) Baker","Elton. C. M. Leme","Roberto A. Kautsky; Elton M. C. Leme; F. Pratti",NA,"1995","04","29","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales","var. minuta","2011","08","Alto de Santa Maria","48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","322","S","Plantae","Bromeliaceae","Aechmea","racinae","Aechmea racinae var. erecta","L.B.Sm.","Elton. C. M. Leme","Roberto A. Kautsky; Elton M. C. Leme; F. Pratti",NA,"1995","04","29","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales","var. erecta","2011","08","Alto de Santa Maria","48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","320","S","Plantae","Bromeliaceae","Aechmea","racinae","Aechmea racinae var. erecta","L.B.Sm.","Elton. C. M. Leme","Roberto A. Kautsky; Elton M. C. Leme; F. Pratti",NA,"1995","04","29","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales","var. erecta","2011","08","Alto de Santa Maria","48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","88","S","Plantae","Bromeliaceae","Aechmea","racinae","Aechmea racinae var. erecta","L.B.Sm.","Elton. C. M. Leme","Roberto. A. Kautsky; Agostinho Entringer; Vital Schunk",NA,"1986","09",NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales","var. erecta","2011","08","Propriedade de João Thomas","48150",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:40-03","FZB-BH","CVJBFZB","1847","S","Plantae","Bromeliaceae","Aechmea","ramosa","Aechmea ramosa var. festiva","L.B.Sm.","Sergio Gurken",NA,NA,NA,NA,NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales","var. festiva",NA,NA,NA,"48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","28","S","Plantae","Bromeliaceae","Aechmea","warasii","Aechmea warasii","E.Pereira","Elton. C. M. Leme","Roberto A. Kautsky;",NA,"1982",NA,NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,"2011","08",NA,"48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","12","S","Plantae","Bromeliaceae","Aechmea","warasii","Aechmea warasii","E.Pereira","Elton. C. M. Leme","Roberto A. Kautsky;",NA,"1981",NA,NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,"2011","08",NA,"48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","762","S","Plantae","Bromeliaceae","Aechmea","warasii","Aechmea warasii var. intermedia","E.Pereira","Elton. C. M. Leme","Roberto A. Kautsky;",NA,NA,NA,NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales","var. intermedia","2011","08",NA,"48150",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","44","S","Plantae","Bromeliaceae","Billbergia","lymanii","Billbergia lymanii","E.Pereira & Leme","Elton. C. M. Leme","Roberto A. Kautsky ;","Kautsky670","1982","05","31","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,"2011","08","Vila de Tijuco Preto","48150","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","1857","S","Plantae","Bromeliaceae","Neoregelia","lilliputiana","Neoregelia lilliputiana","E. Perrira","Sergio Gurken",NA,NA,NA,NA,NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,NA,NA,NA,"48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","73","S","Plantae","Bromeliaceae","Nidularium","espiritosantense","Nidularium espiritosantense","Leme","Elton. C. M. Leme","Elton M. C. Leme; Roberto Menescal; R. Bello; R. A. Kautsky",NA,"1986","01","27","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,"2009","05",NA,"48150","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","317","S","Plantae","Bromeliaceae","Nidularium","procerum","Nidularium procerum","Lindm.","Elton. C. M. Leme","Roberto A. Kautsky;",NA,NA,NA,NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,"2011","08",NA,"48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-06-10 10:10:45-03","FZB-BH","CVJBFZB","71","S","Plantae","Bromeliaceae","Nidularium","procerum","Nidularium procerum","Lindm.","Elton. C. M. Leme","Elton M. C. Leme; Roberto Menescal; R. Bello; R. A. Kautsky",NA,"1986","01","27","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,"2011","08","Próximo a Domingos Martins","48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-06-10 10:10:56-03","FZB-BH","CVJBFZB","1086","S","Plantae","Araceae","Philodendron","spiritus-sancti","Philodendron spiritus-sancti","G.S.Bunting",NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Alismatales",NA,NA,NA,NA,"48150",NA,"254","auto","Equisetopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","547","S","Plantae","Bromeliaceae","Vriesea","repandostachys","Vriesea repandostachys","Leme","Elton. C. M. Leme","Elton M. C. Leme; Bruno Rezende Silva; Karl Green",NA,"2000","04","25","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,"2011","08","Mata do Kautsky","48150","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","321","S","Plantae","Bromeliaceae","Vriesea","ruschii","Vriesea ruschii","L.B.Sm.","Elton. C. M. Leme","Roberto A. Kautsky; Elton M. C. Leme; F. Pratti",NA,"1995","04","29","Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales",NA,"2009","05","Alto de Santa Maria","48150","3","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-06-10 10:10:48-03","FZB-BH","CVJBFZB","608","S","Plantae","Bromeliaceae","Vriesea","ruschii","Vriesea ruschii lineata","L.B.Sm.","Elton. C. M. Leme","Schum K. (Nego);",NA,NA,NA,NA,"Brasil","Espírito Santo","Domingos Martins","-40.6591987609863","-20.3633003234863",NA,NA,NA,NA,"Magnoliophyta","Poales","lineata","2011","08",NA,"48150",NA,"254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-12-16 18:13:58-03","NYBG","NYBG","407246","PreservedSpecimen","Plantae","Malvaceae","Pavonia","makoyana","Pavonia makoyana","E.Morren","A. Krapovickas","G. G. Hatschbach","57991","1992","10","12","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY00407246","NY00407246","Magnoliophyta","Malvales",NA,"1993",NA,"Rod. BR-262, próximo ao Rio Araguaia",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223572 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","800","900","sheet",NA,NA,NA,NA,NA
"24","2019-12-16 18:13:58-03","NYBG","NYBG","407248","PreservedSpecimen","Plantae","Malvaceae","Pavonia","makoyana","Pavonia makoyana","E.Morren",NA,"M. Sazima","14058","1982","07","27","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY00407248","NY00407248","Magnoliophyta","Malvales",NA,NA,NA,NA,NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=223577 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"25","2019-12-16 18:35:09-03","NYBG","NYBG","559462","PreservedSpecimen","Plantae","Piperaceae","Peperomia","martiana","Peperomia martiana","Miq.","R. Callejas Posada","G. G. Hatschbach","47695","1985","02","13","Brazil","Espírito Santo","Domingos Martins","-40.975816","-20.404052","-40.975816","-20.404052","NY00559462","NY00559462","Magnoliophyta","Piperales",NA,"1985",NA,"Rod. BR-262, Pedra Azul",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464385 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"26","2019-12-16 18:35:11-03","NYBG","NYBG","555135","PreservedSpecimen","Plantae","Piperaceae","Peperomia","rubricaulis","Peperomia rubricaulis","(Nees) A.Dietr.",NA,"G. Martinelli","422","1975","08","27","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY00555135","NY00555135","Magnoliophyta","Piperales",NA,NA,NA,"Margens do Rio Jucú",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487338 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","500","500","sheet",NA,NA,NA,NA,NA
"27","2019-12-16 18:35:27-03","NYBG","NYBG","555273","PreservedSpecimen","Plantae","Piperaceae","Peperomia","tetraphylla","Peperomia tetraphylla","(G.Forst.) Hook. & Arn.","R. Callejas Posada","G. G. Hatschbach","49965","1985","10","19","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY00555273","NY00555273","Magnoliophyta","Piperales",NA,"1986",NA,"Corrego do Cavalo",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=603973 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"28","2019-12-16 18:35:28-03","NYBG","NYBG","555496","PreservedSpecimen","Plantae","Piperaceae","Peperomia","warmingii","Peperomia warmingii","C.DC.","R. Callejas Posada","G. G. Hatschbach","47691","1984","04","07","Brazil","Espírito Santo","Domingos Martins","-40.975816","-20.404052","-40.975816","-20.404052","NY00555496","NY00555496","Magnoliophyta","Piperales",NA,"1985",NA,"Rod. BR-262, Pedra Azul",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=355683 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"29","2019-12-16 19:15:18-03","NYBG","NYBG","817995","PreservedSpecimen","Plantae","Polypodiaceae","Phlebodium","areolatum","Phlebodium areolatum",NA,"A. Sehnem","G. G. Hatschbach","31362","1973","02","07","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY00817995","NY00817995","Pteridophyta","Polypodiales",NA,"1973",NA,"Aracê.",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=499481 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","800","1000","sheet",NA,NA,NA,NA,NA
"30","2019-12-16 19:15:18-03","NYBG","NYBG","817996","PreservedSpecimen","Plantae","Polypodiaceae","Phlebodium","areolatum","Phlebodium areolatum",NA,"A. Sehnem","G. G. Hatschbach","31362","1973","02","07","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY00817996","NY00817996","Pteridophyta","Polypodiales",NA,"1973",NA,"Aracê.",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=804822 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","800","1000","sheet",NA,NA,NA,NA,NA
"31","2019-12-16 18:35:45-03","NYBG","NYBG","686477","PreservedSpecimen","Plantae","Piperaceae","Piper","arboreum","Piper arboreum","Aubl.","R. Callejas Posada","G. G. Hatschbach","48673","1984","12","06","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY00686477",NA,"Magnoliophyta","Piperales",NA,"1985",NA,"Corrego Jacu",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=834386 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"32","2019-12-16 18:35:45-03","NYBG","NYBG","555860","PreservedSpecimen","Plantae","Piperaceae","Piper","arboreum","Piper arboreum","Aubl.","R. Callejas Posada","R. M. Silva","825","1993","05","12","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY00555860","NY00555860","Magnoliophyta","Piperales",NA,"1995",NA,"Km 44 da rodovia Vitória - Belo Horizonte (BR262). Entrada para Soido",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=618671 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"33","2019-12-16 18:36:02-03","NYBG","NYBG","556513","PreservedSpecimen","Plantae","Piperaceae","Piper","crassinervium","Piper crassinervium","Kunth","M. Carvalho-Silva","R. de Mello-Silva","826","1993","05","12","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY00556513","NY00556513","Magnoliophyta","Piperales",NA,"2001",NA,"Domingos Martins: Km 44 da rodovia Vitória - Belo Horizonte (BR 262). Entrada para Soido",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=343820 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"34","2019-12-16 18:36:02-03","NYBG","NYBG","556172","PreservedSpecimen","Plantae","Piperaceae","Piper","crassinervium","Piper crassinervium","Kunth","R. Callejas Posada","R. de Mello-Silva","826","1993","05","12","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY00556172","NY00556172","Magnoliophyta","Piperales",NA,"1995",NA,"Domingo Martins. Km 44 da rodovia Vitória-Belo Horizonte (BR-262). Entrada para Soido",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=343831 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"35","2019-12-16 18:36:18-03","NYBG","NYBG","1015239","PreservedSpecimen","Plantae","Piperaceae","Piper","gigantifolium","Piper gigantifolium","C.DC.","R. Callejas Posada","G. G. Hatschbach","48669","1984","12","06","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY01015239","NY01015239","Magnoliophyta","Piperales",NA,"1985",NA,"Corrego Jacu.",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102156 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"36","2019-12-16 18:36:49-03","NYBG","NYBG","557028","PreservedSpecimen","Plantae","Piperaceae","Piper","mollicomum","Piper mollicomum","Kunth","R. Callejas Posada","G. G. Hatschbach","31380","1973","02","08","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY00557028","NY00557028","Magnoliophyta","Piperales",NA,"1983",NA,"Sao Miguel",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=480548 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"37","2019-12-16 18:37:43-03","NYBG","NYBG","376847","PreservedSpecimen","Plantae","Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.",NA,"G. G. Hatschbach","31364","1973","02","07","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY00376847","NY00376847","Magnoliophyta","Poales",NA,NA,NA,"Aracê",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=72547 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","800","1000","sheet",NA,NA,NA,NA,NA
"38","2019-12-16 18:37:43-03","NYBG","NYBG","376848","PreservedSpecimen","Plantae","Bromeliaceae","Pitcairnia","decidua","Pitcairnia decidua","L.B.Sm.",NA,"G. G. Hatschbach","31364","1973","02","07","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY00376848","NY00376848","Magnoliophyta","Poales",NA,NA,NA,"Aracê",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=72548 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","800","1000","sheet",NA,NA,NA,NA,NA
"39","2019-12-16 18:31:43-03","NYBG","NYBG","616928","PreservedSpecimen","Plantae","Myrtaceae","Plinia","renatiana","Plinia renatiana","G.M.Barroso & Peixoto","M. Sobral","G. G. Hatschbach","61191","1994","10","20","Brazil","Espírito Santo","Domingos Martins","-40.879922","-20.414572","-40.879922","-20.414572","NY00616928","NY00616928","Magnoliophyta","Myrtales",NA,"1995",NA,"Rod. BR-262, Rio Jucu Braço Sul, próximo a Vítor Hugo",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429165 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"40","2019-12-16 18:04:37-03","NYBG","NYBG","537639","PreservedSpecimen","Plantae","Euphorbiaceae","Pogonophora","schomburgkiana","Pogonophora schomburgkiana","Miers ex Benth.","J. A. Kallunki","J. R. Pirani","2804","1993","05","11","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY00537639","NY00537639","Magnoliophyta","Malpighiales",NA,"1996",NA,"BR 262 km 35, localidade Santa Isabel. Remanescente de mata pluvial tropical em encosta do Vale do Rio Jucu (braçonorte), em fazenda do Sr. Emilio Rheim (atrás da Pousada Vista Linda)",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=260673 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"41","2019-12-16 17:33:26-03","NYBG","NYBG","784329","PreservedSpecimen","Plantae","Polygalaceae","Polygala","urbanii","Polygala urbanii","Chodat","J. F. B. Pastore","G. G. Hatschbach","31377","1973","02","08","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY00784329","NY00784329","Magnoliophyta","Fabales",NA,"2006",NA,"Rio Jacu.",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191863 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"42","2019-12-16 17:27:46-03","NYBG","NYBG","459521","PreservedSpecimen","Plantae","Fabaceae","Pseudopiptadenia","schumanniana","Pseudopiptadenia schumanniana","(Taub.) G.P.Lewis & M.P.Lima","R. C. Barneby","G. G. Hatschbach","60656","1993","11","08","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY00459521","NY00459521","Magnoliophyta","Fabales",NA,NA,NA,"Melgaço, rodovia para Santa Tereza",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=666643 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"43","2019-12-16 17:27:46-03","NYBG","NYBG","459522","PreservedSpecimen","Plantae","Fabaceae","Pseudopiptadenia","schumanniana","Pseudopiptadenia schumanniana","(Taub.) G.P.Lewis & M.P.Lima","R. C. Barneby","G. G. Hatschbach","60056","1993","11","08","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY00459522","NY00459522","Magnoliophyta","Fabales",NA,NA,NA,"Melgaço, rodovia para Santa Tereza",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=666644 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"44","2019-12-16 18:31:44-03","NYBG","NYBG","617012","PreservedSpecimen","Plantae","Myrtaceae","Psidium","guineense","Psidium guineense","Sw.","L. R. Landrum","J. R. Pirani","2798","1993","05","11","Brazil","Espírito Santo","Domingos Martins","-40.58263","-20.365026","-40.58263","-20.365026","NY00617012","NY00617012","Magnoliophyta","Myrtales",NA,"1994",NA,"BR 262 km 32. Nas encostas dos morroa do Braço do Rio Jucu",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=534925 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"45","2019-12-16 17:42:23-03","NYBG","NYBG","1017413","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","lupulina","Psychotria lupulina","Benth.","C. M. Taylor","J. R. Pirani","2805","1993","05","11","Brazil","Espírito Santo","Domingos Martins","-40.622367","-20.359273","-40.622367","-20.359273","NY01017413","NY01017413","Magnoliophyta","Gentianales",NA,"2006",NA,"Santa Isabel, BR 262, km 34. Mata pluvial das encostas do Rio Jucu (braço norte).",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021524 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"46","2019-12-16 19:16:31-03","NYBG","NYBG","812715","PreservedSpecimen","Plantae","Pteridaceae","Pteris","splendens","Pteris splendens","Kaulf.","R. C. Moran","R. de Mello-Silva","830","1993","05","12","Brazil","Espírito Santo","Domingos Martins","-40.6592","-20.3633","-40.6592","-20.3633","NY00812715","NY00812715","Pteridophyta","Polypodiales",NA,NA,NA,"Estrada vicinal à Br 262, em direção a Santa Luzia.",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=807461 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America",NA,NA,"sheet",NA,NA,NA,NA,NA
"47","2019-12-16 18:40:45-03","NYBG","NYBG","02674835","PreservedSpecimen","Plantae","Cyperaceae","Rhynchospora","foliosa","Rhynchospora foliosa","Kunth",NA,"W. W. Thomas","16625","2016","09","24","Brazil","Espírito Santo","Domingos Martins","-40.98483","-20.4819","-40.98483","-20.4819","NY02674835","NY02674835","Magnoliophyta","Poales",NA,NA,NA,"Distrito Pedra Azul. Hotel Fazenda Monte Verde, S of BR-262, and E of ES-164.",NA,NA,"<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3677142 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","1020","1020","Sheet",NA,NA,NA,NA,NA
